PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Catcher Pos,Unnamed: 157,umpire,season
1,2021/10/31,04:47.3,2021/10/31,04:47.3,1,1,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Masaya, Hagio",1000073449,Right,KEI_KEI,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,118.74755,2.795056,-0.884649,2403.633927,41.081723,7:15,1.740133,0.551471,1.953367,-165.1707,-35.3447,-34.7633,0.872449,-0.044101,107.86434,-9.25388,-3.367851,0.514559,,,,,,,,,,,,17.2855,-19.2472,-0.530476,15.24,1.792523,0.644322,-32.654789,1.028167,2.365502,6.630924,-12.440608,WAS_EDA,KEI_KEI,JinguStadium,Fall,NL,20211031-JinguStadium-1,afb5be50-39ff-11ec-b9d1-511b8bf735c6,32b08fd0-9fcc-461c-9841-e005ac5b9271,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,117.88729,,,10.8832,,,,16.487388,-32.90711,3.315462,1.744392,1.501559,-6.220304,-0.553282,0.554309,1.182751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,21A
2,2021/10/31,05:04.5,2021/10/31,05:04.5,1,2,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Masaya, Hagio",1000073449,Right,KEI_KEI,Undefined,1,Top,0,0,1,Curveball,Curveball,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,120.12814,2.449278,-0.62066,2495.520429,40.426604,7:15,1.743659,0.57446,1.852588,-160.3076,-32.3851,-31.2851,0.831755,0.086572,109.47953,-9.167773,-2.842526,0.510773,133.10736,47.72572,52.025644,5184.779781,15.610229,29.43126,29.672236,72.097925,,72.99952,5.127929,15.6873,-17.5739,-0.557839,15.24,1.791201,0.487053,-33.037228,0.836976,2.206867,6.559104,-12.278926,WAS_EDA,KEI_KEI,JinguStadium,Fall,NL,20211031-JinguStadium-1,b9f6b680-39ff-11ec-b9d1-511b8bf735c6,32b08fd0-9fcc-461c-9841-e005ac5b9271,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,118.76108,31.010351,,10.64861,,,,16.588341,-33.303848,3.279552,1.747035,1.336099,-6.139463,-0.575814,0.397346,1.103433,0.698454,0.821064,-0.110026,213.36332,0.703307,15.210352,-5.723178,1.145533,0.048279,-0.096131,0.022453,-0.002011,5.3e-05,0.823135,27.31018,-7.169838,0.319721,0.248702,-0.163741,0.046051,-0.006206,0.000323,-0.107728,19.558517,-2.073339,0.018092,0.229721,-0.115367,0.027997,-0.003384,0.000162,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,21A
3,2021/10/31,05:33.4,2021/10/31,05:33.4,1,3,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Masaya, Hagio",1000073449,Right,KEI_KEI,Undefined,1,Top,0,0,2,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,137.15072,-0.460209,-5.145257,2148.386327,221.363862,1:30,1.74084,0.566765,1.986042,-82.1099,13.3073,9.2493,0.790508,-0.783631,126.48556,-6.479434,-4.488182,0.441132,,,,,,,,,,,,-8.2901,8.1428,-0.457716,15.24,1.726762,3.350363,-37.654458,-0.595899,-1.546264,7.096112,-8.287865,WAS_EDA,KEI_KEI,JinguStadium,Fall,NL,20211031-JinguStadium-1,cb38e530-39ff-11ec-b9d1-511b8bf735c6,32b08fd0-9fcc-461c-9841-e005ac5b9271,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,137.51,,,10.66516,,,,16.454088,-37.882566,3.548056,1.741635,-0.329481,-4.143933,-0.566214,3.400068,-0.773132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,21A
4,2021/10/31,05:50.0,2021/10/31,05:50.0,1,4,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Masaya, Hagio",1000073449,Right,KEI_KEI,Undefined,1,Top,0,1,2,Slider,Slider,FoulBall,Undefined,Undefined,,Undefined,0,0,,135.88587,0.618746,-2.3456,2279.478127,173.336291,11:45,1.733355,0.611593,1.965237,-82.8668,13.729,-1.286,1.078113,-0.058496,125.52949,-5.468381,-2.437318,0.443847,,,,,,,,,,,,-0.8368,7.5735,-0.560859,15.24,1.742217,1.538829,-37.433223,0.109334,-0.154653,6.834128,-8.40703,WAS_EDA,KEI_KEI,JinguStadium,Fall,NL,20211031-JinguStadium-1,d51b90c0-39ff-11ec-b9d1-511b8bf735c6,32b08fd0-9fcc-461c-9841-e005ac5b9271,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,136.6686,,,10.35638,,,,16.475138,-37.658045,3.417064,1.734071,0.3859,-4.203515,-0.611566,1.543916,-0.077327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,21A
5,2021/10/31,06:15.4,2021/10/31,06:15.4,1,5,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Masaya, Hagio",1000073449,Right,KEI_KEI,Undefined,1,Top,0,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,,146.96525,0.517843,-4.236227,2113.681027,225.054471,1:30,1.718666,0.637003,2.07114,-41.6207,41.9721,39.0502,1.446917,-0.15313,132.09953,-2.681835,-1.44043,0.412894,,,,,,,,,,,,-23.852,22.565,-0.55454,15.24,1.726871,2.799346,-40.337163,0.250171,-5.002974,9.76493,-5.073632,WAS_EDA,KEI_KEI,JinguStadium,Fall,NL,20211031-JinguStadium-1,e43f4c40-39ff-11ec-b9d1-511b8bf735c6,32b08fd0-9fcc-461c-9841-e005ac5b9271,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,146.91407,,,14.86572,,,,16.367655,-40.609231,4.882465,1.717932,0.391531,-2.536816,-0.634476,2.938738,-2.501487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,21A
6,2021/10/31,06:30.9,2021/10/31,06:30.9,1,6,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Masaya, Hagio",1000073449,Right,KEI_KEI,Undefined,1,Top,0,2,2,Slider,Slider,InPlay,Undefined,LineDrive,LineDrive,Double,0,0,,134.93416,0.287618,-2.682732,2127.849396,166.870589,11:30,1.688689,0.631156,1.910854,-82.9038,15.1588,-2.9358,0.940558,-0.152571,125.49917,-5.764707,-2.891323,0.447205,163.68923,21.282787,8.721558,2547.578526,32.798665,12.192948,6.954413,108.151932,,19.919235,4.149215,-0.0583,8.4639,-0.570476,15.24,1.690233,1.754633,-37.176319,-0.116069,-0.010698,6.262643,-8.253203,WAS_EDA,KEI_KEI,JinguStadium,Fall,NL,20211031-JinguStadium-1,ed742ba0-39ff-11ec-b9d1-511b8bf735c6,32b08fd0-9fcc-461c-9841-e005ac5b9271,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,135.64257,16.69797,,9.435,,,,16.529741,-37.392955,3.131321,1.68931,0.169424,-4.126601,-0.631178,1.755003,-0.005349,0.637892,0.932187,0.13712,219.567496,0.637855,41.879051,-8.322154,1.921152,-0.421469,0.081861,-0.012384,0.001169,-4.5e-05,0.932215,16.50324,-4.550861,0.096379,0.022675,-0.006358,-4.4e-05,0.000331,-4.1e-05,0.137096,6.424756,1.720372,-0.645898,0.18511,-0.041728,0.006974,-0.000746,3.7e-05,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,21A
7,2021/10/31,10:07.5,2021/10/31,10:07.5,2,1,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Haruto, Watanabe",1000073445,Right,KEI_KEI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,LineDrive,Single,0,0,2,145.81324,-1.35307,-3.276274,1974.010177,216.579041,1:15,1.721213,0.659015,2.063656,-37.4885,47.4992,32.9422,0.969051,0.075583,131.17635,-4.25622,-0.914474,0.416325,141.51534,10.562061,-1.564142,1066.401832,33.453961,4.244898,-2.225429,61.525017,,-5.58646,2.016175,-20.1107,27.1286,-0.595123,15.24,1.69243,2.139932,-40.055103,-1.04529,-4.149746,9.810968,-4.208799,WAS_EDA,KEI_KEI,JinguStadium,Fall,NL,20211031-JinguStadium-1,6e8a4850-3a00-11ec-b9d1-511b8bf735c6,32b08fd0-9fcc-461c-9841-e005ac5b9271,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,145.70344,4.252644,,14.63689,,,,16.375546,-40.332281,4.905484,1.720282,-0.926384,-2.104399,-0.657236,2.25717,-2.074873,0.193479,0.904022,-0.061849,141.174588,0.193479,38.62946,-5.864951,1.201913,-0.239289,0.045205,-0.007922,0.001084,-7.6e-05,0.904023,7.205277,-3.92381,0.034437,0.023984,-0.007444,0.001515,-7.9e-05,-1e-05,-0.061849,-1.054659,-1.508191,0.438317,-0.112276,0.024828,-0.004491,0.000564,-3.3e-05,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,21A
8,2021/10/31,11:18.4,2021/10/31,11:18.4,3,1,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,0,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,"1,3",121.31744,3.417703,1.138606,2410.607982,59.543505,8:00,1.716467,0.596309,1.779581,-146.4328,-20.8711,-42.2011,1.221649,0.496885,110.95937,-7.164912,-1.840097,0.506038,,,,,,,,,,,,22.2263,-11.7514,-0.621662,15.24,1.791222,-0.476367,-33.341661,1.437177,3.222583,6.036522,-11.51048,WAS_EDA,KEI_KEI,JinguStadium,Fall,NL,20211031-JinguStadium-1,98d41690-3a00-11ec-b9d1-511b8bf735c6,32b08fd0-9fcc-461c-9841-e005ac5b9271,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,119.87243,,,10.35808,,,,16.661172,-33.59798,3.018261,1.719821,1.925926,-5.75524,-0.598529,-0.613202,1.611291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,21A
9,2021/10/31,11:47.1,2021/10/31,11:47.1,3,2,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,0,1,0,Slider,Slider,FoulBall,Undefined,Undefined,Popup,Undefined,0,0,"2,3",132.54153,1.05392,-1.892773,2154.173523,108.641926,9:30,1.690357,0.640868,1.925085,-95.4276,6.7674,-11.4114,1.032154,-0.004819,122.33431,-5.924279,-2.704989,0.45653,112.00835,59.015123,-132.423754,5637.835662,-25.870022,23.064806,-21.327648,53.519008,,-140.869439,4.131731,4.7184,3.6893,-0.598025,15.24,1.70838,1.255726,-36.506571,0.325436,0.827869,6.619191,-9.159347,WAS_EDA,KEI_KEI,JinguStadium,Fall,NL,20211031-JinguStadium-1,a9ed3970-3a00-11ec-b9d1-511b8bf735c6,32b08fd0-9fcc-461c-9841-e005ac5b9271,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,132.87184,23.883018,,10.20722,,,,16.515211,-36.737058,3.309596,1.691495,0.644374,-4.579674,-0.641248,1.226899,0.413935,0.319595,1.000881,0.016508,21.031074,0.318358,-10.773447,-1.812237,1.394888,-0.622701,0.207859,-0.040904,0.004004,-0.000146,1.001234,26.660123,-9.560101,1.204759,0.000974,-0.135566,0.053906,-0.009091,0.000574,0.015922,-11.806529,1.488609,-0.091537,-0.175946,0.119465,-0.035689,0.005152,-0.000293,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,21A
10,2021/10/31,12:13.3,2021/10/31,12:13.3,3,3,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Undefined,1,Top,0,1,1,Curveball,Curveball,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,"2,3",125.36027,2.271392,-0.888357,2547.327293,48.966231,7:45,1.728434,0.593312,1.836391,-147.3845,-29.619,-38.6291,0.896191,-0.043772,114.04995,-8.405632,-3.627113,0.490076,119.81317,27.690645,-8.183942,2956.492358,32.814603,13.01462,-6.879208,73.415345,,-17.053448,3.592037,19.1698,-15.959,-0.569631,15.24,1.773079,0.703471,-34.46983,0.807651,2.934681,7.161073,-12.249794,WAS_EDA,KEI_KEI,JinguStadium,Fall,NL,20211031-JinguStadium-1,b991e4c0-3a00-11ec-b9d1-511b8bf735c6,32b08fd0-9fcc-461c-9841-e005ac5b9271,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,123.77666,13.583595,,11.31032,,,,16.604341,-34.752115,3.580537,1.731725,1.290529,-6.124897,-0.595081,0.587788,1.467341,0.386695,0.821741,0.059296,144.702057,0.386555,29.174188,-4.830544,1.078794,-0.268683,0.076236,-0.018794,0.002799,-0.000171,0.821854,15.461571,-5.077378,0.270825,-0.007474,-0.017024,0.006664,-0.000979,4.6e-05,0.059279,-4.194258,-0.971953,0.240754,-0.058425,0.014308,-0.003031,0.000422,-2.6e-05,,,,,,,,,,,,,,,,,,,,,,,,,溝内 健介,21A
