PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,season
100,2020/8/13,48:11.3,2020/8/13,48:11.3,2,2,"Sou, Komune",1000073943,Left,TOK,"Masaya, Nishigaki",1000073939,Left,WAS_EDA,Undefined,4,Top,0,1,0,Fastball,Slider,InPlay,Undefined,Bunt,,Sacrifice,1,0,1,,,122.55819,2.827176,5.157351,2094.333694,140.648737,10:45,1.156694,-1.112566,1.653574,-109.4581,14.1472,-8.9566,0.873154,0.274176,113.70013,-5.018267,4.535128,0.50208,,,,,,,,,,,,7.5518,6.3506,0.973593,15.24,1.224199,-2.992673,-33.593799,1.246798,1.134306,4.986811,-8.852767,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,f2e3b740-dd30-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,120.81732,,,8.85806,,,,16.787037,-33.822669,2.493406,1.157654,1.653095,-4.426383,1.112136,-3.044732,0.567153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
101,2020/8/13,48:54.3,2020/8/13,48:54.3,3,1,"Sou, Komune",1000073943,Left,TOK,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,4,Top,1,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,2,,,130.00066,2.395582,5.623249,2086.964621,102.480277,9:30,1.15821,-1.062082,1.717887,-101.7329,9.3407,-25.9593,0.825775,0.28249,118.27736,-4.96719,3.813171,0.475949,,,,,,,,,,,,17.0837,4.1751,0.917927,15.24,1.212868,-3.37486,-35.554063,1.088422,2.820922,6.768214,-9.117235,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,0c7ac590-dd31-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,127.45072,,,11.7233,,,,16.721558,-35.834988,3.384107,1.159838,1.466847,-4.558617,1.060436,-3.491946,1.410461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
102,2020/8/13,49:17.8,2020/8/13,49:17.8,3,2,"Sou, Komune",1000073943,Left,TOK,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,4,Top,1,0,1,Fastball,Curveball,FoulBall,Undefined,Undefined,,Undefined,0,0,2,,,128.12075,2.167441,4.837384,1978.676524,92.338167,9:00,1.169356,-1.164254,1.680497,-108.9476,3.8011,-18.3705,0.700126,0.034028,118.66594,-5.646499,3.556432,0.479524,,,,,,,,,,,,12.2113,1.5007,1.037024,15.24,1.218244,-2.889848,-35.152098,0.896621,2.003422,5.611387,-9.560443,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,1a782980-dd31-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,126.50043,,,9.4548,,,,16.760083,-35.39392,2.805694,1.170726,1.308627,-4.780222,1.163422,-2.976186,1.001711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
103,2020/8/13,49:46.9,2020/8/13,49:46.9,3,3,"Sou, Komune",1000073943,Left,TOK,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,4,Top,1,0,2,Fastball,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,2,Steal,"Moeto, Suzuki",135.75038,1.429678,7.073229,2173.294071,88.065457,9:00,1.247071,-1.097379,1.734226,-100.2845,1.969,-43.8001,0.653557,0.484195,123.21423,-5.812146,4.025703,0.456661,,,,,,,,,,,,27.1314,1.1583,0.918437,15.24,1.276581,-4.373706,-37.048034,0.509076,4.855304,7.476437,-9.599366,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,2bda3c40-dd31-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,132.83382,,,12.53615,,,,16.705414,-37.34259,3.738219,1.249075,0.88727,-4.799683,1.094519,-4.564995,2.427652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
104,2020/8/13,50:21.3,2020/8/13,50:21.3,3,4,"Sou, Komune",1000073943,Left,TOK,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,4,Top,1,1,2,Fastball,Changeup,StrikeCalled,Strikeout,Undefined,,Undefined,0,0,3,,,133.00656,0.879272,5.159046,2166.207166,95.591468,9:15,1.191535,-1.082774,1.653032,-99.6083,5.7484,-27.9098,0.447516,0.114972,122.81718,-6.261844,3.215512,0.463538,,,,,,,,,,,,17.2699,3.2809,0.945314,15.24,1.207045,-3.155585,-36.475575,0.139663,3.039103,6.297175,-9.229284,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,40521a80-dd31-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,130.86293,,,10.18938,,,,16.787277,-36.741728,3.148587,1.192898,0.529742,-4.614642,1.0814,-3.284033,1.519552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
105,2020/8/13,50:51.6,2020/8/13,50:51.6,4,1,"Sou, Komune",1000073943,Left,TOK,"Ginsuke, Kaneko",1000073884,Right,WAS_EDA,Undefined,4,Top,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,3,,,133.34494,2.092204,2.987571,2092.800532,71.583779,8:30,1.170928,-1.126094,1.610994,-117.7519,-11.0744,-43.9986,0.593327,-0.710193,121.11449,-6.357142,-0.083208,0.466435,,,,,,,,,,,,24.1092,-5.9205,1.047012,15.24,1.218834,-1.680859,-36.582596,0.812654,4.191653,7.526043,-10.83599,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,52661820-dd31-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,130.05029,,,12.23044,,,,16.829038,-36.908057,3.763022,1.173559,1.281252,-5.417995,1.123619,-1.862125,2.095826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
106,2020/8/13,51:12.8,2020/8/13,51:12.8,4,2,"Sou, Komune",1000073943,Left,TOK,"Ginsuke, Kaneko",1000073884,Right,WAS_EDA,Undefined,4,Top,2,1,0,Fastball,Changeup,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,3,,,130.83098,1.590768,4.584812,1995.244021,86.688285,9:00,1.150563,-1.13644,1.603619,-109.3888,1.3976,-38.2431,0.513774,-0.203194,119.25417,-6.259944,1.925201,0.475333,154.0399,0.586414,34.925185,1758.796143,,,,14.650068,,36.485704,0.359569,22.4039,0.6218,1.011794,15.24,1.185386,-2.683087,-35.847149,0.529794,3.758201,6.921771,-9.702348,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,5f060ef0-dd31-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,127.61584,0.495969,,11.57681,,,,16.836427,-36.154091,3.460886,1.152353,0.960039,-4.851174,1.134469,-2.849742,1.879101,0.029695,0.486834,0.18167,274.126461,0.032709,34.968555,-6.423196,,,,,,,0.48798,0.395302,-4.882177,,,,,,,0.182121,24.479,-2.113041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
107,2020/8/13,53:20.2,2020/8/13,53:20.2,1,1,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Satoshi, Hayakawa",1000073995,Right,TOK,Undefined,4,Bottom,0,0,0,ChangeUp,Splitter,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,130.43335,1.129555,-2.713038,1029.95617,286.262731,3:30,1.515936,0.824374,1.675395,-112.387,-3.7257,23.2529,0.714504,0.282841,120.71904,-6.930928,-1.082846,0.470752,,,,,,,,,,,,-13.6326,-1.9445,-0.754047,15.24,1.536737,1.593104,-35.885895,0.246072,-2.318884,6.184258,-10.137411,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,aaf99200-dd31-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,128.85768,,,9.7143,,,,16.765568,-36.147842,3.092129,1.51722,0.675462,-5.068705,-0.823606,1.691325,-1.159442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
108,2020/8/13,53:31.5,2020/8/13,53:31.5,1,2,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Satoshi, Hayakawa",1000073995,Right,TOK,Undefined,4,Bottom,0,0,1,Slider,Curveball,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,,,130.94496,0.353833,-3.312239,2520.508836,7.056123,6:15,1.474694,0.857537,1.66082,-121.6947,-13.8032,-2.0687,0.358885,-0.109362,121.92707,-8.314064,-3.457044,0.469081,,,,,,,,,,,,-1.0021,-6.3307,-0.768157,15.24,1.474042,2.094305,-36.016902,-0.294503,-0.17209,6.079735,-10.893867,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,b1b470b0-dd31-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,129.3166,,,9.01788,,,,16.780015,-36.275929,3.039868,1.476702,0.169629,-5.446933,-0.857541,2.101637,-0.086045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
109,2020/8/13,53:45.7,2020/8/13,53:45.7,1,3,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Satoshi, Hayakawa",1000073995,Right,TOK,Undefined,4,Bottom,0,0,2,Slider,Curveball,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,,,127.08645,1.430323,-2.700342,2497.091362,17.896232,6:30,1.520982,0.846571,1.66789,-135.5826,-20.404,-7.6704,0.573665,-0.000921,117.47561,-8.253451,-3.237828,0.484664,127.42935,-5.669408,-36.279955,,,,,4.685417,,-33.972601,0.126809,2.0652,-10.3656,-0.773553,15.24,1.548075,1.683738,-34.945568,0.314396,0.3313,6.199244,-11.469485,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,ba2d7a20-dd31-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,125.15897,0.548214,,9.61083,,,,16.772978,-35.216464,3.099622,1.523386,0.815593,-5.734743,-0.846813,1.669261,0.16565,0.331687,0.548214,-0.127538,,0.331645,28.399681,-2.941446,,,,,,,0.54836,-3.51209,-6.414242,,,,,,,-0.127786,-20.817179,9.30564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
110,2020/8/13,54:15.9,2020/8/13,54:15.9,2,1,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Yucihi, Ishimoto",1000074001,Left,TOK,Undefined,4,Bottom,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,148.01375,-0.745839,-5.48626,2422.695722,233.472238,1:45,1.42706,0.84919,1.896817,-50.6202,33.2264,41.0174,0.710126,-0.288293,134.23344,-4.5266,-2.589049,0.413521,,,,,,,,,,,,-25.209,18.5903,-0.72611,15.24,1.406946,3.68511,-40.549684,-0.714334,-5.393986,9.111872,-5.828871,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,cc345860-dd31-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,146.69157,,,13.7803,,,,16.542672,-40.841357,4.555936,1.426826,-0.527751,-2.914435,-0.846834,3.857772,-2.696993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
111,2020/8/13,54:29.0,2020/8/13,54:29.0,2,2,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Yucihi, Ishimoto",1000074001,Left,TOK,Undefined,4,Bottom,1,1,0,ChangeUp,Splitter,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,131.98009,1.864023,-2.628831,1098.17605,306.795644,4:15,1.482953,0.850632,1.672733,-114.6298,-8.2903,15.1176,0.86892,0.251684,121.85985,-6.356755,-1.569786,0.465695,,,,,,,,,,,,-9.2757,-4.3565,-0.78166,15.24,1.523425,1.591947,-36.289228,0.692519,-1.612864,6.347648,-10.564161,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,d3fef960-dd31-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,130.2568,,,10.12023,,,,16.767635,-36.555463,3.173824,1.485088,1.135603,-5.28208,-0.849848,1.659594,-0.806432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
112,2020/8/13,54:42.9,2020/8/13,54:42.9,2,3,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Yucihi, Ishimoto",1000074001,Left,TOK,Undefined,4,Bottom,1,1,1,Slider,Slider,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,131.63837,1.295394,-2.357961,2365.920664,41.588092,7:30,1.47378,0.863508,1.605103,-116.4626,-8.6084,-10.3615,0.680436,0.084368,121.69471,-7.013752,-3.081008,0.469,,,,,,,,,,,,3.6934,-4.3908,-0.796774,15.24,1.499445,1.541148,-36.200972,0.314308,0.637838,6.44523,-10.564927,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,dc490390-dd31-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,129.33891,,,9.94366,,,,16.835596,-36.483946,3.222615,1.475463,0.778155,-5.282464,-0.863823,1.513144,0.318919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
113,2020/8/13,55:08.0,2020/8/13,55:08.0,2,4,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Yucihi, Ishimoto",1000074001,Left,TOK,Undefined,4,Bottom,1,1,2,ChangeUp,Splitter,BallinDirt,Undefined,Undefined,,Undefined,0,0,,,,133.86166,-1.167284,-3.508654,1003.468252,270.248267,3:00,1.489431,0.848008,1.675195,-100.9475,2.9912,39.0058,0.14649,0.236489,123.48433,-8.406188,-0.773002,0.460408,,,,,,,,,,,,-22.2069,3.1612,-0.757703,15.24,1.449984,2.06596,-36.775346,-1.176261,-3.94333,6.896959,-9.2453,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,eb375730-dd31-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,131.75259,,,10.37733,,,,16.765379,-37.060316,3.448479,1.490693,-0.794262,-4.62265,-0.84643,2.228892,-1.971665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
114,2020/8/13,55:24.4,2020/8/13,55:24.4,2,5,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Yucihi, Ishimoto",1000074001,Left,TOK,Undefined,4,Bottom,1,2,2,Fastball,Sinker,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,,,145.46789,-0.785652,-5.215137,2395.611363,233.146494,1:45,1.431463,0.853195,1.954248,-51.6593,34.3516,41.9817,0.693776,-0.192484,132.12778,-4.656584,-2.236698,0.418824,125.67117,50.855328,-1.333863,4527.358045,33.375271,31.775466,-3.196457,71.792028,,-9.621523,5.397439,-25.796,19.3637,-0.741479,15.24,1.411419,3.440085,-39.891364,-0.72716,-5.344353,8.781388,-5.794922,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,f5047ef0-dd31-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,144.83413,32.504862,,13.3401,,,,16.485628,-40.164631,4.390694,1.431242,-0.546828,-2.897461,-0.851119,3.606395,-2.672176,0.350739,0.637316,0.200582,168.970006,0.351831,22.009707,-5.175875,1.461929,-0.271653,0.033321,-0.003003,0.000262,-1.4e-05,0.638144,27.056114,-6.591486,0.339741,0.080142,-0.056171,0.0133,-0.001422,5.8e-05,0.200715,-0.515316,-0.785647,0.174015,-0.027443,0.004009,-0.000776,0.00011,-6e-06,,,,,,,,,,,,,,,,,,,,,,,20S
115,2020/8/13,55:56.0,2020/8/13,55:56.0,3,1,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Toshiki, Oka",1000073905,Right,TOK,Undefined,4,Bottom,2,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,146.72111,-1.229995,-3.519865,1236.013462,232.965312,1:45,1.460391,0.880642,1.79712,-48.0945,39.4141,47.6942,0.630677,0.360298,130.97683,-4.855145,-0.15597,0.422455,,,,,,,,,,,,-27.8571,22.2815,-0.797681,15.24,1.42697,2.229824,-40.218559,-1.041374,-5.747455,10.535467,-5.209546,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,07d4a0a0-dd32-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,143.58935,,,15.74428,,,,16.642551,-40.584301,5.267733,1.459982,-0.860523,-2.604773,-0.878554,2.429349,-2.873727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
116,2020/8/13,56:11.4,2020/8/13,56:11.4,3,2,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Toshiki, Oka",1000073905,Right,TOK,Undefined,4,Bottom,2,1,0,Fastball,Sinker,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,,,145.7878,-0.195443,-3.894703,2392.134184,233.807443,1:45,1.433759,0.867323,1.805209,-48.7674,39.2144,49.1477,0.890679,0.255549,130.81554,-3.862695,-0.429497,0.423595,124.41179,32.804838,-41.79219,3032.436713,23.04844,16.496079,-24.349413,79.833368,,-51.704144,3.927463,-28.4096,21.1651,-0.775589,15.24,1.425724,2.465766,-39.975517,-0.313742,-5.837953,9.784388,-5.4574,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,1100f480-dd32-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,143.2027,17.682991,,14.97226,,,,16.63417,-40.315309,4.892194,1.433328,-0.124218,-2.7287,-0.86474,2.668507,-2.918976,0.472317,0.892272,-0.241712,139.043908,0.472291,21.656348,-5.087139,1.287427,-0.23108,0.02666,-0.001688,4.6e-05,0.0,0.892322,18.722805,-5.712577,0.350421,-0.065463,0.017782,-0.004645,0.000814,-5.8e-05,-0.241712,-19.358411,1.437116,-0.226858,0.037049,-0.009752,0.002813,-0.000439,2.6e-05,,,,,,,,,,,,,,,,,,,,,,,20S
117,2020/8/13,56:32.4,2020/8/13,56:32.4,3,3,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Toshiki, Oka",1000073905,Right,TOK,Undefined,4,Bottom,2,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,130.72838,1.803466,-3.409141,2543.11844,13.560021,6:30,1.476577,0.858886,1.681895,-125.5613,-16.7073,-4.797,0.736006,-0.161787,120.52172,-7.183696,-3.744864,0.471169,,,,,,,,,,,,0.1281,-8.6615,-0.767928,15.24,1.514371,2.162422,-35.912609,0.601705,0.021712,6.525758,-11.274547,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,1d9097a0-dd32-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,128.74356,,,10.20666,,,,16.758648,-36.187514,3.262879,1.479019,1.076657,-5.637274,-0.859003,2.161508,0.010856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
118,2020/8/13,56:50.4,2020/8/13,56:50.4,3,4,"Masaya, Nishigaki",1000073939,Right,WAS_EDA,"Toshiki, Oka",1000073905,Right,TOK,Undefined,4,Bottom,2,1,2,ChangeUp,Splitter,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,,,135.18728,1.249412,-3.881839,1091.002626,279.195892,3:15,1.503825,0.831359,1.685918,-102.0526,-0.0194,19.4216,0.84015,-0.082115,123.95885,-6.098122,-2.522929,0.456168,,,,,,,,,,,,-12.4333,0.1466,-0.730051,15.24,1.528818,2.420256,-37.107305,0.373172,-2.245807,7.084352,-9.780172,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,28411a80-dd32-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Hisashige, Iwamoto",1000074023,Right,WAS_EDA,132.97718,,,11.22843,,,,16.753998,-37.395234,3.542176,1.505574,0.770666,-4.890086,-0.830272,2.511532,-1.122903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.75183,2.726484,1.406464,1.32002,-0.522641,0.734148,0.123505,-1.22495,1.576447,1.414842,21.894414,1.404492,16.138321,-1.19231,19.233355,-1.317717,1.600765,5.53303,-4.300966,1.42383,11.738314,-0.446939,20S
119,2020/8/13,58:48.0,2020/8/13,58:48.0,1,1,"Sou, Komune",1000073943,Left,TOK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,5,Top,0,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,115.17904,3.403486,3.153189,2528.725027,285.114751,3:30,1.176412,-1.103309,1.398217,-148.3439,-3.1417,26.8452,0.682428,0.080292,106.41781,-7.055088,4.996536,0.544178,,,,,,,,,,,,-11.0525,-2.4859,1.000752,15.24,1.267216,-1.865217,-31.57124,1.267181,-1.452602,4.872373,-10.133372,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,6e5b6c50-dd32-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,111.47081,,,8.76122,,,,17.042177,-31.848155,2.436187,1.178832,1.843097,-5.066686,1.104413,-1.782661,-0.726301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
120,2020/8/13,59:00.1,2020/8/13,59:00.1,1,2,"Sou, Komune",1000073943,Left,TOK,"Takuya, Nakagawa",1000074092,Left,WAS_EDA,Undefined,5,Top,0,0,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,127.12574,1.762517,3.572117,1970.186291,104.391311,9:30,1.136708,-1.076952,1.630726,-105.8818,9.0863,-23.091,0.582895,-0.285346,117.67387,-5.831389,1.9615,0.484221,,,,,,,,,,,,13.723,4.5161,0.980891,15.24,1.176034,-2.06998,-34.926036,0.643574,2.220496,5.596621,-9.075901,TOK,WAS_EDA,JinguStadium,TeamExclusive,Team,20200813-JinguStadium-2,758adec0-dd32-11ea-bd47-6906dd4eb628,e706b3c0-8a59-453b-81ef-ccfd7dc961f8,v3,,,,"Shuhei, Oto",1000073866,Right,TOK,125.27347,,,9.45188,,,,16.809454,-35.176629,2.79831,1.13812,1.049956,-4.537951,1.075802,-2.169405,1.110248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20S
