count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji
10,10.0,10.0,2025/8/22,-207.4126932,-207.4126932,1755826090,3.0,1.0,pos1,Right,東農大,3,大沼,Right,TOK,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,120.0,1.063,0.387,,,東農大,#007843,東農大,TOK,#217fc4,東大, 東農大_120,B,夏季オープン戦,Normal,1,榎本,,,Nothing,,,,,,2523320010,ボール,,2171,https://youtu.be/OfHdeCc7qTE&t=2171,674.0,https://youtu.be/Dhmv7cfl-8A&t=674,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,榎本,大沼,スタンリー,小村,堀端,石川,大山,阿部","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,大山,石川,阿部,大沼,小村,安田,榎本,堀端","R,L,R,L,R,L,R,R,R,R","R,L,L,R,R,L,L,R,R,R","Onuma, Atomu","Yoshinobu, Enomoto",,,,,,,,,,,,,,
11,11.0,11.0,2025/8/22,-192.7659831,-192.7659831,1755826104,3.0,2.0,pos1,Right,東農大,3,大沼,Right,TOK,1,Top,1,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,131.0,0.702,-0.164,,,東農大,#007843,東農大,TOK,#217fc4,東大, 東農大_120,B,夏季オープン戦,Normal,1,榎本,,,Nothing,,,,,,2523320011,見逃し,,2185,https://youtu.be/OfHdeCc7qTE&t=2185,688.0,https://youtu.be/Dhmv7cfl-8A&t=688,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,榎本,大沼,スタンリー,小村,堀端,石川,大山,阿部","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,大山,石川,阿部,大沼,小村,安田,榎本,堀端","R,L,R,L,R,L,R,R,R,R","R,L,L,R,R,L,L,R,R,R","Onuma, Atomu","Yoshinobu, Enomoto",,,,,,,,,,,,,,
12,12.0,12.0,2025/8/22,-176.948056,-176.948056,1755826120,3.0,3.0,pos1,Right,東農大,3,大沼,Right,TOK,1,Top,1,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,114.0,0.397,0.4,,,東農大,#007843,東農大,TOK,#217fc4,東大, 東農大_120,B,夏季オープン戦,Normal,1,榎本,,,Nothing,,,,,,2523320012,ボール,,2201,https://youtu.be/OfHdeCc7qTE&t=2201,704.0,https://youtu.be/Dhmv7cfl-8A&t=704,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,榎本,大沼,スタンリー,小村,堀端,石川,大山,阿部","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,大山,石川,阿部,大沼,小村,安田,榎本,堀端","R,L,R,L,R,L,R,R,R,R","R,L,L,R,R,L,L,R,R,R","Onuma, Atomu","Yoshinobu, Enomoto",,,,,,,,,,,,,,
13,13.0,13.0,2025/8/22,-155.0003481,-155.0003481,1755826142,3.0,4.0,pos1,Right,東農大,3,大沼,Right,TOK,1,Top,1,2,1,Slider,FoulBall,Undefined,LineDrive,Undefined,0,0,,119.0,0.578,-0.136,73.9942734,70.19252713,東農大,#007843,東農大,TOK,#217fc4,東大, 東農大_120,B,夏季オープン戦,Normal,1,榎本,,,Undefined,,,,,,2523320013,ファール,,2223,https://youtu.be/OfHdeCc7qTE&t=2223,726.0,https://youtu.be/Dhmv7cfl-8A&t=726,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,榎本,大沼,スタンリー,小村,堀端,石川,大山,阿部","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,大山,石川,阿部,大沼,小村,安田,榎本,堀端","R,L,R,L,R,L,R,R,R,R","R,L,L,R,R,L,L,R,R,R","Onuma, Atomu","Yoshinobu, Enomoto",,,,,,,,,,,,,,
14,14.0,14.0,2025/8/22,-137.1888621,-137.1888621,1755826160,3.0,5.0,pos1,Right,東農大,3,大沼,Right,TOK,1,Top,1,2,2,Fastball,FoulBall,Undefined,LineDrive,Undefined,0,0,,131.0,0.478,-0.212,71.15200789,74.11986122,東農大,#007843,東農大,TOK,#217fc4,東大, 東農大_120,B,夏季オープン戦,Normal,1,榎本,,,Undefined,,,,,,2523320014,ファール,,2241,https://youtu.be/OfHdeCc7qTE&t=2241,737.0,https://youtu.be/Dhmv7cfl-8A&t=737,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,榎本,大沼,スタンリー,小村,堀端,石川,大山,阿部","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,大山,石川,阿部,大沼,小村,安田,榎本,堀端","R,L,R,L,R,L,R,R,R,R","R,L,L,R,R,L,L,R,R,R","Onuma, Atomu","Yoshinobu, Enomoto",,,,,,,,,,,,,,
15,15.0,15.0,2025/8/22,-122.159301,-122.159301,1755826175,3.0,6.0,pos1,Right,東農大,3,大沼,Right,TOK,1,Top,1,2,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,124.0,-0.01,-0.313,,,東農大,#007843,東農大,TOK,#217fc4,東大, 東農大_120,B,夏季オープン戦,Normal,1,榎本,,,Nothing,,,,,,2523320015,ボール,,2256,https://youtu.be/OfHdeCc7qTE&t=2256,752.0,https://youtu.be/Dhmv7cfl-8A&t=752,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,榎本,大沼,スタンリー,小村,堀端,石川,大山,阿部","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,大山,石川,阿部,大沼,小村,安田,榎本,堀端","R,L,R,L,R,L,R,R,R,R","R,L,L,R,R,L,L,R,R,R","Onuma, Atomu","Yoshinobu, Enomoto",,,,,,,,,,,,,,
16,16.0,16.0,2025/8/22,-108.071619,-108.071619,1755826189,3.0,7.0,pos1,Right,東農大,3,大沼,Right,TOK,1,Top,1,3,2,Fastball,FoulBall,Undefined,LineDrive,Undefined,0,0,,119.0,0.654,0.06,76.04213993,61.24763157,東農大,#007843,東農大,TOK,#217fc4,東大, 東農大_120,B,夏季オープン戦,Normal,1,榎本,,,Undefined,,,,,,2523320016,ファール,,2270,https://youtu.be/OfHdeCc7qTE&t=2270,753.0,https://youtu.be/Dhmv7cfl-8A&t=753,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,榎本,大沼,スタンリー,小村,堀端,石川,大山,阿部","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,大山,石川,阿部,大沼,小村,安田,榎本,堀端","R,L,R,L,R,L,R,R,R,R","R,L,L,R,R,L,L,R,R,R","Onuma, Atomu","Yoshinobu, Enomoto",,,,,,,,,,,,,,
17,17.0,17.0,2025/8/22,-58.91899416,-58.91899416,1755826238,3.0,8.0,pos1,Right,東農大,3,大沼,Right,TOK,1,Top,1,3,2,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,A2SR1,,0.67,0.116,72.37425705,60.71857294,東農大,#007843,東農大,TOK,#217fc4,東大, 東農大_120,B,夏季オープン戦,Normal,1,榎本,,,Undefined,,,,,,2523320017,ファール,,2319,https://youtu.be/OfHdeCc7qTE&t=2319,791.0,https://youtu.be/Dhmv7cfl-8A&t=791,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,榎本,大沼,スタンリー,小村,堀端,石川,大山,阿部","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,大山,石川,阿部,大沼,小村,安田,榎本,堀端","R,L,R,L,R,L,R,R,R,R","R,L,L,R,R,L,L,R,R,R","Onuma, Atomu","Yoshinobu, Enomoto",,,,,,,,,,,,,,
18,,,2025/8/22,-47.63342997,-47.63342997,1755826250,,,pos1,Right,東農大,3,大沼,Right,TOK,1,Top,1,3,2,,,,,,0,0,,,,,,,東農大,#007843,東農大,TOK,#217fc4,東大, 東農大_120,B,夏季オープン戦,Normal,1,榎本,,,PickOff,,,,"1,3","1,3",2523320018,牽制,,2331,https://youtu.be/OfHdeCc7qTE&t=2331,803.0,https://youtu.be/Dhmv7cfl-8A&t=803,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,榎本,大沼,スタンリー,小村,堀端,石川,大山,阿部","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,大山,石川,阿部,大沼,小村,安田,榎本,堀端","R,L,R,L,R,L,R,R,R,R","R,L,L,R,R,L,L,R,R,R","Onuma, Atomu","Yoshinobu, Enomoto",,,,,,,,,,,,,,
19,18.0,18.0,2025/8/22,-31.62070104,-31.62070104,1755826266,3.0,9.0,pos1,Right,東農大,3,大沼,Right,TOK,1,Top,1,3,2,Fastball,FoulBall,Undefined,GroundBall,Undefined,0,0,A2SR1,132.0,0.654,-0.084,16.2456281,-150.6422465,東農大,#007843,東農大,TOK,#217fc4,東大, 東農大_120,B,夏季オープン戦,Normal,1,榎本,,,Undefined,,,,,,2523320019,ファール,,2347,https://youtu.be/OfHdeCc7qTE&t=2347,805.0,https://youtu.be/Dhmv7cfl-8A&t=805,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,榎本,大沼,スタンリー,小村,堀端,石川,大山,阿部","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","池田,大山,石川,阿部,大沼,小村,安田,榎本,堀端","R,L,R,L,R,L,R,R,R,R","R,L,L,R,R,L,L,R,R,R","Onuma, Atomu","Yoshinobu, Enomoto",,,,,,,,,,,,,,
