count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,runevent_romaji,scored_person_romaji,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji
0,1.0,1.0,2025/3/12,1216.821119,927.8211226,1741742045,1.0,1.0,pos1,Right,GXAスカイホークス,1,安田,Left,TOK,1,Top,0,0,0,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2507020000,ボール,,1214.0,https://youtu.be/Jyu6IJPUpVs&t=1214,29.0,https://youtu.be/aTQ94zDNQF8&t=29,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Ken, Yasuda",,,,,,,,,,,,,,,
1,2.0,2.0,2025/3/12,1216.821119,927.8211226,1741742045,1.0,2.0,pos1,Right,GXAスカイホークス,1,安田,Left,TOK,1,Top,0,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,125.0,,,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2507020001,ボール,,1214.0,https://youtu.be/Jyu6IJPUpVs&t=1214,29.0,https://youtu.be/aTQ94zDNQF8&t=29,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Ken, Yasuda",,,,,,,,,,,,,,,
2,3.0,3.0,2025/3/12,1229.348847,940.3488479,1741742058,1.0,3.0,pos1,Right,GXAスカイホークス,1,安田,Left,TOK,1,Top,0,2,0,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,123.0,0.59,-0.327,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2507020002,ボール,,1227.0,https://youtu.be/Jyu6IJPUpVs&t=1227,41.0,https://youtu.be/aTQ94zDNQF8&t=41,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Ken, Yasuda",,,,,,,,,,,,,,,
3,4.0,4.0,2025/3/12,1243.707947,954.7079487,1741742072,1.0,4.0,pos1,Right,GXAスカイホークス,1,安田,Left,TOK,1,Top,0,3,0,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,,1.17,0.5,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2507020003,四球,,1241.0,https://youtu.be/Jyu6IJPUpVs&t=1241,55.0,https://youtu.be/aTQ94zDNQF8&t=55,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Ken, Yasuda",,,,,,,,,,,,,,,
4,5.0,5.0,2025/3/12,1257.917696,968.917697,1741742086,2.0,1.0,pos1,Right,GXAスカイホークス,2,岡林,Left,TOK,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,1.17,0.204,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,1,安田,,,Nothing,,,,,,2507020004,ボール,,1255.0,https://youtu.be/Jyu6IJPUpVs&t=1255,70.0,https://youtu.be/aTQ94zDNQF8&t=70,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Yuna, Okabayashi","Ken, Yasuda",,,,,,,,,,,,,,
5,,,2025/3/12,1285.949437,996.9494379,1741742114,,,pos1,Right,GXAスカイホークス,2,岡林,Left,TOK,1,Top,0,1,0,,,,,,0,0,,,,,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,1,安田,,,PickOff,,,,"1,3","1,3",2507020005,牽制,,1283.0,https://youtu.be/Jyu6IJPUpVs&t=1283,94.0,https://youtu.be/aTQ94zDNQF8&t=94,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Yuna, Okabayashi","Ken, Yasuda",,,,,,,,,,,,,,
6,6.0,6.0,2025/3/12,1298.352433,1009.352434,1741742127,2.0,2.0,pos1,Right,GXAスカイホークス,2,岡林,Left,TOK,1,Top,0,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,A2B,,0.53,0.276,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,1,安田,,,StolenBase,安田,,,,,2507020006,見逃し[盗塁],,1296.0,https://youtu.be/Jyu6IJPUpVs&t=1296,106.0,https://youtu.be/aTQ94zDNQF8&t=106,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Yuna, Okabayashi","Ken, Yasuda",,,,,,,,,,,,,,
7,7.0,7.0,2025/3/12,1348.468089,1059.46809,1741742177,2.0,3.0,pos1,Right,GXAスカイホークス,2,岡林,Left,TOK,1,Top,0,1,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.666,0.272,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,2,,安田,,Nothing,,,,,,2507020007,見逃し,,1346.0,https://youtu.be/Jyu6IJPUpVs&t=1346,135.0,https://youtu.be/aTQ94zDNQF8&t=135,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Yuna, Okabayashi",,"Ken, Yasuda",,,,,,,,,,,,,
8,8.0,8.0,2025/3/12,1371.512687,1082.512688,1741742200,2.0,4.0,pos1,Right,GXAスカイホークス,2,岡林,Left,TOK,1,Top,0,1,2,Fastball,InPlay,Undefined,GroundBall,Double,0,1,,,0.81,0.224,64.46963224,43.70225932,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,2,,安田,,Undefined,,,安田,9,9,2507020008,右2①,,1369.0,https://youtu.be/Jyu6IJPUpVs&t=1369,158.0,https://youtu.be/aTQ94zDNQF8&t=158,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Yuna, Okabayashi",,"Ken, Yasuda",,,"Ken, Yasuda",,,,,,,,,,
9,9.0,9.0,2025/3/12,1418.640344,1129.640345,1741742247,3.0,1.0,pos1,Right,GXAスカイホークス,3,横井,Right,TOK,1,Top,0,0,0,Fastball,HitByPitch,Undefined,Undefined,Undefined,0,0,,,1.006,0.713,,,GXAスカイホークス,#050505,GXA,TOK,#217fc4,東大,大和,B,春季オープン戦,Normal,2,,岡林,,Nothing,,,,,,2507020009,死球,,1416.0,https://youtu.be/Jyu6IJPUpVs&t=1416,205.0,https://youtu.be/aTQ94zDNQF8&t=205,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","安田,岡林,横井,スタンリー,深見,山本,石川,塗師,小田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","永島,深見,横井,塗師,石川,小田,山本,岡林,安田","R,R,R,R,R,R,R,R,R,R","R,L,L,R,R,L,R,R,R,R","Shuntaro, Yokoi",,"Yuna, Okabayashi",,,,,,,,,,,,,
