count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,run_person_romaji,scored_person_romaji,error_person_romaji,No,Player ID,Pitcher_rapsodo_pitch,MLB ID,Date_rapsodo_pitch,Pitch ID,TaggedPitchType_rapsodo_pitch,IsStrike,PlateLocSide_rapsodo_pitch,PlateLocHeight_rapsodo_pitch,RelSpeed_rapsodo_pitch,SpinRate,TrueSpin,SpinEfficiency,Tilt,Spin Confidence,Extension,InducedVertBreak,HorzBreak,VB (spin),HB (spin),HorizontalRelAngle,RelAngle,RelHeight,RelSide,GyroDegree,Unique ID,Device Serial Number,HorzApprAngle,VertApprAngle,Session Name,Intent Type,unixtime,No_rapsodo_hit,Player ID_rapsodo_hit,Batter_rapsodo_hit,MLB ID_rapsodo_hit,Date_rapsodo_hit,HitID,ExitSpeed,RelSpeed_rapsodo_hit,Angle,Direction,HitSpinRate,Distance,HitSpinTilt,SpinConfidence,PlateLocSide_rapsodo_hit,PlateLocHeight_rapsodo_hit,ContactDepth,Batname,SerialNumber,Unique ID_rapsodo_hit,Session Name_rapsodo_hit,unixtime_rapsodo_hit,RelSpeed_opensen
0,1.0,1.0,2025/8/22,1942.488886,842.4888883,1755826056,1.0,1.0,江口,Right,TOK,1,當山,Left,東京農業大,1,Top,0,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.642,0.24,,,TOK,#217fc4,東大,東京農業大,#004040,東農大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523300000,見逃し,,1932,https://youtu.be/aj-tAgL9dwU&t=1932,1047,https://youtu.be/Lw74doyJ1kY&t=1047,明石,秋元,井之口,青貝,樋口,大原,酒井,伊藤,"酒井,樋口,秋元,大原,工藤,青貝,伊藤,井之口,明石","當山,小幡,齋藤優,北條,酒井大,瀬井,山田愼,村山,小野原","江口,明石,秋元,井之口,青貝,樋口,大原,酒井,伊藤","大場,小幡,齋藤優,北條,酒井大,瀬井,山田愼,村山,小野原","R,L,R,R,R,R,R,R,L,L","R,L,L,R,L,R,L,R,L,L","Naoki, Eguchi","Ken, Akashi","Ryo, Akimoto","Koji, Inokuchi","Naomasa, Aogai","Kosuke, Higuchi","Kaiki, Ohara","Suguru, Sakai","Koichiro, Ito",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,2.0,2025/8/22,1942.488886,842.4888883,1755826056,1.0,2.0,江口,Right,TOK,1,當山,Left,東京農業大,1,Top,0,0,1,Fastball,InPlay,Undefined,LineDrive,Out,1,0,,,0.562,0.088,83.78412024,-0.806929455,TOK,#217fc4,東大,東京農業大,#004040,東農大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Undefined,,,,8,8,2523300001,中直,,1940,https://youtu.be/aj-tAgL9dwU&t=1940,1058,https://youtu.be/Lw74doyJ1kY&t=1058,明石,秋元,井之口,青貝,樋口,大原,酒井,伊藤,"酒井,樋口,秋元,大原,工藤,青貝,伊藤,井之口,明石","當山,小幡,齋藤優,北條,酒井大,瀬井,山田愼,村山,小野原","江口,明石,秋元,井之口,青貝,樋口,大原,酒井,伊藤","大場,小幡,齋藤優,北條,酒井大,瀬井,山田愼,村山,小野原","R,L,R,R,R,R,R,R,L,L","R,L,L,R,L,R,L,R,L,L","Naoki, Eguchi","Ken, Akashi","Ryo, Akimoto","Koji, Inokuchi","Naomasa, Aogai","Kosuke, Higuchi","Kaiki, Ohara","Suguru, Sakai","Koichiro, Ito",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,3.0,2025/8/22,1965.740103,865.7401056,1755826079,2.0,1.0,江口,Right,TOK,2,小幡,Left,東京農業大,1,Top,1,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,117.89,0.522,0.36,,,TOK,#217fc4,東大,東京農業大,#004040,東農大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523300002,見逃し,,1963,https://youtu.be/aj-tAgL9dwU&t=1963,1073,https://youtu.be/Lw74doyJ1kY&t=1073,明石,秋元,井之口,青貝,樋口,大原,酒井,伊藤,"酒井,樋口,秋元,大原,工藤,青貝,伊藤,井之口,明石","當山,小幡,齋藤優,北條,酒井大,瀬井,山田愼,村山,小野原","江口,明石,秋元,井之口,青貝,樋口,大原,酒井,伊藤","大場,小幡,齋藤優,北條,酒井大,瀬井,山田愼,村山,小野原","R,L,R,R,R,R,R,R,L,L","R,L,L,R,L,R,L,R,L,L","Naoki, Eguchi","Ken, Akashi","Ryo, Akimoto","Koji, Inokuchi","Naomasa, Aogai","Kosuke, Higuchi","Kaiki, Ohara","Suguru, Sakai","Koichiro, Ito",,,,,,,,490.0,1090463.0,Naoki Eguchi,,1755793684.0,1755826084.0,ChangeUp,N,0.3616,0.6246,117.89,1638.98,1616.7,98.64,01:26,1.0,,25.2,24.9,36.6,35.9,-0.92,-0.37,1.68,0.36,-9.45,1090463@1755826084,V3P4DLKO0850A,1.063622,-7.9450293,untitled,,1755826084.0,572.0,972881.0,TokyoBBC Right,,1755793683.0,1755826083.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972881@1755826083,untitled,1755826083.0,
3,4.0,4.0,2025/8/22,1976.761356,876.7613606,1755826090,2.0,2.0,江口,Right,TOK,2,小幡,Left,東京農業大,1,Top,1,0,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,102.63,0.554,0.024,,,TOK,#217fc4,東大,東京農業大,#004040,東農大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523300003,見逃し,,1974,https://youtu.be/aj-tAgL9dwU&t=1974,1084,https://youtu.be/Lw74doyJ1kY&t=1084,明石,秋元,井之口,青貝,樋口,大原,酒井,伊藤,"酒井,樋口,秋元,大原,工藤,青貝,伊藤,井之口,明石","當山,小幡,齋藤優,北條,酒井大,瀬井,山田愼,村山,小野原","江口,明石,秋元,井之口,青貝,樋口,大原,酒井,伊藤","大場,小幡,齋藤優,北條,酒井大,瀬井,山田愼,村山,小野原","R,L,R,R,R,R,R,R,L,L","R,L,L,R,L,R,L,R,L,L","Naoki, Eguchi","Ken, Akashi","Ryo, Akimoto","Koji, Inokuchi","Naomasa, Aogai","Kosuke, Higuchi","Kaiki, Ohara","Suguru, Sakai","Koichiro, Ito",,,,,,,,489.0,1090463.0,Naoki Eguchi,,1755793693.0,1755826093.0,Curveball,Y,0.0901,0.9016,102.63,2096.12,1725.3,82.31,06:48,1.0,,,,-46.7,-23.1,-0.2,3.79,1.69,0.42,34.61,1090463@1755826093,V3P4DLKO0850A,-2.4254391,-10.634277,untitled,,1755826093.0,571.0,972881.0,TokyoBBC Right,,1755793692.0,1755826092.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972881@1755826092,untitled,1755826092.0,
4,5.0,5.0,2025/8/22,1985.140991,885.1409941,1755826099,2.0,3.0,江口,Right,TOK,2,小幡,Left,東京農業大,1,Top,1,0,2,Fastball,FoulBall,Undefined,GroundBall,Undefined,0,0,,136.46,0.914,0.256,17.13201604,-87.03906387,TOK,#217fc4,東大,東京農業大,#004040,東農大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Undefined,,,,,,2523300004,ファール,,1983,https://youtu.be/aj-tAgL9dwU&t=1983,1092,https://youtu.be/Lw74doyJ1kY&t=1092,明石,秋元,井之口,青貝,樋口,大原,酒井,伊藤,"酒井,樋口,秋元,大原,工藤,青貝,伊藤,井之口,明石","當山,小幡,齋藤優,北條,酒井大,瀬井,山田愼,村山,小野原","江口,明石,秋元,井之口,青貝,樋口,大原,酒井,伊藤","大場,小幡,齋藤優,北條,酒井大,瀬井,山田愼,村山,小野原","R,L,R,R,R,R,R,R,L,L","R,L,L,R,L,R,L,R,L,L","Naoki, Eguchi","Ken, Akashi","Ryo, Akimoto","Koji, Inokuchi","Naomasa, Aogai","Kosuke, Higuchi","Kaiki, Ohara","Suguru, Sakai","Koichiro, Ito",,,,,,,,488.0,1090463.0,Naoki Eguchi,,1755793702.0,1755826102.0,Fastball,N,0.1739,1.1532,136.46,2083.61,2052.6,98.51,01:04,1.0,,52.4,16.6,44.7,28.9,-1.34,-0.61,1.72,0.37,9.9,1090463@1755826102,V3P4DLKO0850A,-0.043592364,-3.7379773,untitled,,1755826102.0,570.0,972881.0,TokyoBBC Right,,1755793702.0,1755826102.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972881@1755826102,untitled,1755826102.0,
5,6.0,6.0,2025/8/22,1998.890583,898.8905854,1755826113,2.0,4.0,江口,Right,TOK,2,小幡,Left,東京農業大,1,Top,1,0,2,Sinker,InPlay,Undefined,Popup,Out,1,0,,121.43,0.602,0.092,27.19629633,24.34108994,TOK,#217fc4,東大,東京農業大,#004040,東農大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Undefined,,,,4,4,2523300005,二飛,,1996,https://youtu.be/aj-tAgL9dwU&t=1996,1100,https://youtu.be/Lw74doyJ1kY&t=1100,明石,秋元,井之口,青貝,樋口,大原,酒井,伊藤,"酒井,樋口,秋元,大原,工藤,青貝,伊藤,井之口,明石","當山,小幡,齋藤優,北條,酒井大,瀬井,山田愼,村山,小野原","江口,明石,秋元,井之口,青貝,樋口,大原,酒井,伊藤","大場,小幡,齋藤優,北條,酒井大,瀬井,山田愼,村山,小野原","R,L,R,R,R,R,R,R,L,L","R,L,L,R,L,R,L,R,L,L","Naoki, Eguchi","Ken, Akashi","Ryo, Akimoto","Koji, Inokuchi","Naomasa, Aogai","Kosuke, Higuchi","Kaiki, Ohara","Suguru, Sakai","Koichiro, Ito",,,,,,,,487.0,1090463.0,Naoki Eguchi,,1755793716.0,1755826116.0,ChangeUp,Y,0.0023,0.4997,121.43,1868.54,1855.9,99.33,01:30,1.0,1.7343597,24.2,30.6,42.8,44.8,-2.41,-0.6,1.69,0.38,-6.66,1090463@1755826116,V3P4DLKO0850A,-0.14316802,-8.124423,untitled,,1755826116.0,569.0,972881.0,TokyoBBC Right,,1755793715.0,1755826115.0,114.8,,61.9,18.8,3667.9243,310.6,11:56,1.0,0.0,0.0,0.0,,V3P4DLKO0850A,972881@1755826115,untitled,1755826115.0,
6,7.0,7.0,2025/8/22,2028.129364,928.1293669,1755826142,3.0,1.0,江口,Right,TOK,3,齋藤優,Right,東京農業大,1,Top,2,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,1.19,-0.3,,,TOK,#217fc4,東大,東京農業大,#004040,東農大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523300006,ボール,,2026,https://youtu.be/aj-tAgL9dwU&t=2026,1120,https://youtu.be/Lw74doyJ1kY&t=1120,明石,秋元,井之口,青貝,樋口,大原,酒井,伊藤,"酒井,樋口,秋元,大原,工藤,青貝,伊藤,井之口,明石","當山,小幡,齋藤優,北條,酒井大,瀬井,山田愼,村山,小野原","江口,明石,秋元,井之口,青貝,樋口,大原,酒井,伊藤","大場,小幡,齋藤優,北條,酒井大,瀬井,山田愼,村山,小野原","R,L,R,R,R,R,R,R,L,L","R,L,L,R,L,R,L,R,L,L","Naoki, Eguchi","Ken, Akashi","Ryo, Akimoto","Koji, Inokuchi","Naomasa, Aogai","Kosuke, Higuchi","Kaiki, Ohara","Suguru, Sakai","Koichiro, Ito",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8.0,8.0,2025/8/22,2037.064399,937.0644035,1755826151,3.0,2.0,江口,Right,TOK,3,齋藤優,Right,東京農業大,1,Top,2,1,0,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,135.58,0.922,0.016,32.55279525,75.83783194,TOK,#217fc4,東大,東京農業大,#004040,東農大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Undefined,,,,,,2523300007,ファール,,2035,https://youtu.be/aj-tAgL9dwU&t=2035,1129,https://youtu.be/Lw74doyJ1kY&t=1129,明石,秋元,井之口,青貝,樋口,大原,酒井,伊藤,"酒井,樋口,秋元,大原,工藤,青貝,伊藤,井之口,明石","當山,小幡,齋藤優,北條,酒井大,瀬井,山田愼,村山,小野原","江口,明石,秋元,井之口,青貝,樋口,大原,酒井,伊藤","大場,小幡,齋藤優,北條,酒井大,瀬井,山田愼,村山,小野原","R,L,R,R,R,R,R,R,L,L","R,L,L,R,L,R,L,R,L,L","Naoki, Eguchi","Ken, Akashi","Ryo, Akimoto","Koji, Inokuchi","Naomasa, Aogai","Kosuke, Higuchi","Kaiki, Ohara","Suguru, Sakai","Koichiro, Ito",,,,,,,,486.0,1090463.0,Naoki Eguchi,,1755793756.0,1755826156.0,Fastball,Y,-0.0242,0.8295999999999999,135.58,2010.64,2010.0,99.97,00:52,1.0,,57.6,21.6,45.7,22.9,-2.09,-1.58,1.69,0.32,-1.45,1090463@1755826156,V3P4DLKO0850A,-0.26322675,-5.2999725,untitled,,1755826156.0,568.0,972881.0,TokyoBBC Right,,1755793755.0,1755826155.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972881@1755826155,untitled,1755826155.0,
8,9.0,9.0,2025/8/22,2056.545799,956.5458026,1755826170,3.0,3.0,江口,Right,TOK,3,齋藤優,Right,東京農業大,1,Top,2,1,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,135.88,0.67,0.236,,,TOK,#217fc4,東大,東京農業大,#004040,東農大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523300008,見逃し,,2054,https://youtu.be/aj-tAgL9dwU&t=2054,1140,https://youtu.be/Lw74doyJ1kY&t=1140,明石,秋元,井之口,青貝,樋口,大原,酒井,伊藤,"酒井,樋口,秋元,大原,工藤,青貝,伊藤,井之口,明石","當山,小幡,齋藤優,北條,酒井大,瀬井,山田愼,村山,小野原","江口,明石,秋元,井之口,青貝,樋口,大原,酒井,伊藤","大場,小幡,齋藤優,北條,酒井大,瀬井,山田愼,村山,小野原","R,L,R,R,R,R,R,R,L,L","R,L,L,R,L,R,L,R,L,L","Naoki, Eguchi","Ken, Akashi","Ryo, Akimoto","Koji, Inokuchi","Naomasa, Aogai","Kosuke, Higuchi","Kaiki, Ohara","Suguru, Sakai","Koichiro, Ito",,,,,,,,485.0,1090463.0,Naoki Eguchi,,1755793774.0,1755826174.0,Fastball,Y,0.2189,0.7818,135.88,1998.66,1996.6,99.9,01:06,1.0,,56.2,25.6,42.7,29.2,-1.26,-2.13,1.69,0.3,-2.6,1090463@1755826174,V3P4DLKO0850A,0.7798462,-4.8300257,untitled,,1755826174.0,567.0,972881.0,TokyoBBC Right,,1755793773.0,1755826173.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972881@1755826173,untitled,1755826173.0,
9,10.0,10.0,2025/8/22,2067.725132,967.7251356,1755826181,3.0,4.0,江口,Right,TOK,3,齋藤優,Right,東京農業大,1,Top,2,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,120.62,1.157,-0.144,,,TOK,#217fc4,東大,東京農業大,#004040,東農大,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523300009,ボール,,2065,https://youtu.be/aj-tAgL9dwU&t=2065,1151,https://youtu.be/Lw74doyJ1kY&t=1151,明石,秋元,井之口,青貝,樋口,大原,酒井,伊藤,"酒井,樋口,秋元,大原,工藤,青貝,伊藤,井之口,明石","當山,小幡,齋藤優,北條,酒井大,瀬井,山田愼,村山,小野原","江口,明石,秋元,井之口,青貝,樋口,大原,酒井,伊藤","大場,小幡,齋藤優,北條,酒井大,瀬井,山田愼,村山,小野原","R,L,R,R,R,R,R,R,L,L","R,L,L,R,L,R,L,R,L,L","Naoki, Eguchi","Ken, Akashi","Ryo, Akimoto","Koji, Inokuchi","Naomasa, Aogai","Kosuke, Higuchi","Kaiki, Ohara","Suguru, Sakai","Koichiro, Ito",,,,,,,,484.0,1090463.0,Naoki Eguchi,,1755793785.0,1755826185.0,Slider,N,-0.3035,1.2222,120.62,2016.05,113.8,5.64,09:02,1.0,,0.9,-12.4,-1.1,-5.5,-2.02,2.52,1.73,0.37,86.77,1090463@1755826185,V3P4DLKO0850A,-2.990312,-6.8180304,untitled,,1755826185.0,566.0,972881.0,TokyoBBC Right,,1755793785.0,1755826185.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,972881@1755826185,untitled,1755826185.0,
