count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa
0,1.0,1.0,2025/2/18,2630.529301,2405.529303,1739854582,1.0,1.0,pos1,Right,福岡大,1,酒井,Left,TOK,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,nan,,0.283,-0.104,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810000,ボール,,2628.0,https://youtu.be/6fvRWZlnXt4&t=2628,527.0,https://youtu.be/Pf4AXbC6-x8&t=527,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,R,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
1,2.0,2.0,2025/2/18,2641.152916,2416.152918,1739854593,1.0,2.0,pos1,Right,福岡大,1,酒井,Left,TOK,1,Top,0,1,0,Fastball,InPlay,Undefined,LineDrive,Out,1,0,nan,,0.69,-0.052,83.22819483,1.827968244,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Undefined,nan,nan,nan,8,8,2504810001,中直,,2639.0,https://youtu.be/6fvRWZlnXt4&t=2639,537.0,https://youtu.be/Pf4AXbC6-x8&t=537,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,R,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
2,3.0,3.0,2025/2/18,2672.689604,2447.689605,1739854624,2.0,1.0,pos1,Right,福岡大,2,竹山,Right,TOK,1,Top,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,nan,,0.363,-0.373,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810002,ボール,,2670.0,https://youtu.be/6fvRWZlnXt4&t=2670,562.0,https://youtu.be/Pf4AXbC6-x8&t=562,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,R,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
3,4.0,4.0,2025/2/18,2681.573558,2456.573559,1739854633,2.0,2.0,pos1,Right,福岡大,2,竹山,Right,TOK,1,Top,1,1,0,Fastball,BallinDirt,Undefined,Undefined,Undefined,0,0,nan,,0.23,-0.08,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810003,ボール(低投),,2679.0,https://youtu.be/6fvRWZlnXt4&t=2679,571.0,https://youtu.be/Pf4AXbC6-x8&t=571,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,R,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
4,5.0,5.0,2025/2/18,2697.485135,2472.485137,1739854649,2.0,3.0,pos1,Right,福岡大,2,竹山,Right,TOK,1,Top,1,2,0,Fastball,InPlay,Undefined,FlyBall,Out,1,0,nan,,0.746,-0.108,40.70903337,23.03504449,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Undefined,nan,nan,nan,4,4,2504810004,二飛,,2695.0,https://youtu.be/6fvRWZlnXt4&t=2695,587.0,https://youtu.be/Pf4AXbC6-x8&t=587,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,R,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
5,6.0,6.0,2025/2/18,2741.196026,2516.196027,1739854693,3.0,1.0,pos1,Right,福岡大,3,門田,Right,TOK,1,Top,2,0,0,Slider,InPlay,Undefined,GroundBall,Out,1,0,nan,,0.734,0.1,26.92134371,-34.73485954,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Undefined,nan,nan,nan,"5,3","5,3A",2504810005,三ゴ,,2739.0,https://youtu.be/6fvRWZlnXt4&t=2739,621.0,https://youtu.be/Pf4AXbC6-x8&t=621,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,R,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
6,1.0,7.0,2025/2/18,2932.481773,2707.481775,1739854884,1.0,1.0,松本慎,Left,TOK,1,batter1,Right,福岡大,1,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,nan,121.0,1.05,-0.24,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810006,ボール,,2930.0,https://youtu.be/6fvRWZlnXt4&t=2930,783.0,https://youtu.be/Pf4AXbC6-x8&t=783,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,R,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
7,2.0,8.0,2025/2/18,2943.598349,2718.59835,1739854895,1.0,2.0,松本慎,Left,TOK,1,batter1,Right,福岡大,1,Bottom,0,1,0,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,nan,,0.734,0.24,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810007,見逃し,,2941.0,https://youtu.be/6fvRWZlnXt4&t=2941,794.0,https://youtu.be/Pf4AXbC6-x8&t=794,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,R,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
8,3.0,9.0,2025/2/18,2956.330438,2731.330439,1739854908,1.0,3.0,松本慎,Left,TOK,1,batter1,Right,福岡大,1,Bottom,0,1,1,ChangeUp,StrikeCalled,Undefined,Undefined,Undefined,0,0,nan,,-0.257,-7.12,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810008,見逃し,,2954.0,https://youtu.be/6fvRWZlnXt4&t=2954,807.0,https://youtu.be/Pf4AXbC6-x8&t=807,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,R,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
9,4.0,10.0,2025/2/18,2971.831448,2746.831449,1739854923,1.0,4.0,松本慎,Left,TOK,1,batter1,Right,福岡大,1,Bottom,0,1,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,nan,,0.754,-0.327,,,福岡大,#bc0015,福岡大,TOK,#217fc4,東大,福岡大G,A,春季オープン戦,Normal,nan,nan,nan,nan,Nothing,nan,nan,nan,nan,nan,2504810009,ボール,,2969.0,https://youtu.be/6fvRWZlnXt4&t=2969,823.0,https://youtu.be/Pf4AXbC6-x8&t=823,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,竹山,門田,大原,杉浦,秋元,矢田貝,青貝,小村","pos1,batter8,batter5,batter3,batter1,batter9,batter6,batter7,batter4","松本慎,杉浦,門田,秋元,青貝,小村,大原,酒井,竹山","L,R,R,L,R,R,L,L,R,R","R,L,R,R,R,R,R,R,R,L"
