count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji
289,64.0,279.0,2025/8/3,9733,8414.231676,1754193170,6.0,3.0,pos1_3,Right,基町高,7,木田,Right,TOK,7,Bottom,2,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,111.0,0.197,-0.012,,,TOK,#217fc4,東大,基町高,#040404,基町高,TodaiStadium,B,夏季オープン戦,Normal,2,,竹下,,Nothing,,,,,,2521420289,ボール,,9688,https://youtu.be/0GzeEuMrp-c&t=9688,6503.0,https://youtu.be/Qxceec_7zqs&t=6503,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"藤尾,藤原,今泉,内海,松本康,竹下,木田,大江宣,加藤","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大森,松本康,竹下,木田,藤尾,今泉,加藤,藤原,大江宣","pos1_3,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,L,R,R,L,R,R,R","L,R,R,L,R,L,R,L,L,R",,,,,,,,,,,"Kida, Kosei",,"Takeshita, Hiraku",,,
290,65.0,280.0,2025/8/3,9758,8438.283128,1754193195,6.0,4.0,pos1_3,Right,基町高,7,木田,Right,TOK,7,Bottom,2,2,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,0.097,-0.012,,,TOK,#217fc4,東大,基町高,#040404,基町高,TodaiStadium,B,夏季オープン戦,Normal,2,,竹下,,Nothing,,,,,,2521420290,空振り,,9713,https://youtu.be/0GzeEuMrp-c&t=9713,6528.0,https://youtu.be/Qxceec_7zqs&t=6528,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"藤尾,藤原,今泉,内海,松本康,竹下,木田,大江宣,加藤","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大森,松本康,竹下,木田,藤尾,今泉,加藤,藤原,大江宣","pos1_3,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,L,R,R,L,R,R,R","L,R,R,L,R,L,R,L,L,R",,,,,,,,,,,"Kida, Kosei",,"Takeshita, Hiraku",,,
291,66.0,281.0,2025/8/3,9777,8457.53574,1754193214,6.0,5.0,pos1_3,Right,基町高,7,木田,Right,TOK,7,Bottom,2,2,2,Fastball,FoulBall,Undefined,GroundBall,Undefined,0,0,,,0.454,0.052,23.64486658,-123.2935633,TOK,#217fc4,東大,基町高,#040404,基町高,TodaiStadium,B,夏季オープン戦,Normal,2,,竹下,,Undefined,,,,,,2521420291,ファール,,9732,https://youtu.be/0GzeEuMrp-c&t=9732,6547.0,https://youtu.be/Qxceec_7zqs&t=6547,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"藤尾,藤原,今泉,内海,松本康,竹下,木田,大江宣,加藤","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大森,松本康,竹下,木田,藤尾,今泉,加藤,藤原,大江宣","pos1_3,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,L,R,R,L,R,R,R","L,R,R,L,R,L,R,L,L,R",,,,,,,,,,,"Kida, Kosei",,"Takeshita, Hiraku",,,
292,67.0,282.0,2025/8/3,9801,8481.891731,1754193238,6.0,6.0,pos1_3,Right,基町高,7,木田,Right,TOK,7,Bottom,2,2,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,105.0,0.838,-0.54,,,TOK,#217fc4,東大,基町高,#040404,基町高,TodaiStadium,B,夏季オープン戦,Normal,2,,竹下,,Nothing,,,,,,2521420292,ボール,,9756,https://youtu.be/0GzeEuMrp-c&t=9756,6562.0,https://youtu.be/Qxceec_7zqs&t=6562,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"藤尾,藤原,今泉,内海,松本康,竹下,木田,大江宣,加藤","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大森,松本康,竹下,木田,藤尾,今泉,加藤,藤原,大江宣","pos1_3,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,L,R,R,L,R,R,R","L,R,R,L,R,L,R,L,L,R",,,,,,,,,,,"Kida, Kosei",,"Takeshita, Hiraku",,,
293,68.0,283.0,2025/8/3,9826,8506.456868,1754193263,6.0,7.0,pos1_3,Right,基町高,7,木田,Right,TOK,7,Bottom,2,3,2,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,113.0,0.614,0.108,58.97451865,-51.5751697,TOK,#217fc4,東大,基町高,#040404,基町高,TodaiStadium,B,夏季オープン戦,Normal,2,,竹下,,Undefined,,,,,,2521420293,ファール,,9781,https://youtu.be/0GzeEuMrp-c&t=9781,6587.0,https://youtu.be/Qxceec_7zqs&t=6587,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"藤尾,藤原,今泉,内海,松本康,竹下,木田,大江宣,加藤","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大森,松本康,竹下,木田,藤尾,今泉,加藤,藤原,大江宣","pos1_3,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,L,R,R,L,R,R,R","L,R,R,L,R,L,R,L,L,R",,,,,,,,,,,"Kida, Kosei",,"Takeshita, Hiraku",,,
294,69.0,284.0,2025/8/3,9858,8538.401409,1754193295,6.0,8.0,pos1_3,Right,基町高,7,木田,Right,TOK,7,Bottom,2,3,2,Fastball,FoulBall,Undefined,LineDrive,Undefined,0,0,,,,,26.62068241,77.19573393,TOK,#217fc4,東大,基町高,#040404,基町高,TodaiStadium,B,夏季オープン戦,Normal,2,,竹下,,Undefined,,,,,,2521420294,ファール,,9813,https://youtu.be/0GzeEuMrp-c&t=9813,6609.0,https://youtu.be/Qxceec_7zqs&t=6609,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"藤尾,藤原,今泉,内海,松本康,竹下,木田,大江宣,加藤","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大森,松本康,竹下,木田,藤尾,今泉,加藤,藤原,大江宣","pos1_3,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,L,R,R,L,R,R,R","L,R,R,L,R,L,R,L,L,R",,,,,,,,,,,"Kida, Kosei",,"Takeshita, Hiraku",,,
295,70.0,285.0,2025/8/3,9884,8564.983437,1754193321,6.0,9.0,pos1_3,Right,基町高,7,木田,Right,TOK,7,Bottom,2,3,2,Fastball,InPlay,Undefined,GroundBall,Single,0,1,,,,,49.99252148,-25.37431729,TOK,#217fc4,東大,基町高,#040404,基町高,TodaiStadium,B,夏季オープン戦,Normal,2,,竹下,,Undefined,,,竹下,"7,6","7,6",2521420295,左安①,,9839,https://youtu.be/0GzeEuMrp-c&t=9839,6628.0,https://youtu.be/Qxceec_7zqs&t=6628,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"藤尾,藤原,今泉,内海,松本康,竹下,木田,大江宣,加藤","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大森,松本康,竹下,木田,藤尾,今泉,加藤,藤原,大江宣","pos1_3,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,L,R,R,L,R,R,R","L,R,R,L,R,L,R,L,L,R",,,,,,,,,,,"Kida, Kosei",,"Takeshita, Hiraku",,"Takeshita, Hiraku",
296,71.0,286.0,2025/8/3,9959,8639.50803,1754193396,7.0,1.0,pos1_3,Right,基町高,8,大江宣,Right,TOK,7,Bottom,2,0,0,Fastball,FoulBall,Undefined,GroundBall,Undefined,0,0,,112.0,0.806,0.252,3.244837758,-90.0,TOK,#217fc4,東大,基町高,#040404,基町高,TodaiStadium,B,夏季オープン戦,Normal,1,木田,,,Undefined,,,,,,2521420296,ファール,,9914,https://youtu.be/0GzeEuMrp-c&t=9914,6663.0,https://youtu.be/Qxceec_7zqs&t=6663,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"藤尾,藤原,今泉,内海,松本康,竹下,木田,大江宣,加藤","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大森,松本康,竹下,木田,藤尾,今泉,加藤,藤原,大江宣","pos1_3,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,L,R,R,L,R,R,R","L,R,R,L,R,L,R,L,L,R",,,,,,,,,,,"Nobutomo, Oe","Kida, Kosei",,,,
297,72.0,287.0,2025/8/3,9983,8663.737595,1754193420,7.0,2.0,pos1_3,Right,基町高,8,大江宣,Right,TOK,7,Bottom,2,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,115.0,0.59,-0.44,,,TOK,#217fc4,東大,基町高,#040404,基町高,TodaiStadium,B,夏季オープン戦,Normal,1,木田,,,Nothing,,,,,,2521420297,ボール,,9938,https://youtu.be/0GzeEuMrp-c&t=9938,6680.0,https://youtu.be/Qxceec_7zqs&t=6680,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"藤尾,藤原,今泉,内海,松本康,竹下,木田,大江宣,加藤","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大森,松本康,竹下,木田,藤尾,今泉,加藤,藤原,大江宣","pos1_3,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,L,R,R,L,R,R,R","L,R,R,L,R,L,R,L,L,R",,,,,,,,,,,"Nobutomo, Oe","Kida, Kosei",,,,
298,73.0,288.0,2025/8/3,10000,8681.103839,1754193437,7.0,3.0,pos1_3,Right,基町高,8,大江宣,Right,TOK,7,Bottom,2,1,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,104.0,0.49,-0.387,,,TOK,#217fc4,東大,基町高,#040404,基町高,TodaiStadium,B,夏季オープン戦,Normal,1,木田,,,Nothing,,,,,,2521420298,空振り,,9955,https://youtu.be/0GzeEuMrp-c&t=9955,6697.0,https://youtu.be/Qxceec_7zqs&t=6697,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"藤尾,藤原,今泉,内海,松本康,竹下,木田,大江宣,加藤","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大森,松本康,竹下,木田,藤尾,今泉,加藤,藤原,大江宣","pos1_3,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,L,R,R,L,R,R,R","L,R,R,L,R,L,R,L,L,R",,,,,,,,,,,"Nobutomo, Oe","Kida, Kosei",,,,
