count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,runevent_romaji,scored_person_romaji,run_person_romaji,No,Player ID,Pitcher_rapsodo_pitch,MLB ID,Date_rapsodo_pitch,Pitch ID,TaggedPitchType_rapsodo_pitch,IsStrike,PlateLocSide_rapsodo_pitch,PlateLocHeight_rapsodo_pitch,RelSpeed_rapsodo_pitch,SpinRate,TrueSpin,SpinEfficiency,Tilt,Spin Confidence,Extension,InducedVertBreak,HorzBreak,VB (spin),HB (spin),HorizontalRelAngle,RelAngle,RelHeight,RelSide,GyroDegree,Unique ID,Device Serial Number,HorzApprAngle,VertApprAngle,Session Name,Intent Type,unixtime,No_rapsodo_hit,Player ID_rapsodo_hit,Batter_rapsodo_hit,MLB ID_rapsodo_hit,Date_rapsodo_hit,HitID,ExitSpeed,RelSpeed_rapsodo_hit,Angle,Direction,HitSpinRate,Distance,HitSpinTilt,SpinConfidence,PlateLocSide_rapsodo_hit,PlateLocHeight_rapsodo_hit,ContactDepth,Batname,SerialNumber,Unique ID_rapsodo_hit,Session Name_rapsodo_hit,unixtime_rapsodo_hit,csv_path,RelSpeed_opensen
0,1.0,1.0,2025/3/25,1955.464008808136,1365.4640109539032,1742878740,1.0,1.0,山崎,Right,TOK,1,西浦,Right,富山中部高,1,Top,0,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,,1.463,-0.012,,,TOK,#217fc4,東大,富山中部高,#feffff,神,TodaiStadium,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2508330000,ボール,,1953.0,https://youtu.be/pxrwmdfRYWI&t=1953,689.0,https://youtu.be/7j3dqiOXbr4&t=689,土ヶ端,春山,塗師,藤尾,今泉,山本,片桐,黒武者,"今泉,山本,矢田貝,藤尾,黒武者,春山,片桐,土ヶ端,塗師","西浦,多比木,草切,日下,石川,谷口,石吾,斎藤,窪田","山崎,土ヶ端,春山,塗師,藤尾,今泉,山本,片桐,黒武者","日下,多比木,草切,日下,石川,谷口,石吾,斎藤,窪田","R,L,R,R,R,L,R,L,R,R","R,R,R,R,R,R,R,R,R,R","Ryu, Yamazaki","Yuto, Tsuchigahata","Yuichiro, Haruyama","Takuma, Nushi","Shunsuke, Fujio","Rio, Imaizumi","Akira, Yamamoto","Jota, Katagiri","Tetsuta, Kuromusha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/hiramatsushiho/Desktop/野球部/Analyst-GitHub/オープン戦データ/25-1春/20250325春季オープン戦vs富山中部高B.csv,
1,2.0,2.0,2025/3/25,1966.8041241168976,1376.804125070572,1742878752,1.0,2.0,山崎,Right,TOK,1,西浦,Right,富山中部高,1,Top,0,1,0,Cutter,FoulBall,Undefined,GroundBall,Undefined,0,0,,117.7,0.802,-0.044,49.393075944971066,-74.0546041,TOK,#217fc4,東大,富山中部高,#feffff,神,TodaiStadium,B,春季オープン戦,Normal,,,,,Undefined,,,,,,2508330001,ファール,,1964.0,https://youtu.be/pxrwmdfRYWI&t=1964,700.0,https://youtu.be/7j3dqiOXbr4&t=700,土ヶ端,春山,塗師,藤尾,今泉,山本,片桐,黒武者,"今泉,山本,矢田貝,藤尾,黒武者,春山,片桐,土ヶ端,塗師","西浦,多比木,草切,日下,石川,谷口,石吾,斎藤,窪田","山崎,土ヶ端,春山,塗師,藤尾,今泉,山本,片桐,黒武者","日下,多比木,草切,日下,石川,谷口,石吾,斎藤,窪田","R,L,R,R,R,L,R,L,R,R","R,R,R,R,R,R,R,R,R,R","Ryu, Yamazaki","Yuto, Tsuchigahata","Yuichiro, Haruyama","Takuma, Nushi","Shunsuke, Fujio","Rio, Imaizumi","Akira, Yamamoto","Jota, Katagiri","Tetsuta, Kuromusha",,,,,,,,,44.0,991977.0,Ryu Yamazaki,,1742846357.0,1742878757.0,Slider,Y,0.0969,0.8245,117.7,2133.08,498.9,23.39,00:14,1.0,1.8890247,-7.1,-13.9,12.9,-0.5,-0.78,1.59,1.49,0.3,76.47,991977@1742878757,V3P4DLKO0850A,-1.8192517,-8.643474,untitled,,1742878752.0,,,,,,,,,,,,,,,,,,,,,,,/Users/hiramatsushiho/Desktop/野球部/Analyst-GitHub/オープン戦データ/25-1春/20250325春季オープン戦vs富山中部高B.csv,117.0
2,3.0,3.0,2025/3/25,1992.394157886505,1402.394159078598,1742878777,1.0,3.0,山崎,Right,TOK,1,西浦,Right,富山中部高,1,Top,0,1,1,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,119.13,0.177,-0.727,,,TOK,#217fc4,東大,富山中部高,#feffff,神,TodaiStadium,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2508330002,ボール,,1990.0,https://youtu.be/pxrwmdfRYWI&t=1990,717.0,https://youtu.be/7j3dqiOXbr4&t=717,土ヶ端,春山,塗師,藤尾,今泉,山本,片桐,黒武者,"今泉,山本,矢田貝,藤尾,黒武者,春山,片桐,土ヶ端,塗師","西浦,多比木,草切,日下,石川,谷口,石吾,斎藤,窪田","山崎,土ヶ端,春山,塗師,藤尾,今泉,山本,片桐,黒武者","日下,多比木,草切,日下,石川,谷口,石吾,斎藤,窪田","R,L,R,R,R,L,R,L,R,R","R,R,R,R,R,R,R,R,R,R","Ryu, Yamazaki","Yuto, Tsuchigahata","Yuichiro, Haruyama","Takuma, Nushi","Shunsuke, Fujio","Rio, Imaizumi","Akira, Yamamoto","Jota, Katagiri","Tetsuta, Kuromusha",,,,,,,,,43.0,991977.0,Ryu Yamazaki,,1742846383.0,1742878783.0,Cutter,N,-0.7029000000000001,0.6456999999999999,119.13,2096.04,689.6,32.9,01:08,1.0,2.0153694,7.2,1.7,15.1,9.5,-3.63,1.3,1.5,0.3,70.79,991977@1742878783,V3P4DLKO0850A,-3.5057623,-7.897936,untitled,,1742878778.0,,,,,,,,,,,,,,,,,,,,,,,/Users/hiramatsushiho/Desktop/野球部/Analyst-GitHub/オープン戦データ/25-1春/20250325春季オープン戦vs富山中部高B.csv,119.0
3,4.0,4.0,2025/3/25,2005.0779628753664,1415.0779638290403,1742878790,1.0,4.0,山崎,Right,TOK,1,西浦,Right,富山中部高,1,Top,0,2,1,Cutter,FoulBall,Undefined,FlyBall,Undefined,0,0,,119.52,0.966,0.056,6.596070730087875,116.5650512,TOK,#217fc4,東大,富山中部高,#feffff,神,TodaiStadium,B,春季オープン戦,Normal,,,,,Undefined,,,,,,2508330003,ファール,,2003.0,https://youtu.be/pxrwmdfRYWI&t=2003,730.0,https://youtu.be/7j3dqiOXbr4&t=730,土ヶ端,春山,塗師,藤尾,今泉,山本,片桐,黒武者,"今泉,山本,矢田貝,藤尾,黒武者,春山,片桐,土ヶ端,塗師","西浦,多比木,草切,日下,石川,谷口,石吾,斎藤,窪田","山崎,土ヶ端,春山,塗師,藤尾,今泉,山本,片桐,黒武者","日下,多比木,草切,日下,石川,谷口,石吾,斎藤,窪田","R,L,R,R,R,L,R,L,R,R","R,R,R,R,R,R,R,R,R,R","Ryu, Yamazaki","Yuto, Tsuchigahata","Yuichiro, Haruyama","Takuma, Nushi","Shunsuke, Fujio","Rio, Imaizumi","Akira, Yamamoto","Jota, Katagiri","Tetsuta, Kuromusha",,,,,,,,,42.0,991977.0,Ryu Yamazaki,,1742846395.0,1742878795.0,Slider,Y,0.0745,1.0558,119.52,2134.55,530.5,24.85,00:14,1.0,1.9684181,10.5,-1.8,13.8,-0.2,-0.52,2.55,1.51,0.24,75.61,991977@1742878795,V3P4DLKO0850A,-0.660613,-6.229266,untitled,,1742878790.0,,,,,,,,,,,,,,,,,,,,,,,/Users/hiramatsushiho/Desktop/野球部/Analyst-GitHub/オープン戦データ/25-1春/20250325春季オープン戦vs富山中部高B.csv,120.0
4,5.0,5.0,2025/3/25,2032.2426867485049,1442.2426867485046,1742878817,1.0,5.0,山崎,Right,TOK,1,西浦,Right,富山中部高,1,Top,0,2,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,128.7,0.17,-0.633,,,TOK,#217fc4,東大,富山中部高,#feffff,神,TodaiStadium,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2508330004,ボール,,2030.0,https://youtu.be/pxrwmdfRYWI&t=2030,751.0,https://youtu.be/7j3dqiOXbr4&t=751,土ヶ端,春山,塗師,藤尾,今泉,山本,片桐,黒武者,"今泉,山本,矢田貝,藤尾,黒武者,春山,片桐,土ヶ端,塗師","西浦,多比木,草切,日下,石川,谷口,石吾,斎藤,窪田","山崎,土ヶ端,春山,塗師,藤尾,今泉,山本,片桐,黒武者","日下,多比木,草切,日下,石川,谷口,石吾,斎藤,窪田","R,L,R,R,R,L,R,L,R,R","R,R,R,R,R,R,R,R,R,R","Ryu, Yamazaki","Yuto, Tsuchigahata","Yuichiro, Haruyama","Takuma, Nushi","Shunsuke, Fujio","Rio, Imaizumi","Akira, Yamamoto","Jota, Katagiri","Tetsuta, Kuromusha",,,,,,,,,41.0,991977.0,Ryu Yamazaki,,1742846421.0,1742878821.0,Fastball,N,-0.6091,0.3358,128.7,1954.04,1601.2,81.94,00:48,1.0,1.9935551,28.3,3.0,41.7,18.5,-2.98,-1.32,1.53,0.2,34.97,991977@1742878821,V3P4DLKO0850A,-2.7576692,-7.4970713,untitled,,1742878816.0,,,,,,,,,,,,,,,,,,,,,,,/Users/hiramatsushiho/Desktop/野球部/Analyst-GitHub/オープン戦データ/25-1春/20250325春季オープン戦vs富山中部高B.csv,129.0
5,6.0,6.0,2025/3/25,2052.6428079605103,1462.6428089141846,1742878837,1.0,6.0,山崎,Right,TOK,1,西浦,Right,富山中部高,1,Top,0,3,2,Cutter,BallCalled,Walk,Undefined,Undefined,0,0,,117.62,1.31,-0.016,,,TOK,#217fc4,東大,富山中部高,#feffff,神,TodaiStadium,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2508330005,四球,,2050.0,https://youtu.be/pxrwmdfRYWI&t=2050,771.0,https://youtu.be/7j3dqiOXbr4&t=771,土ヶ端,春山,塗師,藤尾,今泉,山本,片桐,黒武者,"今泉,山本,矢田貝,藤尾,黒武者,春山,片桐,土ヶ端,塗師","西浦,多比木,草切,日下,石川,谷口,石吾,斎藤,窪田","山崎,土ヶ端,春山,塗師,藤尾,今泉,山本,片桐,黒武者","日下,多比木,草切,日下,石川,谷口,石吾,斎藤,窪田","R,L,R,R,R,L,R,L,R,R","R,R,R,R,R,R,R,R,R,R","Ryu, Yamazaki","Yuto, Tsuchigahata","Yuichiro, Haruyama","Takuma, Nushi","Shunsuke, Fujio","Rio, Imaizumi","Akira, Yamamoto","Jota, Katagiri","Tetsuta, Kuromusha",,,,,,,,,40.0,991977.0,Ryu Yamazaki,,1742846442.0,1742878842.0,Slider,N,-0.1657,1.2439,117.62,2068.37,485.5,23.47,00:10,1.0,,10.6,-10.9,12.1,-0.8,-1.06,3.24,1.51,0.23,76.42,991977@1742878842,V3P4DLKO0850A,-1.9167867,-5.6907578,untitled,,1742878837.0,,,,,,,,,,,,,,,,,,,,,,,/Users/hiramatsushiho/Desktop/野球部/Analyst-GitHub/オープン戦データ/25-1春/20250325春季オープン戦vs富山中部高B.csv,118.0
6,7.0,7.0,2025/3/25,2083.0754158496857,1493.0754158496857,1742878868,2.0,1.0,山崎,Right,TOK,2,多比木,Right,富山中部高,1,Top,0,0,0,Cutter,BallinDirt,Undefined,Undefined,Undefined,0,0,,117.04,-0.177,-0.184,,,TOK,#217fc4,東大,富山中部高,#feffff,神,TodaiStadium,B,春季オープン戦,Normal,1,西浦,,,Nothing,,,,,,2508330006,ボール(低投),,2081.0,https://youtu.be/pxrwmdfRYWI&t=2081,797.0,https://youtu.be/7j3dqiOXbr4&t=797,土ヶ端,春山,塗師,藤尾,今泉,山本,片桐,黒武者,"今泉,山本,矢田貝,藤尾,黒武者,春山,片桐,土ヶ端,塗師","西浦,多比木,草切,日下,石川,谷口,石吾,斎藤,窪田","山崎,土ヶ端,春山,塗師,藤尾,今泉,山本,片桐,黒武者","日下,多比木,草切,日下,石川,谷口,石吾,斎藤,窪田","R,L,R,R,R,L,R,L,R,R","R,R,R,R,R,R,R,R,R,R","Ryu, Yamazaki","Yuto, Tsuchigahata","Yuichiro, Haruyama","Takuma, Nushi","Shunsuke, Fujio","Rio, Imaizumi","Akira, Yamamoto","Jota, Katagiri","Tetsuta, Kuromusha",,,,,,,,,39.0,991977.0,Ryu Yamazaki,,1742846473.0,1742878873.0,Slider,N,-0.4414,0.2719,117.04,2134.18,477.5,22.37,00:24,1.0,1.9494209,0.4,-13.3,12.3,0.5,-2.11,0.24,1.49,0.28,77.07,991977@1742878873,V3P4DLKO0850A,-3.092209,-9.231845,untitled,,1742878868.0,,,,,,,,,,,,,,,,,,,,,,,/Users/hiramatsushiho/Desktop/野球部/Analyst-GitHub/オープン戦データ/25-1春/20250325春季オープン戦vs富山中部高B.csv,117.0
7,,,2025/3/25,2100.613793849945,1510.613795042038,1742878885,,,山崎,Right,TOK,2,多比木,Right,富山中部高,1,Top,0,1,0,,,,,,0,0,,,,,,,TOK,#217fc4,東大,富山中部高,#feffff,神,TodaiStadium,B,春季オープン戦,Normal,1,西浦,,,PickOff,,,,"1,3","1,3",2508330007,牽制,,2098.0,https://youtu.be/pxrwmdfRYWI&t=2098,814.0,https://youtu.be/7j3dqiOXbr4&t=814,土ヶ端,春山,塗師,藤尾,今泉,山本,片桐,黒武者,"今泉,山本,矢田貝,藤尾,黒武者,春山,片桐,土ヶ端,塗師","西浦,多比木,草切,日下,石川,谷口,石吾,斎藤,窪田","山崎,土ヶ端,春山,塗師,藤尾,今泉,山本,片桐,黒武者","日下,多比木,草切,日下,石川,谷口,石吾,斎藤,窪田","R,L,R,R,R,L,R,L,R,R","R,R,R,R,R,R,R,R,R,R","Ryu, Yamazaki","Yuto, Tsuchigahata","Yuichiro, Haruyama","Takuma, Nushi","Shunsuke, Fujio","Rio, Imaizumi","Akira, Yamamoto","Jota, Katagiri","Tetsuta, Kuromusha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/hiramatsushiho/Desktop/野球部/Analyst-GitHub/オープン戦データ/25-1春/20250325春季オープン戦vs富山中部高B.csv,
8,,,2025/3/25,2111.376694917679,1521.3766958713531,1742878896,,,山崎,Right,TOK,2,多比木,Right,富山中部高,1,Top,0,1,0,,,,,,0,0,,,,,,,TOK,#217fc4,東大,富山中部高,#feffff,神,TodaiStadium,B,春季オープン戦,Normal,1,西浦,,,PickOff,,,,"1,3","1,3",2508330008,牽制,,2109.0,https://youtu.be/pxrwmdfRYWI&t=2109,825.0,https://youtu.be/7j3dqiOXbr4&t=825,土ヶ端,春山,塗師,藤尾,今泉,山本,片桐,黒武者,"今泉,山本,矢田貝,藤尾,黒武者,春山,片桐,土ヶ端,塗師","西浦,多比木,草切,日下,石川,谷口,石吾,斎藤,窪田","山崎,土ヶ端,春山,塗師,藤尾,今泉,山本,片桐,黒武者","日下,多比木,草切,日下,石川,谷口,石吾,斎藤,窪田","R,L,R,R,R,L,R,L,R,R","R,R,R,R,R,R,R,R,R,R","Ryu, Yamazaki","Yuto, Tsuchigahata","Yuichiro, Haruyama","Takuma, Nushi","Shunsuke, Fujio","Rio, Imaizumi","Akira, Yamamoto","Jota, Katagiri","Tetsuta, Kuromusha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/hiramatsushiho/Desktop/野球部/Analyst-GitHub/オープン戦データ/25-1春/20250325春季オープン戦vs富山中部高B.csv,
9,,,2025/3/25,2122.5959310531616,1532.595932006836,1742878907,,,山崎,Right,TOK,2,多比木,Right,富山中部高,1,Top,0,1,0,,,,,,0,0,,,,,,,TOK,#217fc4,東大,富山中部高,#feffff,神,TodaiStadium,B,春季オープン戦,Normal,1,西浦,,,PickOff,,,,"1,3","1,3",2508330009,牽制,,2120.0,https://youtu.be/pxrwmdfRYWI&t=2120,836.0,https://youtu.be/7j3dqiOXbr4&t=836,土ヶ端,春山,塗師,藤尾,今泉,山本,片桐,黒武者,"今泉,山本,矢田貝,藤尾,黒武者,春山,片桐,土ヶ端,塗師","西浦,多比木,草切,日下,石川,谷口,石吾,斎藤,窪田","山崎,土ヶ端,春山,塗師,藤尾,今泉,山本,片桐,黒武者","日下,多比木,草切,日下,石川,谷口,石吾,斎藤,窪田","R,L,R,R,R,L,R,L,R,R","R,R,R,R,R,R,R,R,R,R","Ryu, Yamazaki","Yuto, Tsuchigahata","Yuichiro, Haruyama","Takuma, Nushi","Shunsuke, Fujio","Rio, Imaizumi","Akira, Yamamoto","Jota, Katagiri","Tetsuta, Kuromusha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/hiramatsushiho/Desktop/野球部/Analyst-GitHub/オープン戦データ/25-1春/20250325春季オープン戦vs富山中部高B.csv,
