count,pitchcount,PitchNo,Date,time,time1,time0,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji
284,39.0,273.0,2025/8/30,35.273142,9847.682566,7242.424795,7242.424804,1756525400,6.0,3.0,有水,Right,TOK,2,岸,Left,平成国際大,8,Top,1,1,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.73,0.42,,,TOK,#217fc4,東大,平成国際大,#808080,平国大,_120,A,夏季オープン戦,Normal,1,小長谷,,,StolenBase,小長谷,,,,,2524100284,ボール[盗塁],,9845.0,https://youtu.be/_Ddb7UXiTJk&t=9845,,,杉浦,堀部,秋元,門田,小村,工藤,酒井,大原,"榎本,酒井,杉浦,大原,工藤,堀部,門田,小村,秋元","小長谷,岸,平田,佐々木,渡邊,吉澤,坂本,堤箸,野口","有水,杉浦,堀部,秋元,門田,小村,工藤,酒井,大原","坂下,渡邊,堤箸,岸,野口,小長谷,吉澤,平田,佐々木","R,L,L,R,R,R,R,R,L,R","R,L,L,L,R,L,L,R,L,R","Kohei, Arimizu","Kaito, Sugiura","Kohei, Horibe","Ryo, Akimoto","Ryohei, Kadota","Osuke, Komura","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,,
285,40.0,274.0,2025/8/30,26.915785,9882.955708,7277.697937,7277.697945,1756525435,6.0,4.0,有水,Right,TOK,2,岸,Left,平成国際大,8,Top,1,2,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,1.014,0.633,,,TOK,#217fc4,東大,平成国際大,#808080,平国大,_120,A,夏季オープン戦,Normal,2,,小長谷,,Nothing,,,,,,2524100285,ボール,,9880.0,https://youtu.be/_Ddb7UXiTJk&t=9880,,,杉浦,堀部,秋元,門田,小村,工藤,酒井,大原,"榎本,酒井,杉浦,大原,工藤,堀部,門田,小村,秋元","小長谷,岸,平田,佐々木,渡邊,吉澤,坂本,堤箸,野口","有水,杉浦,堀部,秋元,門田,小村,工藤,酒井,大原","坂下,渡邊,堤箸,岸,野口,小長谷,吉澤,平田,佐々木","R,L,L,R,R,R,R,R,L,R","R,L,L,L,R,L,L,R,L,R","Kohei, Arimizu","Kaito, Sugiura","Kohei, Horibe","Ryo, Akimoto","Ryohei, Kadota","Osuke, Komura","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,,
286,41.0,275.0,2025/8/30,53.984718,9909.871493,7304.613722,7304.61373,1756525462,6.0,5.0,有水,Right,TOK,2,岸,Left,平成国際大,8,Top,1,3,1,Fastball,InPlay,Undefined,GroundBall,Single,0,1,,,0.582,-0.172,48.97110553,0.690277198,TOK,#217fc4,東大,平成国際大,#808080,平国大,_120,A,夏季オープン戦,Normal,2,,小長谷,,Undefined,,,小長谷,"8,2","8,2",2524100286,中安①,,9907.0,https://youtu.be/_Ddb7UXiTJk&t=9907,,,杉浦,堀部,秋元,門田,小村,工藤,酒井,大原,"榎本,酒井,杉浦,大原,工藤,堀部,門田,小村,秋元","小長谷,岸,平田,佐々木,渡邊,吉澤,坂本,堤箸,野口","有水,杉浦,堀部,秋元,門田,小村,工藤,酒井,大原","坂下,渡邊,堤箸,岸,野口,小長谷,吉澤,平田,佐々木","R,L,L,R,R,R,R,R,L,R","R,L,L,L,R,L,L,R,L,R","Kohei, Arimizu","Kaito, Sugiura","Kohei, Horibe","Ryo, Akimoto","Ryohei, Kadota","Osuke, Komura","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,,
287,,,2025/8/30,14.226619,9963.856211,7358.59844,7358.598449,1756525516,,,有水,Right,TOK,3,平田,Left,平成国際大,8,Top,1,0,0,,,,,,0,0,,,,,,,TOK,#217fc4,東大,平成国際大,#808080,平国大,_120,A,夏季オープン戦,Normal,1,岸,,,PickOff,,,,"1,3","1,3",2524100287,牽制,,9961.0,https://youtu.be/_Ddb7UXiTJk&t=9961,,,杉浦,堀部,秋元,門田,小村,工藤,酒井,大原,"榎本,酒井,杉浦,大原,工藤,堀部,門田,小村,秋元","小長谷,岸,平田,佐々木,渡邊,吉澤,坂本,堤箸,野口","有水,杉浦,堀部,秋元,門田,小村,工藤,酒井,大原","坂下,渡邊,堤箸,岸,野口,小長谷,吉澤,平田,佐々木","R,L,L,R,R,R,R,R,L,R","R,L,L,L,R,L,L,R,L,R","Kohei, Arimizu","Kaito, Sugiura","Kohei, Horibe","Ryo, Akimoto","Ryohei, Kadota","Osuke, Komura","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,,
288,42.0,276.0,2025/8/30,37.959886,9978.08283,7372.825059,7372.825067,1756525530,7.0,1.0,有水,Right,TOK,3,平田,Left,平成国際大,8,Top,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.942,0.136,,,TOK,#217fc4,東大,平成国際大,#808080,平国大,_120,A,夏季オープン戦,Normal,1,岸,,,StolenBase,岸,,,,,2524100288,見逃し[盗塁],,9976.0,https://youtu.be/_Ddb7UXiTJk&t=9976,,,杉浦,堀部,秋元,門田,小村,工藤,酒井,大原,"榎本,酒井,杉浦,大原,工藤,堀部,門田,小村,秋元","小長谷,岸,平田,佐々木,渡邊,吉澤,坂本,堤箸,野口","有水,杉浦,堀部,秋元,門田,小村,工藤,酒井,大原","坂下,渡邊,堤箸,岸,野口,小長谷,吉澤,平田,佐々木","R,L,L,R,R,R,R,R,L,R","R,L,L,L,R,L,L,R,L,R","Kohei, Arimizu","Kaito, Sugiura","Kohei, Horibe","Ryo, Akimoto","Ryohei, Kadota","Osuke, Komura","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,,
289,43.0,277.0,2025/8/30,24.179877,10016.04272,7410.784945,7410.784952,1756525568,7.0,2.0,有水,Right,TOK,3,平田,Left,平成国際大,8,Top,1,0,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.67,0.176,,,TOK,#217fc4,東大,平成国際大,#808080,平国大,_120,A,夏季オープン戦,Normal,2,,岸,,Nothing,,,,,,2524100289,見逃し,,10014.0,https://youtu.be/_Ddb7UXiTJk&t=10014,,,杉浦,堀部,秋元,門田,小村,工藤,酒井,大原,"榎本,酒井,杉浦,大原,工藤,堀部,門田,小村,秋元","小長谷,岸,平田,佐々木,渡邊,吉澤,坂本,堤箸,野口","有水,杉浦,堀部,秋元,門田,小村,工藤,酒井,大原","坂下,渡邊,堤箸,岸,野口,小長谷,吉澤,平田,佐々木","R,L,L,R,R,R,R,R,L,R","R,L,L,L,R,L,L,R,L,R","Kohei, Arimizu","Kaito, Sugiura","Kohei, Horibe","Ryo, Akimoto","Ryohei, Kadota","Osuke, Komura","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,,
290,44.0,278.0,2025/8/30,28.254069,10040.22259,7434.964822,7434.96483,1756525592,7.0,3.0,有水,Right,TOK,3,平田,Left,平成国際大,8,Top,1,0,2,Fastball,FoulBall,Undefined,LineDrive,Undefined,0,0,,,0.99,0.028,14.51435351,-127.568592,TOK,#217fc4,東大,平成国際大,#808080,平国大,_120,A,夏季オープン戦,Normal,2,,岸,,Undefined,,,,,,2524100290,ファール,,10038.0,https://youtu.be/_Ddb7UXiTJk&t=10038,,,杉浦,堀部,秋元,門田,小村,工藤,酒井,大原,"榎本,酒井,杉浦,大原,工藤,堀部,門田,小村,秋元","小長谷,岸,平田,佐々木,渡邊,吉澤,坂本,堤箸,野口","有水,杉浦,堀部,秋元,門田,小村,工藤,酒井,大原","坂下,渡邊,堤箸,岸,野口,小長谷,吉澤,平田,佐々木","R,L,L,R,R,R,R,R,L,R","R,L,L,L,R,L,L,R,L,R","Kohei, Arimizu","Kaito, Sugiura","Kohei, Horibe","Ryo, Akimoto","Ryohei, Kadota","Osuke, Komura","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,,
291,45.0,279.0,2025/8/30,26.906244,10068.47666,7463.218891,7463.218899,1756525620,7.0,4.0,有水,Right,TOK,3,平田,Left,平成国際大,8,Top,1,0,2,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.19,-0.224,,,TOK,#217fc4,東大,平成国際大,#808080,平国大,_120,A,夏季オープン戦,Normal,2,,岸,,Nothing,,,,,,2524100291,ボール,,10066.0,https://youtu.be/_Ddb7UXiTJk&t=10066,,,杉浦,堀部,秋元,門田,小村,工藤,酒井,大原,"榎本,酒井,杉浦,大原,工藤,堀部,門田,小村,秋元","小長谷,岸,平田,佐々木,渡邊,吉澤,坂本,堤箸,野口","有水,杉浦,堀部,秋元,門田,小村,工藤,酒井,大原","坂下,渡邊,堤箸,岸,野口,小長谷,吉澤,平田,佐々木","R,L,L,R,R,R,R,R,L,R","R,L,L,L,R,L,L,R,L,R","Kohei, Arimizu","Kaito, Sugiura","Kohei, Horibe","Ryo, Akimoto","Ryohei, Kadota","Osuke, Komura","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,,
292,46.0,280.0,2025/8/30,20.819526,10095.38291,7490.125135,7490.125143,1756525647,7.0,5.0,有水,Right,TOK,3,平田,Left,平成国際大,8,Top,1,1,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.89,0.447,,,TOK,#217fc4,東大,平成国際大,#808080,平国大,_120,A,夏季オープン戦,Normal,2,,岸,,Nothing,,,,,,2524100292,ボール,,10093.0,https://youtu.be/_Ddb7UXiTJk&t=10093,,,杉浦,堀部,秋元,門田,小村,工藤,酒井,大原,"榎本,酒井,杉浦,大原,工藤,堀部,門田,小村,秋元","小長谷,岸,平田,佐々木,渡邊,吉澤,坂本,堤箸,野口","有水,杉浦,堀部,秋元,門田,小村,工藤,酒井,大原","坂下,渡邊,堤箸,岸,野口,小長谷,吉澤,平田,佐々木","R,L,L,R,R,R,R,R,L,R","R,L,L,L,R,L,L,R,L,R","Kohei, Arimizu","Kaito, Sugiura","Kohei, Horibe","Ryo, Akimoto","Ryohei, Kadota","Osuke, Komura","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,,
293,47.0,281.0,2025/8/30,224.838545,10116.20243,7510.944661,7510.94467,1756525668,7.0,6.0,有水,Right,TOK,3,平田,Left,平成国際大,8,Top,1,2,2,Fastball,InPlay,Undefined,LineDrive,Double,0,1,,,0.63,-0.156,84.96855443,42.6082005,TOK,#217fc4,東大,平成国際大,#808080,平国大,_120,A,夏季オープン戦,Normal,2,,岸,,Undefined,,,岸,"9,4","9,4",2524100293,右2①,,10114.0,https://youtu.be/_Ddb7UXiTJk&t=10114,,,杉浦,堀部,秋元,門田,小村,工藤,酒井,大原,"榎本,酒井,杉浦,大原,工藤,堀部,門田,小村,秋元","小長谷,岸,平田,佐々木,渡邊,吉澤,坂本,堤箸,野口","有水,杉浦,堀部,秋元,門田,小村,工藤,酒井,大原","坂下,渡邊,堤箸,岸,野口,小長谷,吉澤,平田,佐々木","R,L,L,R,R,R,R,R,L,R","R,L,L,L,R,L,L,R,L,R","Kohei, Arimizu","Kaito, Sugiura","Kohei, Horibe","Ryo, Akimoto","Ryohei, Kadota","Osuke, Komura","Yudai, Kudo","Suguru, Sakai","Kaiki, Ohara",,,,,,,
