count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji
177,69.0,171.0,2025/6/22,6519.517121,6229.517124,1750561078,3.0,5.0,pos1,Right,オール足利クラブ,1,安田,Left,TOK,5,Bottom,2,3,1,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,131.0,0.626,0.18,,,TOK,#217fc4,東大,オール足利クラブ,#ff0000,全足利,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2517200177,見逃し,,6517.0,https://youtu.be/qtleY3b7SPw&t=6517,4178.0,https://youtu.be/w4EK4mdFK2Q&t=4178,batter2,batter3,batter4,batter5,batter6_2,batter7,batter8,batter9,"安田,秋元,中山,工藤,荒井慶,酒井,青貝,井之口,明石","batter1,batter2,batter3,batter4,batter5,batter6_2,batter7,batter8,batter9","増田,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6_2,batter7,batter8,batter9","R,L,R,L,R,R,L,R,L,L","R,R,R,L,R,L,L,R,R,R",,,,,,,,,,,"Ken, Yasuda",,,,,
178,70.0,172.0,2025/6/22,6534.315691,6244.315695,1750561093,3.0,6.0,pos1,Right,オール足利クラブ,1,安田,Left,TOK,5,Bottom,2,3,2,Cutter,FoulBall,Undefined,GroundBall,Undefined,0,0,,131.0,0.802,0.196,7.285598251,-121.7594801,TOK,#217fc4,東大,オール足利クラブ,#ff0000,全足利,TodaiStadium,A,夏季オープン戦,Normal,,,,,Undefined,,,,,,2517200178,ファール,,6532.0,https://youtu.be/qtleY3b7SPw&t=6532,4192.0,https://youtu.be/w4EK4mdFK2Q&t=4192,batter2,batter3,batter4,batter5,batter6_2,batter7,batter8,batter9,"安田,秋元,中山,工藤,荒井慶,酒井,青貝,井之口,明石","batter1,batter2,batter3,batter4,batter5,batter6_2,batter7,batter8,batter9","増田,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6_2,batter7,batter8,batter9","R,L,R,L,R,R,L,R,L,L","R,R,R,L,R,L,L,R,R,R",,,,,,,,,,,"Ken, Yasuda",,,,,
179,71.0,173.0,2025/6/22,6563.949205,6273.949208,1750561123,3.0,7.0,pos1,Right,オール足利クラブ,1,安田,Left,TOK,5,Bottom,2,3,2,Cutter,InPlay,Undefined,LineDrive,Out,1,0,,129.0,0.626,-0.14,32.38529669,-41.67687955,TOK,#217fc4,東大,オール足利クラブ,#ff0000,全足利,TodaiStadium,A,夏季オープン戦,Normal,,,,,Undefined,,,,5,5,2517200179,三直,,6561.0,https://youtu.be/qtleY3b7SPw&t=6561,4212.0,https://youtu.be/w4EK4mdFK2Q&t=4212,batter2,batter3,batter4,batter5,batter6_2,batter7,batter8,batter9,"安田,秋元,中山,工藤,荒井慶,酒井,青貝,井之口,明石","batter1,batter2,batter3,batter4,batter5,batter6_2,batter7,batter8,batter9","増田,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6_2,batter7,batter8,batter9","R,L,R,L,R,R,L,R,L,L","R,R,R,L,R,L,L,R,R,R",,,,,,,,,,,"Ken, Yasuda",,,,,
180,1.0,174.0,2025/6/22,7130.736753,6840.736756,1750561690,1.0,1.0,有水,Right,TOK,2,batter2,Right,オール足利クラブ,6,Top,0,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,116.0,0.518,-0.264,,,TOK,#217fc4,東大,オール足利クラブ,#ff0000,全足利,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2517200180,見逃し,,7128.0,https://youtu.be/qtleY3b7SPw&t=7128,4302.0,https://youtu.be/w4EK4mdFK2Q&t=4302,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶,"安田,秋元,中山,工藤,荒井慶,酒井,青貝,井之口,明石","batter1,batter2,batter3,batter4,batter5,batter6_2,batter7,batter8,batter9","有水,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6_2,batter7,batter8,batter9","R,L,R,L,R,R,L,R,L,L","R,R,R,L,R,L,L,R,R,R","Kohei, Arimizu","Ken, Akashi","Taiyo, Nakayama","Koji, Inokuchi","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Keito, Arai",,,,,,,
181,2.0,175.0,2025/6/22,7140.235827,6850.23583,1750561699,1.0,2.0,有水,Right,TOK,2,batter2,Right,オール足利クラブ,6,Top,0,0,1,Slider,InPlay,Undefined,FlyBall,Double,0,0,,117.0,0.658,0.272,109.28477,-28.36360303,TOK,#217fc4,東大,オール足利クラブ,#ff0000,全足利,TodaiStadium,A,夏季オープン戦,Normal,,,,,Undefined,,,,7,7,2517200181,左2,,7138.0,https://youtu.be/qtleY3b7SPw&t=7138,4311.0,https://youtu.be/w4EK4mdFK2Q&t=4311,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶,"安田,秋元,中山,工藤,荒井慶,酒井,青貝,井之口,明石","batter1,batter2,batter3,batter4,batter5,batter6_2,batter7,batter8,batter9","有水,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6_2,batter7,batter8,batter9","R,L,R,L,R,R,L,R,L,L","R,R,R,L,R,L,L,R,R,R","Kohei, Arimizu","Ken, Akashi","Taiyo, Nakayama","Koji, Inokuchi","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Keito, Arai",,,,,,,
182,3.0,176.0,2025/6/22,7200.63466,6910.634663,1750561759,2.0,1.0,有水,Right,TOK,3,batter3,Left,オール足利クラブ,6,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,132.0,0.786,0.54,,,TOK,#217fc4,東大,オール足利クラブ,#ff0000,全足利,TodaiStadium,A,夏季オープン戦,Normal,2,,batter2,,Nothing,,,,,,2517200182,ボール,,7198.0,https://youtu.be/qtleY3b7SPw&t=7198,4352.0,https://youtu.be/w4EK4mdFK2Q&t=4352,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶,"安田,秋元,中山,工藤,荒井慶,酒井,青貝,井之口,明石","batter1,batter2,batter3,batter4,batter5,batter6_2,batter7,batter8,batter9","有水,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6_2,batter7,batter8,batter9","R,L,R,L,R,R,L,R,L,L","R,R,R,L,R,L,L,R,R,R","Kohei, Arimizu","Ken, Akashi","Taiyo, Nakayama","Koji, Inokuchi","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Keito, Arai",,,,,,,
183,4.0,177.0,2025/6/22,7218.821436,6928.821439,1750561778,2.0,2.0,有水,Right,TOK,3,batter3,Left,オール足利クラブ,6,Top,0,1,0,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,131.0,0.594,0.132,95.67759185,2.650689683,TOK,#217fc4,東大,オール足利クラブ,#ff0000,全足利,TodaiStadium,A,夏季オープン戦,Normal,2,,batter2,,Undefined,,,,8,8,2517200183,中飛,,7216.0,https://youtu.be/qtleY3b7SPw&t=7216,4370.0,https://youtu.be/w4EK4mdFK2Q&t=4370,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶,"安田,秋元,中山,工藤,荒井慶,酒井,青貝,井之口,明石","batter1,batter2,batter3,batter4,batter5,batter6_2,batter7,batter8,batter9","有水,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6_2,batter7,batter8,batter9","R,L,R,L,R,R,L,R,L,L","R,R,R,L,R,L,L,R,R,R","Kohei, Arimizu","Ken, Akashi","Taiyo, Nakayama","Koji, Inokuchi","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Keito, Arai",,,,,,,
184,5.0,178.0,2025/6/22,7264.685003,6974.685006,1750561823,3.0,1.0,有水,Right,TOK,4,batter4,Right,オール足利クラブ,6,Top,1,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,98.0,1.623,1.007,,,TOK,#217fc4,東大,オール足利クラブ,#ff0000,全足利,TodaiStadium,A,夏季オープン戦,Normal,2,,batter2,,Nothing,,,,,,2517200184,ボール,,7262.0,https://youtu.be/qtleY3b7SPw&t=7262,4393.0,https://youtu.be/w4EK4mdFK2Q&t=4393,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶,"安田,秋元,中山,工藤,荒井慶,酒井,青貝,井之口,明石","batter1,batter2,batter3,batter4,batter5,batter6_2,batter7,batter8,batter9","有水,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6_2,batter7,batter8,batter9","R,L,R,L,R,R,L,R,L,L","R,R,R,L,R,L,L,R,R,R","Kohei, Arimizu","Ken, Akashi","Taiyo, Nakayama","Koji, Inokuchi","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Keito, Arai",,,,,,,
185,6.0,179.0,2025/6/22,7283.033118,6993.033121,1750561842,3.0,2.0,有水,Right,TOK,4,batter4,Right,オール足利クラブ,6,Top,1,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,130.0,0.437,-0.367,,,TOK,#217fc4,東大,オール足利クラブ,#ff0000,全足利,TodaiStadium,A,夏季オープン戦,Normal,2,,batter2,,Nothing,,,,,,2517200185,ボール,,7281.0,https://youtu.be/qtleY3b7SPw&t=7281,4412.0,https://youtu.be/w4EK4mdFK2Q&t=4412,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶,"安田,秋元,中山,工藤,荒井慶,酒井,青貝,井之口,明石","batter1,batter2,batter3,batter4,batter5,batter6_2,batter7,batter8,batter9","有水,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6_2,batter7,batter8,batter9","R,L,R,L,R,R,L,R,L,L","R,R,R,L,R,L,L,R,R,R","Kohei, Arimizu","Ken, Akashi","Taiyo, Nakayama","Koji, Inokuchi","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Keito, Arai",,,,,,,
186,7.0,180.0,2025/6/22,7303.998932,7013.998935,1750561863,3.0,3.0,有水,Right,TOK,4,batter4,Right,オール足利クラブ,6,Top,1,2,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,127.0,0.498,-0.228,,,TOK,#217fc4,東大,オール足利クラブ,#ff0000,全足利,TodaiStadium,A,夏季オープン戦,Normal,2,,batter2,,Nothing,,,,,,2517200186,見逃し,,7301.0,https://youtu.be/qtleY3b7SPw&t=7301,4433.0,https://youtu.be/w4EK4mdFK2Q&t=4433,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶,"安田,秋元,中山,工藤,荒井慶,酒井,青貝,井之口,明石","batter1,batter2,batter3,batter4,batter5,batter6_2,batter7,batter8,batter9","有水,明石,中山,井之口,秋元,青貝,安田,酒井,荒井慶","pos1,batter2,batter3,batter4,batter5,batter6_2,batter7,batter8,batter9","R,L,R,L,R,R,L,R,L,L","R,R,R,L,R,L,L,R,R,R","Kohei, Arimizu","Ken, Akashi","Taiyo, Nakayama","Koji, Inokuchi","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Keito, Arai",,,,,,,
