count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji
305,12.0,295.0,2025/08/08,9923.762856006622,9323.762856960297,1754641318.037885,3.0,3.0,永島,Right,TOK,6,batter6,Right,岩手大,9,Top,1,0,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,109.0,1.034,-0.5529999999999999,,,TOK,#217fc4,東大,岩手大,#5a65ff,岩手大, きたぎん_120,B,夏季オープン戦,Normal,2,,batter5_2,,Nothing,,,,,,2521930305,ボール,,9921.0,https://youtu.be/ev_2MQjwpjI&t=9921,6144.0,https://youtu.be/G8QG_Spc5dg&t=6144,内海,春山,今泉,田崎,小田,村尾,伊藤,堀端,"村尾,堀端,春山,鈴木,田崎,内海,小田,伊藤,今泉","batter1,batter2,batter3,batter4,batter5_2,batter6,batter7,batter8,batter9_2","永島,内海,春山,今泉,田崎,小田,村尾,伊藤,堀端","pos1_3,batter2,batter3,batter4,batter5_2,batter6,batter7,batter8,batter9_2","R,R,L,R,L,R,R,R,L,L","R,R,R,R,L,R,R,R,L,L","Haruki, Nagashima","Uchiumi, Noboru","Yuichiro, Haruyama","Rio, Imaizumi","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
306,13.0,296.0,2025/08/08,9946.4495780468,9346.4495780468,1754641340.724606,3.0,4.0,永島,Right,TOK,6,batter6,Right,岩手大,9,Top,1,1,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,116.0,0.157,-0.032,,,TOK,#217fc4,東大,岩手大,#5a65ff,岩手大, きたぎん_120,B,夏季オープン戦,Normal,2,,batter5_2,,Nothing,,,,"2,6","2,6",2521930306,ボール,,9944.0,https://youtu.be/ev_2MQjwpjI&t=9944,6167.0,https://youtu.be/G8QG_Spc5dg&t=6167,内海,春山,今泉,田崎,小田,村尾,伊藤,堀端,"村尾,堀端,春山,鈴木,田崎,内海,小田,伊藤,今泉","batter1,batter2,batter3,batter4,batter5_2,batter6,batter7,batter8,batter9_2","永島,内海,春山,今泉,田崎,小田,村尾,伊藤,堀端","pos1_3,batter2,batter3,batter4,batter5_2,batter6,batter7,batter8,batter9_2","R,R,L,R,L,R,R,R,L,L","R,R,R,R,L,R,R,R,L,L","Haruki, Nagashima","Uchiumi, Noboru","Yuichiro, Haruyama","Rio, Imaizumi","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
307,14.0,297.0,2025/08/08,9974.779788970947,9374.779788970947,1754641369.054817,3.0,5.0,永島,Right,TOK,6,batter6,Right,岩手大,9,Top,1,2,2,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,126.0,1.034,-0.108,43.57502314387043,-19.78427870400942,TOK,#217fc4,東大,岩手大,#5a65ff,岩手大, きたぎん_120,B,夏季オープン戦,Normal,2,,batter5_2,,Undefined,,,,"6,3","6,3",2521930307,遊ゴ,,9972.0,https://youtu.be/ev_2MQjwpjI&t=9972,6195.0,https://youtu.be/G8QG_Spc5dg&t=6195,内海,春山,今泉,田崎,小田,村尾,伊藤,堀端,"村尾,堀端,春山,鈴木,田崎,内海,小田,伊藤,今泉","batter1,batter2,batter3,batter4,batter5_2,batter6,batter7,batter8,batter9_2","永島,内海,春山,今泉,田崎,小田,村尾,伊藤,堀端","pos1_3,batter2,batter3,batter4,batter5_2,batter6,batter7,batter8,batter9_2","R,R,L,R,L,R,R,R,L,L","R,R,R,R,L,R,R,R,L,L","Haruki, Nagashima","Uchiumi, Noboru","Yuichiro, Haruyama","Rio, Imaizumi","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
308,15.0,298.0,2025/08/08,10007.79496383667,9407.794965028765,1754641402.069993,4.0,1.0,永島,Right,TOK,7,batter7,Right,岩手大,9,Top,2,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,114.0,0.594,-0.212,,,TOK,#217fc4,東大,岩手大,#5a65ff,岩手大, きたぎん_120,B,夏季オープン戦,Normal,3,,,batter5_2,Nothing,,,,,,2521930308,見逃し,,10005.0,https://youtu.be/ev_2MQjwpjI&t=10005,6214.0,https://youtu.be/G8QG_Spc5dg&t=6214,内海,春山,今泉,田崎,小田,村尾,伊藤,堀端,"村尾,堀端,春山,鈴木,田崎,内海,小田,伊藤,今泉","batter1,batter2,batter3,batter4,batter5_2,batter6,batter7,batter8,batter9_2","永島,内海,春山,今泉,田崎,小田,村尾,伊藤,堀端","pos1_3,batter2,batter3,batter4,batter5_2,batter6,batter7,batter8,batter9_2","R,R,L,R,L,R,R,R,L,L","R,R,R,R,L,R,R,R,L,L","Haruki, Nagashima","Uchiumi, Noboru","Yuichiro, Haruyama","Rio, Imaizumi","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
309,16.0,299.0,2025/08/08,10024.26499605179,9424.264996051788,1754641418.540024,4.0,2.0,永島,Right,TOK,7,batter7,Right,岩手大,9,Top,2,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,113.0,0.502,-0.487,,,TOK,#217fc4,東大,岩手大,#5a65ff,岩手大, きたぎん_120,B,夏季オープン戦,Normal,3,,,batter5_2,Nothing,,,,,,2521930309,ボール,,10022.0,https://youtu.be/ev_2MQjwpjI&t=10022,6231.0,https://youtu.be/G8QG_Spc5dg&t=6231,内海,春山,今泉,田崎,小田,村尾,伊藤,堀端,"村尾,堀端,春山,鈴木,田崎,内海,小田,伊藤,今泉","batter1,batter2,batter3,batter4,batter5_2,batter6,batter7,batter8,batter9_2","永島,内海,春山,今泉,田崎,小田,村尾,伊藤,堀端","pos1_3,batter2,batter3,batter4,batter5_2,batter6,batter7,batter8,batter9_2","R,R,L,R,L,R,R,R,L,L","R,R,R,R,L,R,R,R,L,L","Haruki, Nagashima","Uchiumi, Noboru","Yuichiro, Haruyama","Rio, Imaizumi","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
310,17.0,300.0,2025/08/08,10039.46239519119,9439.462395906448,1754641433.737424,4.0,3.0,永島,Right,TOK,7,batter7,Right,岩手大,9,Top,2,1,1,Slider,FoulBall,Undefined,GroundBall,Undefined,0,0,,110.0,0.57,-0.2239999999999999,12.82083410743406,156.974507991472,TOK,#217fc4,東大,岩手大,#5a65ff,岩手大, きたぎん_120,B,夏季オープン戦,Normal,3,,,batter5_2,Undefined,,,,,,2521930310,ファール,,10037.0,https://youtu.be/ev_2MQjwpjI&t=10037,6246.0,https://youtu.be/G8QG_Spc5dg&t=6246,内海,春山,今泉,田崎,小田,村尾,伊藤,堀端,"村尾,堀端,春山,鈴木,田崎,内海,小田,伊藤,今泉","batter1,batter2,batter3,batter4,batter5_2,batter6,batter7,batter8,batter9_2","永島,内海,春山,今泉,田崎,小田,村尾,伊藤,堀端","pos1_3,batter2,batter3,batter4,batter5_2,batter6,batter7,batter8,batter9_2","R,R,L,R,L,R,R,R,L,L","R,R,R,R,L,R,R,R,L,L","Haruki, Nagashima","Uchiumi, Noboru","Yuichiro, Haruyama","Rio, Imaizumi","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
311,18.0,301.0,2025/08/08,10065.49649500847,9465.496496200562,1754641459.771524,4.0,4.0,永島,Right,TOK,7,batter7,Right,岩手大,9,Top,2,1,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,122.0,0.163,-0.204,,,TOK,#217fc4,東大,岩手大,#5a65ff,岩手大, きたぎん_120,B,夏季オープン戦,Normal,3,,,batter5_2,Nothing,,,,,,2521930311,ボール,,10063.0,https://youtu.be/ev_2MQjwpjI&t=10063,6272.0,https://youtu.be/G8QG_Spc5dg&t=6272,内海,春山,今泉,田崎,小田,村尾,伊藤,堀端,"村尾,堀端,春山,鈴木,田崎,内海,小田,伊藤,今泉","batter1,batter2,batter3,batter4,batter5_2,batter6,batter7,batter8,batter9_2","永島,内海,春山,今泉,田崎,小田,村尾,伊藤,堀端","pos1_3,batter2,batter3,batter4,batter5_2,batter6,batter7,batter8,batter9_2","R,R,L,R,L,R,R,R,L,L","R,R,R,R,L,R,R,R,L,L","Haruki, Nagashima","Uchiumi, Noboru","Yuichiro, Haruyama","Rio, Imaizumi","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
312,19.0,302.0,2025/08/08,10081.41403007507,9481.414030075071,1754641475.689058,4.0,5.0,永島,Right,TOK,7,batter7,Right,岩手大,9,Top,2,2,2,Fastball,InPlay,Undefined,FlyBall,Single,0,1,,125.0,0.574,-0.12,77.1993928763341,25.09625046269216,TOK,#217fc4,東大,岩手大,#5a65ff,岩手大, きたぎん_120,B,夏季オープン戦,Normal,3,,,batter5_2,Undefined,,,batter5_2,9,9,2521930312,右安①,,10079.0,https://youtu.be/ev_2MQjwpjI&t=10079,6288.0,https://youtu.be/G8QG_Spc5dg&t=6288,内海,春山,今泉,田崎,小田,村尾,伊藤,堀端,"村尾,堀端,春山,鈴木,田崎,内海,小田,伊藤,今泉","batter1,batter2,batter3,batter4,batter5_2,batter6,batter7,batter8,batter9_2","永島,内海,春山,今泉,田崎,小田,村尾,伊藤,堀端","pos1_3,batter2,batter3,batter4,batter5_2,batter6,batter7,batter8,batter9_2","R,R,L,R,L,R,R,R,L,L","R,R,R,R,L,R,R,R,L,L","Haruki, Nagashima","Uchiumi, Noboru","Yuichiro, Haruyama","Rio, Imaizumi","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
313,20.0,303.0,2025/08/08,10122.07908082008,9522.079080820084,1754641516.354109,5.0,1.0,永島,Right,TOK,8,batter8_2,Right,岩手大,9,Top,2,0,0,Slider,InPlay,Undefined,FlyBall,Out,1,0,,112.0,,,44.05167948106081,-3.839596337953471,TOK,#217fc4,東大,岩手大,#5a65ff,岩手大, きたぎん_120,B,夏季オープン戦,Normal,1,batter7,,,Undefined,,,,4,4,2521930313,二飛,,10120.0,https://youtu.be/ev_2MQjwpjI&t=10120,6315.0,https://youtu.be/G8QG_Spc5dg&t=6315,内海,春山,今泉,田崎,小田,村尾,伊藤,堀端,"村尾,堀端,春山,鈴木,田崎,内海,小田,伊藤,今泉","batter1,batter2,batter3,batter4,batter5_2,batter6,batter7,batter8_2,batter9_2","永島,内海,春山,今泉,田崎,小田,村尾,伊藤,堀端","pos1_3,batter2,batter3,batter4,batter5_2,batter6,batter7,batter8_2,batter9_2","R,R,L,R,L,R,R,R,L,L","R,R,R,R,L,R,R,R,R,L","Haruki, Nagashima","Uchiumi, Noboru","Yuichiro, Haruyama","Rio, Imaizumi","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
314,55.0,304.0,2025/08/08,10230.48308086395,9630.483080863953,1754641624.758109,1.0,1.0,pos1_3,Right,岩手大,8,伊藤,Left,TOK,9,Bottom,0,0,0,Slider,FoulBall,Undefined,FlyBall,Undefined,0,0,,114.0,0.602,0.072,43.39392459807267,-82.97160376105039,TOK,#217fc4,東大,岩手大,#5a65ff,岩手大, きたぎん_120,B,夏季オープン戦,Normal,,,,,Undefined,,,,,,2521930314,ファール,,10228.0,https://youtu.be/ev_2MQjwpjI&t=10228,6335.0,https://youtu.be/G8QG_Spc5dg&t=6335,batter2,batter3,batter4,batter5_2,batter6,batter7,batter8_2,batter9_2,"村尾,堀端,春山,鈴木,田崎,内海,小田,伊藤,今泉","batter1,batter2,batter3,batter4,batter5_2,batter6,batter7,batter8_2,batter9_2","永島,内海,春山,今泉,田崎,小田,村尾,伊藤,堀端","pos1_3,batter2,batter3,batter4,batter5_2,batter6,batter7,batter8_2,batter9_2","R,R,L,R,L,R,R,R,L,L","R,R,R,R,L,R,R,R,R,L",,,,,,,,,,,"Koichiro, Ito",,,,,
