count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji
0,1.0,1.0,2025/8/10,896.7696528,381.7696548,1754783754,1.0,1.0,pos1,Left,JR盛岡,1,大坂,Left,TOK,1,Top,0,0,0,Fastball,FoulBall,Undefined,LineDrive,Undefined,0,0,,130.0,0.49,0.212,19.88690713,-122.2756443,JR盛岡,#3217e5,JR,TOK,#217fc4,東大, きたぎんボールパーク_120,B,夏季オープン戦,Normal,,,,,Undefined,,,,,,2522120000,ファール,,894,https://youtu.be/DHOI4w33W04&t=894,404,https://youtu.be/J2BhUppezNE&t=404,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大坂,伊藤,春山,藤尾,堀端,田崎,小田,土ヶ端,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","持永,土ヶ端,春山,塗師,田崎,小田,大坂,伊藤,堀端","R,R,R,R,R,R,R,R,R,R","L,L,L,R,R,L,R,R,R,R","Yuki, Osaka",,,,,,,,,,,,,,,
1,2.0,2.0,2025/8/10,910.474942,395.4749439,1754783768,1.0,2.0,pos1,Left,JR盛岡,1,大坂,Left,TOK,1,Top,0,0,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,121.0,0.674,-0.12,,,JR盛岡,#3217e5,JR,TOK,#217fc4,東大, きたぎんボールパーク_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2522120001,見逃し,,908,https://youtu.be/DHOI4w33W04&t=908,417,https://youtu.be/J2BhUppezNE&t=417,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大坂,伊藤,春山,藤尾,堀端,田崎,小田,土ヶ端,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","持永,土ヶ端,春山,塗師,田崎,小田,大坂,伊藤,堀端","R,R,R,R,R,R,R,R,R,R","L,L,L,R,R,L,R,R,R,R","Yuki, Osaka",,,,,,,,,,,,,,,
2,3.0,3.0,2025/8/10,926.6823668,411.6823678,1754783784,1.0,3.0,pos1,Left,JR盛岡,1,大坂,Left,TOK,1,Top,0,0,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,132.0,0.11,0.32,,,JR盛岡,#3217e5,JR,TOK,#217fc4,東大, きたぎんボールパーク_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2522120002,ボール,,924,https://youtu.be/DHOI4w33W04&t=924,433,https://youtu.be/J2BhUppezNE&t=433,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大坂,伊藤,春山,藤尾,堀端,田崎,小田,土ヶ端,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","持永,土ヶ端,春山,塗師,田崎,小田,大坂,伊藤,堀端","R,R,R,R,R,R,R,R,R,R","L,L,L,R,R,L,R,R,R,R","Yuki, Osaka",,,,,,,,,,,,,,,
3,4.0,4.0,2025/8/10,938.5223119,423.5223129,1754783796,1.0,4.0,pos1,Left,JR盛岡,1,大坂,Left,TOK,1,Top,0,1,2,Slider,InPlay,Undefined,GroundBall,Out,1,0,,118.0,0.538,0.136,34.46281262,35.5946885,JR盛岡,#3217e5,JR,TOK,#217fc4,東大, きたぎんボールパーク_120,B,夏季オープン戦,Normal,,,,,Undefined,,,,3,3A,2522120003,一ゴ,,936,https://youtu.be/DHOI4w33W04&t=936,445,https://youtu.be/J2BhUppezNE&t=445,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大坂,伊藤,春山,藤尾,堀端,田崎,小田,土ヶ端,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","持永,土ヶ端,春山,塗師,田崎,小田,大坂,伊藤,堀端","R,R,R,R,R,R,R,R,R,R","L,L,L,R,R,L,R,R,R,R","Yuki, Osaka",,,,,,,,,,,,,,,
4,5.0,5.0,2025/8/10,960.6329637,445.6329658,1754783818,2.0,1.0,pos1,Left,JR盛岡,2,伊藤,Left,TOK,1,Top,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,132.0,0.642,0.012,,,JR盛岡,#3217e5,JR,TOK,#217fc4,東大, きたぎんボールパーク_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2522120004,見逃し,,958,https://youtu.be/DHOI4w33W04&t=958,462,https://youtu.be/J2BhUppezNE&t=462,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大坂,伊藤,春山,藤尾,堀端,田崎,小田,土ヶ端,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","持永,土ヶ端,春山,塗師,田崎,小田,大坂,伊藤,堀端","R,R,R,R,R,R,R,R,R,R","L,L,L,R,R,L,R,R,R,R","Koichiro, Ito",,,,,,,,,,,,,,,
5,6.0,6.0,2025/8/10,968.8834238,453.883425,1754783826,2.0,2.0,pos1,Left,JR盛岡,2,伊藤,Left,TOK,1,Top,1,0,1,Slider,FoulBall,Undefined,GroundBall,Undefined,0,0,,120.0,0.618,0.076,57.24614227,68.85650356,JR盛岡,#3217e5,JR,TOK,#217fc4,東大, きたぎんボールパーク_120,B,夏季オープン戦,Normal,,,,,Undefined,,,,,,2522120005,ファール,,966,https://youtu.be/DHOI4w33W04&t=966,470,https://youtu.be/J2BhUppezNE&t=470,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大坂,伊藤,春山,藤尾,堀端,田崎,小田,土ヶ端,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","持永,土ヶ端,春山,塗師,田崎,小田,大坂,伊藤,堀端","R,R,R,R,R,R,R,R,R,R","L,L,L,R,R,L,R,R,R,R","Koichiro, Ito",,,,,,,,,,,,,,,
6,7.0,7.0,2025/8/10,980.6025138,465.6025147,1754783838,2.0,3.0,pos1,Left,JR盛岡,2,伊藤,Left,TOK,1,Top,1,0,2,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,132.0,,,,,JR盛岡,#3217e5,JR,TOK,#217fc4,東大, きたぎんボールパーク_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2522120006,空三振,,978,https://youtu.be/DHOI4w33W04&t=978,482,https://youtu.be/J2BhUppezNE&t=482,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大坂,伊藤,春山,藤尾,堀端,田崎,小田,土ヶ端,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","持永,土ヶ端,春山,塗師,田崎,小田,大坂,伊藤,堀端","R,R,R,R,R,R,R,R,R,R","L,L,L,R,R,L,R,R,R,R","Koichiro, Ito",,,,,,,,,,,,,,,
7,8.0,8.0,2025/8/10,1002.413725,487.4137268,1754783860,3.0,1.0,pos1,Left,JR盛岡,3,春山,Right,TOK,1,Top,2,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,120.0,0.694,-0.487,,,JR盛岡,#3217e5,JR,TOK,#217fc4,東大, きたぎんボールパーク_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2522120007,ボール,,1000,https://youtu.be/DHOI4w33W04&t=1000,495,https://youtu.be/J2BhUppezNE&t=495,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大坂,伊藤,春山,藤尾,堀端,田崎,小田,土ヶ端,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","持永,土ヶ端,春山,塗師,田崎,小田,大坂,伊藤,堀端","R,R,R,R,R,R,R,R,R,R","L,L,L,R,R,L,R,R,R,R","Yuichiro, Haruyama",,,,,,,,,,,,,,,
8,9.0,9.0,2025/8/10,1011.741031,496.7410328,1754783869,3.0,2.0,pos1,Left,JR盛岡,3,春山,Right,TOK,1,Top,2,1,0,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,130.0,0.61,0.104,46.36150969,-18.55023193,JR盛岡,#3217e5,JR,TOK,#217fc4,東大, きたぎんボールパーク_120,B,夏季オープン戦,Normal,,,,,Undefined,,,,"6,3","6,3",2522120008,遊ゴ,,1009,https://youtu.be/DHOI4w33W04&t=1009,504,https://youtu.be/J2BhUppezNE&t=504,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大坂,伊藤,春山,藤尾,堀端,田崎,小田,土ヶ端,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","持永,土ヶ端,春山,塗師,田崎,小田,大坂,伊藤,堀端","R,R,R,R,R,R,R,R,R,R","L,L,L,R,R,L,R,R,R,R","Yuichiro, Haruyama",,,,,,,,,,,,,,,
9,1.0,10.0,2025/8/10,1183.181543,668.1815486,1754784041,1.0,1.0,持永,Right,TOK,1,batter1,Right,JR盛岡,1,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,130.0,1.197,-0.196,,,JR盛岡,#3217e5,JR,TOK,#217fc4,東大, きたぎんボールパーク_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2522120009,ボール,,1181,https://youtu.be/DHOI4w33W04&t=1181,611,https://youtu.be/J2BhUppezNE&t=611,土ヶ端,春山,塗師,田崎,小田,大坂,伊藤,堀端,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","大坂,伊藤,春山,藤尾,堀端,田崎,小田,土ヶ端,塗師","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","持永,土ヶ端,春山,塗師,田崎,小田,大坂,伊藤,堀端","R,R,R,R,R,R,R,R,R,R","L,L,L,R,R,L,R,R,R,R",,,,,,,"Yusuke, Mochinaga","Yuto, Tsuchigahata","Yuichiro, Haruyama","Takuma, Nushi","Tasaki, Shu","Shu, Oda","Yuki, Osaka","Koichiro, Ito","Taiki, Horibata",
