count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji
99,36.0,95.0,2025/07/19,3876.853147745133,2876.853148937225,1752891474.173664,3.0,2.0,高橋,Right,TOK,1,batter1,Right,杏林大,3,Bottom,1,0,1,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,,0.634,0.26,25.82763910306493,-13.87752980320801,杏林大,#ff3900,杏林大,TOK,#217fc4,東大, 杏林大学G_115,B,夏季オープン戦,Normal,,,,,Undefined,,,,"6,3","6,3A",2519920099,遊ゴ,,3874.0,https://youtu.be/sp6PVhIpIOQ&t=3874,2363.0,https://youtu.be/Z5viA3mwfTE&t=2363,大山,石川,小田,横井,今泉,山本,堀端,岡林,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","鈴木,岡林,石川,山本,大山,横井,小田,堀端,今泉","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,大山,石川,小田,横井,今泉,山本,堀端,岡林","R,R,R,L,R,L,R,R,R,R","R,L,L,R,R,R,R,R,L,L",,,,,,,"Naoto, Takahashi","Hiroto, Oyama","Hikaru, Ishikawa","Shu, Oda","Shuntaro, Yokoi","Rio, Imaizumi","Akira, Yamamoto","Taiki, Horibata","Yuna, Okabayashi",
100,37.0,96.0,2025/07/19,3906.126195907593,2906.126196861267,1752891503.446712,4.0,1.0,高橋,Right,TOK,2,batter2,Right,杏林大,3,Bottom,2,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,125.0,0.586,0.208,,,杏林大,#ff3900,杏林大,TOK,#217fc4,東大, 杏林大学G_115,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2519920100,見逃し,,3904.0,https://youtu.be/sp6PVhIpIOQ&t=3904,2380.0,https://youtu.be/Z5viA3mwfTE&t=2380,大山,石川,小田,横井,今泉,山本,堀端,岡林,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","鈴木,岡林,石川,山本,大山,横井,小田,堀端,今泉","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,大山,石川,小田,横井,今泉,山本,堀端,岡林","R,R,R,L,R,L,R,R,R,R","R,L,L,R,R,R,R,R,L,L",,,,,,,"Naoto, Takahashi","Hiroto, Oyama","Hikaru, Ishikawa","Shu, Oda","Shuntaro, Yokoi","Rio, Imaizumi","Akira, Yamamoto","Taiki, Horibata","Yuna, Okabayashi",
101,38.0,97.0,2025/07/19,3916.932762861252,2916.932763814926,1752891514.253279,4.0,2.0,高橋,Right,TOK,2,batter2,Right,杏林大,3,Bottom,2,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,139.0,0.43,-0.527,,,杏林大,#ff3900,杏林大,TOK,#217fc4,東大, 杏林大学G_115,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2519920101,ボール,,3914.0,https://youtu.be/sp6PVhIpIOQ&t=3914,2391.0,https://youtu.be/Z5viA3mwfTE&t=2391,大山,石川,小田,横井,今泉,山本,堀端,岡林,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","鈴木,岡林,石川,山本,大山,横井,小田,堀端,今泉","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,大山,石川,小田,横井,今泉,山本,堀端,岡林","R,R,R,L,R,L,R,R,R,R","R,L,L,R,R,R,R,R,L,L",,,,,,,"Naoto, Takahashi","Hiroto, Oyama","Hikaru, Ishikawa","Shu, Oda","Shuntaro, Yokoi","Rio, Imaizumi","Akira, Yamamoto","Taiki, Horibata","Yuna, Okabayashi",
102,39.0,98.0,2025/07/19,3929.119071006775,2929.119071960449,1752891526.439587,4.0,3.0,高橋,Right,TOK,2,batter2,Right,杏林大,3,Bottom,2,1,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,125.0,0.4429999999999999,-0.433,,,杏林大,#ff3900,杏林大,TOK,#217fc4,東大, 杏林大学G_115,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2519920102,空振り,,3927.0,https://youtu.be/sp6PVhIpIOQ&t=3927,2403.0,https://youtu.be/Z5viA3mwfTE&t=2403,大山,石川,小田,横井,今泉,山本,堀端,岡林,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","鈴木,岡林,石川,山本,大山,横井,小田,堀端,今泉","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,大山,石川,小田,横井,今泉,山本,堀端,岡林","R,R,R,L,R,L,R,R,R,R","R,L,L,R,R,R,R,R,L,L",,,,,,,"Naoto, Takahashi","Hiroto, Oyama","Hikaru, Ishikawa","Shu, Oda","Shuntaro, Yokoi","Rio, Imaizumi","Akira, Yamamoto","Taiki, Horibata","Yuna, Okabayashi",
103,40.0,99.0,2025/07/19,3942.152204751968,2942.152204751968,1752891539.47272,4.0,4.0,高橋,Right,TOK,2,batter2,Right,杏林大,3,Bottom,2,1,2,Slider,FoulBall,Undefined,GroundBall,Undefined,0,0,,,0.5539999999999999,-0.176,31.61300656823257,49.920616036364,杏林大,#ff3900,杏林大,TOK,#217fc4,東大, 杏林大学G_115,B,夏季オープン戦,Normal,,,,,Undefined,,,,,,2519920103,ファール,,3940.0,https://youtu.be/sp6PVhIpIOQ&t=3940,2416.0,https://youtu.be/Z5viA3mwfTE&t=2416,大山,石川,小田,横井,今泉,山本,堀端,岡林,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","鈴木,岡林,石川,山本,大山,横井,小田,堀端,今泉","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,大山,石川,小田,横井,今泉,山本,堀端,岡林","R,R,R,L,R,L,R,R,R,R","R,L,L,R,R,R,R,R,L,L",,,,,,,"Naoto, Takahashi","Hiroto, Oyama","Hikaru, Ishikawa","Shu, Oda","Shuntaro, Yokoi","Rio, Imaizumi","Akira, Yamamoto","Taiki, Horibata","Yuna, Okabayashi",
104,41.0,100.0,2025/07/19,3974.464633703232,2974.464634895325,1752891571.78515,4.0,5.0,高橋,Right,TOK,2,batter2,Right,杏林大,3,Bottom,2,1,2,TwoSeamFastBall,BallCalled,Undefined,Undefined,Undefined,0,0,,128.0,0.898,0.44,,,杏林大,#ff3900,杏林大,TOK,#217fc4,東大, 杏林大学G_115,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2519920104,ボール,,3972.0,https://youtu.be/sp6PVhIpIOQ&t=3972,2448.0,https://youtu.be/Z5viA3mwfTE&t=2448,大山,石川,小田,横井,今泉,山本,堀端,岡林,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","鈴木,岡林,石川,山本,大山,横井,小田,堀端,今泉","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,大山,石川,小田,横井,今泉,山本,堀端,岡林","R,R,R,L,R,L,R,R,R,R","R,L,L,R,R,R,R,R,L,L",,,,,,,"Naoto, Takahashi","Hiroto, Oyama","Hikaru, Ishikawa","Shu, Oda","Shuntaro, Yokoi","Rio, Imaizumi","Akira, Yamamoto","Taiki, Horibata","Yuna, Okabayashi",
105,42.0,101.0,2025/07/19,3987.376356840134,2987.376357793808,1752891584.696873,4.0,6.0,高橋,Right,TOK,2,batter2,Right,杏林大,3,Bottom,2,2,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,120.0,0.23,0.092,,,杏林大,#ff3900,杏林大,TOK,#217fc4,東大, 杏林大学G_115,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2519920105,ボール,,3985.0,https://youtu.be/sp6PVhIpIOQ&t=3985,2461.0,https://youtu.be/Z5viA3mwfTE&t=2461,大山,石川,小田,横井,今泉,山本,堀端,岡林,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","鈴木,岡林,石川,山本,大山,横井,小田,堀端,今泉","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,大山,石川,小田,横井,今泉,山本,堀端,岡林","R,R,R,L,R,L,R,R,R,R","R,L,L,R,R,R,R,R,L,L",,,,,,,"Naoto, Takahashi","Hiroto, Oyama","Hikaru, Ishikawa","Shu, Oda","Shuntaro, Yokoi","Rio, Imaizumi","Akira, Yamamoto","Taiki, Horibata","Yuna, Okabayashi",
106,43.0,102.0,2025/07/19,4008.437901735306,3008.43790268898,1752891605.758418,4.0,7.0,高橋,Right,TOK,2,batter2,Right,杏林大,3,Bottom,2,3,2,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,141.0,0.81,-0.34,,,杏林大,#ff3900,杏林大,TOK,#217fc4,東大, 杏林大学G_115,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2519920106,四球,,4006.0,https://youtu.be/sp6PVhIpIOQ&t=4006,2482.0,https://youtu.be/Z5viA3mwfTE&t=2482,大山,石川,小田,横井,今泉,山本,堀端,岡林,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","鈴木,岡林,石川,山本,大山,横井,小田,堀端,今泉","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,大山,石川,小田,横井,今泉,山本,堀端,岡林","R,R,R,L,R,L,R,R,R,R","R,L,L,R,R,R,R,R,L,L",,,,,,,"Naoto, Takahashi","Hiroto, Oyama","Hikaru, Ishikawa","Shu, Oda","Shuntaro, Yokoi","Rio, Imaizumi","Akira, Yamamoto","Taiki, Horibata","Yuna, Okabayashi",
107,44.0,103.0,2025/07/19,4048.896422863007,3048.896422863007,1752891646.216939,5.0,1.0,高橋,Right,TOK,3,batter3,Left,杏林大,3,Bottom,2,0,0,TwoSeamFastBall,StrikeCalled,Undefined,Undefined,Undefined,0,0,,132.0,0.758,0.28,,,杏林大,#ff3900,杏林大,TOK,#217fc4,東大, 杏林大学G_115,B,夏季オープン戦,Normal,1,batter2,,,Nothing,,,,,,2519920107,見逃し,,4046.0,https://youtu.be/sp6PVhIpIOQ&t=4046,2503.0,https://youtu.be/Z5viA3mwfTE&t=2503,大山,石川,小田,横井,今泉,山本,堀端,岡林,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","鈴木,岡林,石川,山本,大山,横井,小田,堀端,今泉","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,大山,石川,小田,横井,今泉,山本,堀端,岡林","R,R,R,L,R,L,R,R,R,R","R,L,L,R,R,R,R,R,L,L",,,,,,,"Naoto, Takahashi","Hiroto, Oyama","Hikaru, Ishikawa","Shu, Oda","Shuntaro, Yokoi","Rio, Imaizumi","Akira, Yamamoto","Taiki, Horibata","Yuna, Okabayashi",
108,45.0,104.0,2025/07/19,4067.514371871948,3067.514371871948,1752891664.834887,5.0,2.0,高橋,Right,TOK,3,batter3,Left,杏林大,3,Bottom,2,0,1,TwoSeamFastBall,InPlay,Undefined,FlyBall,Out,1,0,,136.0,0.858,-0.004,83.35644836380119,7.992702666670688,杏林大,#ff3900,杏林大,TOK,#217fc4,東大, 杏林大学G_115,B,夏季オープン戦,Normal,1,batter2,,,Undefined,,,,8,8,2519920108,中飛,,4065.0,https://youtu.be/sp6PVhIpIOQ&t=4065,2522.0,https://youtu.be/Z5viA3mwfTE&t=2522,大山,石川,小田,横井,今泉,山本,堀端,岡林,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","鈴木,岡林,石川,山本,大山,横井,小田,堀端,今泉","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","高橋,大山,石川,小田,横井,今泉,山本,堀端,岡林","R,R,R,L,R,L,R,R,R,R","R,L,L,R,R,R,R,R,L,L",,,,,,,"Naoto, Takahashi","Hiroto, Oyama","Hikaru, Ishikawa","Shu, Oda","Shuntaro, Yokoi","Rio, Imaizumi","Akira, Yamamoto","Taiki, Horibata","Yuna, Okabayashi",
