count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,run_person_romaji,scored_person_romaji
0,1.0,1.0,2025/08/07,1280.89993596077,950.899936914444,1754529045.970421,1.0,1.0,松本慎,Left,TOK,1,batter1,Left,東農オ,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,130.0,0.4579999999999999,0.248,,,TOK,#217fc4,東大,東農オ,#b92cff,東農オ,Engaru_122,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521800000,ボール,,1278.0,https://youtu.be/NK3nB7tBl70&t=1278,810.0,https://youtu.be/4DjW2YqmMKE&t=810,明石,中山,小村,青貝,樋口,榎本,酒井,大原,"酒井,榎本,中山,大原,秋元,青貝,小村,明石,樋口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","松本慎,明石,中山,小村,青貝,樋口,榎本,酒井,大原","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,R,L,L,R","R,L,L,R,R,R,R,R,R,R","Shinnosuke, Matsumoto","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Yoshinobu, Enomoto","Suguru, Sakai","Kaiki, Ohara",,,,,,,
1,2.0,2.0,2025/08/07,1293.246939182281,963.2469401359558,1754529058.317424,1.0,2.0,松本慎,Left,TOK,1,batter1,Left,東農オ,1,Top,0,1,0,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,,,,40.64913880539853,-65.10869987513418,TOK,#217fc4,東大,東農オ,#b92cff,東農オ,Engaru_122,A,夏季オープン戦,Normal,,,,,Undefined,,,,,,2521800001,ファール,,1291.0,https://youtu.be/NK3nB7tBl70&t=1291,822.0,https://youtu.be/4DjW2YqmMKE&t=822,明石,中山,小村,青貝,樋口,榎本,酒井,大原,"酒井,榎本,中山,大原,秋元,青貝,小村,明石,樋口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","松本慎,明石,中山,小村,青貝,樋口,榎本,酒井,大原","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,R,L,L,R","R,L,L,R,R,R,R,R,R,R","Shinnosuke, Matsumoto","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Yoshinobu, Enomoto","Suguru, Sakai","Kaiki, Ohara",,,,,,,
2,3.0,3.0,2025/08/07,1315.013500928879,985.0135009288788,1754529080.083985,1.0,3.0,松本慎,Left,TOK,1,batter1,Left,東農オ,1,Top,0,1,1,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,132.0,0.626,0.196,27.71134841896156,-117.9289787086809,TOK,#217fc4,東大,東農オ,#b92cff,東農オ,Engaru_122,A,夏季オープン戦,Normal,,,,,Undefined,,,,,,2521800002,ファール,,1313.0,https://youtu.be/NK3nB7tBl70&t=1313,844.0,https://youtu.be/4DjW2YqmMKE&t=844,明石,中山,小村,青貝,樋口,榎本,酒井,大原,"酒井,榎本,中山,大原,秋元,青貝,小村,明石,樋口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","松本慎,明石,中山,小村,青貝,樋口,榎本,酒井,大原","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,R,L,L,R","R,L,L,R,R,R,R,R,R,R","Shinnosuke, Matsumoto","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Yoshinobu, Enomoto","Suguru, Sakai","Kaiki, Ohara",,,,,,,
3,4.0,4.0,2025/08/07,1329.701824903488,999.701826095581,1754529094.772309,1.0,4.0,松本慎,Left,TOK,1,batter1,Left,東農オ,1,Top,0,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.183,0.467,,,TOK,#217fc4,東大,東農オ,#b92cff,東農オ,Engaru_122,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521800003,ボール,,1327.0,https://youtu.be/NK3nB7tBl70&t=1327,858.0,https://youtu.be/4DjW2YqmMKE&t=858,明石,中山,小村,青貝,樋口,榎本,酒井,大原,"酒井,榎本,中山,大原,秋元,青貝,小村,明石,樋口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","松本慎,明石,中山,小村,青貝,樋口,榎本,酒井,大原","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,R,L,L,R","R,L,L,R,R,R,R,R,R,R","Shinnosuke, Matsumoto","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Yoshinobu, Enomoto","Suguru, Sakai","Kaiki, Ohara",,,,,,,
4,5.0,5.0,2025/08/07,1347.896377086639,1017.896378040314,1754529112.966861,1.0,5.0,松本慎,Left,TOK,1,batter1,Left,東農オ,1,Top,0,2,2,Slider,InPlay,Undefined,LineDrive,Single,0,0,,,0.654,0.1159999999999999,60.58013765978367,0.0,TOK,#217fc4,東大,東農オ,#b92cff,東農オ,Engaru_122,A,夏季オープン戦,Normal,,,,,Undefined,,,,8,8,2521800004,中安,,1345.0,https://youtu.be/NK3nB7tBl70&t=1345,876.0,https://youtu.be/4DjW2YqmMKE&t=876,明石,中山,小村,青貝,樋口,榎本,酒井,大原,"酒井,榎本,中山,大原,秋元,青貝,小村,明石,樋口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","松本慎,明石,中山,小村,青貝,樋口,榎本,酒井,大原","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,R,L,L,R","R,L,L,R,R,R,R,R,R,R","Shinnosuke, Matsumoto","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Yoshinobu, Enomoto","Suguru, Sakai","Kaiki, Ohara",,,,,,,
5,6.0,6.0,2025/08/07,1384.962052106857,1054.962053060532,1754529150.032536,2.0,1.0,松本慎,Left,TOK,2,batter2,Left,東農オ,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,A2B,,0.85,0.427,,,TOK,#217fc4,東大,東農オ,#b92cff,東農オ,Engaru_122,A,夏季オープン戦,Normal,1,batter1,,,Nothing,,,,,,2521800005,ボール,,1382.0,https://youtu.be/NK3nB7tBl70&t=1382,888.0,https://youtu.be/4DjW2YqmMKE&t=888,明石,中山,小村,青貝,樋口,榎本,酒井,大原,"酒井,榎本,中山,大原,秋元,青貝,小村,明石,樋口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","松本慎,明石,中山,小村,青貝,樋口,榎本,酒井,大原","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,R,L,L,R","R,L,L,R,R,R,R,R,R,R","Shinnosuke, Matsumoto","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Yoshinobu, Enomoto","Suguru, Sakai","Kaiki, Ohara",,,,,,,
6,,,2025/08/07,1401.441060066223,1071.441061019898,1754529166.511544,,,松本慎,Left,TOK,2,batter2,Left,東農オ,1,Top,0,1,0,,,,,,0,0,,,,,,,TOK,#217fc4,東大,東農オ,#b92cff,東農オ,Engaru_122,A,夏季オープン戦,Normal,1,batter1,,,PickOff,,,,"1,3","1,3",2521800006,牽制,,1399.0,https://youtu.be/NK3nB7tBl70&t=1399,905.0,https://youtu.be/4DjW2YqmMKE&t=905,明石,中山,小村,青貝,樋口,榎本,酒井,大原,"酒井,榎本,中山,大原,秋元,青貝,小村,明石,樋口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","松本慎,明石,中山,小村,青貝,樋口,榎本,酒井,大原","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,R,L,L,R","R,L,L,R,R,R,R,R,R,R","Shinnosuke, Matsumoto","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Yoshinobu, Enomoto","Suguru, Sakai","Kaiki, Ohara",,,,,,,
7,7.0,7.0,2025/08/07,1410.222114086151,1080.222115039825,1754529175.292598,2.0,2.0,松本慎,Left,TOK,2,batter2,Left,東農オ,1,Top,0,1,0,Fastball,InPlay,Undefined,Bunt,Sacrifice,0,0,,,0.742,-0.196,13.41777630152703,33.340707346477,TOK,#217fc4,東大,東農オ,#b92cff,東農オ,Engaru_122,A,夏季オープン戦,Normal,1,batter1,,,Undefined,,松本慎,,"1,4","1E,4",2521800007,投犠,,1408.0,https://youtu.be/NK3nB7tBl70&t=1408,913.0,https://youtu.be/4DjW2YqmMKE&t=913,明石,中山,小村,青貝,樋口,榎本,酒井,大原,"酒井,榎本,中山,大原,秋元,青貝,小村,明石,樋口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","松本慎,明石,中山,小村,青貝,樋口,榎本,酒井,大原","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,R,L,L,R","R,L,L,R,R,R,R,R,R,R","Shinnosuke, Matsumoto","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Yoshinobu, Enomoto","Suguru, Sakai","Kaiki, Ohara","Shinnosuke, Matsumoto",,,,,,
8,8.0,8.0,2025/08/07,1476.868595838547,1146.868595838547,1754529241.939079,3.0,1.0,松本慎,Left,TOK,3,batter3,Right,東農オ,1,Top,0,0,0,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,127.0,0.626,-0.148,67.36248190662208,65.26049113025188,TOK,#217fc4,東大,東農オ,#b92cff,東農オ,Engaru_122,A,夏季オープン戦,Normal,"1,3",batter2,,batter1,Undefined,,,,,,2521800008,ファール,,1474.0,https://youtu.be/NK3nB7tBl70&t=1474,941.0,https://youtu.be/4DjW2YqmMKE&t=941,明石,中山,小村,青貝,樋口,榎本,酒井,大原,"酒井,榎本,中山,大原,秋元,青貝,小村,明石,樋口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","松本慎,明石,中山,小村,青貝,樋口,榎本,酒井,大原","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,R,L,L,R","R,L,L,R,R,R,R,R,R,R","Shinnosuke, Matsumoto","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Yoshinobu, Enomoto","Suguru, Sakai","Kaiki, Ohara",,,,,,,
9,9.0,9.0,2025/08/07,1494.279890060425,1164.279891014099,1754529259.350374,3.0,2.0,松本慎,Left,TOK,3,batter3,Right,東農オ,1,Top,0,0,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,137.0,0.5539999999999999,-0.284,,,TOK,#217fc4,東大,東農オ,#b92cff,東農オ,Engaru_122,A,夏季オープン戦,Normal,"1,3",batter2,,batter1,Nothing,,,,,,2521800009,見逃し,,1492.0,https://youtu.be/NK3nB7tBl70&t=1492,959.0,https://youtu.be/4DjW2YqmMKE&t=959,明石,中山,小村,青貝,樋口,榎本,酒井,大原,"酒井,榎本,中山,大原,秋元,青貝,小村,明石,樋口","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","松本慎,明石,中山,小村,青貝,樋口,榎本,酒井,大原","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,L,R,R,R,L,L,R","R,L,L,R,R,R,R,R,R,R","Shinnosuke, Matsumoto","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Naomasa, Aogai","Kosuke, Higuchi","Yoshinobu, Enomoto","Suguru, Sakai","Kaiki, Ohara",,,,,,,
