count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,run_person_romaji,scored_person_romaji
100,54.0,97.0,2025/7/6,3844.430191,2914.430192,1751782154,2.0,1.0,増田,Right,TOK,3,岡村,Left,城西大,4,Top,0,0,0,Fastball,FoulBall,Undefined,Bunt,Undefined,0,0,A2B,129.0,0.482,-0.012,14.89310391,82.03038961,TOK,#217fc4,東大,城西大,#5548ff,城西大,TodaiStadium,A,夏季オープン戦,Normal,1,古賀,,,Undefined,,,,,,2518610100,ファール,,3842.0,https://youtu.be/y7jYekRX_ZQ&t=3842,2214.0,https://youtu.be/bsOruYtV_DQ&t=2214,深見,春山,門田,横井,今泉,山本,堀端,大坂,"大坂,鈴木,門田,横井,深見,春山,山本,堀端,今泉","甲斐,古賀,岡村,小林,長隆,新津,山富,海田,清水","増田,深見,春山,門田,横井,今泉,山本,堀端,大坂","工藤,小林,長隆,清水,岡村,海田,甲斐,古賀,山富","R,L,R,R,R,L,R,R,L,L","R,R,R,L,L,R,L,R,R,R","Kosei, Masuda","Yuto, Fukami","Yuichiro, Haruyama","Ryohei, Kadota","Shuntaro, Yokoi","Rio, Imaizumi","Akira, Yamamoto","Taiki, Horibata","Yuki, Osaka",,,,,,,
101,,,2025/7/6,3871.227776,2941.227777,1751782180,,,増田,Right,TOK,3,岡村,Left,城西大,4,Top,0,0,1,,,,,,0,0,,,,,,,TOK,#217fc4,東大,城西大,#5548ff,城西大,TodaiStadium,A,夏季オープン戦,Normal,1,古賀,,,PickOff,,,,"1,3","1,3",2518610101,牽制,,3869.0,https://youtu.be/y7jYekRX_ZQ&t=3869,2231.0,https://youtu.be/bsOruYtV_DQ&t=2231,深見,春山,門田,横井,今泉,山本,堀端,大坂,"大坂,鈴木,門田,横井,深見,春山,山本,堀端,今泉","甲斐,古賀,岡村,小林,長隆,新津,山富,海田,清水","増田,深見,春山,門田,横井,今泉,山本,堀端,大坂","工藤,小林,長隆,清水,岡村,海田,甲斐,古賀,山富","R,L,R,R,R,L,R,R,L,L","R,R,R,L,L,R,L,R,R,R","Kosei, Masuda","Yuto, Fukami","Yuichiro, Haruyama","Ryohei, Kadota","Shuntaro, Yokoi","Rio, Imaizumi","Akira, Yamamoto","Taiki, Horibata","Yuki, Osaka",,,,,,,
102,55.0,98.0,2025/7/6,3883.319558,2953.31956,1751782192,2.0,2.0,増田,Right,TOK,3,岡村,Left,城西大,4,Top,0,0,1,Fastball,InPlay,Undefined,Popup,Out,1,0,A2B,131.0,0.842,-0.096,15.96739658,25.14478563,TOK,#217fc4,東大,城西大,#5548ff,城西大,TodaiStadium,A,夏季オープン戦,Normal,1,古賀,,,Undefined,,,,1,1,2518610102,投飛,,3881.0,https://youtu.be/y7jYekRX_ZQ&t=3881,2243.0,https://youtu.be/bsOruYtV_DQ&t=2243,深見,春山,門田,横井,今泉,山本,堀端,大坂,"大坂,鈴木,門田,横井,深見,春山,山本,堀端,今泉","甲斐,古賀,岡村,小林,長隆,新津,山富,海田,清水","増田,深見,春山,門田,横井,今泉,山本,堀端,大坂","工藤,小林,長隆,清水,岡村,海田,甲斐,古賀,山富","R,L,R,R,R,L,R,R,L,L","R,R,R,L,L,R,L,R,R,R","Kosei, Masuda","Yuto, Fukami","Yuichiro, Haruyama","Ryohei, Kadota","Shuntaro, Yokoi","Rio, Imaizumi","Akira, Yamamoto","Taiki, Horibata","Yuki, Osaka",,,,,,,
103,56.0,99.0,2025/7/6,3921.387552,2991.387553,1751782231,3.0,1.0,増田,Right,TOK,4,小林,Left,城西大,4,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,121.0,0.53,0.124,,,TOK,#217fc4,東大,城西大,#5548ff,城西大,TodaiStadium,A,夏季オープン戦,Normal,1,古賀,,,StolenBase,古賀,,,,,2518610103,ボール[盗塁],,3919.0,https://youtu.be/y7jYekRX_ZQ&t=3919,2267.0,https://youtu.be/bsOruYtV_DQ&t=2267,深見,春山,門田,横井,今泉,山本,堀端,大坂,"大坂,鈴木,門田,横井,深見,春山,山本,堀端,今泉","甲斐,古賀,岡村,小林,長隆,新津,山富,海田,清水","増田,深見,春山,門田,横井,今泉,山本,堀端,大坂","工藤,小林,長隆,清水,岡村,海田,甲斐,古賀,山富","R,L,R,R,R,L,R,R,L,L","R,R,R,L,L,R,L,R,R,R","Kosei, Masuda","Yuto, Fukami","Yuichiro, Haruyama","Ryohei, Kadota","Shuntaro, Yokoi","Rio, Imaizumi","Akira, Yamamoto","Taiki, Horibata","Yuki, Osaka",,,,,,,
104,57.0,100.0,2025/7/6,3959.064643,3029.064644,1751782268,3.0,2.0,増田,Right,TOK,4,小林,Left,城西大,4,Top,1,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,129.0,0.534,0.216,,,TOK,#217fc4,東大,城西大,#5548ff,城西大,TodaiStadium,A,夏季オープン戦,Normal,2,,古賀,,Nothing,,,,,,2518610104,見逃し,,3957.0,https://youtu.be/y7jYekRX_ZQ&t=3957,2295.0,https://youtu.be/bsOruYtV_DQ&t=2295,深見,春山,門田,横井,今泉,山本,堀端,大坂,"大坂,鈴木,門田,横井,深見,春山,山本,堀端,今泉","甲斐,古賀,岡村,小林,長隆,新津,山富,海田,清水","増田,深見,春山,門田,横井,今泉,山本,堀端,大坂","工藤,小林,長隆,清水,岡村,海田,甲斐,古賀,山富","R,L,R,R,R,L,R,R,L,L","R,R,R,L,L,R,L,R,R,R","Kosei, Masuda","Yuto, Fukami","Yuichiro, Haruyama","Ryohei, Kadota","Shuntaro, Yokoi","Rio, Imaizumi","Akira, Yamamoto","Taiki, Horibata","Yuki, Osaka",,,,,,,
105,58.0,101.0,2025/7/6,3976.952269,3046.95227,1751782286,3.0,3.0,増田,Right,TOK,4,小林,Left,城西大,4,Top,1,1,1,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,129.0,0.043,-0.008,,,TOK,#217fc4,東大,城西大,#5548ff,城西大,TodaiStadium,A,夏季オープン戦,Normal,2,,古賀,,Nothing,,,,,,2518610105,ボール,,3974.0,https://youtu.be/y7jYekRX_ZQ&t=3974,2312.0,https://youtu.be/bsOruYtV_DQ&t=2312,深見,春山,門田,横井,今泉,山本,堀端,大坂,"大坂,鈴木,門田,横井,深見,春山,山本,堀端,今泉","甲斐,古賀,岡村,小林,長隆,新津,山富,海田,清水","増田,深見,春山,門田,横井,今泉,山本,堀端,大坂","工藤,小林,長隆,清水,岡村,海田,甲斐,古賀,山富","R,L,R,R,R,L,R,R,L,L","R,R,R,L,L,R,L,R,R,R","Kosei, Masuda","Yuto, Fukami","Yuichiro, Haruyama","Ryohei, Kadota","Shuntaro, Yokoi","Rio, Imaizumi","Akira, Yamamoto","Taiki, Horibata","Yuki, Osaka",,,,,,,
106,59.0,102.0,2025/7/6,4003.229964,3073.229965,1751782312,3.0,4.0,増田,Right,TOK,4,小林,Left,城西大,4,Top,1,2,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,137.0,0.618,-0.533,,,TOK,#217fc4,東大,城西大,#5548ff,城西大,TodaiStadium,A,夏季オープン戦,Normal,2,,古賀,,Nothing,,,,,,2518610106,ボール,,4001.0,https://youtu.be/y7jYekRX_ZQ&t=4001,2339.0,https://youtu.be/bsOruYtV_DQ&t=2339,深見,春山,門田,横井,今泉,山本,堀端,大坂,"大坂,鈴木,門田,横井,深見,春山,山本,堀端,今泉","甲斐,古賀,岡村,小林,長隆,新津,山富,海田,清水","増田,深見,春山,門田,横井,今泉,山本,堀端,大坂","工藤,小林,長隆,清水,岡村,海田,甲斐,古賀,山富","R,L,R,R,R,L,R,R,L,L","R,R,R,L,L,R,L,R,R,R","Kosei, Masuda","Yuto, Fukami","Yuichiro, Haruyama","Ryohei, Kadota","Shuntaro, Yokoi","Rio, Imaizumi","Akira, Yamamoto","Taiki, Horibata","Yuki, Osaka",,,,,,,
107,60.0,103.0,2025/7/6,4027.906507,3097.906509,1751782337,3.0,5.0,増田,Right,TOK,4,小林,Left,城西大,4,Top,1,3,1,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,122.0,0.85,0.52,,,TOK,#217fc4,東大,城西大,#5548ff,城西大,TodaiStadium,A,夏季オープン戦,Normal,2,,古賀,,Nothing,,,,,,2518610107,四球,,4025.0,https://youtu.be/y7jYekRX_ZQ&t=4025,2363.0,https://youtu.be/bsOruYtV_DQ&t=2363,深見,春山,門田,横井,今泉,山本,堀端,大坂,"大坂,鈴木,門田,横井,深見,春山,山本,堀端,今泉","甲斐,古賀,岡村,小林,長隆,新津,山富,海田,清水","増田,深見,春山,門田,横井,今泉,山本,堀端,大坂","工藤,小林,長隆,清水,岡村,海田,甲斐,古賀,山富","R,L,R,R,R,L,R,R,L,L","R,R,R,L,L,R,L,R,R,R","Kosei, Masuda","Yuto, Fukami","Yuichiro, Haruyama","Ryohei, Kadota","Shuntaro, Yokoi","Rio, Imaizumi","Akira, Yamamoto","Taiki, Horibata","Yuki, Osaka",,,,,,,
108,61.0,104.0,2025/7/6,4066.201759,3136.20176,1751782375,4.0,1.0,増田,Right,TOK,5,長隆,Right,城西大,4,Top,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,132.0,0.582,0.6,,,TOK,#217fc4,東大,城西大,#5548ff,城西大,TodaiStadium,A,夏季オープン戦,Normal,"1,2",小林,古賀,,Nothing,,,,,,2518610108,ボール,,4064.0,https://youtu.be/y7jYekRX_ZQ&t=4064,2379.0,https://youtu.be/bsOruYtV_DQ&t=2379,深見,春山,門田,横井,今泉,山本,堀端,大坂,"大坂,鈴木,門田,横井,深見,春山,山本,堀端,今泉","甲斐,古賀,岡村,小林,長隆,新津,山富,海田,清水","増田,深見,春山,門田,横井,今泉,山本,堀端,大坂","工藤,小林,長隆,清水,岡村,海田,甲斐,古賀,山富","R,L,R,R,R,L,R,R,L,L","R,R,R,L,L,R,L,R,R,R","Kosei, Masuda","Yuto, Fukami","Yuichiro, Haruyama","Ryohei, Kadota","Shuntaro, Yokoi","Rio, Imaizumi","Akira, Yamamoto","Taiki, Horibata","Yuki, Osaka",,,,,,,
109,62.0,105.0,2025/7/6,4090.267338,3160.267339,1751782399,4.0,2.0,増田,Right,TOK,5,長隆,Right,城西大,4,Top,1,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,124.0,0.263,-0.433,,,TOK,#217fc4,東大,城西大,#5548ff,城西大,TodaiStadium,A,夏季オープン戦,Normal,"1,2",小林,古賀,,Nothing,,,,,,2518610109,ボール,,4088.0,https://youtu.be/y7jYekRX_ZQ&t=4088,2403.0,https://youtu.be/bsOruYtV_DQ&t=2403,深見,春山,門田,横井,今泉,山本,堀端,大坂,"大坂,鈴木,門田,横井,深見,春山,山本,堀端,今泉","甲斐,古賀,岡村,小林,長隆,新津,山富,海田,清水","増田,深見,春山,門田,横井,今泉,山本,堀端,大坂","工藤,小林,長隆,清水,岡村,海田,甲斐,古賀,山富","R,L,R,R,R,L,R,R,L,L","R,R,R,L,L,R,L,R,R,R","Kosei, Masuda","Yuto, Fukami","Yuichiro, Haruyama","Ryohei, Kadota","Shuntaro, Yokoi","Rio, Imaizumi","Akira, Yamamoto","Taiki, Horibata","Yuki, Osaka",,,,,,,
