count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,runevent_romaji,scored_person_romaji,run_person_romaji,No,Player ID,Pitcher_rapsodo_pitch,MLB ID,Date_rapsodo_pitch,Pitch ID,TaggedPitchType_rapsodo_pitch,IsStrike,PlateLocSide_rapsodo_pitch,PlateLocHeight_rapsodo_pitch,RelSpeed_rapsodo_pitch,SpinRate,TrueSpin,SpinEfficiency,Tilt,Spin Confidence,Extension,InducedVertBreak,HorzBreak,VB (spin),HB (spin),HorizontalRelAngle,RelAngle,RelHeight,RelSide,GyroDegree,Unique ID,Device Serial Number,HorzApprAngle,VertApprAngle,Session Name,Intent Type,unixtime,No_rapsodo_hit,Player ID_rapsodo_hit,Batter_rapsodo_hit,MLB ID_rapsodo_hit,Date_rapsodo_hit,HitID,ExitSpeed,RelSpeed_rapsodo_hit,Angle,Direction,HitSpinRate,Distance,HitSpinTilt,SpinConfidence,PlateLocSide_rapsodo_hit,PlateLocHeight_rapsodo_hit,ContactDepth,Batname,SerialNumber,Unique ID_rapsodo_hit,Session Name_rapsodo_hit,unixtime_rapsodo_hit,RelSpeed_opensen
55,2.0,54.0,2025/4/26,3801.81153,2951.811532,1745632632,1.0,2.0,高橋,Right,TOK,8,鵜飼,Right,明星大,3,Top,0,0,1,Cutter,InPlay,Undefined,FlyBall,Single,0,0,,131.66,0.59,0.196,84.20782705,-20.7204853,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,,,,,Undefined,,,,7,7,2511500055,左安,,3799,https://youtu.be/vGx3WT9jVJg&t=3799,1698.0,https://youtu.be/3ticAhbv9Ww&t=1698,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","高橋,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Naoto, Takahashi","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,3092.0,1182274.0,Naoto Takahashi,,1745600237.0,1745632637.0,Cutter,Y,-0.0619,0.5738,131.66,2293.29,853.0,37.2,00:36,1.0,1.6215076,21.6,-2.0,21.1,5.7,-0.97,-1.17,1.78,0.24,68.16,1182274@1745632637,V3P4DLKO0850A,-1.1170061,-7.504492,untitled,,1745632632.0,10006.0,1410155.0,Ohe Shotaro,,1745600236.0,1745632636.0,116.5,131.7,12.7,-7.9,738.79224,49.2,11:52,1.0,6.7,70.9,96.9,,V3P4DLKO0850A,1410155@1745632636,untitled,1745632632.0,131.0
56,3.0,55.0,2025/4/26,3835.017886,2985.017887,1745632665,2.0,1.0,高橋,Right,TOK,9,片倉,Left,明星大,3,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,135.65,0.31,0.14,,,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,1,鵜飼,,,Nothing,,,,,,2511500056,ボール,,3833,https://youtu.be/vGx3WT9jVJg&t=3833,1725.0,https://youtu.be/3ticAhbv9Ww&t=1725,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","高橋,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Naoto, Takahashi","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,3091.0,1182274.0,Naoto Takahashi,,1745600269.0,1745632669.0,ChangeUp,N,-0.0857,0.2217,135.65,2179.9,1935.0,88.76,01:16,1.0,2.2804642,37.1,31.1,39.5,31.1,-2.69,-3.31,1.7,0.34,27.42,1182274@1745632669,V3P4DLKO0850A,-0.31561777,-7.5765395,untitled,,1745632664.0,10005.0,1410155.0,Ohe Shotaro,,1745600268.0,1745632668.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1745632668,untitled,1745632664.0,
57,4.0,56.0,2025/4/26,3854.971677,3004.971679,1745632685,2.0,2.0,高橋,Right,TOK,9,片倉,Left,明星大,3,Top,0,1,0,Fastball,FoulBall,Undefined,GroundBall,Undefined,0,0,,134.32,0.602,0.16,28.76522169,-84.11401217,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,1,鵜飼,,,Undefined,,,,,,2511500057,ファール,,3852,https://youtu.be/vGx3WT9jVJg&t=3852,1744.0,https://youtu.be/3ticAhbv9Ww&t=1744,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","高橋,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Naoto, Takahashi","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,3090.0,1182274.0,Naoto Takahashi,,1745600289.0,1745632689.0,ChangeUp,Y,-0.0014,0.6754000000000001,134.32,2186.42,1789.0,81.82,01:28,1.0,1.9236183,32.7,34.8,33.0,32.6,-2.53,-1.25,1.69,0.36,35.09,1182274@1745632689,V3P4DLKO0850A,0.049914207,-6.1064816,untitled,,1745632684.0,10004.0,1410155.0,Ohe Shotaro,,1745600289.0,1745632689.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1745632689,untitled,1745632685.0,134.0
58,5.0,57.0,2025/4/26,3885.808767,3035.808769,1745632716,2.0,3.0,高橋,Right,TOK,9,片倉,Left,明星大,3,Top,0,1,1,TwoSeamFastBall,BallCalled,Undefined,Undefined,Undefined,0,0,A2B,131.26,0.95,0.413,,,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,1,鵜飼,,,Nothing,,,,,,2511500058,ボール,,3883,https://youtu.be/vGx3WT9jVJg&t=3883,1764.0,https://youtu.be/3ticAhbv9Ww&t=1764,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","高橋,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Naoto, Takahashi","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,3089.0,1182274.0,Naoto Takahashi,,1745600319.0,1745632719.0,ChangeUp,N,0.2544,1.1125,131.26,1690.89,1588.4,93.94,01:22,1.0,2.0286427,43.2,24.0,35.9,32.0,-1.29,0.16,1.7,0.37,20.05,1182274@1745632719,V3P4DLKO0850A,0.5459694,-4.7023354,untitled,,1745632714.0,10003.0,1410155.0,Ohe Shotaro,,1745600319.0,1745632719.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1745632719,untitled,1745632715.0,131.0
59,6.0,58.0,2025/4/26,3905.963183,3055.963185,1745632736,2.0,4.0,高橋,Right,TOK,9,片倉,Left,明星大,3,Top,0,2,1,Fastball,InPlay,Undefined,Bunt,Out,1,0,,133.5,0.582,0.092,11.34830918,-27.89727103,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,1,鵜飼,,,Undefined,,,,"5,6","5,6B",2511500059,三ゴ[バ],,3903,https://youtu.be/vGx3WT9jVJg&t=3903,1784.0,https://youtu.be/3ticAhbv9Ww&t=1784,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","高橋,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Naoto, Takahashi","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,3088.0,1182274.0,Naoto Takahashi,,1745600340.0,1745632740.0,ChangeUp,Y,0.0928,0.5123,133.5,2100.11,1877.1,89.38,01:18,1.0,1.5593796,31.0,5.0,41.1,34.6,-1.08,-1.43,1.72,0.35,26.64,1182274@1745632740,V3P4DLKO0850A,-0.70085496,-7.3307986,untitled,,1745632735.0,10002.0,1410155.0,Ohe Shotaro,,1745600340.0,1745632740.0,73.6,133.5,13.9,-9.7,1612.3618,24.7,05:30,1.0,-9.1,54.5,574.1,,V3P4DLKO0850A,1410155@1745632740,untitled,1745632736.0,
60,7.0,59.0,2025/4/26,3950.545137,3100.545139,1745632781,3.0,1.0,高橋,Right,TOK,1,菊井,Left,明星大,3,Top,1,0,0,TwoSeamFastBall,BallCalled,Undefined,Undefined,Undefined,0,0,,133.55,0.297,0.048,,,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,1,片倉,,,Nothing,,,,,,2511500060,ボール,,3948,https://youtu.be/vGx3WT9jVJg&t=3948,1824.0,https://youtu.be/3ticAhbv9Ww&t=1824,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","高橋,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Naoto, Takahashi","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,3087.0,1182274.0,Naoto Takahashi,,1745600385.0,1745632785.0,ChangeUp,N,-0.0108,0.2468,133.55,1809.9,1714.7,94.74,01:18,1.0,2.372839,30.6,39.3,37.4,30.9,-2.71,-2.94,1.69,0.34,18.66,1182274@1745632785,V3P4DLKO0850A,0.29208016,-7.804219,untitled,,1745632780.0,10001.0,1410155.0,Ohe Shotaro,,1745600384.0,1745632784.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1745632784,untitled,1745632780.0,133.0
61,,,2025/4/26,3971.231968,3121.231969,1745632801,,,高橋,Right,TOK,1,菊井,Left,明星大,3,Top,1,1,0,,,,,,0,0,,,,,,,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,1,片倉,,,PickOff,,,,"1,3","1,3",2511500061,牽制,,3969,https://youtu.be/vGx3WT9jVJg&t=3969,1845.0,https://youtu.be/3ticAhbv9Ww&t=1845,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","高橋,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Naoto, Takahashi","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,8.0,60.0,2025/4/26,3987.22785,3137.227852,1745632817,3.0,2.0,高橋,Right,TOK,1,菊井,Left,明星大,3,Top,1,1,0,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,135.2,0.502,0.088,27.31283076,27.67207822,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,1,片倉,,,Undefined,,,,3,3A,2511500062,一ゴ,,3985,https://youtu.be/vGx3WT9jVJg&t=3985,1861.0,https://youtu.be/3ticAhbv9Ww&t=1861,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","高橋,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Naoto, Takahashi","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,3086.0,1182274.0,Naoto Takahashi,,1745600422.0,1745632822.0,ChangeUp,N,-0.3522,0.4936999999999999,135.2,2126.75,1930.6,90.78,01:16,1.0,2.2330246,36.2,26.1,39.2,31.6,-3.27,-2.24,1.7,0.29,24.8,1182274@1745632822,V3P4DLKO0850A,-1.2819332,-6.7310257,untitled,,1745632817.0,10000.0,1410155.0,Ohe Shotaro,,1745600421.0,1745632821.0,98.3,135.2,-1.6,51.7,2101.689,7.5,03:02,1.0,38.4,56.1,30.6,,V3P4DLKO0850A,1410155@1745632821,untitled,1745632817.0,135.0
63,9.0,61.0,2025/4/26,4021.922831,3171.922833,1745632852,4.0,1.0,高橋,Right,TOK,2,中田,Right,明星大,3,Top,2,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,120.5,0.317,-0.196,,,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,2,,片倉,,Nothing,,,,,,2511500063,ボール,,4019,https://youtu.be/vGx3WT9jVJg&t=4019,1885.0,https://youtu.be/3ticAhbv9Ww&t=1885,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","高橋,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Naoto, Takahashi","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,3085.0,1182274.0,Naoto Takahashi,,1745600458.0,1745632858.0,Slider,N,-0.4231,0.5022,120.5,2309.32,316.8,13.72,08:26,1.0,1.7081871,-1.2,-26.4,-4.5,-12.0,-1.36,0.01,1.8,0.23,82.11,1182274@1745632858,V3P4DLKO0850A,-3.3060324,-9.482457,untitled,,1745632853.0,9999.0,1410155.0,Ohe Shotaro,,1745600458.0,1745632858.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1745632858,untitled,1745632854.0,121.0
64,10.0,62.0,2025/4/26,4044.407813,3194.407814,1745632874,4.0,2.0,高橋,Right,TOK,2,中田,Right,明星大,3,Top,2,1,0,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,126.24,0.33,0.048,,,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,2,,片倉,,Nothing,,,,,,2511500064,ボール,,4042,https://youtu.be/vGx3WT9jVJg&t=4042,1907.0,https://youtu.be/3ticAhbv9Ww&t=1907,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","高橋,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Naoto, Takahashi","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,3084.0,1182274.0,Naoto Takahashi,,1745600481.0,1745632881.0,Slider,N,-0.2938,0.1648,126.24,2184.67,211.0,9.66,11:38,1.0,1.7998981,15.8,-14.6,4.3,-3.5,-1.3,-2.03,1.76,0.22,84.46,1182274@1745632881,V3P4DLKO0850A,-2.3956187,-9.567766,untitled,,1745632876.0,9998.0,1410155.0,Ohe Shotaro,,1745600480.0,1745632880.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1745632880,untitled,1745632876.0,126.0
65,11.0,63.0,2025/4/26,4081.952371,3231.952372,1745632912,4.0,3.0,高橋,Right,TOK,2,中田,Right,明星大,3,Top,2,2,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,136.45,0.95,-0.447,,,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,2,,片倉,,Nothing,,,,"2,6","2,6",2511500065,ボール,,4079,https://youtu.be/vGx3WT9jVJg&t=4079,1945.0,https://youtu.be/3ticAhbv9Ww&t=1945,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","高橋,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Naoto, Takahashi","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,3083.0,1182274.0,Naoto Takahashi,,1745600518.0,1745632918.0,ChangeUp,N,-0.4143,1.1002,136.45,2204.44,1971.4,89.43,00:56,1.0,2.1404057,48.2,28.2,43.5,23.6,-3.48,-0.43,1.71,0.27,26.58,1182274@1745632918,V3P4DLKO0850A,-1.309849,-4.172882,untitled,,1745632913.0,9997.0,1410155.0,Ohe Shotaro,,1745600518.0,1745632918.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1745632918,untitled,1745632914.0,136.0
66,12.0,64.0,2025/4/26,4112.099343,3262.099344,1745632942,4.0,4.0,高橋,Right,TOK,2,中田,Right,明星大,3,Top,2,3,0,Cutter,BallCalled,Walk,Undefined,Undefined,0,0,,127.37,0.526,-0.433,,,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,2,,片倉,,Nothing,,,,,,2511500066,四球,,4110,https://youtu.be/vGx3WT9jVJg&t=4110,1975.0,https://youtu.be/3ticAhbv9Ww&t=1975,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","高橋,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Naoto, Takahashi","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,3082.0,1182274.0,Naoto Takahashi,,1745600548.0,1745632948.0,Slider,N,-0.7081999999999999,0.7041,127.37,2202.83,563.9,25.6,11:46,1.0,2.0845337,22.3,-9.7,14.0,-3.6,-2.99,-0.47,1.72,0.22,75.17,1182274@1745632948,V3P4DLKO0850A,-3.7199988,-7.1593766,untitled,,1745632943.0,9996.0,1410155.0,Ohe Shotaro,,1745600548.0,1745632948.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1745632948,untitled,1745632944.0,127.0
67,13.0,65.0,2025/4/26,4150.951244,3300.951245,1745632981,5.0,1.0,高橋,Right,TOK,3,吉村,Left,明星大,3,Top,2,0,0,TwoSeamFastBall,BallCalled,Undefined,Undefined,Undefined,0,0,,134.17,1.09,0.507,,,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,"1,2",中田,片倉,,Nothing,,,,,,2511500067,ボール,,4148,https://youtu.be/vGx3WT9jVJg&t=4148,2006.0,https://youtu.be/3ticAhbv9Ww&t=2006,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","高橋,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Naoto, Takahashi","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,3081.0,1182274.0,Naoto Takahashi,,1745600588.0,1745632988.0,ChangeUp,N,0.157,1.3938,134.17,1757.98,1655.4,94.16,01:12,1.0,2.1568375,48.5,32.9,37.5,28.3,-1.77,0.71,1.7,0.32,19.67,1182274@1745632988,V3P4DLKO0850A,0.74823546,-3.1705136,untitled,,1745632983.0,9995.0,1410155.0,Ohe Shotaro,,1745600587.0,1745632987.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1745632987,untitled,1745632983.0,134.0
68,14.0,66.0,2025/4/26,4174.034995,3324.034996,1745633004,5.0,2.0,高橋,Right,TOK,3,吉村,Left,明星大,3,Top,2,1,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,112.0,0.65,0.236,,,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,"1,2",中田,片倉,,Nothing,,,,,,2511500068,見逃し,,4172,https://youtu.be/vGx3WT9jVJg&t=4172,2029.0,https://youtu.be/3ticAhbv9Ww&t=2029,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","高橋,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Naoto, Takahashi","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,3080.0,1182274.0,Naoto Takahashi,,1745600610.0,1745633010.0,Slider,Y,0.046,1.0365,112.0,2259.59,948.7,41.99,07:18,1.0,2.1868725,3.9,-22.2,-22.3,-20.6,0.22,2.54,1.72,0.21,65.17,1182274@1745633010,V3P4DLKO0850A,-1.4909929,-8.032133,untitled,,1745633005.0,9994.0,1410155.0,Ohe Shotaro,,1745600610.0,1745633010.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1745633010,untitled,1745633006.0,112.0
69,15.0,67.0,2025/4/26,4192.567949,3342.567951,1745633023,5.0,3.0,高橋,Right,TOK,3,吉村,Left,明星大,3,Top,2,1,1,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,137.98,0.578,0.208,81.13435127,-26.09924209,TOK,#217fc4,東大,明星大,#251494,明星大,TodaiStadium,A,春季オープン戦,Normal,"1,2",中田,片倉,,Undefined,,,,7,7,2511500069,左飛,,4190,https://youtu.be/vGx3WT9jVJg&t=4190,2047.0,https://youtu.be/3ticAhbv9Ww&t=2047,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原,"酒井,樋口,中山,大原,秋元,門田,荒井慶,工藤,杉浦","菊井,中田,吉村,渡邉,阿部,平岡,廣岡,鵜飼,片倉","高橋,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,大原","鈴木羚,鵜飼,渡邉,片倉,中田,阿部,平岡,菊井,廣岡","R,L,R,L,R,R,R,R,R,R","R,L,R,L,R,L,R,L,R,L","Naoto, Takahashi","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Kaiki, Ohara",,,,,,,,3079.0,1182274.0,Naoto Takahashi,,1745600629.0,1745633029.0,ChangeUp,Y,0.243,0.7423000000000001,137.98,2136.87,1928.0,90.22,01:20,1.0,2.2183475,41.5,40.0,37.3,31.8,-1.68,-1.57,1.68,0.31,25.55,1182274@1745633029,V3P4DLKO0850A,1.3742586,-5.4007297,untitled,,1745633024.0,9993.0,1410155.0,Ohe Shotaro,,1745600629.0,1745633029.0,118.7,138.0,43.9,-22.2,2334.1724,67.7,05:30,1.0,-22.7,83.1,62.6,,V3P4DLKO0850A,1410155@1745633029,untitled,1745633025.0,135.0
