count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,No,Player ID,Pitcher_rapsodo_pitch,MLB ID,Date_rapsodo_pitch,Pitch ID,TaggedPitchType_rapsodo_pitch,IsStrike,PlateLocSide_rapsodo_pitch,PlateLocHeight_rapsodo_pitch,RelSpeed_rapsodo_pitch,SpinRate,TrueSpin,SpinEfficiency,Tilt,Spin Confidence,Extension,InducedVertBreak,HorzBreak,VB (spin),HB (spin),HorizontalRelAngle,RelAngle,RelHeight,RelSide,GyroDegree,Unique ID,Device Serial Number,HorzApprAngle,VertApprAngle,Session Name,Intent Type,unixtime,No_rapsodo_hit,Player ID_rapsodo_hit,Batter_rapsodo_hit,MLB ID_rapsodo_hit,Date_rapsodo_hit,HitID,ExitSpeed,RelSpeed_rapsodo_hit,Angle,Direction,HitSpinRate,Distance,HitSpinTilt,SpinConfidence,PlateLocSide_rapsodo_hit,PlateLocHeight_rapsodo_hit,ContactDepth,Batname,SerialNumber,Unique ID_rapsodo_hit,Session Name_rapsodo_hit,unixtime_rapsodo_hit,RelSpeed_opensen,csv_path
81,42.0,80.0,2025/4/6,3956.477986097336,3686.477990150452,1743905130,2.0,1.0,武田,Right,TOK,9,武田,Right,杏林大,3,Bottom,1,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,97.34,0.423,-0.573,,,杏林大,#ff0000,杏林大,TOK,#217fc4,東大,杏林大学グラウンド,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2509520081,ボール,,,,,,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤,"北嶋,加藤,玉田,篠宮,田中,小宮,飯塚,井口,武田","成瀬,伊藤,石川,矢田貝,山本,臼井,大山,荒井孝,小田","笠原,武田,篠宮,玉田,加藤,北嶋,田中,小宮,井口","武田,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤","R,R,L,R,R,R,R,R,R,R","R,L,L,R,R,R,R,R,R,R",310.0,1186078.0,Rintaro Takeda,,1743872735.0,1743905135.0,Curveball,N,-0.8236,0.5497,97.34,2109.95,1209.8,57.34,06:46,1.0,1.7903461,-20.1,-22.2,-39.8,-20.6,-2.29,3.48,1.71,0.05,55.01,1186078@1743905135,V3P4DLKO0850A,-3.9350805,-12.253141,untitled,,1743905129.0,387.0,1410155.0,tokyobbc_rapsodo Player_007,,1743872734.0,1743905134.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1743905134,untitled,1743905129.0,,/Users/shugokatayama/Analyst-GitHub/オープン戦データ/25-1春/20250406春季オープン戦vs杏林大B.csv
82,43.0,81.0,2025/4/6,3967.718116044998,3697.718118906021,1743905141,2.0,2.0,武田,Right,TOK,9,武田,Right,杏林大,3,Bottom,1,1,0,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,122.21,0.7659999999999999,0.1,24.147385239832225,-115.3128838,杏林大,#ff0000,杏林大,TOK,#217fc4,東大,杏林大学グラウンド,B,春季オープン戦,Normal,,,,,Undefined,,,,,,2509520082,ファール,,,,,,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤,"北嶋,加藤,玉田,篠宮,田中,小宮,飯塚,井口,武田","成瀬,伊藤,石川,矢田貝,山本,臼井,大山,荒井孝,小田","笠原,武田,篠宮,玉田,加藤,北嶋,田中,小宮,井口","武田,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤","R,R,L,R,R,R,R,R,R,R","R,L,L,R,R,R,R,R,R,R",309.0,1186078.0,Rintaro Takeda,,1743872746.0,1743905146.0,Fastball,Y,-0.0665,0.7907,122.21,2105.82,2001.6,95.05,01:12,1.0,1.6313229,55.9,36.4,48.0,35.9,-1.89,-0.61,1.68,0.11,18.1,1186078@1743905146,V3P4DLKO0850A,0.80909526,-5.8656583,untitled,,1743905140.0,386.0,1410155.0,tokyobbc_rapsodo Player_007,,1743872745.0,1743905145.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1743905145,untitled,1743905140.0,,/Users/shugokatayama/Analyst-GitHub/オープン戦データ/25-1春/20250406春季オープン戦vs杏林大B.csv
83,44.0,82.0,2025/4/6,4002.710223197937,3732.710224866867,1743905177,2.0,3.0,武田,Right,TOK,9,武田,Right,杏林大,3,Bottom,1,1,1,Fastball,FoulBall,Undefined,LineDrive,Undefined,0,0,,124.54,0.858,0.228,16.24562809795205,-150.6422465,杏林大,#ff0000,杏林大,TOK,#217fc4,東大,杏林大学グラウンド,B,春季オープン戦,Normal,,,,,Undefined,,,,,,2509520083,ファール,,,,,,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤,"北嶋,加藤,玉田,篠宮,田中,小宮,飯塚,井口,武田","成瀬,伊藤,石川,矢田貝,山本,臼井,大山,荒井孝,小田","笠原,武田,篠宮,玉田,加藤,北嶋,田中,小宮,井口","武田,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤","R,R,L,R,R,R,R,R,R,R","R,L,L,R,R,R,R,R,R,R",308.0,1186078.0,Rintaro Takeda,,1743872780.0,1743905180.0,Fastball,N,-0.0686,1.0688,124.54,2190.28,2046.3,93.43,01:14,1.0,1.630516,55.8,33.7,46.2,36.5,-1.86,0.15,1.7,0.13,20.89,1186078@1743905180,V3P4DLKO0850A,0.6421742,-4.8412814,untitled,,1743905174.0,385.0,1410155.0,tokyobbc_rapsodo Player_007,,1743872779.0,1743905179.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1743905179,untitled,1743905174.0,,/Users/shugokatayama/Analyst-GitHub/オープン戦データ/25-1春/20250406春季オープン戦vs杏林大B.csv
84,45.0,83.0,2025/4/6,4020.379796028137,3750.379797935486,1743905194,2.0,4.0,武田,Right,TOK,9,武田,Right,杏林大,3,Bottom,1,1,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,129.3,0.738,-0.367,,,杏林大,#ff0000,杏林大,TOK,#217fc4,東大,杏林大学グラウンド,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2509520084,ボール,,,,,,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤,"北嶋,加藤,玉田,篠宮,田中,小宮,飯塚,井口,武田","成瀬,伊藤,石川,矢田貝,山本,臼井,大山,荒井孝,小田","笠原,武田,篠宮,玉田,加藤,北嶋,田中,小宮,井口","武田,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤","R,R,L,R,R,R,R,R,R,R","R,L,L,R,R,R,R,R,R,R",307.0,1186078.0,Rintaro Takeda,,1743872797.0,1743905197.0,Fastball,N,-0.4082,0.9865,129.3,2235.99,2031.3,90.84,00:54,1.0,1.8194714,55.4,19.8,49.8,26.6,-2.46,-0.51,1.69,0.09,24.71,1186078@1743905197,V3P4DLKO0850A,-0.9754665,-4.6854787,untitled,,1743905191.0,384.0,1410155.0,tokyobbc_rapsodo Player_007,,1743872796.0,1743905196.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1743905196,untitled,1743905191.0,,/Users/shugokatayama/Analyst-GitHub/オープン戦データ/25-1春/20250406春季オープン戦vs杏林大B.csv
85,46.0,84.0,2025/4/6,4036.283877134323,3766.283878803253,1743905210,2.0,5.0,武田,Right,TOK,9,武田,Right,杏林大,3,Bottom,1,2,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,128.62,1.002,-0.507,,,杏林大,#ff0000,杏林大,TOK,#217fc4,東大,杏林大学グラウンド,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2509520085,ボール,,,,,,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤,"北嶋,加藤,玉田,篠宮,田中,小宮,飯塚,井口,武田","成瀬,伊藤,石川,矢田貝,山本,臼井,大山,荒井孝,小田","笠原,武田,篠宮,玉田,加藤,北嶋,田中,小宮,井口","武田,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤","R,R,L,R,R,R,R,R,R,R","R,L,L,R,R,R,R,R,R,R",306.0,1186078.0,Rintaro Takeda,,1743872814.0,1743905214.0,Fastball,N,-0.4893,1.1599,128.62,2224.66,2096.5,94.24,01:14,1.0,1.6685638,62.6,27.4,47.3,37.0,-3.01,0.05,1.7,0.1,19.54,1186078@1743905214,V3P4DLKO0850A,-0.947362,-4.109672,untitled,,1743905208.0,383.0,1410155.0,tokyobbc_rapsodo Player_007,,1743872813.0,1743905213.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1743905213,untitled,1743905208.0,,/Users/shugokatayama/Analyst-GitHub/オープン戦データ/25-1春/20250406春季オープン戦vs杏林大B.csv
86,47.0,85.0,2025/4/6,4054.6075060367584,3784.607507944107,1743905228,2.0,6.0,武田,Right,TOK,9,武田,Right,杏林大,3,Bottom,1,3,2,Fastball,BallCalled,Walk,Undefined,Undefined,0,0,,125.49,1.15,0.14,,,杏林大,#ff0000,杏林大,TOK,#217fc4,東大,杏林大学グラウンド,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2509520086,四球,,,,,,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤,"北嶋,加藤,玉田,篠宮,田中,小宮,飯塚,井口,武田","成瀬,伊藤,石川,矢田貝,山本,臼井,大山,荒井孝,小田","笠原,武田,篠宮,玉田,加藤,北嶋,田中,小宮,井口","武田,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤","R,R,L,R,R,R,R,R,R,R","R,L,L,R,R,R,R,R,R,R",305.0,1186078.0,Rintaro Takeda,,1743872832.0,1743905232.0,Fastball,N,-0.1422,1.1594,125.49,2245.83,2049.9,91.28,00:56,1.0,1.7691364,56.2,32.7,50.1,27.1,-2.24,0.5,1.64,0.16,24.11,1186078@1743905232,V3P4DLKO0850A,0.20478737,-4.142786,untitled,,1743905226.0,382.0,1410155.0,tokyobbc_rapsodo Player_007,,1743872831.0,1743905231.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1743905231,untitled,1743905226.0,,/Users/shugokatayama/Analyst-GitHub/オープン戦データ/25-1春/20250406春季オープン戦vs杏林大B.csv
87,48.0,86.0,2025/4/6,4084.118425130844,3814.1184270381927,1743905258,3.0,1.0,武田,Right,TOK,1,北嶋,Right,杏林大,3,Bottom,1,0,0,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,110.5,0.594,0.747,,,杏林大,#ff0000,杏林大,TOK,#217fc4,東大,杏林大学グラウンド,B,春季オープン戦,Normal,1,武田,,,Nothing,,,,,,2509520087,ボール,,,,,,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤,"北嶋,加藤,玉田,篠宮,田中,小宮,飯塚,井口,武田","成瀬,伊藤,石川,矢田貝,山本,臼井,大山,荒井孝,小田","笠原,武田,篠宮,玉田,加藤,北嶋,田中,小宮,井口","武田,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤","R,R,L,R,R,R,R,R,R,R","R,L,L,R,R,R,R,R,R,R",304.0,1186078.0,Rintaro Takeda,,1743872861.0,1743905261.0,Slider,N,0.4896,0.7754000000000001,110.5,2195.12,461.3,21.01,00:00,1.0,1.6903877,17.6,-8.0,12.5,-2.8,1.19,1.79,1.67,0.23,77.87,1186078@1743905261,V3P4DLKO0850A,0.5885628,-8.682501,untitled,,1743905255.0,381.0,1410155.0,tokyobbc_rapsodo Player_007,,1743872860.0,1743905260.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1743905260,untitled,1743905255.0,,/Users/shugokatayama/Analyst-GitHub/オープン戦データ/25-1春/20250406春季オープン戦vs杏林大B.csv
88,49.0,87.0,2025/4/6,4099.6484270095825,3829.648428916931,1743905273,3.0,2.0,武田,Right,TOK,1,北嶋,Right,杏林大,3,Bottom,1,1,0,Fastball,InPlay,Undefined,FlyBall,Single,0,0,,125.31,0.638,0.18,42.79828356503513,34.89496363496204,杏林大,#ff0000,杏林大,TOK,#217fc4,東大,杏林大学グラウンド,B,春季オープン戦,Normal,1,武田,,,Undefined,,,,9,9,2509520088,右安,,,,,,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤,"北嶋,加藤,玉田,篠宮,田中,小宮,飯塚,井口,武田","成瀬,伊藤,石川,矢田貝,山本,臼井,大山,荒井孝,小田","笠原,武田,篠宮,玉田,加藤,北嶋,田中,小宮,井口","武田,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤","R,R,L,R,R,R,R,R,R,R","R,L,L,R,R,R,R,R,R,R",303.0,1186078.0,Rintaro Takeda,,1743872878.0,1743905278.0,Fastball,Y,-0.081,0.8204,125.31,2281.46,2168.2,95.04,01:08,1.0,1.6060829,61.0,35.8,50.8,35.5,-1.93,-0.94,1.69,0.11,18.13,1186078@1743905278,V3P4DLKO0850A,0.71424526,-5.381784,untitled,,1743905272.0,380.0,1410155.0,tokyobbc_rapsodo Player_007,,1743872877.0,1743905277.0,124.3,125.3,55.7,21.9,2523.4077,68.3,11:52,1.0,7.8,87.3,22.3,,V3P4DLKO0850A,1410155@1743905277,untitled,1743905272.0,,/Users/shugokatayama/Analyst-GitHub/オープン戦データ/25-1春/20250406春季オープン戦vs杏林大B.csv
89,50.0,88.0,2025/4/6,4166.826130867004,3896.826133012771,1743905340,4.0,1.0,武田,Right,TOK,2,加藤,Left,杏林大,3,Bottom,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,125.22,0.55,0.276,,,杏林大,#ff0000,杏林大,TOK,#217fc4,東大,杏林大学グラウンド,B,春季オープン戦,Normal,"1,2",北嶋,武田,,Nothing,,,,,,2509520089,見逃し,,,,,,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤,"北嶋,加藤,玉田,篠宮,田中,小宮,飯塚,井口,武田","成瀬,伊藤,石川,矢田貝,山本,臼井,大山,荒井孝,小田","笠原,武田,篠宮,玉田,加藤,北嶋,田中,小宮,井口","武田,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤","R,R,L,R,R,R,R,R,R,R","R,L,L,R,R,R,R,R,R,R",302.0,1186078.0,Rintaro Takeda,,1743872944.0,1743905344.0,Fastball,N,0.3890999999999999,0.6894,125.22,2304.4,2247.3,97.52,01:04,1.0,1.6050167,59.9,31.4,53.1,35.1,-0.39,-1.2,1.67,0.19,12.79,1186078@1743905344,V3P4DLKO0850A,1.9526335,-5.9042387,untitled,,1743905338.0,379.0,1410155.0,tokyobbc_rapsodo Player_007,,1743872943.0,1743905343.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1743905343,untitled,1743905338.0,,/Users/shugokatayama/Analyst-GitHub/オープン戦データ/25-1春/20250406春季オープン戦vs杏林大B.csv
90,51.0,89.0,2025/4/6,4190.988883018494,3920.9888849258423,1743905365,4.0,2.0,武田,Right,TOK,2,加藤,Left,杏林大,3,Bottom,1,0,1,ChangeUp,StrikeCalled,Undefined,Undefined,Undefined,0,0,,113.77,0.614,0.24,,,杏林大,#ff0000,杏林大,TOK,#217fc4,東大,杏林大学グラウンド,B,春季オープン戦,Normal,"1,2",北嶋,武田,,Nothing,,,,,,2509520090,見逃し,,,,,,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤,"北嶋,加藤,玉田,篠宮,田中,小宮,飯塚,井口,武田","成瀬,伊藤,石川,矢田貝,山本,臼井,大山,荒井孝,小田","笠原,武田,篠宮,玉田,加藤,北嶋,田中,小宮,井口","武田,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤","R,R,L,R,R,R,R,R,R,R","R,L,L,R,R,R,R,R,R,R",301.0,1186078.0,Rintaro Takeda,,1743872968.0,1743905368.0,ChangeUp,N,0.3567,0.924,113.77,1389.33,1388.9,99.97,01:50,1.0,1.7754536,29.6,39.1,29.9,45.8,-0.82,1.63,1.62,0.2,1.4,1186078@1743905368,V3P4DLKO0850A,2.1081305,-7.00362,untitled,,1743905362.0,378.0,1410155.0,tokyobbc_rapsodo Player_007,,1743872967.0,1743905367.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1743905367,untitled,1743905362.0,,/Users/shugokatayama/Analyst-GitHub/オープン戦データ/25-1春/20250406春季オープン戦vs杏林大B.csv
91,52.0,90.0,2025/4/6,4216.388962984085,3946.388965129852,1743905390,4.0,3.0,武田,Right,TOK,2,加藤,Left,杏林大,3,Bottom,1,0,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,125.66,1.163,0.204,,,杏林大,#ff0000,杏林大,TOK,#217fc4,東大,杏林大学グラウンド,B,春季オープン戦,Normal,"1,2",北嶋,武田,,Nothing,,,,,,2509520091,ボール,,,,,,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤,"北嶋,加藤,玉田,篠宮,田中,小宮,飯塚,井口,武田","成瀬,伊藤,石川,矢田貝,山本,臼井,大山,荒井孝,小田","笠原,武田,篠宮,玉田,加藤,北嶋,田中,小宮,井口","武田,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤","R,R,L,R,R,R,R,R,R,R","R,L,L,R,R,R,R,R,R,R",300.0,1186078.0,Rintaro Takeda,,1743872994.0,1743905394.0,Fastball,N,0.1656,1.3598,125.66,2268.57,2164.2,95.4,01:14,1.0,1.6402035,64.4,36.2,48.1,38.0,-1.41,1.06,1.65,0.21,17.45,1186078@1743905394,V3P4DLKO0850A,1.3127439,-3.376995,untitled,,1743905388.0,377.0,1410155.0,tokyobbc_rapsodo Player_007,,1743872993.0,1743905393.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1743905393,untitled,1743905388.0,,/Users/shugokatayama/Analyst-GitHub/オープン戦データ/25-1春/20250406春季オープン戦vs杏林大B.csv
92,53.0,91.0,2025/4/6,4238.300647,3968.300652,1743905412,4.0,4.0,武田,Right,TOK,2,加藤,Left,杏林大,3,Bottom,1,1,2,ChangeUp,InPlay,Undefined,GroundBall,Error,0,1,,113.28,0.5579999999999999,0.152,38.25721023450968,19.832129850218383,杏林大,#ff0000,杏林大,TOK,#217fc4,東大,杏林大学グラウンド,B,春季オープン戦,Normal,"1,2",北嶋,武田,,Undefined,,荒井孝,武田,"4,3,2","4E,3,2",2509520092,二ゴ失①,,,,,,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤,"北嶋,加藤,玉田,篠宮,田中,小宮,飯塚,井口,武田","成瀬,伊藤,石川,矢田貝,山本,臼井,大山,荒井孝,小田","笠原,武田,篠宮,玉田,加藤,北嶋,田中,小宮,井口","武田,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤","R,R,L,R,R,R,R,R,R,R","R,L,L,R,R,R,R,R,R,R",299.0,1186078.0,Rintaro Takeda,,1743873016.0,1743905416.0,ChangeUp,N,0.2556,0.3507,113.28,1493.8,1483.2,99.29,01:32,1.0,1.5781002,25.8,32.9,37.7,41.2,-0.85,-0.4,1.67,0.17,-6.83,1186078@1743905416,V3P4DLKO0850A,1.5532573,-9.145619,untitled,,1743905410.0,376.0,1410155.0,tokyobbc_rapsodo Player_007,,1743873015.0,1743905415.0,145.3,113.3,7.7,12.7,733.1892,43.8,02:20,1.0,-26.5,32.9,-7.9,,V3P4DLKO0850A,1410155@1743905415,untitled,1743905410.0,,/Users/shugokatayama/Analyst-GitHub/オープン戦データ/25-1春/20250406春季オープン戦vs杏林大B.csv
93,54.0,92.0,2025/4/6,4296.081082820892,4026.081084966659,1743905470,5.0,1.0,武田,Right,TOK,3,玉田,Right,杏林大,3,Bottom,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,120.76,0.882,-0.48,,,杏林大,#ff0000,杏林大,TOK,#217fc4,東大,杏林大学グラウンド,B,春季オープン戦,Normal,"1,2",加藤,北嶋,,Nothing,,,,"2,6","2,6",2509520093,ボール,,,,,,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤,"北嶋,加藤,玉田,篠宮,田中,小宮,飯塚,井口,武田","成瀬,伊藤,石川,矢田貝,山本,臼井,大山,荒井孝,小田","笠原,武田,篠宮,玉田,加藤,北嶋,田中,小宮,井口","武田,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤","R,R,L,R,R,R,R,R,R,R","R,L,L,R,R,R,R,R,R,R",298.0,1186078.0,Rintaro Takeda,,1743873072.0,1743905472.0,Fastball,N,-0.7975,1.0069,120.76,2209.65,2101.2,95.09,01:14,1.0,1.7311573,60.2,27.9,47.1,37.1,-4.3,0.11,1.66,0.15,18.02,1186078@1743905472,V3P4DLKO0850A,-2.2365448,-4.991854,untitled,,1743905466.0,375.0,1410155.0,tokyobbc_rapsodo Player_007,,1743873071.0,1743905471.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1743905471,untitled,1743905466.0,,/Users/shugokatayama/Analyst-GitHub/オープン戦データ/25-1春/20250406春季オープン戦vs杏林大B.csv
94,55.0,93.0,2025/4/6,4317.5878739356995,4047.587876081466,1743905491,5.0,2.0,武田,Right,TOK,3,玉田,Right,杏林大,3,Bottom,1,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,125.15,1.038,-0.407,,,杏林大,#ff0000,杏林大,TOK,#217fc4,東大,杏林大学グラウンド,B,春季オープン戦,Normal,"1,2",加藤,北嶋,,Nothing,,,,,,2509520094,ボール,,,,,,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤,"北嶋,加藤,玉田,篠宮,田中,小宮,飯塚,井口,武田","成瀬,伊藤,石川,矢田貝,山本,臼井,大山,荒井孝,小田","笠原,武田,篠宮,玉田,加藤,北嶋,田中,小宮,井口","武田,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤","R,R,L,R,R,R,R,R,R,R","R,L,L,R,R,R,R,R,R,R",297.0,1186078.0,Rintaro Takeda,,1743873095.0,1743905495.0,Fastball,N,-0.3969,1.2029,125.15,2299.9,2265.1,98.48,01:02,1.0,1.6891346,60.4,21.7,53.5,33.7,-2.47,0.25,1.72,0.09,9.99,1186078@1743905495,V3P4DLKO0850A,-0.871919,-4.0807004,untitled,,1743905489.0,374.0,1410155.0,tokyobbc_rapsodo Player_007,,1743873094.0,1743905494.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1743905494,untitled,1743905489.0,,/Users/shugokatayama/Analyst-GitHub/オープン戦データ/25-1春/20250406春季オープン戦vs杏林大B.csv
95,56.0,94.0,2025/4/6,4338.536750078201,4068.536752,1743905512,5.0,3.0,武田,Right,TOK,3,玉田,Right,杏林大,3,Bottom,1,2,0,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,124.88,0.866,0.096,8.056932320795081,156.25050550713323,杏林大,#ff0000,杏林大,TOK,#217fc4,東大,杏林大学グラウンド,B,春季オープン戦,Normal,"1,2",加藤,北嶋,,Undefined,,,,,,2509520095,ファール,,,,,,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤,"北嶋,加藤,玉田,篠宮,田中,小宮,飯塚,井口,武田","成瀬,伊藤,石川,矢田貝,山本,臼井,大山,荒井孝,小田","笠原,武田,篠宮,玉田,加藤,北嶋,田中,小宮,井口","武田,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤","R,R,L,R,R,R,R,R,R,R","R,L,L,R,R,R,R,R,R,R",296.0,1186078.0,Rintaro Takeda,,1743873117.0,1743905517.0,Fastball,Y,-0.1513,1.0041,124.88,2269.67,2140.2,94.3,01:18,1.0,1.5532017,62.4,33.6,47.1,39.6,-2.09,-0.29,1.7,0.11,19.45,1186078@1743905517,V3P4DLKO0850A,0.40006092,-4.8328266,untitled,,1743905511.0,373.0,1410155.0,tokyobbc_rapsodo Player_007,,1743873116.0,1743905516.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1743905516,untitled,1743905511.0,,/Users/shugokatayama/Analyst-GitHub/オープン戦データ/25-1春/20250406春季オープン戦vs杏林大B.csv
96,57.0,95.0,2025/4/6,4368.368451118469,4098.368453979492,1743905542,5.0,4.0,武田,Right,TOK,3,玉田,Right,杏林大,3,Bottom,1,2,1,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,A2B,124.1,0.5660000000000001,0.036,15.316525056928812,-164.3577535,杏林大,#ff0000,杏林大,TOK,#217fc4,東大,杏林大学グラウンド,B,春季オープン戦,Normal,"1,2",加藤,北嶋,,Undefined,,,,,,2509520096,ファール,,,,,,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤,"北嶋,加藤,玉田,篠宮,田中,小宮,飯塚,井口,武田","成瀬,伊藤,石川,矢田貝,山本,臼井,大山,荒井孝,小田","笠原,武田,篠宮,玉田,加藤,北嶋,田中,小宮,井口","武田,大山,石川,荒井孝,臼井,小田,山本,成瀬,伊藤","R,R,L,R,R,R,R,R,R,R","R,L,L,R,R,R,R,R,R,R",295.0,1186078.0,Rintaro Takeda,,1743873146.0,1743905546.0,Fastball,Y,-0.2321,0.797,124.1,2168.23,2025.4,93.41,00:52,1.0,1.5463028,68.0,23.8,56.4,28.6,-2.03,-1.18,1.71,0.11,20.91,1186078@1743905546,V3P4DLKO0850A,-0.2803819,-5.3916044,untitled,,1743905540.0,372.0,1410155.0,tokyobbc_rapsodo Player_007,,1743873145.0,1743905545.0,,,,0.0,,0.0,NaN:00,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410155@1743905545,untitled,1743905540.0,,/Users/shugokatayama/Analyst-GitHub/オープン戦データ/25-1春/20250406春季オープン戦vs杏林大B.csv
