count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,runevent_romaji,scored_person_romaji
0,1.0,1.0,2025/3/8,1226.335741,896.3357508,1741395555,1.0,1.0,玉置,Right,TOK,1,batter1,Right,一橋大,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,121.0,0.19,-0.216,,,TOK,#217fc4,東大,一橋大,#011892,一橋大,一橋大学グラウンド,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2506620000,ボール,,1224,https://youtu.be/6Xx1PDi73So&t=1224,642,https://youtu.be/q-v30d4y9K4&t=642,深見,石川,荒井孝,大田,小田,山本,岡林,安田,"安田,岡林,山本,スタンリー,石川,深見,大田,小田,荒井孝","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","玉置,深見,石川,荒井孝,大田,小田,山本,岡林,安田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,L,R,R,R","R,R,R,L,L,L,L,R,L,R","Shin, Tamaki","Yuto, Fukami","Hikaru, Ishikawa","Kota, Arai","Eisuke, Ohta","Shu, Oda","Akira, Yamamoto","Yuna, Okabayashi","Ken, Yasuda",,,,,,,
1,2.0,2.0,2025/3/8,1238.314999,908.315007,1741395567,1.0,2.0,玉置,Right,TOK,1,batter1,Right,一橋大,1,Top,0,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,119.0,0.91,0.52,,,TOK,#217fc4,東大,一橋大,#011892,一橋大,一橋大学グラウンド,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2506620001,ボール,,1236,https://youtu.be/6Xx1PDi73So&t=1236,653,https://youtu.be/q-v30d4y9K4&t=653,深見,石川,荒井孝,大田,小田,山本,岡林,安田,"安田,岡林,山本,スタンリー,石川,深見,大田,小田,荒井孝","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","玉置,深見,石川,荒井孝,大田,小田,山本,岡林,安田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,L,R,R,R","R,R,R,L,L,L,L,R,L,R","Shin, Tamaki","Yuto, Fukami","Hikaru, Ishikawa","Kota, Arai","Eisuke, Ohta","Shu, Oda","Akira, Yamamoto","Yuna, Okabayashi","Ken, Yasuda",,,,,,,
2,3.0,3.0,2025/3/8,1250.805429,920.8054299,1741395579,1.0,3.0,玉置,Right,TOK,1,batter1,Right,一橋大,1,Top,0,2,0,Fastball,FoulBall,Undefined,GroundBall,Undefined,0,0,,120.0,0.55,0.064,15.62029769,100.8855271,TOK,#217fc4,東大,一橋大,#011892,一橋大,一橋大学グラウンド,B,春季オープン戦,Normal,,,,,Undefined,,,,,,2506620002,ファール,,1248,https://youtu.be/6Xx1PDi73So&t=1248,666,https://youtu.be/q-v30d4y9K4&t=666,深見,石川,荒井孝,大田,小田,山本,岡林,安田,"安田,岡林,山本,スタンリー,石川,深見,大田,小田,荒井孝","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","玉置,深見,石川,荒井孝,大田,小田,山本,岡林,安田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,L,R,R,R","R,R,R,L,L,L,L,R,L,R","Shin, Tamaki","Yuto, Fukami","Hikaru, Ishikawa","Kota, Arai","Eisuke, Ohta","Shu, Oda","Akira, Yamamoto","Yuna, Okabayashi","Ken, Yasuda",,,,,,,
3,4.0,4.0,2025/3/8,1272.401619,942.4016247,1741395601,1.0,4.0,玉置,Right,TOK,1,batter1,Right,一橋大,1,Top,0,2,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,119.0,0.27,-0.216,,,TOK,#217fc4,東大,一橋大,#011892,一橋大,一橋大学グラウンド,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2506620003,ボール,,1270,https://youtu.be/6Xx1PDi73So&t=1270,675,https://youtu.be/q-v30d4y9K4&t=675,深見,石川,荒井孝,大田,小田,山本,岡林,安田,"安田,岡林,山本,スタンリー,石川,深見,大田,小田,荒井孝","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","玉置,深見,石川,荒井孝,大田,小田,山本,岡林,安田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,L,R,R,R","R,R,R,L,L,L,L,R,L,R","Shin, Tamaki","Yuto, Fukami","Hikaru, Ishikawa","Kota, Arai","Eisuke, Ohta","Shu, Oda","Akira, Yamamoto","Yuna, Okabayashi","Ken, Yasuda",,,,,,,
4,5.0,5.0,2025/3/8,1285.263156,955.26316,1741395614,1.0,5.0,玉置,Right,TOK,1,batter1,Right,一橋大,1,Top,0,3,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,120.0,0.982,0.116,,,TOK,#217fc4,東大,一橋大,#011892,一橋大,一橋大学グラウンド,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2506620004,見逃し,,1283,https://youtu.be/6Xx1PDi73So&t=1283,688,https://youtu.be/q-v30d4y9K4&t=688,深見,石川,荒井孝,大田,小田,山本,岡林,安田,"安田,岡林,山本,スタンリー,石川,深見,大田,小田,荒井孝","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","玉置,深見,石川,荒井孝,大田,小田,山本,岡林,安田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,L,R,R,R","R,R,R,L,L,L,L,R,L,R","Shin, Tamaki","Yuto, Fukami","Hikaru, Ishikawa","Kota, Arai","Eisuke, Ohta","Shu, Oda","Akira, Yamamoto","Yuna, Okabayashi","Ken, Yasuda",,,,,,,
5,6.0,6.0,2025/3/8,1297.523012,967.5230188,1741395626,1.0,6.0,玉置,Right,TOK,1,batter1,Right,一橋大,1,Top,0,3,2,Fastball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,,0.562,0.224,,,TOK,#217fc4,東大,一橋大,#011892,一橋大,一橋大学グラウンド,B,春季オープン戦,Normal,,,,,Nothing,,,,,,2506620005,見三振,,1295,https://youtu.be/6Xx1PDi73So&t=1295,700,https://youtu.be/q-v30d4y9K4&t=700,深見,石川,荒井孝,大田,小田,山本,岡林,安田,"安田,岡林,山本,スタンリー,石川,深見,大田,小田,荒井孝","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","玉置,深見,石川,荒井孝,大田,小田,山本,岡林,安田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,L,R,R,R","R,R,R,L,L,L,L,R,L,R","Shin, Tamaki","Yuto, Fukami","Hikaru, Ishikawa","Kota, Arai","Eisuke, Ohta","Shu, Oda","Akira, Yamamoto","Yuna, Okabayashi","Ken, Yasuda",,,,,,,
6,7.0,7.0,2025/3/8,1323.139261,993.1392667,1741395652,2.0,1.0,玉置,Right,TOK,2,batter2,Right,一橋大,1,Top,1,0,0,Fastball,InPlay,Undefined,GroundBall,Single,0,0,,119.0,0.886,0.2,73.29062754,-29.14419868,TOK,#217fc4,東大,一橋大,#011892,一橋大,一橋大学グラウンド,B,春季オープン戦,Normal,,,,,Undefined,,,,7,7,2506620006,左安,,1321,https://youtu.be/6Xx1PDi73So&t=1321,714,https://youtu.be/q-v30d4y9K4&t=714,深見,石川,荒井孝,大田,小田,山本,岡林,安田,"安田,岡林,山本,スタンリー,石川,深見,大田,小田,荒井孝","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","玉置,深見,石川,荒井孝,大田,小田,山本,岡林,安田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,L,R,R,R","R,R,R,L,L,L,L,R,L,R","Shin, Tamaki","Yuto, Fukami","Hikaru, Ishikawa","Kota, Arai","Eisuke, Ohta","Shu, Oda","Akira, Yamamoto","Yuna, Okabayashi","Ken, Yasuda",,,,,,,
7,8.0,8.0,2025/3/8,1366.311865,1036.311871,1741395695,3.0,1.0,玉置,Right,TOK,3,batter3,Left,一橋大,1,Top,1,0,0,TwoSeamFastBall,BallCalled,Undefined,Undefined,Undefined,0,0,,115.0,0.606,0.467,,,TOK,#217fc4,東大,一橋大,#011892,一橋大,一橋大学グラウンド,B,春季オープン戦,Normal,1,batter2,,,Nothing,,,,,,2506620007,ボール,,1364,https://youtu.be/6Xx1PDi73So&t=1364,727,https://youtu.be/q-v30d4y9K4&t=727,深見,石川,荒井孝,大田,小田,山本,岡林,安田,"安田,岡林,山本,スタンリー,石川,深見,大田,小田,荒井孝","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","玉置,深見,石川,荒井孝,大田,小田,山本,岡林,安田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,L,R,R,R","R,R,R,L,L,L,L,R,L,R","Shin, Tamaki","Yuto, Fukami","Hikaru, Ishikawa","Kota, Arai","Eisuke, Ohta","Shu, Oda","Akira, Yamamoto","Yuna, Okabayashi","Ken, Yasuda",,,,,,,
8,9.0,9.0,2025/3/8,1383.697395,1053.697404,1741395712,3.0,2.0,玉置,Right,TOK,3,batter3,Left,一橋大,1,Top,1,1,0,TwoSeamFastBall,InPlay,Undefined,Popup,Out,1,0,,114.0,0.582,0.216,43.57502314,-19.7842787,TOK,#217fc4,東大,一橋大,#011892,一橋大,一橋大学グラウンド,B,春季オープン戦,Normal,1,batter2,,,Undefined,,,,6,6,2506620008,遊飛,,1381,https://youtu.be/6Xx1PDi73So&t=1381,745,https://youtu.be/q-v30d4y9K4&t=745,深見,石川,荒井孝,大田,小田,山本,岡林,安田,"安田,岡林,山本,スタンリー,石川,深見,大田,小田,荒井孝","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","玉置,深見,石川,荒井孝,大田,小田,山本,岡林,安田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,L,R,R,R","R,R,R,L,L,L,L,R,L,R","Shin, Tamaki","Yuto, Fukami","Hikaru, Ishikawa","Kota, Arai","Eisuke, Ohta","Shu, Oda","Akira, Yamamoto","Yuna, Okabayashi","Ken, Yasuda",,,,,,,
9,,,2025/3/8,1429.322715,1099.32272,1741395758,,,玉置,Right,TOK,4,batter4,Left,一橋大,1,Top,2,0,0,,,,,,0,0,,,,,,,TOK,#217fc4,東大,一橋大,#011892,一橋大,一橋大学グラウンド,B,春季オープン戦,Normal,1,batter2,,,PickOff,,,,"1,3","1,3",2506620009,牽制,,1427,https://youtu.be/6Xx1PDi73So&t=1427,765,https://youtu.be/q-v30d4y9K4&t=765,深見,石川,荒井孝,大田,小田,山本,岡林,安田,"安田,岡林,山本,スタンリー,石川,深見,大田,小田,荒井孝","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","玉置,深見,石川,荒井孝,大田,小田,山本,岡林,安田","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,L,R,R,R,L,R,R,R","R,R,R,L,L,L,L,R,L,R","Shin, Tamaki","Yuto, Fukami","Hikaru, Ishikawa","Kota, Arai","Eisuke, Ohta","Shu, Oda","Akira, Yamamoto","Yuna, Okabayashi","Ken, Yasuda",,,,,,,
