count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji
80,50.0,80.0,2025/6/29,3259.161899805069,2554.1619007587433,1751164687.320967,5.0,4.0,松本慎,Left,TOK,6,batter6,Right,大阪経済大,3,Bottom,2,2,1,Fastball,FoulBall,Undefined,GroundBall,Undefined,0,0,,,0.5820000000000001,-0.116,52.175711664580746,-60.53637202,大阪経済大,#007fff,大経大,TOK,#217fc4,東大,大経大G,A,夏季オープン戦,Normal,"2,3",,batter4,batter3,Undefined,,,,,,2517900080,ファール,,3257.0,https://youtu.be/ZThN8dcdFro&t=3257,2517.0,https://youtu.be/tJpUinkLpnw&t=2517,明石,中山,井之口,門田,小村,小美野,岡林,成瀬,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","小村,明石,中山,堀部,小美野,岡林,門田,井之口,成瀬","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","松本慎,明石,中山,井之口,門田,小村,小美野,岡林,成瀬","L,L,L,L,R,R,R,R,R,R","R,L,L,L,R,L,L,R,L,L",,,,,,,"Shinnosuke, Matsumoto","Ken, Akashi","Taiyo, Nakayama","Koji, Inokuchi","Ryohei, Kadota","Osuke, Komura","Komino, Harunobu","Yuna, Okabayashi","Yuto, Naruse",
81,51.0,81.0,2025/6/29,3287.5551698207855,2582.5551698207855,1751164715.714237,5.0,5.0,松本慎,Left,TOK,6,batter6,Right,大阪経済大,3,Bottom,2,2,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,118.0,0.5660000000000001,0.1159999999999999,,,大阪経済大,#007fff,大経大,TOK,#217fc4,東大,大経大G,A,夏季オープン戦,Normal,"2,3",,batter4,batter3,Nothing,,,,,,2517900081,空三振,,3285.0,https://youtu.be/ZThN8dcdFro&t=3285,2546.0,https://youtu.be/tJpUinkLpnw&t=2546,明石,中山,井之口,門田,小村,小美野,岡林,成瀬,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","小村,明石,中山,堀部,小美野,岡林,門田,井之口,成瀬","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","松本慎,明石,中山,井之口,門田,小村,小美野,岡林,成瀬","L,L,L,L,R,R,R,R,R,R","R,L,L,L,R,L,L,R,L,L",,,,,,,"Shinnosuke, Matsumoto","Ken, Akashi","Taiyo, Nakayama","Koji, Inokuchi","Ryohei, Kadota","Osuke, Komura","Komino, Harunobu","Yuna, Okabayashi","Yuto, Naruse",
82,1.0,82.0,2025/6/29,3468.544481754303,2763.5444827079773,1751164896.703549,1.0,1.0,pos1_2,Right,大阪経済大,2,明石,Left,TOK,4,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,137.0,-0.01,-0.02,,,大阪経済大,#007fff,大経大,TOK,#217fc4,東大,大経大G,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2517900082,ボール,,3466.0,https://youtu.be/ZThN8dcdFro&t=3466,2572.0,https://youtu.be/tJpUinkLpnw&t=2572,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","小村,明石,中山,堀部,小美野,岡林,門田,井之口,成瀬","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","松本慎,明石,中山,井之口,門田,小村,小美野,岡林,成瀬","L,L,L,L,R,R,R,R,R,R","R,L,L,L,R,L,L,R,L,L","Ken, Akashi",,,,,,,,,,,,,,,
83,2.0,83.0,2025/6/29,3481.1200947761536,2776.1200959682465,1751164909.2791622,1.0,2.0,pos1_2,Right,大阪経済大,2,明石,Left,TOK,4,Top,0,1,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,134.0,0.53,0.236,,,大阪経済大,#007fff,大経大,TOK,#217fc4,東大,大経大G,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2517900083,見逃し,,3479.0,https://youtu.be/ZThN8dcdFro&t=3479,2585.0,https://youtu.be/tJpUinkLpnw&t=2585,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","小村,明石,中山,堀部,小美野,岡林,門田,井之口,成瀬","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","松本慎,明石,中山,井之口,門田,小村,小美野,岡林,成瀬","L,L,L,L,R,R,R,R,R,R","R,L,L,L,R,L,L,R,L,L","Ken, Akashi",,,,,,,,,,,,,,,
84,3.0,84.0,2025/6/29,3495.92183,2790.921830892563,1751164924.080897,1.0,3.0,pos1_2,Right,大阪経済大,2,明石,Left,TOK,4,Top,0,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,137.0,0.29,0.008,,,大阪経済大,#007fff,大経大,TOK,#217fc4,東大,大経大G,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2517900084,ボール,,3493.0,https://youtu.be/ZThN8dcdFro&t=3493,2600.0,https://youtu.be/tJpUinkLpnw&t=2600,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","小村,明石,中山,堀部,小美野,岡林,門田,井之口,成瀬","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","松本慎,明石,中山,井之口,門田,小村,小美野,岡林,成瀬","L,L,L,L,R,R,R,R,R,R","R,L,L,L,R,L,L,R,L,L","Ken, Akashi",,,,,,,,,,,,,,,
85,4.0,85.0,2025/6/29,3513.0397987365723,2808.0397996902466,1751164941.198866,1.0,4.0,pos1_2,Right,大阪経済大,2,明石,Left,TOK,4,Top,0,2,1,Cutter,BallinDirt,Undefined,Undefined,Undefined,0,0,,123.0,0.123,-0.1,,,大阪経済大,#007fff,大経大,TOK,#217fc4,東大,大経大G,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2517900085,ボール(低投),,3511.0,https://youtu.be/ZThN8dcdFro&t=3511,2617.0,https://youtu.be/tJpUinkLpnw&t=2617,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","小村,明石,中山,堀部,小美野,岡林,門田,井之口,成瀬","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","松本慎,明石,中山,井之口,門田,小村,小美野,岡林,成瀬","L,L,L,L,R,R,R,R,R,R","R,L,L,L,R,L,L,R,L,L","Ken, Akashi",,,,,,,,,,,,,,,
86,5.0,86.0,2025/6/29,3530.8189618587494,2825.8189628124237,1751164958.978029,1.0,5.0,pos1_2,Right,大阪経済大,2,明石,Left,TOK,4,Top,0,3,1,Fastball,BallinDirt,Walk,Undefined,Undefined,0,0,,137.0,-0.003,0.088,,,大阪経済大,#007fff,大経大,TOK,#217fc4,東大,大経大G,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2517900086,四球,,3528.0,https://youtu.be/ZThN8dcdFro&t=3528,2635.0,https://youtu.be/tJpUinkLpnw&t=2635,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","小村,明石,中山,堀部,小美野,岡林,門田,井之口,成瀬","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","松本慎,明石,中山,井之口,門田,小村,小美野,岡林,成瀬","L,L,L,L,R,R,R,R,R,R","R,L,L,L,R,L,L,R,L,L","Ken, Akashi",,,,,,,,,,,,,,,
87,,,2025/6/29,3565.6112418174744,2860.6112430095673,1751164993.7703092,,,pos1_2,Right,大阪経済大,3,中山,Left,TOK,4,Top,0,0,0,,,,,,0,0,,,,,,,大阪経済大,#007fff,大経大,TOK,#217fc4,東大,大経大G,A,夏季オープン戦,Normal,1,明石,,,PickOff,,,,"1,3","1,3",2517900087,牽制,,3563.0,https://youtu.be/ZThN8dcdFro&t=3563,2652.0,https://youtu.be/tJpUinkLpnw&t=2652,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","小村,明石,中山,堀部,小美野,岡林,門田,井之口,成瀬","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","松本慎,明石,中山,井之口,門田,小村,小美野,岡林,成瀬","L,L,L,L,R,R,R,R,R,R","R,L,L,L,R,L,L,R,L,L","Taiyo, Nakayama","Ken, Akashi",,,,,,,,,,,,,,
88,6.0,87.0,2025/6/29,3579.9768917560577,2874.976893,1751165008.1359591,2.0,1.0,pos1_2,Right,大阪経済大,3,中山,Left,TOK,4,Top,0,0,0,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,138.0,0.8140000000000001,0.172,40.900957592513414,-101.2288918,大阪経済大,#007fff,大経大,TOK,#217fc4,東大,大経大G,A,夏季オープン戦,Normal,1,明石,,,Undefined,,,,,,2517900088,ファール,,3577.0,https://youtu.be/ZThN8dcdFro&t=3577,2666.0,https://youtu.be/tJpUinkLpnw&t=2666,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","小村,明石,中山,堀部,小美野,岡林,門田,井之口,成瀬","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","松本慎,明石,中山,井之口,門田,小村,小美野,岡林,成瀬","L,L,L,L,R,R,R,R,R,R","R,L,L,L,R,L,L,R,L,L","Taiyo, Nakayama","Ken, Akashi",,,,,,,,,,,,,,
89,7.0,88.0,2025/6/29,3602.6363277435303,2897.636328935623,1751165030.7953951,2.0,2.0,pos1_2,Right,大阪経済大,3,中山,Left,TOK,4,Top,0,0,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,138.0,1.123,0.152,,,大阪経済大,#007fff,大経大,TOK,#217fc4,東大,大経大G,A,夏季オープン戦,Normal,1,明石,,,Nothing,,,,,,2517900089,ボール,,3600.0,https://youtu.be/ZThN8dcdFro&t=3600,2689.0,https://youtu.be/tJpUinkLpnw&t=2689,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","小村,明石,中山,堀部,小美野,岡林,門田,井之口,成瀬","pos1_2,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","松本慎,明石,中山,井之口,門田,小村,小美野,岡林,成瀬","L,L,L,L,R,R,R,R,R,R","R,L,L,L,R,L,L,R,L,L","Taiyo, Nakayama","Ken, Akashi",,,,,,,,,,,,,,
