count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji
10,9.0,9.0,2025/7/12,881.2221450805664,671.2221460342407,1752296542.457112,3.0,5.0,栗林,Right,TOK,3,batter3,Left,川口ゴールデンドリームス,1,Top,1,3,1,Curveball,BallCalled,Walk,Undefined,Undefined,0,0,A2SR1,,-0.05,0.216,,,TOK,#217fc4,東大,川口ゴールデンドリームス,#ffe900,川口ゴ,TodaiStadium,B,夏季オープン戦,Normal,1,batter2,,,Nothing,,,,,,2519230010,四球,,879.0,https://youtu.be/RuiLCh8R_bM&t=879,820.0,https://youtu.be/JV-f-lVN4UY&t=820,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川,"榎本,大坂,山本,藤尾,長谷川,松本康,小田,竹下,阿部","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,L,R,R,L,R","R,L,R,L,L,L,L,L,L,L","Kazuki, Kuribayashi","Kohei, Matsumoto","Takeshita, Hiraku","Abe, Senji","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Hasegawa, Yu",,,,,,,
11,10.0,10.0,2025/7/12,928.7517498,718.7517509460449,1752296589.986717,4.0,1.0,栗林,Right,TOK,4,batter4,Left,川口ゴールデンドリームス,1,Top,1,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,102.0,0.103,-0.48,,,TOK,#217fc4,東大,川口ゴールデンドリームス,#ffe900,川口ゴ,TodaiStadium,B,夏季オープン戦,Normal,"1,2",batter3,batter2,,Nothing,,,,,,2519230011,ボール,,926.0,https://youtu.be/RuiLCh8R_bM&t=926,858.0,https://youtu.be/JV-f-lVN4UY&t=858,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川,"榎本,大坂,山本,藤尾,長谷川,松本康,小田,竹下,阿部","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,L,R,R,L,R","R,L,R,L,L,L,L,L,L,L","Kazuki, Kuribayashi","Kohei, Matsumoto","Takeshita, Hiraku","Abe, Senji","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Hasegawa, Yu",,,,,,,
12,,,2025/7/12,959.8371689319612,749.8371698856354,1752296621.072136,,,栗林,Right,TOK,4,batter4,Left,川口ゴールデンドリームス,1,Top,1,1,0,,,,,,0,0,,,,,,,TOK,#217fc4,東大,川口ゴールデンドリームス,#ffe900,川口ゴ,TodaiStadium,B,夏季オープン戦,Normal,"1,2",batter3,batter2,,PickOff,,,,"1,6","1,6",2519230012,牽制,,957.0,https://youtu.be/RuiLCh8R_bM&t=957,889.0,https://youtu.be/JV-f-lVN4UY&t=889,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川,"榎本,大坂,山本,藤尾,長谷川,松本康,小田,竹下,阿部","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,L,R,R,L,R","R,L,R,L,L,L,L,L,L,L","Kazuki, Kuribayashi","Kohei, Matsumoto","Takeshita, Hiraku","Abe, Senji","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Hasegawa, Yu",,,,,,,
13,11.0,11.0,2025/7/12,975.7928659915924,765.7928669452667,1752296637.027833,4.0,2.0,栗林,Right,TOK,4,batter4,Left,川口ゴールデンドリームス,1,Top,1,1,0,Fastball,InPlay,Undefined,GroundBall,Out,2,0,,131.0,0.55,-0.096,38.06109998,18.99665415548856,TOK,#217fc4,東大,川口ゴールデンドリームス,#ffe900,川口ゴ,TodaiStadium,B,夏季オープン戦,Normal,"1,2",batter3,batter2,,Undefined,,,,"4,6,3","4,6B,3",2519230013,二ゴ併,,973.0,https://youtu.be/RuiLCh8R_bM&t=973,905.0,https://youtu.be/JV-f-lVN4UY&t=905,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川,"榎本,大坂,山本,藤尾,長谷川,松本康,小田,竹下,阿部","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,L,R,R,L,R","R,L,R,L,L,L,L,L,L,L","Kazuki, Kuribayashi","Kohei, Matsumoto","Takeshita, Hiraku","Abe, Senji","Shunsuke, Fujio","Shu, Oda","Akira, Yamamoto","Yuki, Osaka","Hasegawa, Yu",,,,,,,
14,1.0,12.0,2025/7/12,1145.465117931366,935.4651188850404,1752296806.700086,1.0,1.0,pos1,Right,川口ゴールデンドリームス,1,榎本,Left,TOK,1,Bottom,0,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,124.0,0.894,0.467,,,TOK,#217fc4,東大,川口ゴールデンドリームス,#ffe900,川口ゴ,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2519230014,ボール,,1143.0,https://youtu.be/RuiLCh8R_bM&t=1143,1039.0,https://youtu.be/JV-f-lVN4UY&t=1039,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"榎本,大坂,山本,藤尾,長谷川,松本康,小田,竹下,阿部","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,L,R,R,L,R","R,L,R,L,L,L,L,L,L,L",,,,,,,,,,,"Yoshinobu, Enomoto",,,,,
15,2.0,13.0,2025/7/12,1158.556720018387,948.5567209720612,1752296819.791687,1.0,2.0,pos1,Right,川口ゴールデンドリームス,1,榎本,Left,TOK,1,Bottom,0,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,137.0,0.994,0.62,,,TOK,#217fc4,東大,川口ゴールデンドリームス,#ffe900,川口ゴ,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2519230015,ボール,,1156.0,https://youtu.be/RuiLCh8R_bM&t=1156,1052.0,https://youtu.be/JV-f-lVN4UY&t=1052,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"榎本,大坂,山本,藤尾,長谷川,松本康,小田,竹下,阿部","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,L,R,R,L,R","R,L,R,L,L,L,L,L,L,L",,,,,,,,,,,"Yoshinobu, Enomoto",,,,,
16,3.0,14.0,2025/7/12,1172.997764825821,962.9977657794952,1752296834.232732,1.0,3.0,pos1,Right,川口ゴールデンドリームス,1,榎本,Left,TOK,1,Bottom,0,2,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,139.0,0.53,0.264,,,TOK,#217fc4,東大,川口ゴールデンドリームス,#ffe900,川口ゴ,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2519230016,見逃し,,1170.0,https://youtu.be/RuiLCh8R_bM&t=1170,1067.0,https://youtu.be/JV-f-lVN4UY&t=1067,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"榎本,大坂,山本,藤尾,長谷川,松本康,小田,竹下,阿部","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,L,R,R,L,R","R,L,R,L,L,L,L,L,L,L",,,,,,,,,,,"Yoshinobu, Enomoto",,,,,
17,4.0,15.0,2025/7/12,1187.791152954102,977.7911539,1752296849.0,1.0,4.0,pos1,Right,川口ゴールデンドリームス,1,榎本,Left,TOK,1,Bottom,0,2,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,138.0,0.4579999999999999,0.272,,,TOK,#217fc4,東大,川口ゴールデンドリームス,#ffe900,川口ゴ,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2519230017,見逃し,,1185.0,https://youtu.be/RuiLCh8R_bM&t=1185,1082.0,https://youtu.be/JV-f-lVN4UY&t=1082,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"榎本,大坂,山本,藤尾,長谷川,松本康,小田,竹下,阿部","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,L,R,R,L,R","R,L,R,L,L,L,L,L,L,L",,,,,,,,,,,"Yoshinobu, Enomoto",,,,,
18,5.0,16.0,2025/7/12,1202.288522958755,992.2885251045228,1752296863.523491,1.0,5.0,pos1,Right,川口ゴールデンドリームス,1,榎本,Left,TOK,1,Bottom,0,2,2,Splitter,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,129.0,0.25,0.24,,,TOK,#217fc4,東大,川口ゴールデンドリームス,#ffe900,川口ゴ,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2519230018,空三振,,1200.0,https://youtu.be/RuiLCh8R_bM&t=1200,1096.0,https://youtu.be/JV-f-lVN4UY&t=1096,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"榎本,大坂,山本,藤尾,長谷川,松本康,小田,竹下,阿部","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,L,R,R,L,R","R,L,R,L,L,L,L,L,L,L",,,,,,,,,,,"Yoshinobu, Enomoto",,,,,
19,6.0,17.0,2025/7/12,1224.615474939346,1014.615477085114,1752296885.850443,2.0,1.0,pos1,Right,川口ゴールデンドリームス,2,大坂,Left,TOK,1,Bottom,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,140.0,1.27,0.36,,,TOK,#217fc4,東大,川口ゴールデンドリームス,#ffe900,川口ゴ,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2519230019,ボール,,1222.0,https://youtu.be/RuiLCh8R_bM&t=1222,1118.0,https://youtu.be/JV-f-lVN4UY&t=1118,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"榎本,大坂,山本,藤尾,長谷川,松本康,小田,竹下,阿部","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,竹下,阿部,藤尾,小田,山本,大坂,長谷川","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","L,L,L,R,R,L,R,R,L,R","R,L,R,L,L,L,L,L,L,L",,,,,,,,,,,"Yuki, Osaka",,,,,
