count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji,No,Player ID,Pitcher_rapsodo_pitch,MLB ID,Date_rapsodo_pitch,Pitch ID,TaggedPitchType_rapsodo_pitch,IsStrike,PlateLocSide_rapsodo_pitch,PlateLocHeight_rapsodo_pitch,RelSpeed_rapsodo_pitch,SpinRate,TrueSpin,SpinEfficiency,Tilt,Spin Confidence,Extension,InducedVertBreak,HorzBreak,VB (spin),HB (spin),HorizontalRelAngle,RelAngle,RelHeight,RelSide,GyroDegree,Unique ID,Device Serial Number,HorzApprAngle,VertApprAngle,Session Name,Intent Type,unixtime,No_rapsodo_hit,Player ID_rapsodo_hit,Batter_rapsodo_hit,MLB ID_rapsodo_hit,Date_rapsodo_hit,HitID,ExitSpeed,RelSpeed_rapsodo_hit,Angle,Direction,HitSpinRate,Distance,HitSpinTilt,SpinConfidence,PlateLocSide_rapsodo_hit,PlateLocHeight_rapsodo_hit,ContactDepth,Batname,SerialNumber,Unique ID_rapsodo_hit,Session Name_rapsodo_hit,unixtime_rapsodo_hit,RelSpeed_opensen
0,1.0,1.0,2025/8/26,669.8149268627167,244.814935207367,1756184155,1.0,1.0,栗林,Right,TOK,1,北川,Left,学芸,1,Top,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.598,-0.28,,,TOK,#217fc4,東大,学芸,#31006d,学芸,TodaiStadium,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2523730000,見逃し,,667.0,https://youtu.be/_91Up_OTx04&t=667,702.0,https://youtu.be/TQ9uxw1h0UY?si=vikr9Bwt00O1mxaz&t=702,内海,春山,塗師,大沼,今泉,小島,村尾,堀端,"村尾,大沼,春山,矢田貝,堀端,小島,内海,今泉,塗師","北川,赤田,近藤,佐伯,金子,市川,鈴木,櫻井,中村","栗林,内海,春山,塗師,大沼,今泉,小島,村尾,堀端","後藤,櫻井,佐伯,鈴木,中村,金子,北川,赤田,近藤","R,R,R,R,R,L,L,R,L,R","R,L,L,L,R,L,R,R,R,R","Kazuki, Kuribayashi","Uchiumi, Noboru","Yuichiro, Haruyama","Takuma, Nushi","Onuma, Atomu","Rio, Imaizumi","Kojima, Yusei","Murao, Yusaku","Taiki, Horibata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,2.0,2025/8/26,682.088418,257.0884191989899,1756184167,1.0,2.0,栗林,Right,TOK,1,北川,Left,学芸,1,Top,0,0,1,Fastball,FoulBall,Undefined,Other,Undefined,0,0,,125.44,0.718,0.2319999999999999,37.85248162778018,-103.0615511,TOK,#217fc4,東大,学芸,#31006d,学芸,TodaiStadium,B,夏季オープン戦,Normal,,,,,Undefined,,,,,,2523730001,ファール,,680.0,https://youtu.be/_91Up_OTx04&t=680,714.0,https://youtu.be/TQ9uxw1h0UY?si=vikr9Bwt00O1mxaz&t=714,内海,春山,塗師,大沼,今泉,小島,村尾,堀端,"村尾,大沼,春山,矢田貝,堀端,小島,内海,今泉,塗師","北川,赤田,近藤,佐伯,金子,市川,鈴木,櫻井,中村","栗林,内海,春山,塗師,大沼,今泉,小島,村尾,堀端","後藤,櫻井,佐伯,鈴木,中村,金子,北川,赤田,近藤","R,R,R,R,R,L,L,R,L,R","R,L,L,L,R,L,R,R,R,R","Kazuki, Kuribayashi","Uchiumi, Noboru","Yuichiro, Haruyama","Takuma, Nushi","Onuma, Atomu","Rio, Imaizumi","Kojima, Yusei","Murao, Yusaku","Taiki, Horibata",,,,,,,,430.0,1184521.0,Kazuki Kuribayashi,,1756151762.0,1756184162.0,Fastball,Y,-0.176,0.6838,125.44,2148.43,1959.3,91.2,01:16,1.0,2.1629105,34.6,15.8,43.1,34.4,-1.47,-0.76,1.66,0.07,24.22,1184521@1756184162,V3P4DLKO0850A,-0.28176624,-6.510019,untitled,,1756184162.0,369.0,1410193.0,tokyobbc_rapsodo Player_030,,1756151762.0,1756184162.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410193@1756184162,untitled,1756184162.0,
2,3.0,3.0,2025/8/26,696.4190371,271.419037103653,1756184182,1.0,3.0,栗林,Right,TOK,1,北川,Left,学芸,1,Top,0,0,2,Cutter,InPlay,Undefined,LineDrive,Single,0,0,,,0.846,0.284,64.34533768969554,-15.69283428,TOK,#217fc4,東大,学芸,#31006d,学芸,TodaiStadium,B,夏季オープン戦,Normal,,,,,Undefined,,,,7,7,2523730002,左安,,694.0,https://youtu.be/_91Up_OTx04&t=694,720.0,https://youtu.be/TQ9uxw1h0UY?si=vikr9Bwt00O1mxaz&t=720,内海,春山,塗師,大沼,今泉,小島,村尾,堀端,"村尾,大沼,春山,矢田貝,堀端,小島,内海,今泉,塗師","北川,赤田,近藤,佐伯,金子,市川,鈴木,櫻井,中村","栗林,内海,春山,塗師,大沼,今泉,小島,村尾,堀端","後藤,櫻井,佐伯,鈴木,中村,金子,北川,赤田,近藤","R,R,R,R,R,L,L,R,L,R","R,L,L,L,R,L,R,R,R,R","Kazuki, Kuribayashi","Uchiumi, Noboru","Yuichiro, Haruyama","Takuma, Nushi","Onuma, Atomu","Rio, Imaizumi","Kojima, Yusei","Murao, Yusaku","Taiki, Horibata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.0,4.0,2025/8/26,730.9254229068756,305.9254238605499,1756184216,2.0,1.0,栗林,Right,TOK,2,赤田,Left,学芸,1,Top,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,A2B,,,,,,TOK,#217fc4,東大,学芸,#31006d,学芸,TodaiStadium,B,夏季オープン戦,Normal,1,北川,,,Nothing,,,,,,2523730003,ボール,,728.0,https://youtu.be/_91Up_OTx04&t=728,735.0,https://youtu.be/TQ9uxw1h0UY?si=vikr9Bwt00O1mxaz&t=735,内海,春山,塗師,大沼,今泉,小島,村尾,堀端,"村尾,大沼,春山,矢田貝,堀端,小島,内海,今泉,塗師","北川,赤田,近藤,佐伯,金子,市川,鈴木,櫻井,中村","栗林,内海,春山,塗師,大沼,今泉,小島,村尾,堀端","後藤,櫻井,佐伯,鈴木,中村,金子,北川,赤田,近藤","R,R,R,R,R,L,L,R,L,R","R,L,L,L,R,L,R,R,R,R","Kazuki, Kuribayashi","Uchiumi, Noboru","Yuichiro, Haruyama","Takuma, Nushi","Onuma, Atomu","Rio, Imaizumi","Kojima, Yusei","Murao, Yusaku","Taiki, Horibata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5.0,5.0,2025/8/26,751.0562300682068,326.0562310218811,1756184236,2.0,2.0,栗林,Right,TOK,2,赤田,Left,学芸,1,Top,0,1,0,Fastball,InPlay,Undefined,Bunt,Sacrifice,1,0,,,0.858,0.1639999999999999,14.24812351118976,-27.09555249,TOK,#217fc4,東大,学芸,#31006d,学芸,TodaiStadium,B,夏季オープン戦,Normal,1,北川,,,Undefined,,,,"1,3","1,3A",2523730004,投犠,,749.0,https://youtu.be/_91Up_OTx04&t=749,755.0,https://youtu.be/TQ9uxw1h0UY?si=vikr9Bwt00O1mxaz&t=755,内海,春山,塗師,大沼,今泉,小島,村尾,堀端,"村尾,大沼,春山,矢田貝,堀端,小島,内海,今泉,塗師","北川,赤田,近藤,佐伯,金子,市川,鈴木,櫻井,中村","栗林,内海,春山,塗師,大沼,今泉,小島,村尾,堀端","後藤,櫻井,佐伯,鈴木,中村,金子,北川,赤田,近藤","R,R,R,R,R,L,L,R,L,R","R,L,L,L,R,L,R,R,R,R","Kazuki, Kuribayashi","Uchiumi, Noboru","Yuichiro, Haruyama","Takuma, Nushi","Onuma, Atomu","Rio, Imaizumi","Kojima, Yusei","Murao, Yusaku","Taiki, Horibata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6.0,6.0,2025/8/26,788.8223850727081,363.8223860263825,1756184274,3.0,1.0,栗林,Right,TOK,3,近藤,Left,学芸,1,Top,1,0,0,Cutter,FoulBall,Undefined,GroundBall,Undefined,0,0,,,0.594,-0.084,59.76054642304415,63.30846828,TOK,#217fc4,東大,学芸,#31006d,学芸,TodaiStadium,B,夏季オープン戦,Normal,2,,北川,,Undefined,,,,,,2523730005,ファール,,786.0,https://youtu.be/_91Up_OTx04&t=786,776.0,https://youtu.be/TQ9uxw1h0UY?si=vikr9Bwt00O1mxaz&t=776,内海,春山,塗師,大沼,今泉,小島,村尾,堀端,"村尾,大沼,春山,矢田貝,堀端,小島,内海,今泉,塗師","北川,赤田,近藤,佐伯,金子,市川,鈴木,櫻井,中村","栗林,内海,春山,塗師,大沼,今泉,小島,村尾,堀端","後藤,櫻井,佐伯,鈴木,中村,金子,北川,赤田,近藤","R,R,R,R,R,L,L,R,L,R","R,L,L,L,R,L,R,R,R,R","Kazuki, Kuribayashi","Uchiumi, Noboru","Yuichiro, Haruyama","Takuma, Nushi","Onuma, Atomu","Rio, Imaizumi","Kojima, Yusei","Murao, Yusaku","Taiki, Horibata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7.0,7.0,2025/8/26,811.6558039188385,386.6558051109314,1756184297,3.0,2.0,栗林,Right,TOK,3,近藤,Left,学芸,1,Top,1,0,1,Cutter,FoulBall,Undefined,LineDrive,Undefined,0,0,,,0.746,-0.188,76.58546583,60.96683090909347,TOK,#217fc4,東大,学芸,#31006d,学芸,TodaiStadium,B,夏季オープン戦,Normal,2,,北川,,Undefined,,,,,,2523730006,ファール,,809.0,https://youtu.be/_91Up_OTx04&t=809,790.0,https://youtu.be/TQ9uxw1h0UY?si=vikr9Bwt00O1mxaz&t=790,内海,春山,塗師,大沼,今泉,小島,村尾,堀端,"村尾,大沼,春山,矢田貝,堀端,小島,内海,今泉,塗師","北川,赤田,近藤,佐伯,金子,市川,鈴木,櫻井,中村","栗林,内海,春山,塗師,大沼,今泉,小島,村尾,堀端","後藤,櫻井,佐伯,鈴木,中村,金子,北川,赤田,近藤","R,R,R,R,R,L,L,R,L,R","R,L,L,L,R,L,R,R,R,R","Kazuki, Kuribayashi","Uchiumi, Noboru","Yuichiro, Haruyama","Takuma, Nushi","Onuma, Atomu","Rio, Imaizumi","Kojima, Yusei","Murao, Yusaku","Taiki, Horibata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.0,1410193.0,tokyobbc_rapsodo Player_030,,1756151902.0,1756184302.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,V3P4DLKO0850A,1410193@1756184302,untitled,1756184302.0,
7,8.0,8.0,2025/8/26,837.2678420543671,412.2678432,1756184322,3.0,3.0,栗林,Right,TOK,3,近藤,Left,学芸,1,Top,1,0,2,Curveball,FoulBall,Undefined,Other,Undefined,0,0,,,0.99,0.032,3.588650460352932,-170.5376778,TOK,#217fc4,東大,学芸,#31006d,学芸,TodaiStadium,B,夏季オープン戦,Normal,2,,北川,,Undefined,,,,,,2523730007,ファール,,835.0,https://youtu.be/_91Up_OTx04&t=835,804.0,https://youtu.be/TQ9uxw1h0UY?si=vikr9Bwt00O1mxaz&t=804,内海,春山,塗師,大沼,今泉,小島,村尾,堀端,"村尾,大沼,春山,矢田貝,堀端,小島,内海,今泉,塗師","北川,赤田,近藤,佐伯,金子,市川,鈴木,櫻井,中村","栗林,内海,春山,塗師,大沼,今泉,小島,村尾,堀端","後藤,櫻井,佐伯,鈴木,中村,金子,北川,赤田,近藤","R,R,R,R,R,L,L,R,L,R","R,L,L,L,R,L,R,R,R,R","Kazuki, Kuribayashi","Uchiumi, Noboru","Yuichiro, Haruyama","Takuma, Nushi","Onuma, Atomu","Rio, Imaizumi","Kojima, Yusei","Murao, Yusaku","Taiki, Horibata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.0,9.0,2025/8/26,861.2739711,436.2739720344543,1756184346,3.0,4.0,栗林,Right,TOK,3,近藤,Left,学芸,1,Top,1,0,2,Fastball,FoulBall,Undefined,Other,Undefined,0,0,,,0.7979999999999999,0.26,60.53238223388937,-81.5934901,TOK,#217fc4,東大,学芸,#31006d,学芸,TodaiStadium,B,夏季オープン戦,Normal,2,,北川,,Undefined,,,,,,2523730008,ファール,,859.0,https://youtu.be/_91Up_OTx04&t=859,820.0,https://youtu.be/TQ9uxw1h0UY?si=vikr9Bwt00O1mxaz&t=820,内海,春山,塗師,大沼,今泉,小島,村尾,堀端,"村尾,大沼,春山,矢田貝,堀端,小島,内海,今泉,塗師","北川,赤田,近藤,佐伯,金子,市川,鈴木,櫻井,中村","栗林,内海,春山,塗師,大沼,今泉,小島,村尾,堀端","後藤,櫻井,佐伯,鈴木,中村,金子,北川,赤田,近藤","R,R,R,R,R,L,L,R,L,R","R,L,L,L,R,L,R,R,R,R","Kazuki, Kuribayashi","Uchiumi, Noboru","Yuichiro, Haruyama","Takuma, Nushi","Onuma, Atomu","Rio, Imaizumi","Kojima, Yusei","Murao, Yusaku","Taiki, Horibata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10.0,10.0,2025/8/26,884.1385009288788,459.1385018825531,1756184369,3.0,5.0,栗林,Right,TOK,3,近藤,Left,学芸,1,Top,1,0,2,Fastball,FoulBall,Undefined,Popup,Undefined,0,0,,,0.534,0.096,46.36901671432855,-107.3975129,TOK,#217fc4,東大,学芸,#31006d,学芸,TodaiStadium,B,夏季オープン戦,Normal,2,,北川,,Undefined,,,,,,2523730009,ファール,,882.0,https://youtu.be/_91Up_OTx04&t=882,835.0,https://youtu.be/TQ9uxw1h0UY?si=vikr9Bwt00O1mxaz&t=835,内海,春山,塗師,大沼,今泉,小島,村尾,堀端,"村尾,大沼,春山,矢田貝,堀端,小島,内海,今泉,塗師","北川,赤田,近藤,佐伯,金子,市川,鈴木,櫻井,中村","栗林,内海,春山,塗師,大沼,今泉,小島,村尾,堀端","後藤,櫻井,佐伯,鈴木,中村,金子,北川,赤田,近藤","R,R,R,R,R,L,L,R,L,R","R,L,L,L,R,L,R,R,R,R","Kazuki, Kuribayashi","Uchiumi, Noboru","Yuichiro, Haruyama","Takuma, Nushi","Onuma, Atomu","Rio, Imaizumi","Kojima, Yusei","Murao, Yusaku","Taiki, Horibata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
