count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji,No,Player ID,Pitcher_rapsodo_pitch,MLB ID,Date_rapsodo_pitch,Pitch ID,TaggedPitchType_rapsodo_pitch,IsStrike,PlateLocSide_rapsodo_pitch,PlateLocHeight_rapsodo_pitch,RelSpeed_rapsodo_pitch,SpinRate,TrueSpin,SpinEfficiency,Tilt,Spin Confidence,Extension,InducedVertBreak,HorzBreak,VB (spin),HB (spin),HorizontalRelAngle,RelAngle,RelHeight,RelSide,GyroDegree,Unique ID,Device Serial Number,HorzApprAngle,VertApprAngle,Session Name,Intent Type,unixtime,No_rapsodo_hit,Player ID_rapsodo_hit,Batter_rapsodo_hit,MLB ID_rapsodo_hit,Date_rapsodo_hit,HitID,ExitSpeed,RelSpeed_rapsodo_hit,Angle,Direction,HitSpinRate,Distance,HitSpinTilt,SpinConfidence,PlateLocSide_rapsodo_hit,PlateLocHeight_rapsodo_hit,ContactDepth,Batname,SerialNumber,Unique ID_rapsodo_hit,Session Name_rapsodo_hit,unixtime_rapsodo_hit,RelSpeed_opensen
0,1.0,1.0,2025/7/6,1222.599963188171,322.5999660491943,1751765067,1.0,1.0,高橋,Right,TOK,1,和気,Left,SUNホールディングス,1,Top,0,0,0,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,,0.7020000000000001,0.028,37.90990873490819,-20.97349342,TOK,#217fc4,東大,SUNホールディングス,#ff5351,SUN,TodaiStadium,A,夏季オープン戦,Normal,,,,,Undefined,,,,"6,3","6,3",2518600000,遊ゴ,,1220.0,https://youtu.be/im22GEMPJEs&t=1220,600.0,https://youtu.be/U4IVwm8pLEI&t=600,明石,中山,小村,秋元,青貝,安田,竹山,工藤,"酒井,安田,中山,工藤,竹山,小村,秋元,青貝,明石","和気,岡崎,宮谷,伊藤,福浦,髙松,増澤,櫻井,鬼頭","高橋,明石,中山,小村,秋元,青貝,安田,竹山,工藤","佐藤楓,宮谷,福浦,岡崎,伊藤,櫻井,和気,髙松,鬼頭","R,L,L,L,R,R,L,R,R,L","R,L,R,R,R,R,L,R,R,R","Naoto, Takahashi","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Naotaro, Takeyama","Yudai, Kudo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0
1,2.0,2.0,2025/7/6,1251.166800260544,351.1668021678925,1751765095,2.0,1.0,高橋,Right,TOK,2,岡崎,Right,SUNホールディングス,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,1.13,0.06,,,TOK,#217fc4,東大,SUNホールディングス,#ff5351,SUN,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2518600001,ボール,,1249.0,https://youtu.be/im22GEMPJEs&t=1249,612.0,https://youtu.be/U4IVwm8pLEI&t=612,明石,中山,小村,秋元,青貝,安田,竹山,工藤,"酒井,安田,中山,工藤,竹山,小村,秋元,青貝,明石","和気,岡崎,宮谷,伊藤,福浦,髙松,増澤,櫻井,鬼頭","高橋,明石,中山,小村,秋元,青貝,安田,竹山,工藤","佐藤楓,宮谷,福浦,岡崎,伊藤,櫻井,和気,髙松,鬼頭","R,L,L,L,R,R,L,R,R,L","R,L,R,R,R,R,L,R,R,R","Naoto, Takahashi","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Naotaro, Takeyama","Yudai, Kudo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0
2,3.0,3.0,2025/7/6,1262.327328,362.3273301124573,1751765106,2.0,2.0,高橋,Right,TOK,2,岡崎,Right,SUNホールディングス,1,Top,1,1,0,Cutter,InPlay,Undefined,GroundBall,Out,1,0,,,0.706,0.064,35.08216813526491,-19.65382406,TOK,#217fc4,東大,SUNホールディングス,#ff5351,SUN,TodaiStadium,A,夏季オープン戦,Normal,,,,,Undefined,,,,"6,3","6,3A",2518600002,遊ゴ,,1260.0,https://youtu.be/im22GEMPJEs&t=1260,623.0,https://youtu.be/U4IVwm8pLEI&t=623,明石,中山,小村,秋元,青貝,安田,竹山,工藤,"酒井,安田,中山,工藤,竹山,小村,秋元,青貝,明石","和気,岡崎,宮谷,伊藤,福浦,髙松,増澤,櫻井,鬼頭","高橋,明石,中山,小村,秋元,青貝,安田,竹山,工藤","佐藤楓,宮谷,福浦,岡崎,伊藤,櫻井,和気,髙松,鬼頭","R,L,L,L,R,R,L,R,R,L","R,L,R,R,R,R,L,R,R,R","Naoto, Takahashi","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Naotaro, Takeyama","Yudai, Kudo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0
3,4.0,4.0,2025/7/6,1287.319243192673,387.3192451000214,1751765131,3.0,1.0,高橋,Right,TOK,3,宮谷,Right,SUNホールディングス,1,Top,2,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.55,-0.373,,,TOK,#217fc4,東大,SUNホールディングス,#ff5351,SUN,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2518600003,ボール,,1285.0,https://youtu.be/im22GEMPJEs&t=1285,639.0,https://youtu.be/U4IVwm8pLEI&t=639,明石,中山,小村,秋元,青貝,安田,竹山,工藤,"酒井,安田,中山,工藤,竹山,小村,秋元,青貝,明石","和気,岡崎,宮谷,伊藤,福浦,髙松,増澤,櫻井,鬼頭","高橋,明石,中山,小村,秋元,青貝,安田,竹山,工藤","佐藤楓,宮谷,福浦,岡崎,伊藤,櫻井,和気,髙松,鬼頭","R,L,L,L,R,R,L,R,R,L","R,L,R,R,R,R,L,R,R,R","Naoto, Takahashi","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Naotaro, Takeyama","Yudai, Kudo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0
4,5.0,5.0,2025/7/6,1297.063758134842,397.0637590885162,1751765141,3.0,2.0,高橋,Right,TOK,3,宮谷,Right,SUNホールディングス,1,Top,2,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,1.17,0.104,,,TOK,#217fc4,東大,SUNホールディングス,#ff5351,SUN,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2518600004,ボール,,1295.0,https://youtu.be/im22GEMPJEs&t=1295,649.0,https://youtu.be/U4IVwm8pLEI&t=649,明石,中山,小村,秋元,青貝,安田,竹山,工藤,"酒井,安田,中山,工藤,竹山,小村,秋元,青貝,明石","和気,岡崎,宮谷,伊藤,福浦,髙松,増澤,櫻井,鬼頭","高橋,明石,中山,小村,秋元,青貝,安田,竹山,工藤","佐藤楓,宮谷,福浦,岡崎,伊藤,櫻井,和気,髙松,鬼頭","R,L,L,L,R,R,L,R,R,L","R,L,R,R,R,R,L,R,R,R","Naoto, Takahashi","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Naotaro, Takeyama","Yudai, Kudo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.0
5,6.0,6.0,2025/7/6,1308.979057312011,408.9790589809418,1751765153,3.0,3.0,高橋,Right,TOK,3,宮谷,Right,SUNホールディングス,1,Top,2,2,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.954,0.42,,,TOK,#217fc4,東大,SUNホールディングス,#ff5351,SUN,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2518600005,ボール,,1306.0,https://youtu.be/im22GEMPJEs&t=1306,660.0,https://youtu.be/U4IVwm8pLEI&t=660,明石,中山,小村,秋元,青貝,安田,竹山,工藤,"酒井,安田,中山,工藤,竹山,小村,秋元,青貝,明石","和気,岡崎,宮谷,伊藤,福浦,髙松,増澤,櫻井,鬼頭","高橋,明石,中山,小村,秋元,青貝,安田,竹山,工藤","佐藤楓,宮谷,福浦,岡崎,伊藤,櫻井,和気,髙松,鬼頭","R,L,L,L,R,R,L,R,R,L","R,L,R,R,R,R,L,R,R,R","Naoto, Takahashi","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Naotaro, Takeyama","Yudai, Kudo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.0
6,7.0,7.0,2025/7/6,1321.629596233368,421.6295981407166,1751765166,3.0,4.0,高橋,Right,TOK,3,宮谷,Right,SUNホールディングス,1,Top,2,3,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.794,0.22,,,TOK,#217fc4,東大,SUNホールディングス,#ff5351,SUN,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2518600006,見逃し,,1319.0,https://youtu.be/im22GEMPJEs&t=1319,673.0,https://youtu.be/U4IVwm8pLEI&t=673,明石,中山,小村,秋元,青貝,安田,竹山,工藤,"酒井,安田,中山,工藤,竹山,小村,秋元,青貝,明石","和気,岡崎,宮谷,伊藤,福浦,髙松,増澤,櫻井,鬼頭","高橋,明石,中山,小村,秋元,青貝,安田,竹山,工藤","佐藤楓,宮谷,福浦,岡崎,伊藤,櫻井,和気,髙松,鬼頭","R,L,L,L,R,R,L,R,R,L","R,L,R,R,R,R,L,R,R,R","Naoto, Takahashi","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Naotaro, Takeyama","Yudai, Kudo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0
7,8.0,8.0,2025/7/6,1332.300412,432.3004140853882,1751765176,3.0,5.0,高橋,Right,TOK,3,宮谷,Right,SUNホールディングス,1,Top,2,3,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.634,0.08,,,TOK,#217fc4,東大,SUNホールディングス,#ff5351,SUN,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2518600007,見逃し,,1330.0,https://youtu.be/im22GEMPJEs&t=1330,684.0,https://youtu.be/U4IVwm8pLEI&t=684,明石,中山,小村,秋元,青貝,安田,竹山,工藤,"酒井,安田,中山,工藤,竹山,小村,秋元,青貝,明石","和気,岡崎,宮谷,伊藤,福浦,髙松,増澤,櫻井,鬼頭","高橋,明石,中山,小村,秋元,青貝,安田,竹山,工藤","佐藤楓,宮谷,福浦,岡崎,伊藤,櫻井,和気,髙松,鬼頭","R,L,L,L,R,R,L,R,R,L","R,L,R,R,R,R,L,R,R,R","Naoto, Takahashi","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Naotaro, Takeyama","Yudai, Kudo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0
8,9.0,9.0,2025/7/6,1340.509313106537,440.5093152523041,1751765185,3.0,6.0,高橋,Right,TOK,3,宮谷,Right,SUNホールディングス,1,Top,2,3,2,Slider,InPlay,Undefined,FlyBall,Out,1,0,,,0.77,0.08,16.09765622376667,-13.78159724,TOK,#217fc4,東大,SUNホールディングス,#ff5351,SUN,TodaiStadium,A,夏季オープン戦,Normal,,,,,Undefined,,,,1,1,2518600008,投飛,,1338.0,https://youtu.be/im22GEMPJEs&t=1338,692.0,https://youtu.be/U4IVwm8pLEI&t=692,明石,中山,小村,秋元,青貝,安田,竹山,工藤,"酒井,安田,中山,工藤,竹山,小村,秋元,青貝,明石","和気,岡崎,宮谷,伊藤,福浦,髙松,増澤,櫻井,鬼頭","高橋,明石,中山,小村,秋元,青貝,安田,竹山,工藤","佐藤楓,宮谷,福浦,岡崎,伊藤,櫻井,和気,髙松,鬼頭","R,L,L,L,R,R,L,R,R,L","R,L,R,R,R,R,L,R,R,R","Naoto, Takahashi","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Naotaro, Takeyama","Yudai, Kudo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0
9,1.0,10.0,2025/7/6,1856.865030050278,956.8650341033936,1751765701,1.0,1.0,佐藤楓,Right,SUNホールディングス,1,酒井,Left,TOK,1,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,SUNホールディングス,#ff5351,SUN,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2518600009,ボール,,1854.0,https://youtu.be/im22GEMPJEs&t=1854,1208.0,https://youtu.be/U4IVwm8pLEI&t=1208,宮谷,福浦,岡崎,伊藤,櫻井,和気,髙松,鬼頭,"酒井,安田,中山,工藤,竹山,小村,秋元,青貝,明石","和気,岡崎,宮谷,伊藤,福浦,髙松,増澤,櫻井,鬼頭","高橋,明石,中山,小村,秋元,青貝,安田,竹山,工藤","佐藤楓,宮谷,福浦,岡崎,伊藤,櫻井,和気,髙松,鬼頭","R,L,L,L,R,R,L,R,R,L","R,L,R,R,R,R,L,R,R,R",,,,,,,,,,,"Suguru, Sakai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
