count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,runevent_romaji,scored_person_romaji,run_person_romaji,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji
10,11.0,11.0,2025/4/5,2067.276344,1042.276345,1743817122,2.0,4.0,pos1,Right,かずさマジック,2,中山,Left,TOK,1,Top,0,2,1,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,145.0,0.506,0.172,25.61620394,-125.1541776,かずさマジック,#9b00bb,かずさマジック,TOK,#217fc4,東大,君津球場,A,春季オープン戦,Normal,2,,酒井,,Undefined,,,,,,2509400010,ファール,,2065.0,,208.0,,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,中山,竹山,門田,荒井慶,秋元,杉浦,渡辺,樋口","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山","R,R,L,R,L,R,L,L,L,R","R,L,L,R,R,R,R,R,R,R","Taiyo, Nakayama",,"Suguru, Sakai",,,,,,,,,,,,,,
11,12.0,12.0,2025/4/5,2106.875818,1081.87582,1743817161,2.0,5.0,pos1,Right,かずさマジック,2,中山,Left,TOK,1,Top,0,2,2,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,148.0,0.65,0.192,,,かずさマジック,#9b00bb,かずさマジック,TOK,#217fc4,東大,君津球場,A,春季オープン戦,Normal,2,,酒井,,Nothing,,,,,,2509400011,空三振,,2104.0,,247.0,,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,中山,竹山,門田,荒井慶,秋元,杉浦,渡辺,樋口","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山","R,R,L,R,L,R,L,L,L,R","R,L,L,R,R,R,R,R,R,R","Taiyo, Nakayama",,"Suguru, Sakai",,,,,,,,,,,,,,
12,13.0,13.0,2025/4/5,2147.444862,1122.444863,1743817202,3.0,1.0,pos1,Right,かずさマジック,3,竹山,Right,TOK,1,Top,1,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,112.0,0.317,-0.38,,,かずさマジック,#9b00bb,かずさマジック,TOK,#217fc4,東大,君津球場,A,春季オープン戦,Normal,2,,酒井,,Nothing,,,,,,2509400012,ボール,,2145.0,,269.0,,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,中山,竹山,門田,荒井慶,秋元,杉浦,渡辺,樋口","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山","R,R,L,R,L,R,L,L,L,R","R,L,L,R,R,R,R,R,R,R","Naotaro, Takeyama",,"Suguru, Sakai",,,,,,,,,,,,,,
13,14.0,14.0,2025/4/5,2175.153602,1150.153603,1743817230,3.0,2.0,pos1,Right,かずさマジック,3,竹山,Right,TOK,1,Top,1,1,0,Fastball,InPlay,Undefined,Popup,Out,1,0,,146.0,0.706,0.2,46.17720635,19.01367439,かずさマジック,#9b00bb,かずさマジック,TOK,#217fc4,東大,君津球場,A,春季オープン戦,Normal,2,,酒井,,Undefined,,,,4,4,2509400013,二飛,,2173.0,,297.0,,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,中山,竹山,門田,荒井慶,秋元,杉浦,渡辺,樋口","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山","R,R,L,R,L,R,L,L,L,R","R,L,L,R,R,R,R,R,R,R","Naotaro, Takeyama",,"Suguru, Sakai",,,,,,,,,,,,,,
14,15.0,15.0,2025/4/5,2237.131363,1212.131365,1743817292,4.0,1.0,pos1,Right,かずさマジック,4,門田,Right,TOK,1,Top,2,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,146.0,0.818,0.252,,,かずさマジック,#9b00bb,かずさマジック,TOK,#217fc4,東大,君津球場,A,春季オープン戦,Normal,2,,酒井,,Nothing,,,,,,2509400014,見逃し,,2235.0,,322.0,,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,中山,竹山,門田,荒井慶,秋元,杉浦,渡辺,樋口","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山","R,R,L,R,L,R,L,L,L,R","R,L,L,R,R,R,R,R,R,R","Ryohei, Kadota",,"Suguru, Sakai",,,,,,,,,,,,,,
15,16.0,16.0,2025/4/5,2256.596412,1231.596414,1743817311,4.0,2.0,pos1,Right,かずさマジック,4,門田,Right,TOK,1,Top,2,0,1,Slider,InPlay,Undefined,GroundBall,Out,1,0,,126.0,0.646,0.044,37.13066425,-17.57125878,かずさマジック,#9b00bb,かずさマジック,TOK,#217fc4,東大,君津球場,A,春季オープン戦,Normal,2,,酒井,,Undefined,,,,"6,3","6,3",2509400015,遊ゴ,,2254.0,,342.0,,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,中山,竹山,門田,荒井慶,秋元,杉浦,渡辺,樋口","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山","R,R,L,R,L,R,L,L,L,R","R,L,L,R,R,R,R,R,R,R","Ryohei, Kadota",,"Suguru, Sakai",,,,,,,,,,,,,,
16,1.0,17.0,2025/4/5,2403.835042,1378.835043,1743817458,1.0,1.0,渡辺,Right,TOK,1,batter1,Right,かずさマジック,1,Bottom,0,0,0,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,116.0,0.586,0.18,,,かずさマジック,#9b00bb,かずさマジック,TOK,#217fc4,東大,君津球場,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2509400016,空振り,,2401.0,,426.0,,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,中山,竹山,門田,荒井慶,秋元,杉浦,渡辺,樋口","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山","R,R,L,R,L,R,L,L,L,R","R,L,L,R,R,R,R,R,R,R",,,,,,,,"Koki, Watanabe","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Naotaro, Takeyama",
17,2.0,18.0,2025/4/5,2420.108971,1395.108972,1743817475,1.0,2.0,渡辺,Right,TOK,1,batter1,Right,かずさマジック,1,Bottom,0,0,1,Fastball,InPlay,Undefined,LineDrive,Single,0,0,,113.0,0.798,0.144,72.82492252,-25.94229549,かずさマジック,#9b00bb,かずさマジック,TOK,#217fc4,東大,君津球場,A,春季オープン戦,Normal,,,,,Undefined,,,,7,7,2509400017,左安,,2418.0,,443.0,,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,中山,竹山,門田,荒井慶,秋元,杉浦,渡辺,樋口","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山","R,R,L,R,L,R,L,L,L,R","R,L,L,R,R,R,R,R,R,R",,,,,,,,"Koki, Watanabe","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Naotaro, Takeyama",
18,3.0,19.0,2025/4/5,2460.806476,1435.806476,1743817515,2.0,1.0,渡辺,Right,TOK,2,batter2,Left,かずさマジック,1,Bottom,0,0,0,Slider,InPlay,Undefined,Bunt,Sacrifice,1,0,,111.0,0.618,-0.152,11.08453937,25.20112365,かずさマジック,#9b00bb,かずさマジック,TOK,#217fc4,東大,君津球場,A,春季オープン戦,Normal,1,batter1,,,Undefined,,,,"1,3","1,3A",2509400018,投犠,,2458.0,,459.0,,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,中山,竹山,門田,荒井慶,秋元,杉浦,渡辺,樋口","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山","R,R,L,R,L,R,L,L,L,R","R,L,L,R,R,R,R,R,R,R",,,,,,,,"Koki, Watanabe","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Naotaro, Takeyama",
19,4.0,20.0,2025/4/5,2507.858015,1482.858016,1743817562,3.0,1.0,渡辺,Right,TOK,3,batter3,Right,かずさマジック,1,Bottom,1,0,0,Slider,InPlay,Undefined,GroundBall,Out,1,0,,109.0,0.606,0.172,40.72292487,-15.54632727,かずさマジック,#9b00bb,かずさマジック,TOK,#217fc4,東大,君津球場,A,春季オープン戦,Normal,2,,batter1,,Undefined,,,,"6,3","6,3A",2509400019,遊ゴ,,2505.0,,481.0,,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,中山,竹山,門田,荒井慶,秋元,杉浦,渡辺,樋口","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,杉浦,中山,門田,秋元,樋口,荒井慶,酒井,竹山","R,R,L,R,L,R,L,L,L,R","R,L,L,R,R,R,R,R,R,R",,,,,,,,"Koki, Watanabe","Kaito, Sugiura","Taiyo, Nakayama","Ryohei, Kadota","Ryo, Akimoto","Kosuke, Higuchi","Keito, Arai","Suguru, Sakai","Naotaro, Takeyama",
