PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,season
11,09/22/2019,1:48:41 PM,2,4,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Kento, Nakamura",1000073422,Right,KEI_KEI,Stretch,1,Top,0,2,1,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,113.0844603,2.622447829,-0.845758188,1830.155952,95.24482268,9:15,1.378059732,0.319341439,1.666108811,-143.8494689,1.692821489,-19.93185387,0.688151125,-0.121224094,104.0841774,-7.892100023,-2.30962591,0.544815259,,,,,,,,,,,,9.995040286,-0.930525695,-0.295080478,15.24,1.436647344,0.525428012,-31.12731476,0.950138448,1.268201049,5.067537605,-9.924717925,TOK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-2,4031bcb8-dcf4-11e9-a916-04ea56cad207,111.3404939,,,9.000282945,0.779686045,0.735630904,0.107301599,,,,e5c81ade-dcf2-11e9-a916-04ea56cad207,19A
12,09/22/2019,1:49:07 PM,2,5,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Kento, Nakamura",1000073422,Right,KEI_KEI,Stretch,1,Top,0,2,2,Slider,Cutter,InPlay,Undefined,GroundBall,Single,0,0,,114.9476355,1.196884441,-1.628374981,2109.0705,104.8909282,9:30,1.396950872,0.261260673,1.732797608,-136.8581956,2.920158016,-11.47599644,0.368541316,-0.316178123,105.9549225,-8.832698979,-2.474961386,0.533918071,122.4149311,8.232475698,-27.1541068,1943.215078,,,,32.48806133,32.08391741,-30.19801279,1.060582886,4.985246347,0.710876678,-0.218694056,15.24,1.417388234,0.937291721,-31.66329016,0.218608906,0.653164888,5.345919815,-9.713511235,TOK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-2,4bb63d06-dcf4-11e9-a916-04ea56cad207,113.6129366,1.573777188,1.046185832,8.992713001,0.530097326,0.38376995,0.311934463,0.492997155,0.378036401,0.313534952,e5c81ade-dcf2-11e9-a916-04ea56cad207,19A
13,09/22/2019,1:50:05 PM,3,1,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Kyohei, Sugimoto ",1000073420,Left,KEI_KEI,Stretch,1,Top,0,0,0,ChangeUp,Splitter,InPlay,Undefined,Bunt,Sacrifice,1,0,,120.2416959,1.100450368,-2.506771819,1280.994763,266.2977113,3:00,1.434588299,0.276807162,1.975352343,-123.7509687,2.385597543,38.70038773,0.505345468,-0.038095372,108.6075439,-8.205312897,0.419921074,0.507195232,,,,,,,,,,,,-23.57881509,0.375041656,-0.225236801,15.24,1.451602921,1.338574554,-33.10784922,0.282060484,-3.3111985,6.907066612,-9.753982495,TOK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-2,6f831e82-dcf4-11e9-a916-04ea56cad207,119.5989161,,,11.63415191,0.598739617,0.529250487,0.039266421,,,,e5c81ade-dcf2-11e9-a916-04ea56cad207,19A
14,09/22/2019,1:50:52 PM,4,1,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Gunji, Yuya",1000069642,Right,KEI_KEI,Stretch,1,Top,1,0,0,Slider,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,114.7295375,1.285202977,-0.992568538,2087.523027,125.8292027,10:15,1.423374241,0.320478113,1.696361931,-127.3900548,13.07685803,-18.29496959,0.515480502,-0.145078884,105.8698471,-8.028500213,-2.337577573,0.535231517,,,,,,,,,,,,9.064589333,6.083443608,-0.292993949,15.24,1.44712937,0.608208133,-31.6121288,0.287925021,1.187893972,5.15794971,-9.009428446,TOK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-2,8a5afc71-dcf4-11e9-a916-04ea56cad207,113.3341331,,,8.859690425,-0.218279564,0.421271486,0.171966271,,,,e5c81ade-dcf2-11e9-a916-04ea56cad207,19A
15,09/22/2019,1:51:13 PM,4,2,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Gunji, Yuya",1000069642,Right,KEI_KEI,Stretch,1,Top,1,0,1,Slider,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,116.0889045,2.422474363,-2.408295835,2108.002385,124.0430407,10:15,1.399471462,0.340430263,1.737145603,-123.5143775,13.2127116,-19.74722526,0.853287764,-0.541359924,106.9272881,-6.634530678,-3.859643721,0.528058386,,,,,,,,,,,,8.931605037,5.423515712,-0.277434294,15.24,1.452195907,1.408415334,-31.95180792,0.948848639,1.197056218,5.214270856,-9.07976461,TOK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-2,9aad6a0c-dcf4-11e9-a916-04ea56cad207,114.8736609,,,9.161616488,-0.267821559,0.768978684,0.588999604,,,,e5c81ade-dcf2-11e9-a916-04ea56cad207,19A
16,09/22/2019,1:51:32 PM,4,3,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Gunji, Yuya",1000069642,Right,KEI_KEI,Stretch,1,Top,1,1,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,129.2622188,-0.996830733,-2.756307465,2175.187539,209.9338046,1:00,1.395719001,0.268341938,1.951854511,-74.45708948,32.60077864,18.82984255,0.371448933,-0.316371357,119.1195786,-6.523845577,-1.35311657,0.467265757,,,,,,,,,,,,-12.18153443,18.55944964,-0.209304346,15.24,1.36981982,1.655405215,-35.635498,-0.858898733,-2.033306284,6.407191499,-6.708760666,TOK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-2,a532dfc3-dcf4-11e9-a916-04ea56cad207,129.8190571,,,10.14264024,-0.379425186,0.276375652,0.334957006,,,,e5c81ade-dcf2-11e9-a916-04ea56cad207,19A
17,09/22/2019,1:51:55 PM,4,4,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Gunji, Yuya",1000069642,Right,KEI_KEI,Stretch,1,Top,1,2,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,116.4611447,0.787688519,-0.973888244,2086.453117,76.78112866,8:30,1.398191404,0.344527465,1.74428854,-139.9065252,-3.360333244,-13.75910006,0.22276443,-0.069536376,106.9968796,-9.488511856,-1.993001591,0.527708946,,,,,,,,,,,,6.654338236,-2.397614462,-0.31877308,15.24,1.407948054,0.590020057,-32.08177886,-0.012927961,0.890060444,5.771350042,-10.12734632,TOK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-2,ae258048-dcf4-11e9-a916-04ea56cad207,114.9497284,,,9.464265088,0.222401903,0.187461448,0.076851014,,,,e5c81ade-dcf2-11e9-a916-04ea56cad207,19A
18,09/22/2019,1:52:17 PM,4,5,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Gunji, Yuya",1000069642,Right,KEI_KEI,Stretch,1,Top,1,3,1,ChangeUp,ChangeUp,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,121.0685918,0.815235306,-1.55352285,1346.481105,239.2381882,2:00,1.445277259,0.286619906,1.961834825,-110.0487084,13.40678583,22.71922647,0.573205443,0.078623809,110.1616425,-7.424978187,0.155981154,0.501775984,,,,,,,,,,,,-13.75819426,6.750257142,-0.254273854,15.24,1.456929095,0.838400347,-33.37345139,0.151917774,-1.981471536,6.518135415,-8.834469921,TOK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-2,c00ac633-dcf4-11e9-a916-04ea56cad207,120.8906005,,,10.9069493,-0.197518213,0.489099965,-0.080768949,,,,e5c81ade-dcf2-11e9-a916-04ea56cad207,19A
19,09/22/2019,1:52:42 PM,4,6,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Gunji, Yuya",1000069642,Right,KEI_KEI,Stretch,1,Top,1,3,2,ChangeUp,Splitter,InPlay,Undefined,LineDrive,Out,1,0,,121.3280591,1.710381678,-2.112174681,1254.750171,263.1666966,2:45,1.443699777,0.277430352,2.005827521,-118.0684675,4.147725174,35.57166392,0.741180467,0.042962884,110.4527046,-7.152621185,0.568969466,0.499251106,147.2215658,19.33047993,13.33672271,2921.806991,32.00817885,8.88086508,9.980042062,79.91008404,79.91008404,23.56548505,2.957375488,-21.35979376,0.96628529,-0.235197148,15.24,1.473380677,1.131509187,-33.43453516,0.661849456,-3.092390729,6.456253695,-9.666754844,TOK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-2,d1f00bec-dcf4-11e9-a916-04ea56cad207,121.5019843,9.490919694,2.95945491,10.87535452,0.306333706,0.725345939,-0.044235689,0.266988647,0.720343647,-0.044645895,e5c81ade-dcf2-11e9-a916-04ea56cad207,19A
20,09/22/2019,1:53:29 PM,5,1,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Tomoya, Masaki ",1000073443,Right,KEI_KEI,Stretch,1,Top,2,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,128.3558033,0.237432333,-5.424165093,2234.178143,213.9588624,1:15,1.455269034,0.199014202,1.878369202,-66.80970739,44.96679081,30.35430959,0.854314494,-1.029021601,116.0319122,-4.743027271,-3.16565877,0.477452212,,,,,,,,,,,,-20.80702837,24.36309075,-0.075383952,15.24,1.456676417,3.245340868,-35.22649913,-0.072439133,-3.343815212,7.168743909,-5.891354071,TOK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190922-TokyoBig6Jingu-2,eb83cb2e-dcf4-11e9-a916-04ea56cad207,127.0493642,,,12.3238911,-0.306841447,0.791205609,1.069088264,,,,e5c81ade-dcf2-11e9-a916-04ea56cad207,19A
