PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,season
1,09/28/2019,1:03:05 PM,1,1,"Seiya, Tanaka",1000074134,Left,RIK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Windup,1,Top,0,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,125.7580844,1.24550798,1.795808155,2299.05665,223.0957321,1:30,1.565084856,-0.771344937,1.785793768,-95.26750799,20.0128667,18.82632729,0.96528408,-0.074461077,115.9846436,-5.759813696,3.183251064,0.484877855,,,,,,,,,,,,-8.940294673,9.941807517,0.725682889,15.24,1.589149374,-1.151932884,-34.66411872,0.42455868,-1.413895121,5.984093359,-8.23436702,RIK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190928-TokyoBig6Jingu-2,dfeb00a6-e1a4-11e9-a91c-04ea56cad207,125.1036717,,,9.773440871,-0.563110899,0.860479101,0.018279806,,,,5332f031-e1a4-11e9-a91c-04ea56cad207,19A
2,09/28/2019,1:03:17 PM,1,2,"Seiya, Tanaka",1000074134,Left,RIK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Windup,1,Top,0,1,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,138.1909297,-2.646797246,3.762230462,2335.743992,153.0628824,11:00,1.563325822,-0.638082529,1.87896884,-43.62141925,51.86848183,-26.40226883,0.379877264,0.158516075,126.1351456,-5.88230078,1.799016112,0.441299446,,,,,,,,,,,,17.09653385,30.17294399,0.552843917,15.24,1.499437851,-2.404444288,-37.99373695,-1.915385385,3.222110139,7.765494106,-4.120085132,RIK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190928-TokyoBig6Jingu-2,e72bdd1d-e1a4-11e9-a91c-04ea56cad207,137.4576846,,,12.05578415,-0.357892175,0.297206219,-0.182550465,,,,5332f031-e1a4-11e9-a91c-04ea56cad207,19A
3,09/28/2019,1:03:31 PM,1,3,"Seiya, Tanaka",1000074134,Left,RIK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Windup,1,Top,0,2,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,137.6415996,-2.418848971,3.430584636,2385.185577,154.3670419,11:15,1.566410202,-0.600111878,1.870827254,-43.09773212,52.78496918,-25.37092043,0.452536023,0.113558374,126.1252579,-5.608835254,1.548028497,0.442206162,,,,,,,,,,,,16.15959884,30.37363025,0.522021583,15.24,1.5074678,-2.179546056,-37.87207376,-1.756834226,3.039104767,7.410398914,-4.094339602,RIK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190928-TokyoBig6Jingu-2,ef886102-e1a4-11e9-a91c-04ea56cad207,137.175836,,,11.51634176,-0.430996095,0.366287519,-0.136000844,,,,5332f031-e1a4-11e9-a91c-04ea56cad207,19A
4,09/28/2019,1:03:47 PM,1,4,"Seiya, Tanaka",1000074134,Left,RIK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Windup,1,Top,0,2,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,128.6173113,-0.240272445,2.118163098,2399.580484,221.7586918,1:30,1.509648268,-0.697018782,1.836149218,-83.07393656,26.03177073,23.33292705,0.611044047,0.134445028,119.3090652,-6.340676033,3.838073193,0.471713597,,,,,,,,,,,,-11.27549757,14.22439881,0.645036866,15.24,1.49844186,-1.392323443,-35.47177803,-0.435010774,-1.874731254,6.015318893,-7.441616895,RIK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190928-TokyoBig6Jingu-2,f8f704c2-e1a4-11e9-a91c-04ea56cad207,128.5949789,,,9.308246089,-0.535040429,0.499838423,-0.200299057,,,,5332f031-e1a4-11e9-a91c-04ea56cad207,19A
5,09/28/2019,1:04:04 PM,1,5,"Seiya, Tanaka",1000074134,Left,RIK,"Yusuke, Shimoyama",1000073403,Left,KEI_KEI,Windup,1,Top,0,2,2,Fastball,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,,,139.2320142,-2.23388917,3.800564024,2435.298563,164.5160153,11:30,1.590779028,-0.596252109,1.928384043,-42.84605685,49.61645767,-13.76901043,0.533687958,0.334234766,128.5104858,-5.402679746,2.78037135,0.434247683,,,,,,,,,,,,9.942366662,28.5432722,0.512579925,15.24,1.538581434,-2.497804959,-38.3277802,-1.648710114,1.929109876,7.056430332,-4.268420504,RIK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190928-TokyoBig6Jingu-2,03245739-e1a5-11e9-a91c-04ea56cad207,139.6898645,,,10.72152837,-0.377798347,0.455740119,-0.37313822,,,,5332f031-e1a4-11e9-a91c-04ea56cad207,19A
6,09/28/2019,1:04:36 PM,2,1,"Seiya, Tanaka",1000074134,Left,RIK,"Kazuki, Obara",1000073384,Right,KEI_KEI,Windup,1,Top,1,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,138.6942804,-1.071124971,1.537596589,2433.443765,157.9269995,11:15,1.575960434,-0.635983379,1.866994395,-40.79728773,54.30885235,-22.05899318,0.866090007,-0.423302808,125.5852386,-4.115316519,-0.111583426,0.440411791,,,,,,,,,,,,13.22195807,30.44138829,0.601576297,15.24,1.548489191,-0.946689013,-38.21279377,-0.860898081,2.500731557,8.425774458,-4.049126045,RIK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190928-TokyoBig6Jingu-2,15d6b445-e1a5-11e9-a91c-04ea56cad207,137.7347319,,,13.10904176,-0.4648742,0.800018978,0.42589017,,,,5332f031-e1a4-11e9-a91c-04ea56cad207,19A
7,09/28/2019,1:04:50 PM,2,2,"Seiya, Tanaka",1000074134,Left,RIK,"Kazuki, Obara",1000073384,Right,KEI_KEI,Windup,1,Top,1,1,0,ChangeUp,Splitter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,114.9456687,0.870973159,3.201924516,1024.698599,127.5047446,10:15,1.528163808,-0.707698179,1.886074247,-128.0902117,8.527276167,-11.27842936,0.492741351,0.081425656,106.437188,-8.575304528,2.365701949,0.527846696,,,,,,,,,,,,8.283491264,4.059698679,0.634888189,15.24,1.540307265,-1.738047242,-31.66700269,0.101934628,1.092068876,5.049532736,-9.271432369,RIK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190928-TokyoBig6Jingu-2,1e29af8d-e1a5-11e9-a91c-04ea56cad207,114.9197303,,,8.508480789,-0.336307738,0.373331037,-0.112851478,,,,5332f031-e1a4-11e9-a91c-04ea56cad207,19A
8,09/28/2019,1:05:02 PM,2,3,"Seiya, Tanaka",1000074134,Left,RIK,"Kazuki, Obara",1000073384,Right,KEI_KEI,Windup,1,Top,1,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,113.0281675,1.485108479,0.853684946,2337.782904,324.8067955,4:45,1.530011155,-0.696773311,1.848880737,-189.2327647,-44.48626373,31.27772611,0.056673063,-0.143211122,103.7774185,-12.49556338,3.19798254,0.54332376,,,,,,,,,,,,-16.33039796,-25.51778892,0.674660888,15.24,1.553062261,-0.555344675,-31.12151434,0.252681944,-2.029065054,6.041119268,-12.97725575,RIK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190928-TokyoBig6Jingu-2,25da9452-e1a5-11e9-a91c-04ea56cad207,111.646139,,,9.250748999,0.776868247,0.132187385,0.162313279,,,,5332f031-e1a4-11e9-a91c-04ea56cad207,19A
9,09/28/2019,1:05:28 PM,2,4,"Seiya, Tanaka",1000074134,Left,RIK,"Kazuki, Obara",1000073384,Right,KEI_KEI,Windup,1,Top,1,2,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,129.0638357,0.95513211,2.099909773,2410.621298,218.0769516,1:15,1.527589332,-0.701842219,1.756452673,-91.07501495,18.83455643,14.83690924,0.887965681,0.042424549,118.9680634,-5.730332753,3.191365091,0.473448143,,,,,,,,,,,,-6.561772587,9.463452682,0.647830696,15.24,1.545026326,-1.357644448,-35.56648659,0.264723856,-1.092141684,6.31845572,-8.231552569,RIK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190928-TokyoBig6Jingu-2,3347cccc-e1a5-11e9-a91c-04ea56cad207,128.1238525,,,10.09577238,-0.569806002,0.783149693,-0.098947789,,,,5332f031-e1a4-11e9-a91c-04ea56cad207,19A
10,09/28/2019,1:05:45 PM,2,5,"Seiya, Tanaka",1000074134,Left,RIK,"Kazuki, Obara",1000073384,Right,KEI_KEI,Windup,1,Top,1,2,2,ChangeUp,Splitter,InPlay,Undefined,GroundBall,Out,1,0,,,,116.2449793,0.764086881,2.550907774,1264.37238,109.1890766,9:45,1.501165324,-0.729698799,1.832809577,-121.5626439,13.65649163,-39.6054983,0.501477497,-0.405122537,106.7538483,-8.216475412,-0.392122679,0.525138353,115.8075059,-5.245469775,-11.01370683,,,,,4.558504035,4.446068357,-4.93680114,0.134208374,23.30909838,6.849616516,0.671389391,15.24,1.511439282,-1.304334496,-32.01994397,0.052413663,3.118944856,5.534995895,-8.890116214,RIK,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20190928-TokyoBig6Jingu-2,3c3a7c35-e1a5-11e9-a91c-04ea56cad207,115.5124162,0.497346258,0.13085102,9.491131029,0.40484492,0.497581119,0.405308348,0.403221959,0.497346258,0.40531962,5332f031-e1a4-11e9-a91c-04ea56cad207,19A
