PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,season
11,09/14/2019,11:08:58 AM,3,3,"Hiromasa, Kobayashi",1000073915,Left,TOK,"Manami, Soeda",1000073646,Left,MEI_MEI,Windup,1,Top,2,1,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,132.6499721,0.056057472,2.951417244,1959.955701,151.804228,11:00,1.414882937,-0.338401861,1.808453153,-75.91073306,27.72297662,-14.91453287,0.671646261,0.347670574,121.8672318,-5.542211073,1.849477298,0.459732474,,,,,,,,,,,,10.04484157,14.92193511,0.26767491,15.24,1.411074176,-1.830388297,-36.54061378,-0.236789245,1.761467394,6.791149208,-7.189933552,TOK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190914-TokyoBig6Jingu-1,9d1a5ac0-d694-11e9-a90c-04ea56cad207,131.9463022,,,10.7827404,-0.653401053,0.562189326,-0.381906497,,,,012d9e04-d68f-11e9-a90c-04ea56cad207,19A
12,09/14/2019,11:09:14 AM,3,4,"Hiromasa, Kobayashi",1000073915,Left,TOK,"Manami, Soeda",1000073646,Left,MEI_MEI,Windup,1,Top,2,1,2,Sinker,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,120.1400847,-0.396153575,1.843458358,999.7784538,112.384925,9:45,1.376075263,-0.362029135,1.665777072,-124.104371,4.401808624,-10.98093025,0.021976938,0.054149998,111.2866356,-9.419665791,1.037857536,0.511937173,,,,,,,,,,,,7.079187126,2.605031714,0.313543762,15.24,1.355365179,-1.026515503,-33.0959348,-0.666271674,1.017984499,5.592587536,-9.4320474,TOK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190914-TokyoBig6Jingu-1,a64d648d-d694-11e9-a90c-04ea56cad207,118.4911023,,,8.853449105,0.39793391,0.016351187,-0.054762951,,,,012d9e04-d68f-11e9-a90c-04ea56cad207,19A
13,09/14/2019,11:09:30 AM,3,5,"Hiromasa, Kobayashi",1000073915,Left,TOK,"Manami, Soeda",1000073646,Left,MEI_MEI,Windup,1,Top,2,2,2,Sinker,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,123.4044775,-0.48129277,2.987390991,920.7325592,145.6191002,10:45,1.418149341,-0.35122167,1.655407723,-104.8568902,18.30777164,-12.60586529,0.232024739,0.376122966,112.9029167,-8.148730117,2.060218739,0.501184602,,,,,,,,,,,,8.924181179,10.08493948,0.271645975,15.24,1.39658545,-1.725820502,-33.94136575,-0.66382471,1.337542824,6.396890308,-8.295134472,TOK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190914-TokyoBig6Jingu-1,b04181a9-d694-11e9-a90c-04ea56cad207,121.0332476,,,10.50156082,0.118471671,0.186659833,-0.387337767,,,,012d9e04-d68f-11e9-a90c-04ea56cad207,19A
14,09/14/2019,11:09:50 AM,3,6,"Hiromasa, Kobayashi",1000073915,Left,TOK,"Manami, Soeda",1000073646,Left,MEI_MEI,Windup,1,Top,2,3,2,Sinker,Splitter,BallCalled,Walk,Undefined,Undefined,0,0,,120.8357669,0.10869848,3.01649173,915.7109664,125.5158565,10:15,1.398510289,-0.347771767,1.692400145,-114.6683226,11.84275545,-16.75987779,0.282823448,0.344411846,111.8137184,-8.249644607,1.788033428,0.50794763,,,,,,,,,,,,10.90679475,6.228487024,0.269652173,15.24,1.39231691,-1.694583209,-33.27043545,-0.338062113,1.589219897,5.504339399,-8.89910239,TOK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190914-TokyoBig6Jingu-1,bbf0fa51-d694-11e9-a90c-04ea56cad207,119.4217601,,,9.022048514,0.048255867,0.226430166,-0.356274325,,,,012d9e04-d68f-11e9-a90c-04ea56cad207,19A
15,09/14/2019,11:10:42 AM,4,1,"Hiromasa, Kobayashi",1000073915,Left,TOK,"Shingo, Kita",1000073569,Left,MEI_MEI,Stretch,1,Top,2,0,0,Sinker,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,119.4772343,0.099601262,2.175511021,936.7322799,113.8667603,9:45,1.422224825,-0.381404413,1.682341129,-125.0263999,4.069174753,-9.471352147,0.200361652,0.14406902,111.0947731,-8.986387532,1.482046317,0.513109833,,,,,,,,,,,,6.423437715,2.096976811,0.324511495,15.24,1.414847958,-1.217639577,-32.92305903,-0.378929259,0.918895682,5.249314217,-9.506669986,TOK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190914-TokyoBig6Jingu-1,d7154824-d694-11e9-a90c-04ea56cad207,118.2203031,,,8.382461153,0.223674535,0.167196072,-0.149435428,,,,012d9e04-d68f-11e9-a90c-04ea56cad207,19A
16,09/14/2019,11:11:30 AM,4,2,"Hiromasa, Kobayashi",1000073915,Left,TOK,"Shingo, Kita",1000073569,Left,MEI_MEI,Stretch,1,Top,2,1,0,Fastball,ChangeUp,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,125.8575675,0.739684656,2.989512189,1886.64145,147.261498,11:00,1.408591711,-0.344304151,1.764098334,-78.18891372,39.133345,-25.23123438,0.836709873,0.25171757,113.8909241,-5.058698013,1.116068999,0.489153165,,,,,,,,,,,,15.93389126,20.50211875,0.271115664,15.24,1.421580964,-1.721037359,-34.62264116,0.17768557,2.472307619,6.956484198,-6.625534756,TOK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190914-TokyoBig6Jingu-1,f1ed4c62-d694-11e9-a90c-04ea56cad207,124.0102372,,,11.96664346,-0.313269666,0.768707606,-0.265575866,,,,012d9e04-d68f-11e9-a90c-04ea56cad207,19A
17,09/14/2019,11:11:48 AM,4,3,"Hiromasa, Kobayashi",1000073915,Left,TOK,"Shingo, Kita",1000073569,Left,MEI_MEI,Stretch,1,Top,2,1,1,Fastball,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,130.8776365,0.6032973,2.766369206,2012.20856,144.8395259,10:45,1.417355547,-0.334811734,1.778936884,-69.28075931,38.40315169,-27.12210412,0.895639738,0.178160504,119.0086029,-4.527215479,0.75584201,0.468629982,142.7150261,50.77849843,-16.27222368,5413.39152,30.98001874,37.52972744,-12.82033804,75.60040686,23.6309117,-26.40095977,5.967913208,16.66523632,20.24825707,0.268054028,15.24,1.427467013,-1.643871665,-36.02895064,0.131944744,2.816277976,7.166815667,-6.384873113,TOK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190914-TokyoBig6Jingu-1,03224149-d695-11e9-a90c-04ea56cad207,129.441142,40.30273091,1.246701672,11.86903364,0.800009816,0.924364014,-0.173133316,0.765393381,0.921700364,-0.173620342,012d9e04-d68f-11e9-a90c-04ea56cad207,19A
18,09/14/2019,11:14:23 AM,1,1,"Masato, Morishita",1000073590,Right,MEI_MEI,"Shinpei, Tsujii",1000073888,Right,TOK,Windup,1,Bottom,0,0,0,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,149.6810136,-2.158076552,-2.322362359,2463.076018,195.8753722,12:30,1.786540792,0.334796162,1.922541084,-28.20094873,52.16281036,14.85621827,0.897872496,-0.168995575,137.0353409,-4.255356359,-1.215445311,0.404841273,113.2508622,45.80327767,135.8420429,4887.897548,-26.93575658,18.91322156,19.9647549,61.13676845,25.75693249,147.331256,3.632855835,-9.729680645,30.03183027,-0.283853891,15.24,1.736723581,1.616637596,-41.24277736,-1.661683222,-2.16975768,8.799862903,-3.109431793,TOK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190914-TokyoBig6Jingu-1,5d4d5e96-d695-11e9-a90c-04ea56cad207,149.8365016,18.91845498,1.301898437,12.64567272,0.07474878,0.871132508,0.176483074,0.059033248,0.869947864,0.176808583,012d9e04-d68f-11e9-a90c-04ea56cad207,19A
19,09/14/2019,11:14:37 AM,1,2,"Masato, Morishita",1000073590,Right,MEI_MEI,"Shinpei, Tsujii",1000073888,Right,TOK,Windup,1,Bottom,0,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,149.9559405,-3.214084294,-3.471540069,2262.189445,197.219143,12:30,1.761285742,0.26212777,1.91888769,-35.89101513,44.74040196,13.88934547,0.49721675,-0.575019816,137.0670502,-5.877628612,-2.437083808,0.405514891,,,,,,,,,,,,-10.07536137,26.78263458,-0.185222069,15.24,1.687121382,2.449001232,-41.23213755,-2.45482458,-2.238712598,9.057193742,-3.855635517,TOK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190914-TokyoBig6Jingu-1,66400af8-d695-11e9-a90c-04ea56cad207,149.5876018,,,12.88889033,-0.298785921,0.421041513,0.605767118,,,,012d9e04-d68f-11e9-a90c-04ea56cad207,19A
20,09/14/2019,11:14:48 AM,1,3,"Masato, Morishita",1000073590,Right,MEI_MEI,"Shinpei, Tsujii",1000073888,Right,TOK,Windup,1,Bottom,0,1,1,Cutter,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,136.3033985,-0.864948958,-2.303775563,2525.089002,128.5587995,10:15,1.774781636,0.362847901,1.811132886,-90.62975534,6.273124043,-7.984107145,0.623753902,-0.368602354,127.3952637,-7.480092816,-2.889877581,0.444552443,111.6610118,-19.85007069,161.6922708,,,,,1.585655701,1.5064582,145.7904816,0.056331177,2.955915235,3.878822337,-0.306426912,15.24,1.747577193,1.542265514,-37.5963997,-0.905841174,0.555937076,6.265475874,-9.077136134,TOK,MEI_MEI,TokyoBig6Jingu,Team Exclusive,Team,20190914-TokyoBig6Jingu-1,6ddb7928-d695-11e9-a90c-04ea56cad207,136.4518427,0.59821304,0.053578001,8.908134854,0.219566485,0.595670572,0.379332064,0.238667987,0.59821304,0.378365053,012d9e04-d68f-11e9-a90c-04ea56cad207,19A
