PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,season
11,10/06/2019,11:33:03 AM,4,3,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Masaki, Kato",1000073885,Left,WAS_EDA,Stretch,1,Top,2,1,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,2,,,130.3257026,-1.28254002,-1.363627728,1964.82037,231.0972062,1:45,1.391860816,0.209023606,1.851512437,-82.56129716,24.07284228,29.95506515,0.204425555,0.123976568,120.1986145,-7.368837052,0.859225381,0.466340135,,,,,,,,,,,,-17.17355291,13.92811111,-0.178850815,15.24,1.356353616,0.752407722,-35.93582242,-1.088707277,-2.911702232,6.590117005,-7.445198504,TOK,WAS_EDA,TokyoBig6Jingu,Undefined,,20191006-TokyoBig6Jingu-1,9e3efd71-e7e1-11e9-a925-04ea56cad207,130.0767303,,,10.12708806,-0.02169935,0.144989987,-0.131061075,,,,7878a432-e7d7-11e9-a925-04ea56cad207,19A
12,10/06/2019,11:33:25 AM,4,4,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Masaki, Kato",1000073885,Left,WAS_EDA,Stretch,1,Top,2,2,1,ChangeUp,Splitter,FoulBall,Undefined,Undefined,Undefined,0,0,2,,,120.9962461,1.48161126,-1.973768944,1300.426625,263.0089685,2:45,1.377266449,0.240287945,1.930233501,-120.7271307,3.763376093,31.64447483,0.586093935,0.002648477,109.8131836,-7.552768516,0.405409986,0.503874961,140.0621786,-19.01689189,56.69142686,,,,,2.178518026,2.173740903,42.29957756,0.048009644,-18.99274691,0.871554077,-0.198325429,15.24,1.403276971,1.053922386,-33.32725551,0.501547274,-2.721252569,6.629888173,-9.681775026,TOK,WAS_EDA,TokyoBig6Jingu,Undefined,,20191006-TokyoBig6Jingu-1,a731adf8-e7e1-11e9-a925-04ea56cad207,120.3870101,0.614185125,0.047854841,11.18306255,0.461770118,0.590062573,-0.002437772,0.64564922,0.614185125,-0.001204428,7878a432-e7d7-11e9-a925-04ea56cad207,19A
13,10/06/2019,11:33:55 AM,4,5,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Masaki, Kato",1000073885,Left,WAS_EDA,Stretch,1,Top,2,2,2,Sinker,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,2,,,120.9832995,1.061432938,-0.03726907,1608.075229,254.0494547,2:30,1.403776412,0.24392575,1.876629083,-111.4333501,12.30220174,43.45010926,0.588321984,0.667933792,111.2941612,-7.189634256,3.195914203,0.502344799,,,,,,,,,,,,-23.6900673,5.94560719,-0.245754418,15.24,1.421397282,-0.114395426,-33.36652767,0.269158458,-3.44748856,5.925073675,-8.941417643,TOK,WAS_EDA,TokyoBig6Jingu,Undefined,,20191006-TokyoBig6Jingu-1,b9170d16-e7e1-11e9-a925-04ea56cad207,120.7537137,,,9.689138277,-0.801800267,0.424542887,-0.739904036,,,,7878a432-e7d7-11e9-a925-04ea56cad207,19A
14,10/06/2019,11:34:19 AM,4,6,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Masaki, Kato",1000073885,Left,WAS_EDA,Stretch,1,Top,2,3,2,ChangeUp,ChangeUp,InPlay,Undefined,LineDrive,Out,1,0,2,,,121.4251712,1.747212137,-1.96526611,1324.525796,241.3573557,2:00,1.386772693,0.215884987,1.910016295,-102.2364631,21.71434753,39.96987115,0.855756071,0.063194579,109.8349571,-5.90858002,1.036137834,0.502781565,164.2499654,15.45109901,26.4681896,1532.964171,29.37694192,7.678314783,16.15925738,88.2136976,86.4483034,35.39555344,2.735863647,-23.50753544,10.49933942,-0.17395705,15.24,1.420171456,1.025840763,-33.43756148,0.709728198,-3.391008871,6.665002258,-8.292099349,TOK,WAS_EDA,TokyoBig6Jingu,Undefined,,20191006-TokyoBig6Jingu-1,cafc6ed2-e7e1-11e9-a925-04ea56cad207,120.6488149,8.579303375,2.665633847,11.59021409,0.557026067,0.868641574,-0.06095962,0.524675432,0.865327394,-0.061531274,7878a432-e7d7-11e9-a925-04ea56cad207,19A
15,10/06/2019,11:36:43 AM,1,1,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Shinpei, Tsujii",1000073888,Right,TOK,Windup,1,Bottom,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,142.404651,-2.685347727,-5.631813161,2211.774361,206.0119325,12:45,1.656732563,0.675343891,1.978796135,-38.16359088,52.20735124,25.51815113,0.519632349,-0.650154536,128.1394226,-5.552597229,-3.718110387,0.429308083,,,,,,,,,,,,-18.76653663,31.10479771,-0.556267469,15.24,1.597167007,3.762932396,-39.03444523,-1.968776525,-3.681015007,9.247397909,-3.705512137,TOK,WAS_EDA,TokyoBig6Jingu,Undefined,,20191006-TokyoBig6Jingu-1,22937bb4-e7e2-11e9-a925-04ea56cad207,141.2971301,,,14.2652284,-0.543086865,0.42289401,0.712327457,,,,7878a432-e7d7-11e9-a925-04ea56cad207,19A
16,10/06/2019,11:36:59 AM,1,2,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Shinpei, Tsujii",1000073888,Right,TOK,Windup,1,Bottom,0,1,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,142.8845138,-1.354757626,-5.283883575,2173.536098,224.363535,1:30,1.642447875,0.707882996,1.976373086,-48.12416055,41.36878588,40.54205787,0.780446132,-0.369372895,128.5322937,-4.976288447,-2.23812941,0.427217529,,,,,,,,,,,,-26.75519462,23.99012772,-0.596866697,15.24,1.610839716,3.489271863,-39.22168983,-1.095439377,-5.301751118,9.289728272,-5.052818519,TOK,WAS_EDA,TokyoBig6Jingu,Undefined,,20191006-TokyoBig6Jingu-1,2ba2cb31-e7e2-11e9-a925-04ea56cad207,141.988556,,,14.35222012,-0.59611345,0.688405211,0.407465205,,,,7878a432-e7d7-11e9-a925-04ea56cad207,19A
17,10/06/2019,11:37:27 AM,1,3,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Shinpei, Tsujii",1000073888,Right,TOK,Windup,1,Bottom,0,1,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,,,146.3335595,-0.382148883,-2.873515,2205.197176,210.406626,1:00,1.669040805,0.674328863,1.969541125,-34.92733486,49.00510424,28.80505397,1.212657461,0.157330325,133.159433,-2.99879627,-0.715851734,0.413732447,106.8329153,24.6003736,169.1907522,3394.763934,-33.25833392,6.438631273,4.243738795,49.81041268,20.1162883,174.219912,2.14838562,-17.96528069,27.27915387,-0.614124492,15.24,1.658936795,1.921848516,-40.32711156,-0.393413675,-3.809732918,8.848717499,-4.021809104,TOK,WAS_EDA,TokyoBig6Jingu,Undefined,,20191006-TokyoBig6Jingu-1,3d2fff3e-e7e2-11e9-a925-04ea56cad207,146.6164919,7.240825752,0.795068933,13.17412657,-0.203693687,1.178696771,-0.149939882,0.227598278,1.201890528,-0.154835511,7878a432-e7d7-11e9-a925-04ea56cad207,19A
18,10/06/2019,11:37:50 AM,1,4,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Shinpei, Tsujii",1000073888,Right,TOK,Windup,1,Bottom,0,1,2,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,,,133.7177829,-0.530747782,-3.815951329,2013.902233,191.3279762,12:30,1.640473624,0.676867413,1.923487125,-79.9145269,21.64094511,4.354405567,0.691995854,-0.352429727,122.0595337,-6.476103216,-3.491219754,0.455099465,113.0906738,-46.1808921,-34.28875802,,,,,0.951868463,0.931935864,-1.036643704,0.030388794,-5.244734959,12.2635624,-0.591977878,15.24,1.624012655,2.439951424,-36.7991238,-0.60838578,-0.923672216,7.544147811,-7.646862718,TOK,WAS_EDA,TokyoBig6Jingu,Undefined,,20191006-TokyoBig6Jingu-1,48422dae-e7e2-11e9-a925-04ea56cad207,133.2895438,0.689116316,0.029305806,11.6582492,0.468677715,0.696184629,0.350179584,0.406500804,0.689116316,0.35397307,7878a432-e7d7-11e9-a925-04ea56cad207,19A
19,10/06/2019,11:38:23 AM,2,1,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Chihaya, Niibori",1000073978,Right,TOK,Windup,1,Bottom,1,0,0,Fastball,Fastball,InPlay,Undefined,Popup,Out,1,0,,,,145.9164592,-1.495815104,-3.259042251,2263.910919,202.3671169,12:45,1.669219552,0.694957363,1.968575302,-29.48220584,56.17958082,23.1509838,0.95487983,0.013133612,130.9885208,-3.718947127,-1.513530304,0.417972996,,,,,,,,,,,,-15.53311206,32.31383877,-0.62607603,15.24,1.635436794,2.205209732,-40.14915052,-1.153233578,-3.216621061,9.944646707,-3.115049894,TOK,WAS_EDA,TokyoBig6Jingu,Undefined,,20191006-TokyoBig6Jingu-1,5a279423-e7e2-11e9-a925-04ea56cad207,145.128993,,,14.92793838,0.265917352,0.944054497,-0.008781509,,,,7878a432-e7d7-11e9-a925-04ea56cad207,19A
20,10/06/2019,11:39:03 AM,3,1,"Soma, Tokuyama",1000074011,Right,WAS_EDA,"Yucihi, Ishimoto",1000074001,Left,TOK,Windup,1,Bottom,2,0,0,Fastball,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,145.4249414,-1.099289871,-2.310163648,2207.401272,209.5085336,1:00,1.659324425,0.691057544,1.950923871,-39.45496108,45.67029839,25.89329023,0.956408441,0.302211902,132.5257828,-4.048545044,-0.372078227,0.416661991,,,,,,,,,,,,-15.9138392,25.90569139,-0.642107252,15.24,1.633145728,1.52444865,-40.08459245,-0.910947959,-3.334966177,8.725242,-4.377752328,TOK,WAS_EDA,TokyoBig6Jingu,Undefined,,20191006-TokyoBig6Jingu-1,74ffad5d-e7e2-11e9-a925-04ea56cad207,145.5856338,,,12.89915861,-0.727584204,0.871838743,-0.296329197,,,,7878a432-e7d7-11e9-a925-04ea56cad207,19A
