PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,season
11,10/15/2019,11:04:37 AM,3,1,"Syu, Tezuka",1000074135,Right,RIK,"Yucihi, Ishimoto",1000074001,Left,TOK,Windup,1,Top,2,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,144.279505,-2.104973487,-0.953638678,2184.946061,204.7060246,12:45,1.701200418,0.348801013,2.114823662,-29.1810007,55.14833147,25.408903,0.825145592,0.338334668,132.1616547,-4.300393847,0.964309976,0.414709506,,,,,,,,,,,,-14.89704562,32.35831088,-0.331829074,15.24,1.660057219,0.582526967,-39.81950424,-1.555994581,-3.092955245,8.299835417,-3.088350954,RIK,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-1,2319d99f-eef0-11e9-a92f-04ea56cad207,146.2710623,,,12.11785033,-0.412385451,0.760663561,-0.353408249,,,,c2a38b9b-eeed-11e9-a92f-04ea56cad207,19A
12,10/15/2019,11:04:51 AM,3,2,"Syu, Tezuka",1000074135,Right,RIK,"Yucihi, Ishimoto",1000074001,Left,TOK,Windup,1,Top,2,0,1,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,143.9936304,-2.711860626,-0.651015092,2138.453355,222.0790781,1:30,1.637939568,0.380170937,2.157381662,-44.76530394,39.25467185,35.51461685,0.43944546,0.555207078,132.7043243,-6.070249571,2.031881274,0.413948141,,,,,,,,,,,,-20.41892415,23.91423172,-0.36974316,15.24,1.586764451,0.343111474,-39.74111147,-2.019221813,-4.236284358,8.016176326,-4.845199288,RIK,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-1,2c0c894a-eef0-11e9-a92f-04ea56cad207,146.5400954,,,11.2893061,-0.482607652,0.340357502,-0.589064456,,,,c2a38b9b-eeed-11e9-a92f-04ea56cad207,19A
13,10/15/2019,11:05:05 AM,3,3,"Syu, Tezuka",1000074135,Right,RIK,"Yucihi, Ishimoto",1000074001,Left,TOK,Windup,1,Top,2,1,1,ChangeUp,Other,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,114.6944,-0.072891969,-1.260406111,1405.378781,227.3712572,1:30,1.668003725,0.342323151,2.263995075,-97.3969617,32.28164976,35.2031645,0.673999438,0.347954905,106.6842567,-7.416346961,1.409205975,0.514267212,,,,,,,,,,,,-20.83369464,18.42021428,-0.322884606,15.24,1.663618514,0.619277198,-31.71013601,-0.257268364,-2.76800837,4.810933785,-7.359301693,RIK,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-1,3498b9b0-eef0-11e9-a92f-04ea56cad207,117.9542436,,,8.010143256,-0.274074888,0.579775415,-0.366156076,,,,c2a38b9b-eeed-11e9-a92f-04ea56cad207,19A
14,10/15/2019,11:05:22 AM,3,4,"Syu, Tezuka",1000074135,Right,RIK,"Yucihi, Ishimoto",1000074001,Left,TOK,Windup,1,Top,2,1,2,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,,,146.2583459,-2.745350385,-3.175527122,2150.217654,218.4576199,1:15,1.650868181,0.381455056,2.274743779,-38.84339646,41.4670462,32.99430061,0.506823215,-0.161495746,134.7137375,-5.68641781,-0.669677535,0.404706957,136.3715618,-27.62685155,-61.11795118,,,,,0.82231793,0.82231793,-49.35554307,0.026977539,-20.92472478,25.47528603,-0.331178691,15.24,1.605191287,2.145453049,-40.33262769,-2.045565451,-4.479184983,8.115952078,-4.353363523,RIK,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-1,3df1e99a-eef0-11e9-a92f-04ea56cad207,149.88623,0.473480748,0.028042418,11.54460837,0.084376341,0.472001383,0.165365396,0.099045209,0.473480748,0.165209761,c2a38b9b-eeed-11e9-a92f-04ea56cad207,19A
15,10/15/2019,11:05:46 AM,3,5,"Syu, Tezuka",1000074135,Right,RIK,"Yucihi, Ishimoto",1000074001,Left,TOK,Windup,1,Top,2,1,2,Splitter,Splitter,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,,,126.5126008,-1.969829435,-0.712593346,,263.3012139,2:45,1.689203332,0.318046434,1.992959095,-109.4344013,2.497669608,22.16157573,0.04399669,0.340469179,116.7340759,-10.08634948,0.952421723,0.47778436,,,,,,,,,,,,-12.77314698,2.832817504,-0.304188325,15.24,1.641986666,0.366976593,-34.88807708,-1.530630062,-2.024890699,6.694089905,-9.35757149,RIK,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-1,4d1a7ce3-eef0-11e9-a92f-04ea56cad207,126.9610415,,,9.778524916,1.151278851,0.169329316,-0.329048334,,,,c2a38b9b-eeed-11e9-a92f-04ea56cad207,19A
16,10/15/2019,11:08:11 AM,1,1,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Shintarou, Miya",1000074185,Right,RIK,Windup,1,Bottom,0,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,112.5865102,2.124167546,0.516895562,1933.347681,87.62781204,9:00,1.402683954,0.315959606,1.701268346,-145.7350234,-0.947661081,-19.58975864,0.550192811,0.267179175,104.7222015,-8.494211976,-0.919068043,0.543400443,,,,,,,,,,,,10.74480154,-1.836083739,-0.327943979,15.24,1.446843107,-0.216101356,-31.03122593,0.675974912,1.368091404,4.572241266,-10.04043099,RIK,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-1,a05f735f-eef0-11e9-a92f-04ea56cad207,111.6303838,,,7.86430871,0.087229377,0.497954615,-0.261547923,,,,c2a38b9b-eeed-11e9-a92f-04ea56cad207,19A
17,10/15/2019,11:08:23 AM,1,2,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Shintarou, Miya",1000074185,Right,RIK,Windup,1,Bottom,0,0,1,Fastball,ChangeUp,BallCalled,Undefined,Undefined,Undefined,0,0,,,,120.0439684,-0.978274313,-2.876934799,1317.105297,241.4637228,2:00,1.456369493,0.23630845,1.931544292,-105.6267552,20.10002669,37.18120269,0.12523485,-0.199797742,110.0180374,-8.824471384,-0.09311762,0.50637069,,,,,,,,,,,,-22.57394298,11.76957468,-0.174683798,15.24,1.428663262,1.55077657,-33.0646506,-0.880260278,-3.207767171,6.121771524,-8.13418829,RIK,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-1,a8e6e073-eef0-11e9-a92f-04ea56cad207,119.7936634,,,10.02593099,0.631008596,0.155963746,0.199404503,,,,c2a38b9b-eeed-11e9-a92f-04ea56cad207,19A
18,10/15/2019,11:08:36 AM,1,3,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Shintarou, Miya",1000074185,Right,RIK,Windup,1,Bottom,0,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,113.8080339,3.801452715,0.741210617,1922.8543,90.17250615,9:00,1.387821404,0.303614519,1.677586409,-144.2013582,-0.061953507,-24.43522434,1.030990458,0.270535688,104.0613808,-6.779311777,-1.058149381,0.542183157,,,,,,,,,,,,13.53213797,-2.757285362,-0.321357807,15.24,1.477464466,-0.324204131,-31.28710383,1.603607184,1.730291024,5.242153337,-10.15921115,RIK,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-1,b0a14cb4-eef0-11e9-a92f-04ea56cad207,111.8810114,,,9.746653179,-0.420011932,0.924937304,-0.253993274,,,,c2a38b9b-eeed-11e9-a92f-04ea56cad207,19A
19,10/15/2019,11:08:50 AM,1,4,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Shintarou, Miya",1000074185,Right,RIK,Windup,1,Bottom,0,2,1,Slider,Curveball,InPlay,Undefined,FlyBall,HomeRun,0,1,,,,113.16492,2.868122563,0.00811858,1965.80507,98.86754725,9:15,1.379903174,0.308643576,1.688327031,-142.7124888,2.2084895,-15.02893322,0.77040281,0.160666699,104.0427658,-7.585686935,-1.097729552,0.543651122,150.4167876,35.92353765,-27.75465378,3098.78534,28.9699868,22.66491147,-16.87784685,105.7600631,41.55268582,-36.46577146,5.512713013,8.006928487,-0.820051332,-0.307669688,15.24,1.444354496,0.044744381,-31.15057266,1.0938451,1.017709552,5.063422374,-9.910881488,RIK,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-1,bb3781d9-eef0-11e9-a92f-04ea56cad207,111.5789107,31.39459497,1.555378775,9.122154179,0.89892158,0.831219136,-0.169469557,0.868047366,0.827285915,-0.168896835,c2a38b9b-eeed-11e9-a92f-04ea56cad207,19A
20,10/15/2019,11:09:45 AM,2,1,"Tomohiro, Sakaguchi",1000073923,Right,TOK,"Jinto, Miyazaki",1000074131,Right,RIK,Windup,1,Bottom,0,0,0,ChangeUp,Splitter,FoulBall,Undefined,Undefined,Undefined,0,0,,,,118.4295459,2.162746849,-1.506997069,1205.321808,264.2810041,2:45,1.430604854,0.24278172,1.932727998,-124.0746303,4.272183352,43.8636084,0.797157375,0.258503135,108.8024345,-7.065847521,1.769207186,0.511619638,102.1584757,-36.07614839,-170.7732867,,,,,0.511691742,0.400197937,-122.7857086,0.050296021,-25.10818543,0.814486771,-0.211951582,15.24,1.471382935,0.729138024,-32.64425305,0.866442678,-3.499764363,5.635476573,-9.693120817,RIK,TOK,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-1,d60f9050-eef0-11e9-a92f-04ea56cad207,118.5646436,0.848595303,0.029713926,9.627111357,1.140824559,0.882190268,-0.237625509,0.854911141,0.848595303,-0.24579888,c2a38b9b-eeed-11e9-a92f-04ea56cad207,19A
