PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,season
11,10/15/2019,1:56:32 PM,3,2,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Tatsuru, Yanagimachi",1000069640,Left,KEI_KEI,Windup,1,Top,2,0,1,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,123.4026892,1.983971593,-0.671848447,2183.706242,58.86972653,8:00,1.464044865,0.635992085,1.861958805,-133.4180211,-14.98632373,-24.62908998,0.689218829,0.200362579,114.4044937,-7.849078075,-2.496177928,0.491460521,151.5148728,27.18565997,-39.3151906,4570.507635,23.28577216,14.56207231,-24.12252318,100.5727699,65.2594707,-57.8344753,4.04725769,12.92608358,-9.427430242,-0.618736005,15.24,1.501914969,0.478995349,-34.0320239,0.746046975,1.972484166,5.705843299,-11.24524946,HOS_HOS,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-2,25173f35-ef08-11e9-a92f-04ea56cad207,123.428022,18.11000516,2.300241743,8.998195515,0.038065344,0.633943681,-0.183023615,0.016489174,0.630859916,-0.182063354,a5a8ddac-ef06-11e9-a92f-04ea56cad207,19A
12,10/15/2019,1:56:56 PM,3,3,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Tatsuru, Yanagimachi",1000069640,Left,KEI_KEI,Windup,1,Top,2,0,2,Fastball,Fastball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,148.1153469,-0.840999637,-3.419239131,2250.992335,207.3482583,1:00,1.492793503,0.526924767,2.037375164,-45.24119586,33.96896085,17.60745569,0.805523929,-0.251222432,138.7268097,-4.190685866,-2.115254019,0.40192507,,,,,,,,,,,,-11.47531373,19.17354102,-0.458339835,15.24,1.473442122,2.380503651,-40.87773004,-0.760059866,-2.575242354,6.616852003,-5.503803377,HOS_HOS,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-2,3655c128-ef08-11e9-a92f-04ea56cad207,150.9236534,,,9.388537177,-0.777378384,0.713880145,0.294721816,,,,a5a8ddac-ef06-11e9-a92f-04ea56cad207,19A
13,10/15/2019,1:59:19 PM,1,1,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Koki, Ugusa",1000073735,Left,HOS_HOS,Windup,1,Bottom,0,0,0,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,147.7070922,-1.438850589,-1.956628003,2146.233566,213.6158589,1:00,1.541494059,0.681129018,1.699393686,-37.36766982,46.56740487,31.01035662,0.757935231,0.434077848,136.5985931,-4.16742408,0.312188163,0.413738943,,,,,,,,,,,,-17.66266346,25.61739447,-0.632309175,15.24,1.500835545,1.257801427,-40.71326895,-1.183594511,-3.883207121,7.612847267,-4.17456349,HOS_HOS,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-2,88d99a84-ef08-11e9-a92f-04ea56cad207,146.61419,,,11.1084991,-0.745874184,0.669819656,-0.442407133,,,,a5a8ddac-ef06-11e9-a92f-04ea56cad207,19A
14,10/15/2019,1:59:35 PM,1,2,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Koki, Ugusa",1000073735,Left,HOS_HOS,Windup,1,Bottom,0,1,0,Cutter,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,139.1057614,-0.817821677,-3.154221387,2205.402334,151.8042808,11:00,1.513788138,0.663199967,1.758615367,-73.51382654,19.7228011,-10.62037223,0.546341252,-0.3384716,130.479071,-6.15441253,-3.927562456,0.436061695,127.8551315,-9.989667198,172.2488981,,,,,2.460997601,1.58237835,162.5727406,0.087321167,3.984563383,10.96656943,-0.58298677,15.24,1.487753624,2.155343937,-38.35224658,-0.838034026,0.785021684,6.025189683,-7.64606326,HOS_HOS,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-2,9572ac6a-ef08-11e9-a92f-04ea56cad207,139.1087562,0.568502012,0.06114416,8.626690361,0.719500405,0.577171624,0.318757439,0.638096137,0.568502012,0.324327753,a5a8ddac-ef06-11e9-a92f-04ea56cad207,19A
15,10/15/2019,1:59:59 PM,1,3,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Koki, Ugusa",1000073735,Left,HOS_HOS,Windup,1,Bottom,0,1,1,Fastball,Fastball,FoulBall,Undefined,Undefined,Undefined,0,0,,146.4690917,-1.723894666,-3.289235005,1995.733194,227.7390347,1:30,1.514515533,0.695961073,1.704536895,-56.58697108,29.77782792,32.85959087,0.457150313,0.087568876,134.2590408,-5.871174612,-0.874066774,0.41968461,,,,,,,,,,,,-19.7758235,17.06060298,-0.612567292,15.24,1.465041797,2.177646525,-40.29155755,-1.452214489,-4.21131612,8.354408967,-6.173547572,HOS_HOS,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-2,a3b1a71d-ef08-11e9-a92f-04ea56cad207,144.5371086,,,12.21005085,0.306387286,0.44421221,-0.085678872,,,,a5a8ddac-ef06-11e9-a92f-04ea56cad207,19A
16,10/15/2019,2:00:27 PM,1,4,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Koki, Ugusa",1000073735,Left,HOS_HOS,Windup,1,Bottom,0,1,2,Fastball,Fastball,InPlay,Undefined,GroundBall,Out,1,0,,147.9490441,-0.54198362,-3.201510214,2263.256198,214.8293584,1:15,1.497876112,0.687615107,1.716038158,-47.7354319,37.62394801,26.23376728,0.866162535,0.038650532,133.8033829,-4.072123163,-1.260754376,0.417234571,147.4805287,-16.22907836,-4.068790977,,,,,3.127388994,2.948840429,-4.339992334,0.073814087,-16.52756008,20.56866866,-0.606599075,15.24,1.480199693,2.166299854,-40.68573781,-0.584654338,-3.54562095,9.505875557,-5.394098955,HOS_HOS,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-2,b4b22ea4-ef08-11e9-a92f-04ea56cad207,145.3858434,0.853441515,0.069333073,14.14566128,0.292212914,0.856179569,-0.035602201,0.254137447,0.853441515,-0.034778934,a5a8ddac-ef06-11e9-a92f-04ea56cad207,19A
17,10/15/2019,2:01:06 PM,2,1,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Jin, Nakamura",1000073711,Left,HOS_HOS,Windup,1,Bottom,1,0,0,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,147.6545109,-0.108110598,-3.07551721,2276.825334,224.4240141,1:30,1.461474194,0.669100936,1.704633182,-55.74703101,29.3127284,28.80760489,0.873196565,0.081195958,134.7772247,-4.208532573,-0.955326942,0.416501658,,,,,,,,,,,,-17.53372595,15.7157948,-0.590988342,15.24,1.45433123,2.061674071,-40.63706919,-0.312365527,-3.788771403,8.701088474,-6.410705857,HOS_HOS,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-2,c77c6024-ef08-11e9-a92f-04ea56cad207,145.641677,,,12.87728612,-0.581998378,0.795969159,-0.065642836,,,,a5a8ddac-ef06-11e9-a92f-04ea56cad207,19A
18,10/15/2019,2:01:21 PM,2,2,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Jin, Nakamura",1000073711,Left,HOS_HOS,Windup,1,Bottom,1,0,1,Fastball,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,147.2696322,-0.207737454,-1.929686561,2207.000306,220.1952302,1:15,1.452897922,0.684441963,1.682420665,-57.92920458,28.2706654,23.95500927,0.814379726,0.373942951,133.5713654,-4.478866502,-0.160469651,0.419283687,,,,,,,,,,,,-14.23955367,15.23166602,-0.635205906,15.24,1.442814036,1.264241457,-40.53848164,-0.392725104,-3.03826822,9.289789649,-6.556696533,HOS_HOS,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-2,cee35f74-ef08-11e9-a92f-04ea56cad207,144.6753163,,,13.6982668,-0.586324428,0.731850571,-0.372240455,,,,a5a8ddac-ef06-11e9-a92f-04ea56cad207,19A
19,10/15/2019,2:01:38 PM,2,3,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Jin, Nakamura",1000073711,Left,HOS_HOS,Windup,1,Bottom,1,0,2,Splitter,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,139.0394979,0.06410125,-3.99974177,1046.204062,279.0079762,3:15,1.476041098,0.632252912,1.669119362,-104.8479609,-6.945060287,43.22925011,0.445885894,-0.077918172,125.7063217,-7.659377606,-0.802453339,0.446840408,,,,,,,,,,,,-26.32775573,-3.756813376,-0.528661891,15.24,1.469391772,2.496614722,-38.17742418,-0.376383715,-4.944261478,8.782789564,-10.51216656,HOS_HOS,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-2,dea6e1bd-ef08-11e9-a92f-04ea56cad207,135.7531659,,,13.33317615,-0.18017952,0.361739755,0.085732393,,,,a5a8ddac-ef06-11e9-a92f-04ea56cad207,19A
20,10/15/2019,2:02:00 PM,2,4,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Jin, Nakamura",1000073711,Left,HOS_HOS,Windup,1,Bottom,1,1,2,Fastball,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,147.7067241,-2.086240485,-1.666044231,2143.277555,218.6625702,1:15,1.555801775,0.652822026,1.651699812,-43.62284332,43.47450932,34.84856379,0.523490128,0.525560885,132.463765,-5.309819762,0.919888566,0.421460752,,,,,,,,,,,,-19.99482622,24.95177672,-0.610615519,15.24,1.495839446,1.031761521,-40.5931421,-1.665783624,-4.224103613,10.3265676,-4.535341861,HOS_HOS,KEI_KEI,TokyoBig6Jingu,Team Exclusive,Team,20191015-TokyoBig6Jingu-2,eb471a74-ef08-11e9-a92f-04ea56cad207,143.9279927,,,15.24295911,-0.403348169,0.444424112,-0.540118606,,,,a5a8ddac-ef06-11e9-a92f-04ea56cad207,19A
