count,PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,PitchNo.1,Date(opensen),pitchcount,time1,time2,time3,fielding_alignment,PAofInning(opensen),PitchofPA(opensen),Inning(opensen),Top/Bottom(opensen),Outs(opensen),Balls(opensen),Strikes(opensen),dajun,Batter(opensen),BatterSide(opensen),Pitcher(opensen),PitcherThrows(opensen),Notes(opensen),on_1b,on_2b,on_3b,TaggedPitchType(opensen),PitchCall(opensen),TaggedHitType(opensen),PlayResult(opensen),KorBB(opensen),OutsOnPlay(opensen),RunsScored(opensen),relateddefenceplayer,relateddefencepos,runevent,runrelatedplayer,RelSpeed(opensen),zone,C,1B,2B,3B,SS,LF,CF,RF,result,truetime,1:00:00,URL,net_time,n_URL,season
0,1.0,2023/4/16,01:02.0,2023/4/16,01:02.0,1.0,1.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Ren, Takekawa",1000101186,Right,HOS_HOS,Undefined,1,Top,0,0.0,0.0,Fastball,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20230416-JinguStadium-2,,e368c579-cf7d-4f3f-8a9e-56f074f8bfd0,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,1.0,2023/4/16,1.0,123.328243,123.3282502,123.3282523,Normal,1.0,1.0,1,Top,0,0,0,1,武川,Right,池田,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,西川晋,齋藤大,岩本,北田,安藤,山形,,0:09:22,,https://youtu.be/7IfAlJ7w_94&t=562,1023,https://youtu.be/gj21CcbE91M&t=1023,23S
1,2.0,2023/4/16,0:01:17,2023/4/16,0:01:17,1.0,2.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Ren, Takekawa",1000101186,Right,HOS_HOS,Undefined,1,Top,0,1.0,0.0,Fastball,,FoulBall,Undefined,FlyBall,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20230416-JinguStadium-2,,e368c579-cf7d-4f3f-8a9e-56f074f8bfd0,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,2.0,2023/4/16,2.0,138.6883242,138.6883311,138.6883321,Normal,1.0,2.0,1,Top,0,1,0,1,武川,Right,池田,Right,,,,,Undefined,FoulBall,FlyBall,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,西川晋,齋藤大,岩本,北田,安藤,山形,,0:09:37,,https://youtu.be/7IfAlJ7w_94&t=577,1039,https://youtu.be/gj21CcbE91M&t=1039,23S
2,3.0,2023/4/16,0:01:37,2023/4/16,0:01:37,1.0,3.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Ren, Takekawa",1000101186,Right,HOS_HOS,Undefined,1,Top,0,1.0,1.0,Cutter,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20230416-JinguStadium-2,,e368c579-cf7d-4f3f-8a9e-56f074f8bfd0,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,3.0,2023/4/16,3.0,159.2936652,159.2936721,159.293674,Normal,1.0,3.0,1,Top,0,1,1,1,武川,Right,池田,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,西川晋,齋藤大,岩本,北田,安藤,山形,,0:09:57,,https://youtu.be/7IfAlJ7w_94&t=597,1050,https://youtu.be/gj21CcbE91M&t=1050,23S
3,4.0,2023/4/16,0:01:52,2023/4/16,0:01:52,1.0,4.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Ren, Takekawa",1000101186,Right,HOS_HOS,Undefined,1,Top,0,2.0,1.0,Cutter,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20230416-JinguStadium-2,,e368c579-cf7d-4f3f-8a9e-56f074f8bfd0,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,4.0,2023/4/16,4.0,174.3608031,174.3608122,174.3608141,Normal,1.0,4.0,1,Top,0,2,1,1,武川,Right,池田,Right,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,西川晋,齋藤大,岩本,北田,安藤,山形,,0:10:12,,https://youtu.be/7IfAlJ7w_94&t=612,1065,https://youtu.be/gj21CcbE91M&t=1065,23S
4,5.0,2023/4/16,0:02:11,2023/4/16,0:02:11,1.0,5.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Ren, Takekawa",1000101186,Right,HOS_HOS,Undefined,1,Top,0,2.0,2.0,Fastball,,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20230416-JinguStadium-2,,e368c579-cf7d-4f3f-8a9e-56f074f8bfd0,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,5.0,2023/4/16,5.0,194.0326691,194.0326741,194.0326762,Normal,1.0,5.0,1,Top,0,2,2,1,武川,Right,池田,Right,,,,,Undefined,StrikeSwinging,Undefined,Undefined,Strikeout,0,0,,,,,,,戸丸,菅谷,西川晋,齋藤大,岩本,北田,安藤,山形,空三振,0:10:31,,https://youtu.be/7IfAlJ7w_94&t=631,1082,https://youtu.be/gj21CcbE91M&t=1082,23S
5,6.0,2023/4/16,0:02:37,2023/4/16,0:02:37,2.0,1.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Daisho, Suzuki",1000101182,Left,HOS_HOS,Undefined,1,Top,1,0.0,0.0,Fastball,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20230416-JinguStadium-2,,e368c579-cf7d-4f3f-8a9e-56f074f8bfd0,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,6.0,2023/4/16,6.0,220.9151649,220.915169,220.9151711,Normal,2.0,1.0,1,Top,1,0,0,2,鈴木,Left,池田,Right,,,,,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,西川晋,齋藤大,岩本,北田,安藤,山形,,0:10:57,,https://youtu.be/7IfAlJ7w_94&t=657,1093,https://youtu.be/gj21CcbE91M&t=1093,23S
6,7.0,2023/4/16,0:02:48,2023/4/16,0:02:48,2.0,2.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Daisho, Suzuki",1000101182,Left,HOS_HOS,Undefined,1,Top,1,0.0,1.0,Fastball,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20230416-JinguStadium-2,,e368c579-cf7d-4f3f-8a9e-56f074f8bfd0,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,7.0,2023/4/16,7.0,232.4995131,232.499521,232.4995232,Normal,2.0,2.0,1,Top,1,0,1,2,鈴木,Left,池田,Right,,,,,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,西川晋,齋藤大,岩本,北田,安藤,山形,,0:11:08,,https://youtu.be/7IfAlJ7w_94&t=668,1106,https://youtu.be/gj21CcbE91M&t=1106,23S
7,8.0,2023/4/16,0:03:01,2023/4/16,0:03:01,2.0,3.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Daisho, Suzuki",1000101182,Left,HOS_HOS,Undefined,1,Top,1,1.0,1.0,Fastball,,FoulBall,Undefined,LineDrive,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20230416-JinguStadium-2,,e368c579-cf7d-4f3f-8a9e-56f074f8bfd0,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,8.0,2023/4/16,8.0,245.5605042,245.5605102,245.560513,Normal,2.0,3.0,1,Top,1,1,1,2,鈴木,Left,池田,Right,,,,,Undefined,FoulBall,LineDrive,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,西川晋,齋藤大,岩本,北田,安藤,山形,,0:11:21,,https://youtu.be/7IfAlJ7w_94&t=681,1120,https://youtu.be/gj21CcbE91M&t=1120,23S
8,9.0,2023/4/16,0:03:18,2023/4/16,0:03:18,2.0,4.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Daisho, Suzuki",1000101182,Left,HOS_HOS,Undefined,1,Top,1,1.0,2.0,TwoSeamFastBall,,FoulBall,Undefined,GroundBall,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20230416-JinguStadium-2,,e368c579-cf7d-4f3f-8a9e-56f074f8bfd0,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,9.0,2023/4/16,9.0,262.591336,262.5913432,262.5913441,Normal,2.0,4.0,1,Top,1,1,2,2,鈴木,Left,池田,Right,,,,,Undefined,FoulBall,GroundBall,Undefined,Undefined,0,0,,,,,,,戸丸,菅谷,西川晋,齋藤大,岩本,北田,安藤,山形,,0:11:38,,https://youtu.be/7IfAlJ7w_94&t=698,1130,https://youtu.be/gj21CcbE91M&t=1130,23S
9,10.0,2023/4/16,0:03:41,2023/4/16,0:03:41,2.0,5.0,"Yosuke, Ikeda",1000089900,Right,RIK,"Daisho, Suzuki",1000101182,Left,HOS_HOS,Undefined,1,Top,1,1.0,2.0,Fastball,,InPlay,Undefined,GroundBall,,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIK,HOS_HOS,JinguStadium,TeamExclusive,Team,20230416-JinguStadium-2,,e368c579-cf7d-4f3f-8a9e-56f074f8bfd0,v3,,,,"Shingo, Tomaru",1000101287,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,安 秀明,10.0,2023/4/16,10.0,286.164618,286.1646252,286.1646271,Normal,2.0,5.0,1,Top,1,1,2,2,鈴木,Left,池田,Right,,,,,Undefined,InPlay,GroundBall,Out,Undefined,1,0,西川晋,4.0,,鈴木,,,戸丸,菅谷,西川晋,齋藤大,岩本,北田,安藤,山形,二ゴロ,0:12:01,,https://youtu.be/7IfAlJ7w_94&t=721,1142,https://youtu.be/gj21CcbE91M&t=1142,23S
