PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,unixtime
47,2025/4/26,25:30.2,7,3,"Norihiro, Nozaki",1000126351,Left,HOS_HOS,"Yudai, Ose",1000126636,Left,WAS_EDA,Undefined,2,Top,1,1,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,1,,130.48972,1.48237,2.352927,1474.622596,96.168786,9:15,1.467633,-0.516637,1.707596,-101.9751,7.2037,-35.0278,0.870118,-0.197049,119.37536,-5.900733,-0.10731,0.471872,130.10894,-12.832116,28.00616,,,,,4.428462,4.358083,28.113305,0.113972,19.4637,3.5689,0.45806,15.24,1.498372,-1.307751,-35.866111,0.518778,3.274357,6.814238,-9.206263,HOS_HOS,WAS_EDA,JinguStadium,NPM,NPBEastern,20250426-JinguStadium-1,b9954260-2245-11f0-86ea-81fc05af7883,128.55189,0.917595,,11.11436,,,,0.349356,0.917595,0.195184,dff9fd9f-6cf8-4e7c-8676-7f82ea422551,2025/4/26,25:30.3,2025-04-26T11:25:30.2552576+09:00,2025-04-26T02:25:30.2552576Z,GroundBall,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,419dc395-20c6-4b37-b31b-12106fc5cf5c,16.73248,-36.148556,3.407119,1.46896,0.900372,-4.603132,0.515079,-1.443471,1.637178,180,0.347631,31.206204,,,,,,,,0.91804,-8.051078,,,,,,,,0.194267,16.596937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,,NoShift,20.83430288,16.01136382,39.9464479,8.716524706,22.45905838,-16.53986527,39.30205118,-8.889241473,70.04417594,-34.37670128,89.27047574,-6.546524166,68.78011347,35.38540552,1745634330
48,2025/4/26,26:19.8,8,1,"Norihiro, Nozaki",1000126351,Left,HOS_HOS,"Taisei, Shibuya",1000126624,Right,WAS_EDA,Undefined,2,Top,1,0,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,131.77136,0.989327,0.231192,2180.589037,184.399938,12:15,1.422071,-0.55221,1.735516,-81.7657,24.1339,1.6182,0.88546,-0.470358,121.21816,-4.969025,0.345125,0.464731,,,,,,,,,,,,-0.6677,12.6034,0.546171,15.24,1.441283,-0.154088,-36.263985,0.308499,-0.115632,6.513632,-7.624026,HOS_HOS,WAS_EDA,JinguStadium,NPM,NPBEastern,20250426-JinguStadium-1,d7037060-2245-11f0-86ea-81fc05af7883,130.52706,,,10.55321,,,,,,,dff9fd9f-6cf8-4e7c-8676-7f82ea422551,2025/4/26,26:19.8,2025-04-26T11:26:19.8106112+09:00,2025-04-26T02:26:19.8106112Z,,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,65df60de-2749-4477-8a7b-ce67921988ae,16.70388,-36.525977,3.256816,1.422708,0.615152,-3.812013,0.552275,-0.149437,-0.057816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,NoShift,21.60400299,14.46709563,40.35067754,8.54346329,21.72040377,-16.20595806,38.50561979,-8.37282346,69.43475245,-33.47810793,84.29028799,4.21472193,66.3049297,36.31813348,1745634380
49,2025/4/26,26:37.4,8,2,"Norihiro, Nozaki",1000126351,Left,HOS_HOS,"Taisei, Shibuya",1000126624,Right,WAS_EDA,Undefined,2,Top,1,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,129.07725,1.510731,-0.116547,2173.324927,210.67181,1:00,1.442698,-0.544065,1.689667,-95.6961,15.0669,7.0651,0.916166,-0.506612,119.06461,-5.410147,0.379497,0.475283,,,,,,,,,,,,-3.6366,7.665,0.54657,15.24,1.474966,0.038613,-35.521679,0.554888,-0.605789,6.090745,-8.529811,HOS_HOS,WAS_EDA,JinguStadium,NPM,NPBEastern,20250426-JinguStadium-1,e17a93c0-2245-11f0-86ea-81fc05af7883,127.6293,,,10.01264,,,,,,,dff9fd9f-6cf8-4e7c-8676-7f82ea422551,2025/4/26,26:37.4,2025-04-26T11:26:37.3711360+09:00,2025-04-26T02:26:37.3711360Z,,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,bbbdc154-7c8e-4a43-9294-3a77014f2da4,16.750013,-35.779657,3.045372,1.443812,0.916175,-4.264905,0.544392,0.064272,-0.302895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,NoShift,22.74850075,15.23097893,40.35735367,9.269349653,21.92289323,-16.29785209,38.82518852,-8.970959839,70.09759171,-33.64648653,84.93437945,4.441266496,66.88527131,36.56242184,1745634397
50,2025/4/26,26:59.8,8,3,"Norihiro, Nozaki",1000126351,Left,HOS_HOS,"Taisei, Shibuya",1000126624,Right,WAS_EDA,Undefined,2,Top,1,2,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,138.8451,0.033018,3.210109,1863.944154,133.860818,10:30,1.429963,-0.524094,1.794886,-50.6531,45.6706,-44.0538,0.932792,-0.055182,125.52103,-3.770385,0.103312,0.443222,111.74993,20.648247,171.038884,1818.207195,-33.115541,4.326414,5.242037,46.12723,20.18856,170.974743,1.837075,25.066,24.317,0.448258,15.24,1.427329,-1.920996,-38.1221,-0.152452,4.719164,8.374024,-5.228498,HOS_HOS,WAS_EDA,JinguStadium,NPM,NPBEastern,20250426-JinguStadium-1,eef1d7c0-2245-11f0-86ea-81fc05af7883,136.86149,5.414203,,13.32406,,,,0.39212,0.944792,0.051878,dff9fd9f-6cf8-4e7c-8676-7f82ea422551,2025/4/26,26:59.8,2025-04-26T11:26:59.8310400+09:00,2025-04-26T02:26:59.8310400Z,LineDrive,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,bfd7ec62-b656-4b79-aaaf-8ddce5714800,16.644573,-38.429395,4.187012,1.429403,0.039413,-2.614249,0.521929,-2.094171,2.359582,353.521392,0.392132,-28.69407,2.069182,-0.111208,0.119234,-0.114696,0.069064,-0.019515,0.001825,0.944791,10.946353,-7.198685,0.705361,-0.158564,0.057185,-0.025104,0.008665,-0.001312,0.051877,4.524649,-0.496555,0.124484,-0.033899,0.015476,-0.007429,0.002273,-0.000283,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,NoShift,22.24576534,15.17504252,40.65095757,8.980629865,21.98256608,-16.23240763,38.67616255,-9.02383591,70.3443151,-33.7943625,85.84926265,4.581463457,67.66349702,36.92869593,1745634420
51,2025/4/26,27:27.3,8,4,"Norihiro, Nozaki",1000126351,Left,HOS_HOS,"Taisei, Shibuya",1000126624,Right,WAS_EDA,Undefined,2,Top,1,2,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Single,0,1,,131.85162,-0.240679,2.677548,1521.315487,90.117897,9:00,1.46157,-0.495011,1.77882,-101.8806,3.0346,-36.6711,0.374507,-0.102641,122.25018,-7.594304,0.087983,0.462566,96.36664,48.026904,32.049931,4808.257502,26.047262,16.84864,21.110824,52.793935,52.728944,42.04311,3.80044,20.5865,2.5182,0.431136,15.24,1.44827,-1.531004,-36.298804,-0.554441,3.583195,6.319464,-9.36834,HOS_HOS,WAS_EDA,JinguStadium,NPM,NPBEastern,20250426-JinguStadium-1,ff617430-2245-11f0-86ea-81fc05af7883,131.13799,17.583772,,9.60144,,,,0.414597,0.314596,0.096467,dff9fd9f-6cf8-4e7c-8676-7f82ea422551,2025/4/26,27:27.4,2025-04-26T11:27:27.3593856+09:00,2025-04-26T02:27:27.3593856Z,Popup,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,e057f280-9f74-45fe-9bd9-b23810f0578c,16.661871,-36.545507,3.159732,1.462776,-0.188714,-4.68417,0.493635,-1.670887,1.791597,225.658612,0.412214,15.247882,-2.921441,1.61021,-1.320015,0.78324,-0.270986,0.048607,-0.003471,0.315005,19.891685,-6.395413,0.46541,-0.049359,0.001512,-0.00408,0.002043,-0.000255,0.099061,9.424296,0.631315,-1.118224,1.086391,-0.623264,0.200571,-0.033277,0.002204,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,NoShift,21.81439088,15.33873045,40.57251943,9.072836458,21.99725909,-16.36289968,38.83380621,-8.271554011,71.01140108,-34.60288121,85.43770368,4.965809973,67.20988008,36.63150521,1745634447
52,2025/4/26,28:25.1,9,1,"Norihiro, Nozaki",1000126351,Left,HOS_HOS,"Syuhei, Ozawa",1000422720,Left,WAS_EDA,Undefined,2,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,111.45603,3.097588,1.402356,2390.566226,309.633593,4:15,1.511709,-0.458441,1.746476,-179.1207,-26.7591,39.0949,0.600894,0.330655,100.79382,-9.834647,4.157026,0.557433,,,,,,,,,,,,-18.4782,-14.4426,0.419959,15.24,1.577557,-0.911278,-30.573177,1.021688,-2.20446,6.059729,-11.529662,HOS_HOS,WAS_EDA,JinguStadium,NPM,NPBEastern,20250426-JinguStadium-1,21d52fc0-2246-11f0-86ea-81fc05af7883,108.8203,,,10.66221,,,,,,,dff9fd9f-6cf8-4e7c-8676-7f82ea422551,2025/4/26,28:25.1,2025-04-26T11:28:25.0552320+09:00,2025-04-26T02:28:25.0552320Z,,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,b9f62f53-d19b-4d87-a4c8-3e61be6859b6,16.693615,-30.859944,3.029864,1.516297,1.567312,-5.764831,0.460615,-0.806955,-1.10223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,NoShift,21.26540348,16.02253417,40.66734677,9.128270742,23.10447482,-16.74622232,39.14356313,-8.561206308,71.35692403,-36.30770263,89.76519716,-5.180748719,65.1418857,35.04323551,1745634505
53,2025/4/26,28:46.7,9,2,"Norihiro, Nozaki",1000126351,Left,HOS_HOS,"Syuhei, Ozawa",1000422720,Left,WAS_EDA,Undefined,2,Top,1,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,141.77619,-1.108501,5.39126,1941.376659,127.825222,10:15,1.462448,-0.519807,1.780432,-50.7724,41.6949,-49.7145,0.639292,0.51472,128.89811,-4.888561,1.902807,0.434259,,,,,,,,,,,,29.1318,22.973,0.389106,15.24,1.431252,-3.409781,-38.83241,-0.938933,5.735042,8.116969,-5.284061,HOS_HOS,WAS_EDA,JinguStadium,NPM,NPBEastern,20250426-JinguStadium-1,2eab78d0-2246-11f0-86ea-81fc05af7883,139.68627,,,12.87808,,,,,,,dff9fd9f-6cf8-4e7c-8676-7f82ea422551,2025/4/26,28:46.7,2025-04-26T11:28:46.7425280+09:00,2025-04-26T02:28:46.7425280Z,,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,429c3744-242a-40a7-992e-4e7b71c52a37,16.659122,-39.127918,4.058485,1.461933,-0.74656,-2.642031,0.517044,-3.618573,2.867521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,NoShift,21.45637295,16.21299574,40.22958942,9.202707859,23.45406556,-16.93908619,39.55960842,-8.762461414,71.55066672,-36.58924077,92.22903012,-5.671903071,68.25950575,37.49593372,1745634527
54,2025/4/26,29:08.5,9,3,"Norihiro, Nozaki",1000126351,Left,HOS_HOS,"Syuhei, Ozawa",1000422720,Left,WAS_EDA,Undefined,2,Top,1,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,140.23655,-0.292204,5.494663,1908.6461,128.371223,10:15,1.44104,-0.496574,1.803534,-54.694,39.4127,-45.8802,0.811064,0.603631,127.62288,-4.354688,2.272605,0.438092,,,,,,,,,,,,27.2544,21.2799,0.365104,15.24,1.430137,-3.465028,-38.418328,-0.394719,5.25962,7.833773,-5.700008,HOS_HOS,WAS_EDA,JinguStadium,NPM,NPBEastern,20250426-JinguStadium-1,3badb3e0-2246-11f0-86ea-81fc05af7883,138.46418,,,12.61367,,,,,,,dff9fd9f-6cf8-4e7c-8676-7f82ea422551,2025/4/26,29:08.5,2025-04-26T11:29:08.5467136+09:00,2025-04-26T02:29:08.5467136Z,,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,160d1134-e2e4-45ce-8fea-eb97d7f0c0ff,16.635973,-38.70193,3.916886,1.440692,-0.188365,-2.850004,0.493994,-3.655439,2.62981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,NoShift,21.91317823,16.1297389,40.53231135,9.24702225,24.39094508,-17.72641935,40.04764061,-9.061847564,71.67678477,-36.73831482,92.24927957,-5.725391381,68.17987732,37.75697608,1745634549
55,2025/4/26,29:34.7,9,4,"Norihiro, Nozaki",1000126351,Left,HOS_HOS,"Syuhei, Ozawa",1000422720,Left,WAS_EDA,Undefined,2,Top,1,2,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,140.00594,-1.178108,4.292556,1899.780214,129.783317,10:15,1.431608,-0.550522,1.744068,-55.9406,39.116,-43.1609,0.536751,0.238804,127.40288,-5.31664,1.262886,0.440297,,,,,,,,,,,,24.9869,21.6743,0.444296,15.24,1.39744,-2.661136,-38.395017,-1.002734,4.804194,8.005743,-5.639361,HOS_HOS,WAS_EDA,JinguStadium,NPM,NPBEastern,20250426-JinguStadium-1,4b46c670-2246-11f0-86ea-81fc05af7883,137.77066,,,12.60305,,,,,,,dff9fd9f-6cf8-4e7c-8676-7f82ea422551,2025/4/26,29:34.7,2025-04-26T11:29:34.6980352+09:00,2025-04-26T02:29:34.6980352Z,,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,b8556f58-7932-427b-a047-9d8042fa561c,16.695365,-38.697285,4.002871,1.43128,-0.789811,-2.819681,0.548196,-2.842526,2.402097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,NoShift,21.52367011,15.95009375,40.48228799,9.308861819,24.30930986,-17.69602295,39.04685411,-8.728329888,71.463985,-37.03483102,93.06674855,-5.95802645,68.52839513,37.90264751,1745634575
56,2025/4/26,30:01.4,9,5,"Norihiro, Nozaki",1000126351,Left,HOS_HOS,"Syuhei, Ozawa",1000422720,Left,WAS_EDA,Undefined,2,Top,1,2,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,132.06433,1.091793,2.151665,1492.201298,89.927354,9:00,1.458766,-0.483895,1.797239,-101.3331,2.8449,-32.0398,0.754636,-0.195149,122.27429,-6.246017,-0.112434,0.460938,83.02249,-54.199746,44.325799,,,,,0.935998,0.627877,37.559589,0.040274,17.8276,1.6193,0.433368,15.24,1.478488,-1.220442,-36.368941,0.29598,3.119247,6.25339,-9.52333,HOS_HOS,WAS_EDA,JinguStadium,NPM,NPBEastern,20250426-JinguStadium-1,5b34afc0-2246-11f0-86ea-81fc05af7883,131.60119,0.758424,,9.79005,,,,0.350674,0.758424,0.188364,dff9fd9f-6cf8-4e7c-8676-7f82ea422551,2025/4/26,30:01.4,2025-04-26T11:30:01.3999616+09:00,2025-04-26T02:30:01.3999616Z,GroundBall,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,38aaeff4-e134-44db-96e1-d1816d991774,16.643322,-36.609438,3.126695,1.460062,0.662234,-4.761665,0.482611,-1.340404,1.559624,,0.350249,9.716255,,,,,,,,0.759248,-18.831709,,,,,,,,0.187948,9.490241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,NoShift,22.43868828,14.72767828,40.36395164,9.604931071,24.66258438,-17.97893851,39.42707879,-8.767874023,71.83837485,-37.21900834,92.58573915,-6.023557994,68.68067673,37.84269475,1745634601
57,2025/4/26,30:43.5,10,1,"Norihiro, Nozaki",1000126351,Left,HOS_HOS,"Kensei, Terao",1000242786,Right,WAS_EDA,Undefined,2,Top,2,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,142.34308,-1.719426,5.056405,1998.000273,138.432689,10:30,1.462938,-0.492905,1.783141,-43.3941,48.1698,-40.0282,0.539977,0.5426,129.64285,-4.974183,2.245979,0.432133,,,,,,,,,,,,23.9774,26.7055,0.370153,15.24,1.417139,-3.246254,-38.99946,-1.323876,4.766538,8.099668,-4.497777,HOS_HOS,WAS_EDA,JinguStadium,NPM,NPBEastern,20250426-JinguStadium-1,7432b260-2246-11f0-86ea-81fc05af7883,140.3736,,,12.70023,,,,,,,dff9fd9f-6cf8-4e7c-8676-7f82ea422551,2025/4/26,30:43.5,2025-04-26T11:30:43.5161600+09:00,2025-04-26T02:30:43.5161600Z,,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,39c3851f-947e-4b6d-92b4-edcd73bb29f1,16.656348,-39.292516,4.049834,1.462094,-1.161142,-2.248888,0.490726,-3.418713,2.383269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,NoShift,29.36045069,22.91687746,43.87959426,8.579057546,27.03786398,-21.88484938,40.45017644,-11.29343754,77.24714628,-38.56176645,93.93335792,-5.562065573,74.64701977,37.4967394,1745634644
58,2025/4/26,31:09.6,10,2,"Norihiro, Nozaki",1000126351,Left,HOS_HOS,"Kensei, Terao",1000242786,Right,WAS_EDA,Undefined,2,Top,2,1,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,2,,130.60828,0.992692,3.540977,1472.27732,80.425357,8:45,1.452657,-0.512061,1.82884,-110.8267,-3.7243,-41.295,0.62531,0.076303,120.10171,-7.044239,0.620809,0.467363,176.51571,6.404754,-27.889724,1807.592897,,,,39.8863,38.273523,-30.949358,0.923816,23.7584,-1.7082,0.429859,15.24,1.46912,-2.037871,-35.912309,0.197518,4.020226,6.623615,-10.095706,HOS_HOS,WAS_EDA,JinguStadium,NPM,NPBEastern,20250426-JinguStadium-1,83d784c0-2246-11f0-86ea-81fc05af7883,129.79211,1.599443,,10.50657,,,,0.492416,0.53594,0.020478,dff9fd9f-6cf8-4e7c-8676-7f82ea422551,2025/4/26,31:09.6,2025-04-26T11:31:09.6278016+09:00,2025-04-26T02:31:09.6278016Z,LineDrive,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,e5ef7fbd-cd6d-4881-a38f-0792f9553df1,16.61179,-36.164435,3.311807,1.454288,0.581808,-5.047853,0.510343,-2.190899,2.010113,70.12573,0.534989,42.434221,-6.523407,,,,,,,0.565728,5.026283,-6.134992,,,,,,,0.029434,-22.930169,0.742446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,,NoShift,28.59165704,21.71673997,43.25427273,8.991255924,27.02676427,-22.34926348,40.54981456,-11.12866963,77.51710913,-38.19149046,95.31821091,-5.704987787,74.64317332,37.4458192,1745634670
59,2025/4/26,31:57.9,11,1,"Norihiro, Nozaki",1000126351,Left,HOS_HOS,"Kenshin, Maeda",1000126619,Left,WAS_EDA,Undefined,2,Top,2,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,131.80743,1.421835,2.509096,2179.466062,216.134402,1:15,1.471977,-0.555712,1.75257,-89.667,15.9831,9.4745,0.979223,0.251445,121.53328,-5.086186,3.175414,0.464183,,,,,,,,,,,,-3.1945,8.2009,0.491504,15.24,1.501424,-1.633297,-36.247569,0.548303,-0.553668,6.395123,-8.385282,HOS_HOS,WAS_EDA,JinguStadium,NPM,NPBEastern,20250426-JinguStadium-1,a08744c0-2246-11f0-86ea-81fc05af7883,130.68113,,,10.27415,,,,,,,dff9fd9f-6cf8-4e7c-8676-7f82ea422551,2025/4/26,31:57.9,2025-04-26T11:31:57.9002368+09:00,2025-04-26T02:31:57.9002368Z,,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,4c8fe942-5e23-45e6-b24f-157c9887ec4b,16.687072,-36.501982,3.197561,1.472976,0.881889,-4.192641,0.556042,-1.611271,-0.276834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,NoShift,28.84228503,24.55396276,44.20601153,9.593910278,27.30927197,-19.45566793,40.16042507,-9.791767152,70.90924596,-36.75985343,95.79837121,-5.970250327,72.7255853,39.76264445,1745634718
60,2025/4/26,32:15.5,11,2,"Norihiro, Nozaki",1000126351,Left,HOS_HOS,"Kenshin, Maeda",1000126619,Left,WAS_EDA,Undefined,2,Top,2,0,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,141.28879,-0.705631,3.918174,1953.091261,130.711443,10:15,1.448224,-0.501363,1.784951,-54.1727,38.3558,-41.0927,0.706195,0.199011,128.8365,-4.722836,1.024754,0.434403,,,,,,,,,,,,23.6682,20.9823,0.407134,15.24,1.426942,-2.447376,-38.786547,-0.679939,4.655641,7.982782,-5.679341,HOS_HOS,WAS_EDA,JinguStadium,NPM,NPBEastern,20250426-JinguStadium-1,ab176e60-2246-11f0-86ea-81fc05af7883,139.64005,,,12.45229,,,,,,,dff9fd9f-6cf8-4e7c-8676-7f82ea422551,2025/4/26,32:15.5,2025-04-26T11:32:15.4733056+09:00,2025-04-26T02:32:15.4733056Z,,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,490899cd-5d08-47d7-8690-0a161d4b4005,16.654492,-39.076583,3.991391,1.447897,-0.473593,-2.839671,0.499127,-2.616528,2.32782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,NoShift,28.84145902,24.29222555,43.98039017,9.497069586,27.55311719,-19.62860112,40.51492991,-10.12373269,71.75917591,-36.89013153,95.50212527,-6.159327365,72.51459681,39.70079162,1745634735
61,2025/4/26,32:37.2,11,3,"Norihiro, Nozaki",1000126351,Left,HOS_HOS,"Kenshin, Maeda",1000126619,Left,WAS_EDA,Undefined,2,Top,2,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,140.78794,-1.231416,4.819932,2025.636055,126.063204,10:15,1.447095,-0.530067,1.725969,-59.1347,34.8116,-43.6503,0.504465,0.406565,128.64536,-5.575447,1.762541,0.437718,,,,,,,,,,,,25.3805,19.4187,0.408921,15.24,1.410797,-3.028383,-38.595027,-1.065246,4.954163,7.741939,-6.016204,HOS_HOS,WAS_EDA,JinguStadium,NPM,NPBEastern,20250426-JinguStadium-1,b80a8e40-2246-11f0-86ea-81fc05af7883,138.58233,,,12.14258,,,,,,,dff9fd9f-6cf8-4e7c-8676-7f82ea422551,2025/4/26,32:37.2,2025-04-26T11:32:37.1852288+09:00,2025-04-26T02:32:37.1852288Z,,v3,,,,"Tadaishi, Kanta",1000424355,Right,HOS_HOS,5c6b0644-c8bb-45e9-b386-0fd52226889d,16.713611,-38.889501,3.87097,1.446963,-0.836413,-3.008102,0.527693,-3.216821,2.477081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,NoShift,28.63735333,24.56764374,43.5523569,9.404837971,27.39373136,-19.68185339,41.08040291,-10.77488126,72.11003952,-37.34152823,97.24295995,-6.246210568,72.37282928,39.37613135,1745634757
