PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,URL,umpire,season
158,2022/10/16,56:40.7,2022/10/16,56:40.7,5,2,"Junichi, Watanabe",1000073345,Left,KEI_KEI,"Rui, Muneyama",1000101247,Left,MEI_MEI,Undefined,5,Bottom,2,0,1,Slider,Curveball,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,"1,3",,,115.24177,1.891305,3.2657,2545.644112,333.850912,5:15,1.478226,-0.905921,1.376512,-156.8966,-10.4463,7.3977,0.459426,0.117163,105.97738,-9.147403,3.774303,0.546512,104.25033,-21.904856,40.987525,,,,,1.885613,0.952576,22.530617,0.046721,-1.2753,-5.3591,0.800844,15.24,1.52052,-1.836999,-31.591279,0.392344,-0.166119,5.384396,-10.504717,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20221016-JinguStadium-2,b03212f0-4d1f-11ed-90cb-dd2103856718,347c9791-144c-42e7-8800-d201b6984c50,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,110.9948,0.506146,,9.26439,,,,17.063959,-31.900639,2.692198,1.48064,0.995891,-5.252359,0.906114,-1.827454,-0.08306,0.791509,0.506146,-0.103096,,0.791084,20.337629,,,,,,,,0.506372,-10.833478,,,,,,,,-0.103465,17.671458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/zBhc_6ZGl6U/&t=5185,青木 秀憲,22A
159,2022/10/16,00:46.8,2022/10/16,00:46.8,1,1,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,Undefined,6,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,128.36605,-0.515287,0.761117,1111.443371,260.731279,2:45,1.734648,-0.750738,1.804208,-100.9499,11.8824,48.6957,0.579384,-0.048486,116.69755,-7.86996,4.206752,0.479702,,,,,,,,,,,,-24.2511,7.7317,0.728922,15.24,1.715306,-0.692172,-35.284205,-0.695364,-3.888492,7.527784,-8.566928,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20221016-JinguStadium-2,42dc00c0-4d20-11ed-90cb-dd2103856718,347c9791-144c-42e7-8800-d201b6984c50,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,126.45354,,,11.6685,,,,16.635224,-35.580626,3.763892,1.736046,-0.358024,-4.283464,0.753163,-0.539055,-1.944246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/zBhc_6ZGl6U/&t=5372,青木 秀憲,22A
160,2022/10/16,00:57.6,2022/10/16,00:57.6,1,2,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,Undefined,6,Top,0,0,1,Curveball,Curveball,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,111.92776,2.2984,-0.03447,2123.764703,296.549349,4:00,1.753129,-0.65236,1.779535,-168.8239,-19.9833,50.1904,0.716331,-0.160221,102.17117,-9.897508,3.514361,0.550954,90.97215,48.475567,112.068775,6116.380912,,,,,14.981699,,,-25.688,-10.6331,0.649632,15.24,1.798359,-0.182569,-30.769084,0.654498,-3.131985,5.727695,-11.10308,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20221016-JinguStadium-2,49519910-4d20-11ed-90cb-dd2103856718,347c9791-144c-42e7-8800-d201b6984c50,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,110.09992,12.618047,,9.75659,,,,16.661199,-31.032514,2.863847,1.756514,1.165154,-5.55154,0.654716,-0.038521,-1.565993,0.436089,0.692238,0.154286,320.095834,0.436089,-6.294438,-1.14663,0.332673,0.190845,-0.714233,0.983628,-0.652967,0.169488,0.692238,18.918932,-7.518726,0.777223,-0.075425,-0.202205,0.30243,-0.199892,0.051348,0.154286,15.525082,-2.241718,0.359272,-0.032329,-0.071539,0.102333,-0.065942,0.016526,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/zBhc_6ZGl6U/&t=5383,青木 秀憲,22A
161,2022/10/16,01:16.7,2022/10/16,01:16.7,1,3,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,Undefined,6,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,139.96427,-2.015459,1.158189,2257.307649,163.088121,11:30,1.729943,-0.709815,1.92445,-57.4488,35.234,-9.7856,0.589263,-0.482464,127.78143,-6.289511,0.460843,0.434765,,,,,,,,,,,,5.9493,20.7491,0.684519,15.24,1.681662,-0.732617,-38.495317,-1.552945,1.147853,8.174136,-5.803329,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20221016-JinguStadium-2,54a89520-4d20-11ed-90cb-dd2103856718,347c9791-144c-42e7-8800-d201b6984c50,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,139.52373,,,12.18284,,,,16.514944,-38.765094,4.087068,1.729754,-1.361413,-2.901664,0.709323,-0.770501,0.573927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/zBhc_6ZGl6U/&t=5402,青木 秀憲,22A
162,2022/10/16,01:29.7,2022/10/16,01:29.7,1,4,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,Undefined,6,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,128.18528,-2.079717,0.482659,2174.943354,280.613136,3:15,1.70579,-0.73763,1.77084,-118.7725,-3.4239,42.3049,-0.071674,-0.177776,115.64206,-10.656352,3.478352,0.485021,,,,,,,,,,,,-21.4226,1.2189,0.722417,15.24,1.645341,-0.486298,-35.171768,-1.732777,-3.358657,8.435335,-9.615552,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20221016-JinguStadium-2,5c69c040-4d20-11ed-90cb-dd2103856718,347c9791-144c-42e7-8800-d201b6984c50,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,125.06668,,,12.54322,,,,16.668933,-35.51282,4.217667,1.70754,-1.344008,-4.807776,0.739333,-0.350504,-1.679328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/zBhc_6ZGl6U/&t=5415,青木 秀憲,22A
163,2022/10/16,01:53.0,2022/10/16,01:53.0,1,5,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,Undefined,6,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,GroundBall,Single,0,0,,,,140.94464,-2.638282,2.131465,2249.317007,178.093936,12:00,1.712016,-0.675558,1.902246,-52.9258,38.3391,-1.1812,0.439996,-0.087856,129.48013,-6.562528,2.047492,0.431426,157.07078,2.430984,20.411806,2045.240957,,,,22.108772,21.58689,23.761818,0.530689,2.0944,22.6306,0.627248,15.24,1.648911,-1.436755,-38.750856,-1.9707,0.412073,7.813831,-5.354064,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20221016-JinguStadium-2,6a395d70-4d20-11ed-90cb-dd2103856718,347c9791-144c-42e7-8800-d201b6984c50,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,140.60339,0.665425,,11.46451,,,,16.537575,-39.011626,3.906915,1.711697,-1.79202,-2.677032,0.675426,-1.450507,0.206037,0.584025,0.509669,0.134794,273.243894,0.591015,40.67817,-6.926002,,,,,,,0.513127,1.763159,-5.156009,,,,,,,0.128016,15.376086,2.225454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/zBhc_6ZGl6U/&t=5438,青木 秀憲,22A
164,2022/10/16,02:50.2,2022/10/16,02:50.2,2,1,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Junichi, Watanabe",1000073345,Left,KEI_KEI,Undefined,6,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,Bunt,,Sacrifice,1,0,1,,,138.13527,-2.479118,3.457397,2148.072318,182.387966,12:00,1.751692,-0.695894,1.958997,-45.7798,49.172,1.9212,0.597672,0.293079,126.25045,-5.926833,3.594075,0.440054,,,,,,,,,,,,1.5181,28.51,0.620688,15.24,1.695238,-2.300404,-37.934967,-1.78331,0.284787,7.851349,-4.458388,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20221016-JinguStadium-2,8c605890-4d20-11ed-90cb-dd2103856718,347c9791-144c-42e7-8800-d201b6984c50,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,137.8466,,,11.88482,,,,16.480718,-38.190893,3.925674,1.750999,-1.637982,-2.229194,0.695824,-2.309688,0.142394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/zBhc_6ZGl6U/&t=5495,青木 秀憲,22A
165,2022/10/16,04:16.1,2022/10/16,04:16.1,3,1,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Tomoya, Furukawa",1000073414,Right,KEI_KEI,Undefined,6,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,2,,,138.61519,-0.142506,2.971851,2118.659895,151.712189,11:00,1.776221,-0.68245,1.967065,-55.8742,37.6069,-18.6932,1.177523,-0.036495,126.94501,-4.320571,1.639516,0.436633,,,,,,,,,,,,11.814,20.6465,0.619259,15.24,1.770086,-1.895117,-38.135281,-0.277903,2.252335,7.529317,-5.870382,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20221016-JinguStadium-2,bf8637d0-4d20-11ed-90cb-dd2103856718,347c9791-144c-42e7-8800-d201b6984c50,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,138.92677,,,11.67018,,,,16.472521,-38.377855,3.764658,1.775992,-0.088775,-2.935191,0.681484,-1.967681,1.126168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/zBhc_6ZGl6U/&t=5581,青木 秀憲,22A
166,2022/10/16,04:35.7,2022/10/16,04:35.7,3,2,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Tomoya, Furukawa",1000073414,Right,KEI_KEI,Undefined,6,Top,1,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,GroundBall,Undefined,0,0,2,,,138.4469,-1.580255,3.037317,2211.801731,183.629088,12:00,1.755382,-0.707996,1.952139,-51.3608,43.1336,2.5408,0.798143,0.169473,126.4027,-5.431435,3.218144,0.438993,116.60916,-23.331845,-76.842532,,,,,2.583677,1.471074,-48.235356,0.062115,0.9049,24.6795,0.641532,15.24,1.718005,-2.030536,-38.056596,-1.215517,0.17066,7.979942,-5.152335,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20221016-JinguStadium-2,cb37aff0-4d20-11ed-90cb-dd2103856718,347c9791-144c-42e7-8800-d201b6984c50,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,138.17978,0.79965,,12.04419,,,,16.487735,-38.317336,3.989971,1.754971,-1.047168,-2.576167,0.70797,-2.036113,0.08533,1.298909,0.79965,-0.121871,,1.298673,6.793961,,,,,,,,0.800099,-12.873715,,,,,,,,-0.120857,-29.063224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/zBhc_6ZGl6U/&t=5601,青木 秀憲,22A
167,2022/10/16,05:29.2,2022/10/16,05:29.2,3,3,"Yuto, Hisano",1000126496,Left,MEI_MEI,"Tomoya, Furukawa",1000073414,Right,KEI_KEI,Undefined,6,Top,1,1,1,Slider,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,2,,,125.42997,0.633765,0.550007,2336.955991,287.705935,3:30,1.733682,-0.775059,1.72579,-128.5685,-8.7527,40.9301,0.628141,-0.209431,113.63392,-8.6559,3.434315,0.494324,,,,,,,,,,,,-20.2482,-3.6605,0.757757,15.24,1.740374,-0.520656,-34.455847,-0.125073,-3.08218,7.435468,-10.363848,MEI_MEI,KEI_KEI,JinguStadium,Undefined,Team,20221016-JinguStadium-2,eb2d9a40-4d20-11ed-90cb-dd2103856718,347c9791-144c-42e7-8800-d201b6984c50,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,122.71305,,,11.79606,,,,16.713848,-34.772444,3.717734,1.736305,0.316213,-5.181924,0.777132,-0.389418,-1.54109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://youtu.be/zBhc_6ZGl6U/&t=5654,青木 秀憲,22A
