PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,URL,season
143,2022/10/8,07:52.2,2022/10/8,07:52.2,1,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Yuta, Kaizaki",1000073730,Left,HOS_HOS,Undefined,6,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,142.69024,-2.584467,4.905251,2338.527006,149.652182,11:00,1.592131,-0.717355,1.736681,-33.8306,58.1948,-32.2169,0.516564,0.357121,129.56109,-5.165103,2.65012,0.43322,,,,,,,,,,,,19.9126,32.3422,0.594014,15.24,1.523271,-3.183284,-39.055218,-1.871864,3.956835,8.36946,-3.379938,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-1,66072590-46b6-11ed-b08e-c153e9bfc6e0,252c769b-b650-4296-91ad-330c6c2e249a,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,140.0212,,,13.12915,,,,16.702603,-39.367403,4.18473,1.590741,-1.74579,-1.689969,0.715505,-3.330876,1.978418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/YqomrZMm068/&t=4056,22A
144,2022/10/8,08:01.0,2022/10/8,08:01.0,1,2,"Shota, Masui",1000073328,Left,KEI_KEI,"Yuta, Kaizaki",1000073730,Left,HOS_HOS,Undefined,6,Top,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,116.91876,0.527871,2.663937,2092.108482,340.758442,5:15,1.584048,-0.722612,1.610981,-159.4261,-22.1648,9.1516,0.141043,0.131932,108.63442,-10.775834,3.304279,0.529089,,,,,,,,,,,,-2.7759,-10.4813,0.647733,15.24,1.584504,-1.53532,-32.148522,-0.320853,-0.375919,5.37538,-11.226082,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-1,6b586220-46b6-11ed-b08e-c153e9bfc6e0,252c769b-b650-4296-91ad-330c6c2e249a,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,114.64994,,,8.28435,,,,16.830055,-32.413296,2.68769,1.586689,0.232108,-5.613041,0.722902,-1.516803,-0.187959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/YqomrZMm068/&t=4065,22A
145,2022/10/8,08:10.6,2022/10/8,08:10.6,1,3,"Shota, Masui",1000073328,Left,KEI_KEI,"Yuta, Kaizaki",1000073730,Left,HOS_HOS,Undefined,6,Top,0,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,119.32615,-0.420449,2.809603,2063.887263,298.273751,4:00,1.571906,-0.714261,1.666771,-143.9786,-13.7012,32.1337,0.012041,0.409155,111.60795,-10.631952,5.063302,0.515453,,,,,,,,,,,,-14.5093,-5.7061,0.636166,15.24,1.548658,-1.748558,-32.830416,-0.792199,-2.059457,5.337263,-10.61657,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-1,7106b2d0-46b6-11ed-b08e-c153e9bfc6e0,252c769b-b650-4296-91ad-330c6c2e249a,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,117.68282,,,7.7182,,,,16.77432,-33.078911,2.668632,1.574035,-0.297907,-5.308285,0.715344,-1.652673,-1.029729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/YqomrZMm068/&t=4075,22A
146,2022/10/8,08:25.5,2022/10/8,08:25.5,1,4,"Shota, Masui",1000073328,Left,KEI_KEI,"Yuta, Kaizaki",1000073730,Left,HOS_HOS,Undefined,6,Top,0,2,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,130.12487,-1.426762,3.55745,1472.859477,131.349541,10:30,1.57739,-0.724705,1.764186,-79.9934,28.1257,-28.4293,0.372036,0.001009,120.58228,-7.233282,1.555736,0.469576,,,,,,,,,,,,16.8296,16.2007,0.637433,15.24,1.535686,-2.095404,-35.76979,-1.192265,2.847975,6.058701,-7.065101,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-1,79e004b0-46b6-11ed-b08e-c153e9bfc6e0,252c769b-b650-4296-91ad-330c6c2e249a,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,129.18039,,,9.54258,,,,16.676068,-36.012211,3.02935,1.577735,-0.909577,-3.53255,0.723554,-2.209357,1.423988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/YqomrZMm068/&t=4089,22A
147,2022/10/8,08:36.8,2022/10/8,08:36.8,1,5,"Shota, Masui",1000073328,Left,KEI_KEI,"Yuta, Kaizaki",1000073730,Left,HOS_HOS,Undefined,6,Top,0,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,142.218,-1.4531,4.377254,2187.166461,155.062446,11:15,1.59643,-0.760691,1.801101,-38.8936,52.0818,-22.8899,0.795116,0.251168,130.13115,-4.382954,2.767018,0.430741,,,,,,,,,,,,14.7118,28.5365,0.655019,15.24,1.558119,-2.872839,-39.024166,-1.119529,2.940127,7.806096,-4.103683,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-1,809b5890-46b6-11ed-b08e-c153e9bfc6e0,252c769b-b650-4296-91ad-330c6c2e249a,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,140.827,,,12.08685,,,,16.638536,-39.302923,3.903048,1.595481,-0.972986,-2.051842,0.759483,-2.977831,1.470064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/YqomrZMm068/&t=4101,22A
148,2022/10/8,08:50.6,2022/10/8,08:50.6,1,6,"Shota, Masui",1000073328,Left,KEI_KEI,"Yuta, Kaizaki",1000073730,Left,HOS_HOS,Undefined,6,Top,0,3,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,,,138.78305,-1.224101,4.584749,2121.607871,150.342513,11:00,1.565947,-0.729699,1.854187,-50.2563,44.409,-23.6487,0.717054,0.329376,127.45959,-4.964006,2.916115,0.43939,141.56418,37.156406,-29.360799,4444.986643,27.612268,21.884426,-19.017956,88.795572,86.718027,-42.693835,5.16692,15.3433,24.6524,0.623147,15.24,1.53384,-2.94554,-38.100459,-0.988971,2.929776,7.27082,-5.099305,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-1,88d31340-46b6-11ed-b08e-c153e9bfc6e0,252c769b-b650-4296-91ad-330c6c2e249a,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,138.05508,27.358701,,11.32345,,,,16.585916,-38.356444,3.63541,1.565499,-0.809439,-2.549653,0.728667,-3.048689,1.464888,0.572229,0.743532,-0.329098,142.045135,0.551672,27.73274,-8.153966,4.481809,-2.750276,1.141119,-0.277637,0.035489,-0.001826,0.737755,23.857599,-6.635658,1.117262,-0.498458,0.170373,-0.031918,0.002831,-8.7e-05,-0.3274,-15.378702,0.265672,0.595116,-0.437014,0.212564,-0.061227,0.009095,-0.000532,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/YqomrZMm068/&t=4115,22A
149,2022/10/8,09:38.1,2022/10/8,09:38.1,1,7,"Shota, Masui",1000073328,Left,KEI_KEI,"Yuta, Kaizaki",1000073730,Left,HOS_HOS,Undefined,6,Top,0,3,2,ChangeUp,Changeup,BallCalled,Walk,Undefined,,Undefined,0,0,,,,131.39053,-2.229693,4.489066,1490.319925,131.815404,10:30,1.617582,-0.727923,1.782874,-72.7026,34.3032,-34.5349,0.256794,0.20074,120.70581,-7.542453,2.058917,0.467152,,,,,,,,,,,,20.7573,20.1127,0.61895,15.24,1.557046,-2.668936,-36.03018,-1.672629,3.533939,6.695533,-6.382459,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-1,a5337ac0-46b6-11ed-b08e-c153e9bfc6e0,252c769b-b650-4296-91ad-330c6c2e249a,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,129.85064,,,10.68471,,,,16.656891,-36.292527,3.347766,1.617685,-1.422548,-3.19123,0.726238,-2.807404,1.76697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/YqomrZMm068/&t=4162,22A
150,2022/10/8,10:26.5,2022/10/8,10:26.5,2,1,"Shota, Masui",1000073328,Left,KEI_KEI,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,6,Top,0,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,1,,,124.29101,3.328356,1.657741,2164.128375,281.309205,3:30,1.607897,-0.773785,1.721219,-116.5556,2.4038,4.144,1.39005,-0.26092,114.85219,-5.077019,1.94871,0.492554,,,,,,,,,,,,-1.0861,0.1593,0.730601,15.24,1.685063,-1.007487,-34.170851,1.53967,-0.167975,5.443465,-9.782015,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-1,c202d0b0-46b6-11ed-b08e-c153e9bfc6e0,252c769b-b650-4296-91ad-330c6c2e249a,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,123.15397,,,9.43882,,,,16.7191,-34.405667,2.721733,1.609545,1.961638,-4.891008,0.773905,-1.000241,-0.083987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/YqomrZMm068/&t=4210,22A
151,2022/10/8,10:45.5,2022/10/8,10:45.5,2,2,"Shota, Masui",1000073328,Left,KEI_KEI,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,6,Top,0,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,GroundBall,Undefined,0,0,1,,,142.30543,-1.256379,3.9468,2276.961086,144.036069,10:45,1.571427,-0.766005,1.73247,-43.7625,47.8035,-32.5891,0.775957,0.031174,130.13874,-4.520433,1.660728,0.432137,42.23386,7.944717,-43.332666,1417.304977,,,,7.225744,7.225744,-41.504205,0.602633,19.3517,26.0582,0.667159,15.24,1.535893,-2.529685,-39.064401,-1.017353,3.87279,7.872875,-4.591698,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-1,cd44be20-46b6-11ed-b08e-c153e9bfc6e0,252c769b-b650-4296-91ad-330c6c2e249a,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,140.37209,0.888815,,12.1667,,,,16.707481,-39.35904,3.936438,1.570752,-0.845511,-2.295849,0.764544,-2.674623,1.936395,0.508175,0.753119,-0.018194,107.940324,0.508175,8.451416,-0.584496,0.104748,0.161758,-0.821655,1.60044,-1.466825,0.53103,0.753119,1.621537,-4.874538,0.191477,-0.082807,0.276939,-0.429003,0.313626,-0.091679,-0.018194,-7.973353,0.112272,-0.011838,-0.053404,0.147891,-0.303143,0.288463,-0.105403,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/YqomrZMm068/&t=4229,22A
152,2022/10/8,11:32.0,2022/10/8,11:32.0,2,3,"Shota, Masui",1000073328,Left,KEI_KEI,"Yamato, Nakatsu",1000101189,Left,HOS_HOS,Undefined,6,Top,0,1,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,1,,,140.33753,-1.553553,3.374182,2194.594919,153.654748,11:00,1.603541,-0.788713,1.729113,-40.9272,52.9673,-24.7983,0.751936,-0.076777,128.7057,-4.615706,1.633563,0.437597,,,,,,,,,,,,14.9446,28.8971,0.703827,15.24,1.56051,-2.149438,-38.550799,-1.189786,2.919397,7.497021,-4.161652,KEI_KEI,HOS_HOS,JinguStadium,TeamExclusive,Team,20221008-JinguStadium-1,e90451c0-46b6-11ed-b08e-c153e9bfc6e0,252c769b-b650-4296-91ad-330c6c2e249a,v3,,,,"Kyosuke, Miyazaki",1000089832,Right,KEI_KEI,138.6206,,,11.63183,,,,16.710895,-38.835793,3.74851,1.602732,-1.031584,-2.080826,0.787645,-2.260417,1.459698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐伯 謙司郎,https://youtu.be/YqomrZMm068/&t=4276,22A
