PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Unnamed: 156,Unnamed: 157,umpire,URL,season
56,2022/9/25,11:21.1,2022/9/25,11:21.1,3,1,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Kaito, Muramatsu",1000073668,Left,MEI_MEI,Undefined,3,Top,2,0,0,ChangeUp,Changeup,InPlay,Undefined,LineDrive,LineDrive,Double,0,0,,121.01126,0.35547,-1.80187,1533.29391,225.490778,1:30,1.519713,0.254368,2.053219,-90.5259,29.979,26.9452,0.713504,0.021826,111.81591,-6.358022,0.132616,0.495743,160.69815,16.087525,32.166975,2112.02775,27.458652,7.379911,19.239167,80.482871,80.389621,40.054629,2.504678,-15.5289,16.6878,-0.219403,15.24,1.522574,0.950587,-33.35511,-0.056033,-2.275433,5.503117,-7.361408,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20220925-JinguStadium-2,1cf65d40-3c88-11ed-937c-6d35909a3bf4,29dbd46f-7daa-4e8a-9b28-cd2c1d82b591,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,122.36169,7.850931,,9.19534,,,,16.38695,-33.543807,2.751559,1.520167,0.196383,-3.680704,-0.253335,1.028609,-1.137717,0.754003,0.769172,-0.019921,246.834927,0.753975,36.309131,-7.926258,2.073057,-0.611791,0.231447,-0.079745,0.016652,-0.001477,0.769188,12.368044,-5.746711,0.280427,0.076497,-0.088815,0.04065,-0.009259,0.00086,-0.019904,22.832689,-0.673056,-0.290651,0.228212,-0.129788,0.050641,-0.011067,0.001011,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/AcZDaRTVJwE/&t=1693,22A
57,2022/9/25,12:10.4,2022/9/25,12:10.4,4,1,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Taiji, Iimori",1000126480,Left,MEI_MEI,Undefined,3,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,2,139.70993,0.327374,-1.654197,2084.267238,215.514865,1:15,1.511037,0.240877,1.876447,-47.493,46.6821,30.9814,1.128332,0.084757,126.13694,-3.271197,0.5448,0.438251,,,,,,,,,,,,-17.1677,24.7516,-0.204349,15.24,1.51565,0.955793,-38.397672,0.069257,-3.273257,8.622699,-5.08741,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20220925-JinguStadium-2,3a478d60-3c88-11ed-937c-6d35909a3bf4,29dbd46f-7daa-4e8a-9b28-cd2c1d82b591,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,138.41393,,,13.57298,,,,16.562237,-38.693458,4.311349,1.510281,0.243772,-2.543705,-0.239061,1.068077,-1.636629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/AcZDaRTVJwE/&t=1743,22A
58,2022/9/25,12:26.6,2022/9/25,12:26.6,4,2,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Taiji, Iimori",1000126480,Left,MEI_MEI,Undefined,3,Top,2,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,,Undefined,0,0,2,137.22908,-0.891914,-2.974149,2033.775668,227.976635,1:30,1.4564,0.229231,1.90967,-61.6251,35.07,35.3689,0.589155,-0.253594,125.01951,-5.479237,-0.460282,0.444076,,,,,,,,,,,,-20.4617,19.8179,-0.16401,15.24,1.432628,1.793821,-37.717603,-0.799572,-3.791409,7.820374,-6.134532,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20220925-JinguStadium-2,43f6f3f0-3c88-11ed-937c-6d35909a3bf4,29dbd46f-7daa-4e8a-9b28-cd2c1d82b591,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,136.59838,,,12.20957,,,,16.529674,-37.984063,3.910187,1.456311,-0.590553,-3.067266,-0.227331,1.923004,-1.895704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/AcZDaRTVJwE/&t=1759,22A
59,2022/9/25,12:44.4,2022/9/25,12:44.4,4,3,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Taiji, Iimori",1000126480,Left,MEI_MEI,Undefined,3,Top,2,1,1,Fastball,Changeup,FoulBall,Undefined,Undefined,LineDrive,Undefined,0,0,2,138.10797,-0.306332,-2.236097,2088.352987,225.731274,1:30,1.417659,0.231141,1.807662,-57.0952,40.0832,37.6489,0.760013,-0.025036,124.92756,-4.567403,0.424517,0.445184,130.37792,26.541826,-53.361898,3597.736422,17.409566,13.135208,-28.653591,78.133733,61.042131,-65.887322,3.627165,-21.0463,21.7685,-0.179248,15.24,1.406366,1.297151,-37.943659,-0.405869,-3.920491,8.38444,-5.75163,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20220925-JinguStadium-2,4e8289b0-3c88-11ed-937c-6d35909a3bf4,29dbd46f-7daa-4e8a-9b28-cd2c1d82b591,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,136.25833,14.097218,,13.1804,,,,16.63163,-38.249932,4.19222,1.417354,-0.195769,-2.875815,-0.229247,1.440361,-1.960246,0.167259,0.747647,0.010284,131.583544,0.167097,19.340318,-5.904815,1.64237,-0.448558,0.122963,-0.029382,0.00446,-0.000286,0.747824,16.177259,-5.214972,0.124848,0.095516,-0.057747,0.017486,-0.00253,0.000134,0.010403,-26.001369,2.767695,-0.436036,0.091689,-0.036331,0.01263,-0.002375,0.000173,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/AcZDaRTVJwE/&t=1777,22A
60,2022/9/25,13:12.0,2022/9/25,13:12.0,4,4,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Taiji, Iimori",1000126480,Left,MEI_MEI,Undefined,3,Top,2,1,2,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,2,140.07218,-0.264166,-1.050021,2087.111173,201.613377,12:45,1.507984,0.170827,1.861759,-38.4083,55.4876,20.6787,1.049434,0.081638,126.39048,-3.21538,0.416712,0.437601,112.20885,39.422968,-152.855127,3008.868095,,,,,22.616108,,,-11.4729,29.7601,-0.147514,15.24,1.499368,0.604361,-38.503367,-0.286792,-2.19689,8.757123,-4.108057,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20220925-JinguStadium-2,5efe3410-3c88-11ed-937c-6d35909a3bf4,29dbd46f-7daa-4e8a-9b28-cd2c1d82b591,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,138.61952,13.504669,,13.6817,,,,16.577133,-38.80629,4.378562,1.506831,-0.144688,-2.054029,-0.169734,0.680355,-1.098445,0.049305,0.993182,-0.072901,33.209197,0.049304,-21.425463,0.642238,0.165485,-0.112901,0.147656,-0.18359,0.128947,-0.035954,0.993182,19.793702,-8.001203,0.915574,-0.254618,0.201281,-0.237749,0.163244,-0.044631,-0.072901,-10.985222,1.968949,-0.508733,0.184212,-0.209809,0.265566,-0.184794,0.050953,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/AcZDaRTVJwE/&t=1804,22A
61,2022/9/25,13:38.1,2022/9/25,13:38.1,4,5,"Kotaro, Kato",1000089849,Right,WAS_EDA,"Taiji, Iimori",1000126480,Left,MEI_MEI,Undefined,3,Top,2,1,2,Cutter,Slider,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,2,124.41907,1.364999,0.061681,2107.984393,86.363233,9:00,1.463261,0.2623,1.680666,-117.6473,3.6024,-7.1064,0.675895,0.208816,113.31915,-7.139646,-0.437345,0.497273,114.60735,-43.086966,8.409351,,,,,0.720388,0.720388,-15.054345,0.024883,3.6297,1.9886,-0.263351,15.24,1.490084,-0.003819,-34.187894,0.35311,0.550457,6.645072,-9.50507,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20220925-JinguStadium-2,6e9c76c0-3c88-11ed-937c-6d35909a3bf4,29dbd46f-7daa-4e8a-9b28-cd2c1d82b591,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,121.98531,0.542496,,11.09992,,,,16.758814,-34.481841,3.322536,1.465165,0.77357,-4.752535,-0.262643,-0.028168,0.275228,0.121912,0.542496,-0.27193,180.0,0.121679,23.058106,,,,,,,,0.542716,-21.801962,,,,,,,,-0.271965,3.40877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/AcZDaRTVJwE/&t=1830,22A
62,2022/9/25,15:20.8,2022/9/25,15:20.8,1,1,"Kenichi, Murata",1000089794,Right,MEI_MEI,"Taichi, Inde",1000101222,Right,WAS_EDA,Undefined,3,Bottom,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,,Undefined,0,0,,139.2574,-2.159566,-4.494793,1889.925288,220.106526,1:15,1.573436,0.74182,1.958377,-58.786,34.1558,26.361,0.378399,-0.256418,128.06439,-6.516561,-2.620921,0.435372,,,,,,,,,,,,-16.7542,20.1857,-0.645367,15.24,1.523144,2.884742,-38.227838,-1.645698,-3.218291,7.372044,-5.92921,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20220925-JinguStadium-2,abc35f00-3c88-11ed-937c-6d35909a3bf4,29dbd46f-7daa-4e8a-9b28-cd2c1d82b591,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,139.32918,,,11.193,,,,16.481338,-38.466479,3.686022,1.57331,-1.453763,-2.964605,-0.740436,2.988921,-1.609145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/AcZDaRTVJwE/&t=1887,22A
63,2022/9/25,15:30.9,2022/9/25,15:30.9,1,2,"Kenichi, Murata",1000089794,Right,MEI_MEI,"Taichi, Inde",1000101222,Right,WAS_EDA,Undefined,3,Bottom,0,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,,Undefined,0,0,,140.45408,-1.69118,-3.734495,2013.241909,212.520513,1:00,1.581837,0.75665,1.851463,-50.475,42.4253,25.1294,0.598978,-0.046771,128.28115,-5.455025,-1.957863,0.435274,,,,,,,,,,,,-15.6769,24.0095,-0.670104,15.24,1.538649,2.397134,-38.565704,-1.316118,-3.046296,7.950235,-5.141197,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20220925-JinguStadium-2,b1c65f60-3c88-11ed-937c-6d35909a3bf4,29dbd46f-7daa-4e8a-9b28-cd2c1d82b591,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,139.36035,,,12.17293,,,,16.588291,-38.842656,3.975117,1.581377,-1.137021,-2.570599,-0.755459,2.503254,-1.523148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/AcZDaRTVJwE/&t=1897,22A
64,2022/9/25,15:47.0,2022/9/25,15:47.0,1,3,"Kenichi, Murata",1000089794,Right,MEI_MEI,"Taichi, Inde",1000101222,Right,WAS_EDA,Undefined,3,Bottom,0,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,112.40524,4.633478,-0.202004,1802.818663,21.744781,6:45,1.63682,0.706491,1.663669,-182.9739,-34.1317,-15.4916,1.131923,0.493942,102.84971,-8.466265,-1.287261,0.550957,,,,,,,,,,,,7.5919,-18.9019,-0.69977,15.24,1.746463,0.17519,-30.84009,1.816698,0.941179,5.193934,-12.149951,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20220925-JinguStadium-2,bb713210-3c88-11ed-937c-6d35909a3bf4,29dbd46f-7daa-4e8a-9b28-cd2c1d82b591,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,110.09935,,,9.55554,,,,16.77743,-31.097938,2.596967,1.641303,2.419872,-6.074975,-0.707307,0.128466,0.470589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/AcZDaRTVJwE/&t=1913,22A
65,2022/9/25,16:02.4,2022/9/25,16:02.4,1,4,"Kenichi, Murata",1000089794,Right,MEI_MEI,"Taichi, Inde",1000101222,Right,WAS_EDA,Undefined,3,Bottom,0,2,1,Sinker,Changeup,InPlay,Undefined,GroundBall,GroundBall,Out,1,0,,133.89223,-0.129522,-3.800572,1610.555574,255.668363,2:30,1.561629,0.751636,1.77524,-90.5315,11.3593,33.2236,0.619532,0.005377,123.97985,-6.680589,-1.460705,0.45585,149.56777,-0.761448,-21.467995,1545.525017,,,,10.757852,10.757852,-20.507768,0.249074,-19.5204,6.6692,-0.659323,15.24,1.551849,2.293649,-36.820331,-0.440639,-3.50094,6.405626,-8.610534,WAS_EDA,MEI_MEI,JinguStadium,Fall,Team,20220925-JinguStadium-2,c4965a00-3c88-11ed-937c-6d35909a3bf4,29dbd46f-7daa-4e8a-9b28-cd2c1d82b591,v3,,,,"Kaito, Mino",1000073560,Right,MEI_MEI,133.07,0.621937,,9.91238,,,,16.66545,-37.067486,3.202813,1.562441,-0.108409,-4.305267,-0.750428,2.42873,-1.75047,0.7605,0.621937,0.006497,30.411483,0.760759,38.646991,-5.011439,,,,,,,0.622648,-0.589944,-7.679212,,,,,,,0.00667,-15.213173,0.21794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鈴木 隆行,https://youtu.be/AcZDaRTVJwE/&t=1929,22A
