PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,Steal,Runner,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,URL,season
84,2022/10/16,46:11.1,2022/10/16,46:11.1,5,2,"Taisei, Shikada",1000126576,Right,WAS_EDA,"Kenta, Yamada",1000074117,Right,RIK,Undefined,3,Top,2,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,"1,3",,,142.18009,-3.166041,-3.391929,2240.512553,215.560734,1:15,1.720627,0.420866,1.879493,-38.5654,52.468,35.2301,0.441144,-0.1829,129.04529,-6.099904,-0.894936,0.430879,,,,,,,,,,,,-20.6635,30.4034,-0.344491,15.24,1.644905,2.135912,-38.987773,-2.274078,-4.078425,8.586494,-3.805852,WAS_EDA,RIK,JinguStadium,Fall,Team,20221016-JinguStadium-1,b12b2de0-4cfc-11ed-a93b-fb17fc5eaefc,e6b283af-0f31-4ac6-9750-0acede78f666,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,140.78204,,,13.13481,,,,16.559619,-39.277325,4.293247,1.719427,-2.145738,-1.902926,-0.418837,2.273443,-2.039212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,https://youtu.be/I1dPZzOr7DM/&t=2892,22A
85,2022/10/16,46:32.3,2022/10/16,46:32.4,5,3,"Taisei, Shikada",1000126576,Right,WAS_EDA,"Kenta, Yamada",1000074117,Right,RIK,Undefined,3,Top,2,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,"1,3",,,128.56332,-0.310505,-2.206107,2485.805689,67.093699,8:15,1.73355,0.417201,1.632324,-112.5968,0.2366,-7.224,0.518757,-0.285966,119.03553,-8.352971,-2.711756,0.479704,,,,,,,,,,,,2.1753,1.3148,-0.356087,15.24,1.715346,1.396546,-35.357168,-0.661096,0.357822,6.242918,-9.590374,WAS_EDA,RIK,JinguStadium,Fall,Team,20221016-JinguStadium-1,bde403e0-4cfc-11ed-a93b-fb17fc5eaefc,e6b283af-0f31-4ac6-9750-0acede78f666,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,126.45292,,,9.52779,,,,16.807854,-35.632925,3.121459,1.735192,-0.237479,-4.795187,-0.417425,1.38074,0.178911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,https://youtu.be/I1dPZzOr7DM/&t=2914,22A
86,2022/10/16,47:02.0,2022/10/16,47:02.0,5,4,"Taisei, Shikada",1000126576,Right,WAS_EDA,"Kenta, Yamada",1000074117,Right,RIK,Undefined,3,Top,2,1,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,"1,3",,,119.53477,2.001166,-0.334122,2807.303338,21.147101,6:45,1.733209,0.373784,1.626713,-175.1096,-43.0238,-18.288,0.554584,0.095362,109.79717,-10.464277,-1.617137,0.519018,,,,,,,,,,,,8.8988,-21.7613,-0.362973,15.24,1.773104,0.274887,-32.869029,0.439605,1.246991,6.160505,-12.856063,WAS_EDA,RIK,JinguStadium,Fall,Team,20221016-JinguStadium-1,cf987c60-4cfc-11ed-a93b-fb17fc5eaefc,e6b283af-0f31-4ac6-9750-0acede78f666,v3,,,,"Taichi, Inde",1000101222,Right,WAS_EDA,116.87445,,,9.7376,,,,16.814583,-33.162834,3.080253,1.737518,1.052732,-6.428031,-0.374665,0.215416,0.623495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,https://youtu.be/I1dPZzOr7DM/&t=2943,22A
87,2022/10/16,49:23.8,2022/10/16,49:23.8,1,1,"Yosuke, Ikeda",1000089900,Right,RIK,"Ryujiro, Miyake",1000074105,Left,WAS_EDA,Undefined,3,Bottom,0,0,0,TwoSeamFastBall,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,138.79847,-1.697218,-2.125905,1480.908744,252.891821,2:30,1.571638,0.585607,1.805304,-80.7907,14.1586,36.6646,0.283235,0.350706,127.9418,-7.564047,0.469192,0.440048,,,,,,,,,,,,-20.2116,9.3265,-0.536219,15.24,1.524726,1.238868,-38.181125,-1.457641,-3.869478,7.418832,-8.0211,WAS_EDA,RIK,JinguStadium,Fall,Team,20221016-JinguStadium-1,24124f50-4cfd-11ed-a93b-fb17fc5eaefc,e6b283af-0f31-4ac6-9750-0acede78f666,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,137.84847,,,10.85667,,,,16.634703,-38.45117,3.709416,1.572471,-1.165674,-4.01055,-0.583877,1.379717,-1.934739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,https://youtu.be/I1dPZzOr7DM/&t=3025,22A
88,2022/10/16,49:34.6,2022/10/16,49:34.6,1,2,"Yosuke, Ikeda",1000089900,Right,RIK,"Ryujiro, Miyake",1000074105,Left,WAS_EDA,Undefined,3,Bottom,0,1,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,133.06069,0.287344,-1.711585,2151.317489,155.317386,11:15,1.575359,0.626813,1.834526,-87.2696,14.5099,-5.426,0.783823,0.089193,123.69245,-6.055387,-2.095823,0.455601,,,,,,,,,,,,1.7697,8.1939,-0.5856,15.24,1.576483,1.120268,-36.661934,-0.148841,0.315827,6.101334,-8.344316,WAS_EDA,RIK,JinguStadium,Fall,Team,20221016-JinguStadium-1,2a817f00-4cfd-11ed-a93b-fb17fc5eaefc,e6b283af-0f31-4ac6-9750-0acede78f666,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,133.14275,,,9.36825,,,,16.605545,-36.88849,3.050667,1.576257,0.161002,-4.172158,-0.62698,1.10854,0.157914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,https://youtu.be/I1dPZzOr7DM/&t=3036,22A
89,2022/10/16,49:47.4,2022/10/16,49:47.4,1,3,"Yosuke, Ikeda",1000089900,Right,RIK,"Ryujiro, Miyake",1000074105,Left,WAS_EDA,Undefined,3,Bottom,0,1,1,TwoSeamFastBall,Changeup,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,137.36844,-0.516398,-2.981257,1839.939566,250.412389,2:15,1.590561,0.571767,1.831701,-77.2275,19.4237,46.3179,0.67227,0.192368,126.23538,-6.163781,0.296926,0.443975,,,,,,,,,,,,-25.829,11.2501,-0.503402,15.24,1.573115,1.747301,-37.785832,-0.639595,-4.842505,7.274074,-7.697442,WAS_EDA,RIK,JinguStadium,Fall,Team,20221016-JinguStadium-1,3223d780-4cfd-11ed-a93b-fb17fc5eaefc,e6b283af-0f31-4ac6-9750-0acede78f666,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,136.62939,,,11.13306,,,,16.608462,-38.04836,3.637037,1.591185,-0.361788,-3.848721,-0.569617,1.922071,-2.421253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,https://youtu.be/I1dPZzOr7DM/&t=3049,22A
90,2022/10/16,50:05.8,2022/10/16,50:05.8,1,4,"Yosuke, Ikeda",1000089900,Right,RIK,"Ryujiro, Miyake",1000074105,Left,WAS_EDA,Undefined,3,Bottom,0,1,2,TwoSeamFastBall,Changeup,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,,,139.72861,-1.518919,-2.360396,1649.594539,238.016572,2:00,1.579207,0.5809,1.869211,-69.2645,24.2677,34.0132,0.458196,0.255695,127.78143,-6.614229,0.054279,0.436752,,,,,,,,,,,,-19.2111,14.5767,-0.527972,15.24,1.539548,1.419186,-38.416449,-1.280868,-3.699464,7.982075,-6.999626,WAS_EDA,RIK,JinguStadium,Fall,Team,20221016-JinguStadium-1,3d1756d0-4cfd-11ed-a93b-fb17fc5eaefc,e6b283af-0f31-4ac6-9750-0acede78f666,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,138.88875,,,11.94718,,,,16.570314,-38.691871,3.991038,1.579577,-1.039345,-3.499813,-0.579143,1.546836,-1.849732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.49542,2.654534,1.5872,1.067334,-0.183897,0.385619,-0.256775,-0.354512,1.538429,-1.074882,21.345695,2.336786,-16.686772,-0.336119,21.655937,-1.249438,1.569954,5.381268,-4.354246,-1.129547,-16.85714,2.114328,上野 達也,https://youtu.be/I1dPZzOr7DM/&t=3067,22A
91,2022/10/16,50:31.4,2022/10/16,50:31.4,2,1,"Yosuke, Ikeda",1000089900,Right,RIK,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,3,Bottom,1,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,136.55394,-1.051413,-1.368027,2176.493974,140.831729,10:45,1.57455,0.568935,1.841379,-78.793,18.8026,-12.9298,0.489793,0.053505,125.80581,-6.801088,-2.284657,0.446138,,,,,,,,,,,,5.7282,11.3263,-0.535619,15.24,1.544471,0.958317,-37.585676,-0.992096,1.062161,7.225929,-7.706451,WAS_EDA,RIK,JinguStadium,Fall,Team,20221016-JinguStadium-1,4c670450-4cfd-11ed-a93b-fb17fc5eaefc,e6b283af-0f31-4ac6-9750-0acede78f666,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,135.96677,,,10.74813,,,,16.598342,-37.845919,3.612964,1.575204,-0.714546,-3.853226,-0.569444,0.920063,0.53108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,https://youtu.be/I1dPZzOr7DM/&t=3093,22A
92,2022/10/16,50:42.4,2022/10/16,50:42.4,2,2,"Yosuke, Ikeda",1000089900,Right,RIK,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,3,Bottom,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,107.11845,4.858724,1.788712,1841.074164,59.666258,8:00,1.579576,0.425289,1.769319,-179.178,-15.4701,-36.2474,1.169028,0.570006,96.9119,-8.127924,-0.763943,0.577816,,,,,,,,,,,,19.5637,-9.5372,-0.467599,15.24,1.689053,-0.768172,-29.33538,1.892497,2.172341,5.125955,-10.865661,WAS_EDA,RIK,JinguStadium,Fall,Team,20221016-JinguStadium-1,52fd4400-4cfd-11ed-a93b-fb17fc5eaefc,e6b283af-0f31-4ac6-9750-0acede78f666,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,104.98154,,,10.20655,,,,16.67046,-29.584278,2.562978,1.584352,2.420093,-5.43283,-0.427739,-0.873652,1.086171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,https://youtu.be/I1dPZzOr7DM/&t=3104,22A
93,2022/10/16,50:54.7,2022/10/16,50:54.7,2,3,"Yosuke, Ikeda",1000089900,Right,RIK,"Toyo, Kumada",1000089879,Left,WAS_EDA,Undefined,3,Bottom,1,1,1,TwoSeamFastBall,Changeup,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,140.08899,-1.576095,-3.407048,1794.651079,234.783078,1:45,1.557915,0.566274,1.801311,-65.2938,29.1351,36.7144,0.458197,-0.031575,127.39463,-6.38425,-0.815593,0.438841,,,,,,,,,,,,-21.4585,17.0667,-0.485437,15.24,1.514856,2.109134,-38.453791,-1.31039,-4.120453,8.346913,-6.529506,WAS_EDA,RIK,JinguStadium,Fall,Team,20221016-JinguStadium-1,5a362c50-4cfd-11ed-a93b-fb17fc5eaefc,e6b283af-0f31-4ac6-9750-0acede78f666,v3,,,,"Yosuke, Kuroiwa",1000089907,Right,RIK,138.22778,,,12.69437,,,,16.638385,-38.75614,4.173457,1.558039,-1.073872,-3.264753,-0.564539,2.258388,-2.060227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上野 達也,https://youtu.be/I1dPZzOr7DM/&t=3116,22A
