PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire,Catcher Pos,season
62,2021/4/10,57:34.9,2021/4/10,57:34.9,1,2,"Ginji, Miura",1000073786,Right,HOS_HOS,"Kosuke, Morita",1000073314,Left,KEI_KEI,Undefined,3,Top,0,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,FlyBall,Undefined,0,0,,141.28957,-0.950158,-2.768647,2262.641702,197.192196,12:30,1.707679,0.297597,1.782973,-26.1652,67.9635,19.9216,1.176583,-0.287937,126.38027,-3.041911,-1.364901,0.438143,109.55331,45.589394,175.322178,3253.97196,-33.505192,15.905473,1.236471,56.410397,,-179.837439,3.21223,-12.5781,36.5777,-0.230392,15.24,1.682411,1.772924,-38.751567,-0.697454,-2.419497,9.474495,-2.770661,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20210410-JinguStadium-2,a56ffd90-99c1-11eb-81f6-dfe88c4afd31,18473dc9-ff01-435f-8f96-3c6ca3c4985f,v3,,,,"Daichi, Funyuu",1000073839.0,Right,HOS_HOS,138.44802,16.267137,,14.9093,,,,16.655957,-39.096226,4.737248,1.705949,-0.596664,-1.38533,-0.296488,1.86094,-1.209748,0.464362,1.175447,0.28611,346.539918,0.464463,-21.229379,0.752771,0.126746,0.070528,-0.096293,0.04718,-0.010479,0.000875,1.175481,21.737324,-9.125999,1.17911,-0.235649,0.036374,-0.005082,0.001052,-0.000123,0.286091,1.737618,-0.902111,0.186131,-0.063833,0.030744,-0.012061,0.002582,-0.000218,,,,,,,,,,,,,,,,,,,,,,,,,21S
63,2021/4/10,57:53.3,2021/4/10,57:53.3,1,3,"Ginji, Miura",1000073786,Right,HOS_HOS,"Kosuke, Morita",1000073314,Left,KEI_KEI,Undefined,3,Top,0,0,2,Fastball,Four-Seam,InPlay,Undefined,Undefined,FlyBall,Out,1,0,,145.3279,-0.942902,-2.91045,2413.495295,198.840593,12:45,1.713395,0.320787,1.809105,-27.225,63.0658,20.1828,1.174158,-0.301068,127.75475,-3.139503,-1.486208,0.429118,,,,,,,,,,,,-13.1567,34.1717,-0.25129,15.24,1.688671,1.913946,-39.776488,-0.707946,-2.61847,11.350364,-3.005741,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20210410-JinguStadium-2,b06f15a0-99c1-11eb-81f6-dfe88c4afd31,18473dc9-ff01-435f-8f96-3c6ca3c4985f,v3,,,,"Daichi, Funyuu",1000073839.0,Right,HOS_HOS,141.35983,,,17.57316,,,,16.628487,-40.170744,5.675182,1.711449,-0.603541,-1.50287,-0.319351,2.004899,-1.309235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
64,2021/4/10,58:29.0,2021/4/10,58:29.0,2,1,"Ginji, Miura",1000073786,Right,HOS_HOS,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,3,Top,1,0,0,Curveball,Curveball,FoulBall,Undefined,Undefined,,Undefined,0,0,,109.76184,3.990127,-0.285607,2674.280513,8.137812,6:15,1.620009,0.290687,1.763614,-223.3427,-62.5536,-9.9682,0.519866,0.110018,97.19249,-12.155149,-0.990841,0.572642,101.56383,4.70612,-73.81462,3315.080268,,,,19.338123,,-72.695546,0.81009,4.7453,-34.1354,-0.282789,15.24,1.704509,0.190762,-30.043877,1.306489,0.531768,7.028968,-13.631926,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20210410-JinguStadium-2,c5ac18a0-99c1-11eb-81f6-dfe88c4afd31,18473dc9-ff01-435f-8f96-3c6ca3c4985f,v3,,,,"Daichi, Funyuu",1000073839.0,Right,HOS_HOS,105.93014,0.95262,,12.56935,,,,16.677007,-30.378215,3.514484,1.626944,1.9549,-6.815963,-0.291261,0.165469,0.265884,0.767972,0.591172,-0.115789,,0.767972,7.837511,-2.515149,0.631986,-0.125474,-0.015479,0.067632,-0.06081,0.020888,0.591172,2.314705,-3.652581,-0.193908,0.052725,0.149718,-0.293851,0.252455,-0.086051,-0.115789,-27.002624,6.421823,-1.505388,0.289239,0.003234,-0.09388,0.086927,-0.029993,,,,,,,,,,,,,,,,,,,,,,,,,21S
65,2021/4/10,58:49.5,2021/4/10,58:49.5,2,2,"Ginji, Miura",1000073786,Right,HOS_HOS,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,3,Top,1,0,1,Splitter,Changeup,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,128.86765,-1.056809,-2.335278,1358.377784,251.783548,2:30,1.6693,0.280221,1.824389,-88.4106,24.6423,61.3482,0.486365,0.233625,115.52672,-7.57908,2.011021,0.48017,,,,,,,,,,,,-33.4116,14.9111,-0.22796,15.24,1.638148,1.156091,-35.355761,-0.969558,-5.319157,8.232962,-7.432786,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20210410-JinguStadium-2,d1f033d0-99c1-11eb-81f6-dfe88c4afd31,18473dc9-ff01-435f-8f96-3c6ca3c4985f,v3,,,,"Daichi, Funyuu",1000073839.0,Right,HOS_HOS,126.33014,,,13.34093,,,,16.614577,-35.67441,4.116481,1.670107,-0.681879,-3.716393,-0.276689,1.361963,-2.659579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
66,2021/4/10,59:05.6,2021/4/10,59:05.6,2,3,"Ginji, Miura",1000073786,Right,HOS_HOS,"Ryuta, Hirose",1000089826,Right,KEI_KEI,Undefined,3,Top,1,0,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,146.71494,-2.930366,-3.06388,2282.731902,213.071085,1:00,1.66254,0.34114,1.817825,-22.9393,65.0181,39.945,0.603079,-0.126129,130.08407,-4.798626,-0.243059,0.423536,,,,,,,,,,,,-23.0842,36.8612,-0.269575,15.24,1.590024,1.932342,-40.147299,-2.091289,-4.722934,10.870779,-2.264985,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20210410-JinguStadium-2,db8841d0-99c1-11eb-81f6-dfe88c4afd31,18473dc9-ff01-435f-8f96-3c6ca3c4985f,v3,,,,"Daichi, Funyuu",1000073839.0,Right,HOS_HOS,143.22266,,,16.63088,,,,16.620245,-40.519307,5.43539,1.660264,-2.013779,-1.132493,-0.338467,2.093965,-2.361467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.98222,2.67213,1.604454,1.067676,-0.180353,0.55115,0.128157,-0.968868,1.690836,1.856248,21.095545,1.927068,16.936726,-0.924481,22.819928,-2.037924,1.708851,4.472207,-3.988757,1.867854,14.870889,-0.704252,,,21S
67,2021/4/10,59:33.8,2021/4/10,59:33.8,3,1,"Ginji, Miura",1000073786,Right,HOS_HOS,"Haruto, Watanabe",1000073445,Left,KEI_KEI,Undefined,3,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,147.09022,-1.040649,-0.858938,2212.592833,205.410331,12:45,1.669471,0.332817,1.79068,-26.2821,60.2301,27.0751,1.111991,0.360396,131.79433,-3.118582,1.053226,0.420043,,,,,,,,,,,,-14.3105,32.3032,-0.313374,15.24,1.641903,0.454912,-40.372961,-0.788229,-2.995218,10.091282,-3.045509,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20210410-JinguStadium-2,ec4f7420-99c1-11eb-81f6-dfe88c4afd31,18473dc9-ff01-435f-8f96-3c6ca3c4985f,v3,,,,"Daichi, Funyuu",1000073839.0,Right,HOS_HOS,144.41393,,,15.2959,,,,16.647154,-40.723163,5.045641,1.667423,-0.682539,-1.522754,-0.330965,0.558856,-1.497609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
68,2021/4/10,59:53.7,2021/4/10,59:53.7,3,2,"Ginji, Miura",1000073786,Right,HOS_HOS,"Haruto, Watanabe",1000073445,Right,KEI_KEI,Undefined,3,Top,2,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,146.09615,-2.956763,-1.047514,2342.124738,197.742012,12:30,1.648437,0.327743,1.758757,-19.0707,68.881,20.9899,0.618177,0.240489,131.3823,-4.514445,0.431521,0.423523,,,,,,,,,,,,-11.4532,38.2696,-0.302842,15.24,1.572506,0.618727,-40.06811,-2.091953,-2.368345,9.701949,-1.893106,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20210410-JinguStadium-2,f82e16c0-99c1-11eb-81f6-dfe88c4afd31,18473dc9-ff01-435f-8f96-3c6ca3c4985f,v3,,,,"Daichi, Funyuu",1000073839.0,Right,HOS_HOS,143.2273,,,14.71386,,,,16.67983,-40.415242,4.850974,1.646144,-2.024218,-0.946553,-0.326496,0.703465,-1.184173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
69,2021/4/10,00:08.2,2021/4/10,00:08.1,3,3,"Ginji, Miura",1000073786,Right,HOS_HOS,"Haruto, Watanabe",1000073445,Left,KEI_KEI,Undefined,3,Top,2,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,146.46229,-3.497839,-2.888051,2281.999841,190.931271,12:15,1.66542,0.315155,1.814333,-20.9894,66.8501,12.2351,0.46429,-0.379563,130.78043,-5.207993,-2.024691,0.423253,,,,,,,,,,,,-8.7928,38.2635,-0.245949,15.24,1.579108,1.957711,-40.086958,-2.482755,-1.804688,10.362996,-1.953188,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20210410-JinguStadium-2,00cf68b0-99c2-11eb-81f6-dfe88c4afd31,18473dc9-ff01-435f-8f96-3c6ca3c4985f,v3,,,,"Daichi, Funyuu",1000073839.0,Right,HOS_HOS,143.31865,,,15.68186,,,,16.62417,-40.443201,5.181498,1.663303,-2.415611,-0.976594,-0.314315,2.019749,-0.902344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
70,2021/4/10,00:31.0,2021/4/10,00:31.0,3,4,"Ginji, Miura",1000073786,Right,HOS_HOS,"Haruto, Watanabe",1000073445,Left,KEI_KEI,Undefined,3,Top,2,3,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,FlyBall,Out,1,0,,147.60602,-2.625922,-2.582449,2527.880408,193.65894,12:30,1.660388,0.350367,1.832043,-13.6732,72.5543,16.7943,0.780915,-0.211377,131.45952,-3.827384,-1.395498,0.419351,127.57817,37.433398,36.120462,3729.149116,26.265614,22.020195,20.838522,77.159596,,41.249292,4.83632,-10.9396,40.5816,-0.289665,15.24,1.596646,1.736145,-40.447524,-1.84933,-2.281264,10.708817,-1.344018,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20210410-JinguStadium-2,0e67a230-99c2-11eb-81f6-dfe88c4afd31,18473dc9-ff01-435f-8f96-3c6ca3c4985f,v3,,,,"Daichi, Funyuu",1000073839.0,Right,HOS_HOS,144.6521,24.599191,,16.1465,,,,16.606705,-40.807766,5.354409,1.658097,-1.804117,-0.672009,-0.34936,1.812886,-1.140632,0.570452,0.764039,0.199885,195.164766,0.571173,22.715794,-5.404553,1.265936,-0.191448,0.012508,0.000645,-7.6e-05,-4e-06,0.763922,21.540981,-5.336945,0.23442,0.019878,-0.032392,0.011826,-0.001869,0.000109,0.200197,16.58188,-2.681163,0.529891,-0.069998,0.004284,-0.00016,8.4e-05,-1e-05,,,,,,,,,,,,,,,,,,,,,,,,,21S
71,2021/4/10,02:50.5,2021/4/10,02:50.5,1,1,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Ginji, Miura",1000073786,Left,HOS_HOS,Undefined,3,Bottom,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,142.69298,-3.371071,-3.524488,2093.108228,209.880064,1:00,1.630586,0.443117,1.748247,-41.9259,49.6091,26.7355,0.251604,-0.291137,130.15789,-6.503328,-1.64547,0.432064,,,,,,,,,,,,-16.1974,28.6367,-0.355591,15.24,1.541761,2.272487,-39.110482,-2.455163,-3.232398,8.28382,-4.091835,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20210410-JinguStadium-2,619768f0-99c2-11eb-81f6-dfe88c4afd31,18473dc9-ff01-435f-8f96-3c6ca3c4985f,v3,,,,,,Undefined,KEI_KEI,140.39584,,,12.53509,,,,16.691398,-39.416698,4.14191,1.629721,-2.303906,-2.045918,-0.441803,2.391974,-1.616199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
72,2021/4/10,03:02.7,2021/4/10,03:02.7,1,2,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Ginji, Miura",1000073786,Left,HOS_HOS,Undefined,3,Bottom,0,0,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,,Out,1,0,,139.78183,-1.074408,-2.42076,2068.608703,221.153473,1:15,1.632618,0.443007,1.719713,-52.0837,43.2522,35.0476,0.805991,0.10479,127.28195,-4.938635,0.042229,0.440943,,,,,,,,,,,,-19.5832,23.6679,-0.383101,15.24,1.600882,1.44544,-38.401942,-0.915359,-3.763933,8.060594,-5.257642,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20210410-JinguStadium-2,68d46ff0-99c2-11eb-81f6-dfe88c4afd31,18473dc9-ff01-435f-8f96-3c6ca3c4985f,v3,,,,,,Undefined,KEI_KEI,137.56865,,,12.49988,,,,16.719919,-38.711332,4.030297,1.632143,-0.713554,-2.628821,-0.441354,1.589911,-1.881967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
73,2021/4/10,03:43.7,2021/4/10,03:43.7,2,1,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Yuta, Kaizaki",1000073730,Left,HOS_HOS,Undefined,3,Bottom,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,GroundBall,,Undefined,0,0,,144.45855,-1.627671,-2.012472,2142.545739,216.535308,1:15,1.634505,0.434028,1.68305,-39.8142,50.033,34.8195,0.772123,0.208502,131.20955,-4.616936,0.429627,0.428062,,,,,,,,,,,,-18.9175,27.2763,-0.383436,15.24,1.588191,1.202827,-39.664471,-1.268755,-3.873877,8.700695,-4.22108,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20210410-JinguStadium-2,8143ee30-99c2-11eb-81f6-dfe88c4afd31,18473dc9-ff01-435f-8f96-3c6ca3c4985f,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,141.70841,,,13.249,,,,16.755957,-39.995625,4.350348,1.633424,-1.108098,-2.11054,-0.432022,1.350269,-1.936938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
74,2021/4/10,03:54.5,2021/4/10,03:54.5,2,2,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Yuta, Kaizaki",1000073730,Left,HOS_HOS,Undefined,3,Bottom,1,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,144.5894,-1.446723,-1.592564,2245.537994,204.535754,12:45,1.633759,0.474179,1.67652,-37.3826,52.9105,22.6817,0.847256,0.246872,130.47999,-4.279903,-0.0022,0.429123,,,,,,,,,,,,-12.6239,28.6863,-0.433615,15.24,1.592314,0.978538,-39.680486,-1.129021,-2.569572,9.234446,-3.967632,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20210410-JinguStadium-2,87c127a0-99c2-11eb-81f6-dfe88c4afd31,18473dc9-ff01-435f-8f96-3c6ca3c4985f,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,141.358,,,14.10941,,,,16.762172,-40.033159,4.617223,1.632539,-0.977494,-1.983816,-0.472861,1.076672,-1.284786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
75,2021/4/10,04:11.2,2021/4/10,04:11.2,2,3,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Yuta, Kaizaki",1000073730,Left,HOS_HOS,Undefined,3,Bottom,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,144.40047,-2.048604,-0.801661,2229.087092,209.916264,1:00,1.620565,0.47505,1.671271,-39.4885,50.935,27.4787,0.641172,0.521212,130.69856,-5.01827,1.125432,0.429433,,,,,,,,,,,,-14.3722,28.1214,-0.455882,15.24,1.562696,0.403476,-39.635196,-1.556904,-2.924603,9.059979,-4.084234,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20210410-JinguStadium-2,91b0cb80-99c2-11eb-81f6-dfe88c4afd31,18473dc9-ff01-435f-8f96-3c6ca3c4985f,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,141.25604,,,13.70191,,,,16.7675,-39.982834,4.529989,1.619429,-1.400189,-2.042117,-0.473517,0.515695,-1.462302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
76,2021/4/10,04:28.8,2021/4/10,04:28.8,2,4,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Yuta, Kaizaki",1000073730,Left,HOS_HOS,Undefined,3,Bottom,1,1,2,Splitter,Splitter,BallinDirt,Undefined,Undefined,,Undefined,0,0,,133.31807,-3.188512,-2.893646,1067.204194,258.689582,2:30,1.638694,0.442632,1.680361,-93.2206,12.227,44.0982,-0.204378,0.058188,122.7356,-9.868704,0.205911,0.463738,,,,,,,,,,,,-24.7882,9.296,-0.36953,15.24,1.546209,1.64249,-36.583066,-2.421288,-4.328149,7.247005,-8.183516,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20210410-JinguStadium-2,9c215f30-99c2-11eb-81f6-dfe88c4afd31,18473dc9-ff01-435f-8f96-3c6ca3c4985f,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,130.8065,,,10.58248,,,,16.760361,-36.883015,3.623503,1.639415,-2.082577,-4.091758,-0.441219,1.821629,-2.164074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
77,2021/4/10,04:55.1,2021/4/10,04:55.1,2,5,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Yuta, Kaizaki",1000073730,Left,HOS_HOS,Undefined,3,Bottom,1,2,2,Fastball,Sinker,InPlay,Undefined,GroundBall,,Out,1,0,,141.25157,-1.930546,-2.598527,2068.449047,226.662443,1:30,1.605075,0.51077,1.724554,-57.6693,36.8306,35.3428,0.478869,0.125084,127.35203,-6.200712,-0.11332,0.439006,131.37217,-29.582249,35.396854,,,,,,,,,-20.0297,21.2665,-0.446442,15.24,1.550939,1.573634,-38.735578,-1.52952,-3.869605,9.092015,-5.698093,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20210410-JinguStadium-2,abd350f0-99c2-11eb-81f6-dfe88c4afd31,18473dc9-ff01-435f-8f96-3c6ca3c4985f,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,138.17586,0.462658,,13.89955,,,,16.714461,-39.080131,4.546008,1.60481,-1.313584,-2.849046,-0.508855,1.720278,-1.934802,0.283962,0.462658,-0.126474,,0.283962,25.869437,,,,,,,,0.462658,-18.015228,,,,,,,,-0.126474,18.382314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
78,2021/4/10,05:30.7,2021/4/10,05:30.7,3,1,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,3,Bottom,2,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,130.40646,-1.012338,-1.920604,1498.281644,180.183265,12:00,1.624775,0.412825,1.720368,-58.2032,52.4559,0.155,0.754729,-0.131884,117.71015,-5.358331,-1.909716,0.47506,,,,,,,,,,,,-1.6255,28.4967,-0.363147,15.24,1.594229,1.198957,-35.776864,-0.827593,-0.268463,7.622981,-5.100104,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20210410-JinguStadium-2,c1142480-99c2-11eb-81f6-dfe88c4afd31,18473dc9-ff01-435f-8f96-3c6ca3c4985f,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,127.68922,,,12.6963,,,,16.717675,-36.090339,3.81149,1.623949,-0.617865,-2.550052,-0.412678,1.209997,-0.134232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
79,2021/4/10,05:43.4,2021/4/10,05:43.4,3,2,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,3,Bottom,2,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,,Undefined,0,0,,143.23021,-0.509988,-0.968766,2190.345942,210.564692,1:00,1.641839,0.42773,1.694109,-47.3268,45.3715,24.6847,1.023316,0.398673,127.95914,-4.07361,0.764549,0.434801,,,,,,,,,,,,-13.1371,24.272,-0.404138,15.24,1.624799,0.527065,-39.277998,-0.520614,-2.59237,9.841716,-5.017009,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20210410-JinguStadium-2,c8949d20-99c2-11eb-81f6-dfe88c4afd31,18473dc9-ff01-435f-8f96-3c6ca3c4985f,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,139.51205,,,15.27107,,,,16.743635,-39.652967,4.920858,1.640993,-0.329466,-2.508505,-0.426101,0.625835,-1.296185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
80,2021/4/10,06:00.5,2021/4/10,06:00.5,3,3,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,3,Bottom,2,1,1,Cutter,Cutter,BallCalled,Undefined,Undefined,,Undefined,0,0,,134.75132,-1.372519,-3.094967,2223.780041,168.581222,11:30,1.603801,0.474341,1.76056,-57.1177,44.4496,-8.3487,0.642717,-0.487772,123.80759,-5.581156,-3.68195,0.455126,,,,,,,,,,,,2.151,24.5685,-0.395784,15.24,1.56509,2.041633,-37.018715,-1.092933,0.38691,7.010508,-5.387452,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20210410-JinguStadium-2,d2c9fc90-99c2-11eb-81f6-dfe88c4afd31,18473dc9-ff01-435f-8f96-3c6ca3c4985f,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,133.28177,,,10.94373,,,,16.678918,-37.290217,3.505254,1.603377,-0.884288,-2.693726,-0.474562,2.026648,0.193455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
81,2021/4/10,06:16.5,2021/4/10,06:16.5,3,4,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,3,Bottom,2,2,1,Splitter,Changeup,BallCalled,Undefined,Undefined,,Undefined,0,0,,129.24598,-1.899461,-2.430862,1384.065176,224.513084,1:30,1.625903,0.451342,1.795768,-81.54,29.983,25.5547,0.272278,0.018548,117.33046,-7.881435,-0.624667,0.476911,,,,,,,,,,,,-15.041,18.0415,-0.39341,15.24,1.573655,1.388721,-35.472617,-1.471196,-2.443445,7.46111,-6.875774,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20210410-JinguStadium-2,dc538ba0-99c2-11eb-81f6-dfe88c4afd31,18473dc9-ff01-435f-8f96-3c6ca3c4985f,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,127.19367,,,11.91552,,,,16.6434,-35.766582,3.730555,1.626283,-1.200293,-3.437887,-0.450022,1.484992,-1.221722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
82,2021/4/10,06:30.5,2021/4/10,06:30.5,3,5,"Kosuke, Morita",1000073314,Right,KEI_KEI,"Yuki, Okada",1000073821,Left,HOS_HOS,Undefined,3,Bottom,2,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,142.08012,-2.489669,-1.96958,2133.783917,200.745097,12:45,1.608433,0.469513,1.668197,-40.388,54.2483,19.1504,0.493571,0.099023,127.20447,-5.552834,-0.627798,0.439323,,,,,,,,,,,,-11.2572,30.4125,-0.418338,15.24,1.538565,1.233323,-38.913719,-1.827512,-2.182946,9.574572,-3.90919,HOS_HOS,KEI_KEI,JinguStadium,TeamExclusive,Team,20210410-JinguStadium-2,e4a955a0-99c2-11eb-81f6-dfe88c4afd31,18473dc9-ff01-435f-8f96-3c6ca3c4985f,v3,,,,"Shogo, Fukui",1000073400.0,Right,KEI_KEI,138.07623,,,14.87565,,,,16.769893,-39.28834,4.787286,1.607078,-1.674558,-1.954595,-0.468265,1.318734,-1.091473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21S
