PitchNo,Date,Time,UTCDate,UTCTime,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,AutoHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,GameUID,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,ContactPositionX,ContactPositionY,ContactPositionZ,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,umpire
11,2020/11/1,,2020/11/1,,1,2,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,,1,Bottom,0,0,1,,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Yu, Katayama",1000074037,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
12,2020/11/1,,2020/11/1,,1,3,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,,1,Bottom,0,1,1,,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Yu, Katayama",1000074037,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
13,2020/11/1,,2020/11/1,,1,4,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,,1,Bottom,0,2,1,,,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Yu, Katayama",1000074037,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
14,2020/11/1,,2020/11/1,,1,5,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,,1,Bottom,0,2,2,,,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Yu, Katayama",1000074037,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
15,2020/11/1,,2020/11/1,,1,6,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,,1,Bottom,0,2,2,,,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Yu, Katayama",1000074037,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
16,2020/11/1,,2020/11/1,,1,7,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,,1,Bottom,0,2,2,,,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Yu, Katayama",1000074037,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
17,2020/11/1,,2020/11/1,,1,8,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Shuta, Miyazaki",1000073809,Left,HOS_HOS,,1,Bottom,0,2,2,,,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Yu, Katayama",1000074037,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
18,2020/11/1,,2020/11/1,,2,1,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Yuki, Satoh",1000073710,Right,HOS_HOS,,1,Bottom,1,0,0,,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Yu, Katayama",1000074037,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
19,2020/11/1,,2020/11/1,,2,2,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Yuki, Satoh",1000073710,Right,HOS_HOS,,1,Bottom,1,0,1,,,StrikeSwinging,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Yu, Katayama",1000074037,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
20,2020/11/1,,2020/11/1,,2,3,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Yuki, Satoh",1000073710,Right,HOS_HOS,,1,Bottom,1,0,2,,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Yu, Katayama",1000074037,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
21,2020/11/1,,2020/11/1,,2,4,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Yuki, Satoh",1000073710,Right,HOS_HOS,,1,Bottom,1,1,2,,,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Yu, Katayama",1000074037,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
22,2020/11/1,,2020/11/1,,2,5,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Yuki, Satoh",1000073710,Right,HOS_HOS,,1,Bottom,1,1,2,,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Yu, Katayama",1000074037,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
23,2020/11/1,,2020/11/1,,2,6,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Yuki, Satoh",1000073710,Right,HOS_HOS,,1,Bottom,1,2,2,,,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Yu, Katayama",1000074037,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
24,2020/11/1,,2020/11/1,,3,1,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Yuki, Okada",1000073821,Left,HOS_HOS,,1,Bottom,2,0,0,,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Yu, Katayama",1000074037,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
25,2020/11/1,,2020/11/1,,3,2,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Yuki, Okada",1000073821,Left,HOS_HOS,,1,Bottom,2,1,0,,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Yu, Katayama",1000074037,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
26,2020/11/1,,2020/11/1,,3,3,"Kyosuke, Nakazaki",1000074143,Right,RIK,"Yuki, Okada",1000073821,Left,HOS_HOS,,1,Bottom,2,2,0,,,InPlay,Undefined,GroundBal,,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Yu, Katayama",1000074037,Right,RIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
27,2020/11/1,,2020/11/1,,1,1,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Kensuke, Mitsui",1000074122,Left,RIK,,2,Top,0,0,0,,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Katsuki, Gotoh",1000073837,Right,HOS_HOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
28,2020/11/1,,2020/11/1,,1,2,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Kensuke, Mitsui",1000074122,Left,RIK,,2,Top,0,1,0,,,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Katsuki, Gotoh",1000073837,Right,HOS_HOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
29,2020/11/1,,2020/11/1,,1,3,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Kensuke, Mitsui",1000074122,Left,RIK,,2,Top,0,1,1,,,StrikeCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Katsuki, Gotoh",1000073837,Right,HOS_HOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
30,2020/11/1,,2020/11/1,,1,4,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Kensuke, Mitsui",1000074122,Left,RIK,,2,Top,0,1,2,,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Katsuki, Gotoh",1000073837,Right,HOS_HOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
31,2020/11/1,,2020/11/1,,1,5,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Kensuke, Mitsui",1000074122,Left,RIK,,2,Top,0,2,2,,,StrikeSwinging,Strikeout,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Katsuki, Gotoh",1000073837,Right,HOS_HOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
32,2020/11/1,,2020/11/1,,2,1,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Sou, Shibata",1000074204,Left,RIK,,2,Top,1,0,0,,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Katsuki, Gotoh",1000073837,Right,HOS_HOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
33,2020/11/1,,2020/11/1,,2,2,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Sou, Shibata",1000074204,Left,RIK,,2,Top,1,1,0,,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Katsuki, Gotoh",1000073837,Right,HOS_HOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
34,2020/11/1,,2020/11/1,,2,3,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Sou, Shibata",1000074204,Left,RIK,,2,Top,1,2,0,,,InPlay,Undefined,FlyBall,,HomeRun,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Katsuki, Gotoh",1000073837,Right,HOS_HOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
35,2020/11/1,,2020/11/1,,3,1,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Yuki, Hayashinaka",1000074071,Right,RIK,,2,Top,1,0,0,,,FoulBall,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Katsuki, Gotoh",1000073837,Right,HOS_HOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
36,2020/11/1,,2020/11/1,,3,2,"Kouichi, Takada",1000073775,Right,HOS_HOS,"Yuki, Hayashinaka",1000074071,Right,RIK,,2,Top,1,0,1,,,BallCalled,Undefined,Undefined,,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOS_HOS,RIK,JinguStadium,TeamExclusive,Team,20201101-JinguStadium-2,,,v3,,,,"Katsuki, Gotoh",1000073837,Right,HOS_HOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,榊原 啓資
